pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-25,82.4,2.07,5.96,"Schwarber, Kyle",656941,689266,strikeout,called_strike,,,,,8,Kyle Schwarber called out on strikes.,R,L,L,ATL,PHI,S,2.0,,2,2,2023,0.96,0.98,0.27,1.77,,,,2,5,Top,,,,,669221,,,-6.009443148860149,-119.81674448316085,-4.944394102371865,10.407895828832336,22.77157569245508,-21.968158458603817,3.24,1.53,,,,83.0,1784.0,6.7,718026,689266,669221,621566,645277,663586,606115,592696,671739,660670,53.78,,,0.0,1.0,0.0,0.0,,42,5,Changeup,4,4,4,4,4,4,4,4,Strategic,Standard,118.0,0.014,-0.09,kyle schwarber,
CH,2023-05-25,80.9,1.96,6.1,"Schwarber, Kyle",656941,689266,walk,ball,,,,,13,Kyle Schwarber walks.   Nick Castellanos to 2nd.,R,L,L,ATL,PHI,B,,,3,2,2023,1.09,0.86,-0.68,1.09,,,592206.0,1,3,Top,,,,,669221,,,-8.012279772178053,-117.43480593228286,-6.202379441181288,11.56774681190872,21.20791758878405,-23.217378681325755,3.19,1.45,,,,81.6,1676.0,6.8,718026,689266,669221,621566,645277,663586,606115,592696,671739,660670,53.73,,,0.7,1.0,0.0,0.0,,23,7,Changeup,3,3,3,3,3,3,3,3,Strategic,Standard,130.0,-0.04,0.306,kyle schwarber,
SL,2023-05-25,84.7,2.28,6.13,"Schwarber, Kyle",656941,689266,strikeout,called_strike,,,,,4,Kyle Schwarber called out on strikes.,R,L,L,ATL,PHI,S,2.0,,1,2,2023,-0.35,0.23,-0.75,2.09,,,,0,2,Top,,,,,669221,,,-6.413776049395272,-123.26838050878918,-3.648596006714569,-2.4845412380558605,21.81265585063344,-29.33627874733184,3.21,1.47,,,,85.5,2114.0,6.5,718026,689266,669221,621566,645277,663586,606115,592696,671739,660670,53.97,,,0.0,1.0,0.0,0.0,,10,4,Slider,2,0,0,2,0,2,0,2,Strategic,Standard,204.0,0.023,-0.175,kyle schwarber,
FC,2023-05-25,88.5,2.19,5.83,"Schwarber, Kyle",656941,621345,double,hit_into_play,,,,,1,"Braves challenged (tag play), call on the field was overturned: Kyle Schwarber doubles (5) on a line drive to right fielder Ronald Acuna Jr.  Bryce Harper scores.  Nick Castellanos out at home on the throw, right fielder Ronald Acuna Jr.  to shortstop Orlando Arcia to catcher Sean Murphy.",R,L,L,ATL,PHI,X,9.0,line_drive,1,1,2023,-0.42,0.2,-0.52,3.02,547180.0,,592206.0,2,7,Top,209.53,113.47,,,669221,,,-5.741421371592132,-128.97099093290268,-1.3111980146895776,-3.7336408506790826,22.756648566551448,-29.92060381260189,3.19,1.53,294.0,99.8,18.0,89.4,2663.0,6.4,718026,621345,669221,621566,645277,663586,606115,592696,671739,660670,54.06,0.429,0.468,1.25,1.0,1.0,1.0,4.0,60,3,Cutter,5,4,4,5,5,5,5,5,Standard,Standard,245.0,-0.113,1.514,kyle schwarber,
FF,2023-05-24,94.5,-2.71,6.21,"Schwarber, Kyle",656941,668678,field_out,hit_into_play,,,,,11,Kyle Schwarber flies out to left fielder Corbin Carroll.,R,L,R,PHI,AZ,X,7.0,fly_ball,2,2,2023,-0.39,1.31,-1.21,2.48,,,547180.0,1,6,Bot,73.33,82.16,,,645444,,,4.800134632888877,-137.53903940087815,-6.983717282557466,-6.000301499353413,28.30114421446088,-14.250882492549302,3.19,1.53,318.0,90.3,36.0,94.8,2422.0,6.3,718043,668678,645444,572233,606466,656896,605113,682998,666150,656976,54.23,0.046,0.066,0.0,1.0,0.0,0.0,3.0,50,5,4-Seam Fastball,0,5,0,5,5,0,0,5,Strategic,Standard,197.0,-0.014,-0.272,kyle schwarber,
FC,2023-05-24,91.3,-2.75,6.21,"Schwarber, Kyle",656941,668678,walk,ball,,,,,12,Kyle Schwarber walks.   Nick Castellanos to 2nd.,R,L,R,PHI,AZ,B,,,3,1,2023,0.6,0.52,1.58,2.65,,,592206.0,2,4,Bot,,,,,645444,,,9.566680798249266,-132.68673566779012,-4.210266722400386,5.172569860239012,26.927190300457006,-25.27945347080782,3.33,1.62,,,,91.3,2300.0,6.2,718043,668678,645444,572233,606466,656896,605113,682998,666150,656976,54.27,,,0.7,1.0,0.0,0.0,,32,5,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,176.0,0.013,0.125,kyle schwarber,
FF,2023-05-24,94.8,-2.69,6.24,"Schwarber, Kyle",656941,668678,field_out,hit_into_play,,,,,1,Kyle Schwarber flies out to center fielder Dominic Fletcher.,R,L,R,PHI,AZ,X,8.0,fly_ball,2,2,2023,-0.14,1.38,-0.6,2.95,,,,1,2,Bot,116.52,48.38,,,645444,,,5.784741177112517,-137.96573221858222,-6.05455512632696,-3.0791028014726227,29.197321741819717,-13.316978755834391,3.19,1.53,373.0,98.5,24.0,95.0,2318.0,6.3,718043,668678,645444,572233,606466,656896,605113,682998,666150,656976,54.23,0.466,0.722,0.0,1.0,0.0,0.0,5.0,13,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,202.0,-0.018,-0.153,kyle schwarber,
FF,2023-05-24,93.1,-1.8,6.22,"Schwarber, Kyle",656941,543518,field_out,hit_into_play,,,,,11,Kyle Schwarber flies out to left fielder Corbin Carroll.,R,L,R,PHI,AZ,X,7.0,fly_ball,3,1,2023,-0.79,1.43,-1.3,2.67,,,,0,8,Bot,72.1,100.12,,,645444,,,2.97114404703428,-135.3315096177233,-6.319338101268618,-10.293492619839853,32.73029118210293,-13.41651343223074,3.19,1.53,280.0,79.9,31.0,91.3,2337.0,5.5,718043,543518,645444,572233,606466,656896,605113,682998,666150,656976,54.97,0.069,0.062,0.0,1.0,0.0,0.0,3.0,68,5,4-Seam Fastball,3,5,3,5,5,3,3,5,Strategic,Standard,207.0,-0.041,-0.4,kyle schwarber,
CU,2023-05-23,78.6,-1.34,5.97,"Schwarber, Kyle",656941,669194,field_out,hit_into_play,,,,,11,Kyle Schwarber lines out to second baseman Ketel Marte.,R,L,R,PHI,AZ,X,4.0,line_drive,3,2,2023,0.43,-0.67,-1.16,2.69,,,,2,4,Bot,147.7,138.47,,,672515,,,-0.4290807597841563,-114.54995428858577,0.8855712063845758,3.8914246307342713,18.979041686114712,-38.44124215291126,3.24,1.56,165.0,75.8,16.0,79.6,2196.0,6.7,718060,669194,672515,572233,606466,656896,672695,666971,666150,682998,53.83,0.769,0.723,0.0,1.0,0.0,0.0,4.0,32,8,Curveball,1,3,1,3,3,1,1,3,Strategic,Standard,49.0,-0.013,-0.131,kyle schwarber,
FF,2023-05-23,94.9,-1.51,5.84,"Schwarber, Kyle",656941,669194,field_out,hit_into_play,,,,,4,Kyle Schwarber lines out sharply to right fielder Corbin Carroll.,R,L,R,PHI,AZ,X,9.0,line_drive,3,2,2023,-0.4,1.47,-0.37,2.52,,,,1,2,Bot,181.77,90.17,,,672515,,,3.8960120972745895,-138.0696067625554,-6.368365723899544,-5.984414387760736,30.05875208294676,-12.148910498622048,3.24,1.56,303.0,111.0,16.0,95.5,2141.0,6.6,718060,669194,672515,572233,606466,656896,672695,666971,666150,682998,53.88,0.677,0.793,0.0,1.0,0.0,0.0,6.0,13,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,210.0,-0.017,-0.211,kyle schwarber,
