pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-21,93.0,-2.32,5.69,"Seabold, Connor",665750,657756,strikeout,called_strike,,,,,4,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,2.0,,1,2,2023,-0.72,1.44,-0.67,2.89,,,,1,4,Bot,,,,,642851,,,5.819205687603336,-135.25605124791431,-4.487970328064469,-10.212526709309746,32.790297052821074,-13.748490375881527,3.59,1.84,,,,92.3,2246,6.2,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.34,,,0.0,1.0,0.0,0.0,,33,7,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,223,-0.003,-0.122
SL,2023-05-21,86.4,-2.5,5.56,"Seabold, Connor",665750,657756,,foul,,,,,14,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,,,1,2,2023,0.19,0.53,1.05,1.91,,,,1,4,Bot,,,,,642851,,,7.937878682134664,-125.63471472930846,-3.566236926417673,0.5590783580349304,23.382312170135307,-25.99673119781812,3.52,1.74,,,,85.2,2582,5.4,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,55.1,,,,,,,,33,6,Slider,5,0,5,0,0,5,5,0,Standard,Standard,180,0.0,0.0
CU,2023-05-21,78.9,-2.56,5.42,"Seabold, Connor",665750,657756,,ball,,,,,14,Leody Taveras called out on strikes.,R,L,R,TEX,COL,B,,,0,2,2023,0.64,-0.85,1.19,0.29,,,,1,4,Bot,,,,,642851,,,6.855306378434943,-114.74406938728532,-2.750079594679124,4.3428470804825325,21.596357377040363,-39.35162992437705,3.59,1.79,,,,77.7,2841,5.5,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,55.03,,,,,,,,33,5,Curveball,5,0,5,0,0,5,5,0,Standard,Standard,51,0.0,0.014
FF,2023-05-21,94.2,-2.23,5.76,"Seabold, Connor",665750,657756,,foul,,,,,6,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,,,0,2,2023,-0.96,1.39,0.38,2.58,,,,1,4,Bot,,,,,642851,,,8.792224206334296,-136.88003909928963,-5.592604225470041,-13.963755988164037,28.016058918888746,-13.58317814306212,3.52,1.74,224.0,74.3,31.0,93.2,2292,5.6,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.88,,,,,,,,33,4,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,219,0.0,0.0
SL,2023-05-21,83.6,-2.47,5.56,"Seabold, Connor",665750,657756,,foul,,,,,14,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,,,0,2,2023,0.28,0.27,1.21,1.83,,,,1,4,Bot,,,,,642851,,,7.899934799846588,-121.5747547145686,-2.698848245363356,1.2148325332299323,24.24268381391597,-29.14451743098237,3.52,1.74,3.0,36.5,-37.0,83.3,2531,6.1,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.36,,,,,,,,33,3,Slider,5,0,5,0,0,5,5,0,Standard,Standard,119,0.0,0.0
SL,2023-05-21,85.1,-2.42,5.61,"Seabold, Connor",665750,657756,,swinging_strike,,,,,14,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,,,0,1,2023,0.32,0.45,1.35,1.32,,,,1,4,Bot,,,,,642851,,,8.100910800351281,-123.658534688342,-4.585184070068285,1.646406405327096,25.447155879377817,-26.7720950528099,3.52,1.74,,,,84.1,2594,5.8,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.69,,,,,,,,33,2,Slider,5,0,5,0,0,5,5,0,Standard,Standard,187,0.0,-0.037
CU,2023-05-21,77.8,-2.55,5.48,"Seabold, Connor",665750,657756,,called_strike,,,,,13,Leody Taveras called out on strikes.,R,L,R,TEX,COL,S,,,0,0,2023,0.44,-0.78,-0.94,2.69,,,,1,4,Bot,,,,,642851,,,2.602760109968875,-113.33800202669892,2.272617466294575,3.3124285153177757,20.74708390440373,-39.50772270614104,3.61,1.82,,,,76.8,2601,5.5,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.99,,,,,,,,33,1,Curveball,5,0,5,0,0,5,5,0,Standard,Standard,64,0.0,-0.028
SL,2023-05-21,85.8,-2.66,5.42,"Seabold, Connor",677649,657756,field_out,hit_into_play,,,,,12,Ezequiel Duran flies out to right fielder Randal Grichuk.,R,R,R,TEX,COL,X,9.0,fly_ball,1,2,2023,0.09,0.59,0.24,3.6,,,,0,4,Bot,191.75,135.96,,,642851,,,6.581667668240385,-124.87261698441084,0.7257284705802572,-0.375975650301265,24.29042999903924,-26.324865779763265,3.26,1.58,227.0,89.4,55.0,84.9,2542,5.6,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.9,0.017,0.016,0.0,1.0,0.0,0.0,3.0,32,5,Slider,5,0,5,0,0,5,5,0,Strategic,Standard,166,-0.004,-0.175
SL,2023-05-21,85.3,-2.42,5.57,"Seabold, Connor",677649,657756,,foul,,,,,6,Ezequiel Duran flies out to right fielder Randal Grichuk.,R,R,R,TEX,COL,S,,,1,2,2023,0.34,0.4,0.46,2.68,,,,0,4,Bot,,,,,642851,,,6.028300800806208,-124.06821384244748,-1.2323948927543922,2.211962033130024,26.654297465195928,-28.05633465515948,3.26,1.58,153.0,70.5,62.0,84.3,2564,5.8,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.69,,,,,,,,32,4,Slider,5,0,5,0,0,5,5,0,Strategic,Standard,160,0.0,0.0
CU,2023-05-21,79.3,-2.52,5.43,"Seabold, Connor",677649,657756,,ball,,,,,14,Ezequiel Duran flies out to right fielder Randal Grichuk.,R,R,R,TEX,COL,B,,,0,2,2023,0.32,-0.73,1.59,1.14,,,,0,4,Bot,,,,,642851,,,8.250840388748248,-115.18578627269586,-1.1272331171835357,1.1158994206954032,23.898512154959,-38.6432509389022,3.32,1.6,,,,77.8,2781,5.6,718076,657756,642851,519058,676701,641857,678662,595777,686668,545341,54.92,,,,,,,,32,3,Curveball,5,0,5,0,0,5,5,0,Strategic,Standard,56,0.0,0.026
