pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FO,2023-05-24,82.7,-1.87,5.87,"Senga, Kodai",670223,673540,strikeout,swinging_strike_blocked,,,,,13,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,2.0,,2,2,2023,-0.72,0.49,-0.13,0.76,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.374831033303179,-120.30523829289255,-6.143827800034622,-7.987702960122981,23.225791023700776,-26.4172174164416,3.53,1.66,,,,83.1,1002.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.97,,,0.0,1.0,0.0,0.0,,43,5,Forkball,3,2,3,2,2,3,3,2,Strategic,Standard,236.0,-0.041,-0.358
FF,2023-05-24,94.7,-2.0,5.79,"Senga, Kodai",670223,673540,,ball,,,,,11,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,B,,,1,2,2023,-0.5,1.23,-0.15,4.51,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.984277657600068,-137.86948809120736,-0.4249677722670718,-7.724523054483102,31.533869964368584,-16.592884941791286,3.46,1.66,,,,95.1,2190.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.93,,,,,,,,43,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,215.0,0.0,0.051
FF,2023-05-24,94.8,-2.06,5.81,"Senga, Kodai",670223,673540,,foul_tip,,,,,11,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,,,1,1,2023,-0.5,1.26,-0.14,3.86,,664023.0,666624.0,2,5,Bot,,,,,682626,,,6.154146761644615,-137.89900945058167,-2.2089922300383176,-7.780756515214603,32.13768821704469,-15.888728110264331,3.53,1.66,,,,94.9,2204.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.04,,,,,,,,43,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,222.0,0.0,-0.139
CU,2023-05-24,73.3,-1.69,5.85,"Senga, Kodai",670223,673540,,ball,,,,,14,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,B,,,0,1,2023,0.42,-0.99,0.91,1.06,,664023.0,666624.0,2,5,Bot,,,,,682626,,,4.527664217832805,-106.69808992724688,-0.7055969024808437,2.4807578658612828,16.761242879115443,-39.9069839797214,3.44,1.66,,,,73.7,2501.0,6.4,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.14,,,,,,,,43,2,Curveball,3,2,3,2,2,3,3,2,Strategic,Standard,27.0,0.0,0.063
FF,2023-05-24,94.1,-1.93,5.92,"Senga, Kodai",670223,673540,,foul,,,,,1,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,,,0,0,2023,-0.67,1.55,-0.42,3.49,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.390945647715011,-136.798939679882,-3.902196328602432,-9.664267876484164,35.85300905396463,-12.258484917817164,3.53,1.66,244.0,73.6,46.0,93.4,2111.0,6.3,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.16,,,,,,,,43,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,224.0,0.0,-0.085
SL,2023-05-24,84.2,-1.96,5.84,"Senga, Kodai",666624,673540,single,hit_into_play,,,,,5,"Christopher Morel singles on a sharp line drive to shortstop Francisco Lindor, deflected by third baseman Brett Baty.   Ian Happ to 2nd.",R,R,R,CHC,NYM,X,5.0,line_drive,1,2,2023,0.45,0.36,0.12,2.26,,,664023.0,2,5,Bot,105.34,161.72,,,682626,,,3.970165601236396,-122.74455679325771,-2.731505138663739,3.8883877308735415,22.252707826846464,-28.2007852886237,3.49,1.57,150.0,106.1,7.0,85.1,2525.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.89,0.646,0.597,0.9,1.0,1.0,0.0,4.0,42,4,Slider,3,2,3,2,2,3,3,2,Standard,Standard,45.0,0.019,0.379
ST,2023-05-24,85.5,-1.89,5.78,"Senga, Kodai",666624,673540,,swinging_strike,,,,,9,"Christopher Morel singles on a sharp line drive to shortstop Francisco Lindor, deflected by third baseman Brett Baty.   Ian Happ to 2nd.",R,R,R,CHC,NYM,S,,,1,1,2023,0.85,-0.14,0.7,1.49,,,664023.0,2,5,Bot,,,,,682626,,,4.405650935558712,-124.37043715467084,-3.492788798884224,7.820116313653192,27.234131320256,-33.079393799870665,3.49,1.57,,,,85.6,2524.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.9,,,,,,,,42,3,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,62.0,0.0,-0.056
FC,2023-05-24,90.5,-1.86,5.83,"Senga, Kodai",666624,673540,,swinging_strike,,,,,8,"Christopher Morel singles on a sharp line drive to shortstop Francisco Lindor, deflected by third baseman Brett Baty.   Ian Happ to 2nd.",R,R,R,CHC,NYM,S,,,1,0,2023,0.1,0.87,-0.11,1.54,,,664023.0,2,5,Bot,,,,,682626,,,4.188326389734132,-131.68346675415927,-6.642826040100946,0.2765946688852648,27.89526664707974,-20.84880528324015,3.49,1.57,,,,90.8,2382.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.01,,,,,,,,42,2,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,206.0,0.0,-0.037
ST,2023-05-24,84.0,-1.98,5.8,"Senga, Kodai",666624,673540,,blocked_ball,,,,,14,"Christopher Morel singles on a sharp line drive to shortstop Francisco Lindor, deflected by third baseman Brett Baty.   Ian Happ to 2nd.",R,R,R,CHC,NYM,B,,,0,0,2023,0.87,-0.88,0.71,-0.64,,,664023.0,2,5,Bot,,,,,682626,,,4.494246027939238,-121.8460843448446,-6.448722039281671,7.158796254240869,33.52728009206877,-39.18241220696402,3.55,1.62,,,,82.6,2508.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.01,,,,,,,,42,1,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,41.0,0.0,0.027
FO,2023-05-24,83.6,-2.02,5.87,"Senga, Kodai",643565,673540,strikeout,swinging_strike_blocked,,,,,13,Mike Tauchman strikes out swinging.,R,L,R,CHC,NYM,S,2.0,,1,2,2023,-0.74,-0.08,-0.22,0.5,,,664023.0,1,5,Bot,,,,,682626,,,5.604313907193851,-121.60940309212612,-5.794652982578483,-8.441905180225618,23.632090727142334,-31.982693303797763,3.48,1.66,,,,83.6,1003.0,6.3,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.24,,,0.0,1.0,0.0,0.0,,41,4,Forkball,3,2,3,2,2,3,3,2,Standard,Standard,245.0,-0.026,-0.219
FF,2023-05-24,93.7,-1.84,5.92,"Senga, Kodai",643565,673540,,called_strike,,,,,6,Mike Tauchman strikes out swinging.,R,L,R,CHC,NYM,S,,,1,1,2023,-0.83,1.56,0.78,2.45,,,664023.0,1,5,Bot,,,,,682626,,,8.605427232353883,-135.94802309830987,-6.603448035944045,-12.345590289508758,33.00137331924181,-11.565092332568629,3.48,1.75,,,,93.4,2205.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.97,,,,,,,,41,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,215.0,0.0,-0.063
FF,2023-05-24,94.3,-1.95,5.91,"Senga, Kodai",643565,673540,,foul,,,,,5,Mike Tauchman strikes out swinging.,R,L,R,CHC,NYM,S,,,1,0,2023,-0.49,1.26,0.04,2.69,,,664023.0,1,5,Bot,,,,,682626,,,6.267520078324368,-137.07928273295457,-5.4718557520443785,-7.523950876489363,30.430653517159445,-15.275422598895368,3.48,1.66,273.0,90.5,24.0,94.5,2134.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.0,,,,,,,,41,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,213.0,0.0,-0.075
FF,2023-05-24,93.3,-1.73,6.17,"Senga, Kodai",643565,673540,,ball,,,,,11,Mike Tauchman strikes out swinging.,R,L,R,CHC,NYM,B,,,0,0,2023,-0.76,1.5,-1.18,2.86,,,664023.0,1,5,Bot,,,,,682626,,,3.1061627456895637,-135.72679194601946,-6.001301224936033,-10.056188533660665,33.098700421653746,-12.57034494923865,3.37,1.66,,,,92.9,2123.0,6.4,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.15,,,,,,,,41,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,211.0,0.0,0.045
FC,2023-05-24,90.0,-1.99,5.9,"Senga, Kodai",673548,673540,field_out,hit_into_play,,,,,2,Seiya Suzuki pops out to catcher Francisco Alvarez in foul territory.,R,R,R,CHC,NYM,X,2.0,popup,3,1,2023,0.01,1.05,-0.26,2.9,,,664023.0,0,5,Bot,119.27,219.26,,,682626,,,4.295105212792201,-130.89849796636167,-3.664300556833788,-0.8543097042796831,30.12485301629845,-19.535251243488176,3.16,1.43,41.0,85.0,83.0,90.2,2437.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.85,0.006,0.008,0.0,1.0,0.0,0.0,3.0,40,5,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,201.0,-0.031,-0.565
FC,2023-05-24,90.2,-1.89,5.76,"Senga, Kodai",673548,673540,,ball,,,,,14,Seiya Suzuki pops out to catcher Francisco Alvarez in foul territory.,R,R,R,CHC,NYM,B,,,2,1,2023,0.1,0.78,0.92,1.05,,,664023.0,0,5,Bot,,,,,682626,,,6.814151387053292,-130.9911914907921,-7.407885719951507,-0.3944053786864339,28.794982405160276,-21.71891392283369,3.13,1.43,,,,90.6,2358.0,6.7,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.76,,,,,,,,40,4,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,195.0,0.0,0.173
SL,2023-05-24,84.2,-1.96,5.82,"Senga, Kodai",673548,673540,,ball,,,,,14,Seiya Suzuki pops out to catcher Francisco Alvarez in foul territory.,R,R,R,CHC,NYM,B,,,1,1,2023,0.26,0.75,0.08,1.02,,,664023.0,0,5,Bot,,,,,682626,,,4.243643159935069,-122.42295328607264,-6.237185828098468,1.683839930374699,25.627613743321085,-23.605746679385582,3.17,1.44,,,,84.4,2604.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.88,,,,,,,,40,3,Slider,3,2,3,2,2,3,3,2,Standard,Standard,72.0,0.0,0.059
FF,2023-05-24,93.5,-2.15,5.9,"Senga, Kodai",673548,673540,,ball,,,,,12,Seiya Suzuki pops out to catcher Francisco Alvarez in foul territory.,R,R,R,CHC,NYM,B,,,0,1,2023,-0.62,1.2,0.05,3.73,,,664023.0,0,5,Bot,,,,,682626,,,7.076978045106361,-135.9736903051663,-2.4861893369529766,-9.239460203353005,30.57316893129983,-16.975660691377442,3.15,1.43,,,,93.9,2128.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.88,,,,,,,,40,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,214.0,0.0,0.025
FO,2023-05-24,82.0,-1.98,5.93,"Senga, Kodai",673548,673540,,called_strike,,,,,7,Seiya Suzuki pops out to catcher Francisco Alvarez in foul territory.,R,R,R,CHC,NYM,S,,,0,0,2023,-0.3,1.01,-0.32,1.54,,,664023.0,0,5,Bot,,,,,682626,,,4.3515908398893695,-119.45032756609214,-5.434908572581604,-3.653972080739892,20.433284119421828,-21.68953919411508,3.2,1.43,,,,82.8,870.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.96,,,,,,,,40,1,Forkball,3,2,3,2,2,3,3,2,Standard,Standard,244.0,0.0,-0.051
FF,2023-05-24,93.5,-1.86,5.9,"Senga, Kodai",664023,673540,single,hit_into_play,,,,,6,Ian Happ singles on a sharp ground ball to right fielder Starling Marte.,R,L,R,CHC,NYM,X,9.0,ground_ball,0,0,2023,-0.37,1.27,0.36,2.43,,,,0,5,Bot,151.48,88.16,,,682626,,,6.588820284715338,-136.00127797021474,-6.037449646498447,-6.009296994160003,28.32820894121372,-15.282492681509352,3.42,1.59,131.0,103.3,8.0,94.2,2139.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.9,0.697,0.627,0.9,1.0,1.0,0.0,4.0,39,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,211.0,0.033,0.394
FC,2023-05-24,88.2,-1.65,5.85,"Senga, Kodai",621020,673540,field_out,hit_into_play,,,,,8,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,CHC,NYM,X,6.0,ground_ball,0,2,2023,-0.23,0.52,0.07,1.56,670223.0,571466.0,,2,4,Bot,108.36,162.33,,,682626,,,4.68912385595601,-128.3201933535534,-5.462721024011513,-3.513926088441607,26.7699398307978,-25.53344437933737,3.46,1.61,13.0,71.9,-6.0,88.9,2430.0,6.8,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.74,0.083,0.075,0.0,1.0,0.0,0.0,2.0,35,3,Cutter,3,2,3,2,2,3,3,2,Strategic,Standard,155.0,-0.054,-0.287
FC,2023-05-24,87.0,-1.88,5.88,"Senga, Kodai",621020,673540,,called_strike,,,,,9,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,CHC,NYM,S,,,0,1,2023,0.09,0.27,0.36,1.63,670223.0,571466.0,,2,4,Bot,,,,,682626,,,5.213694380666266,-126.56911273211178,-4.565262755972194,-0.1204031797677442,26.91632775617972,-28.57120608200397,3.49,1.64,,,,87.5,2370.0,6.7,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.82,,,,,,,,35,2,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,115.0,0.0,-0.19
ST,2023-05-24,83.4,-1.73,5.96,"Senga, Kodai",621020,673540,,swinging_strike,,,,,9,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,CHC,NYM,S,,,0,0,2023,1.18,-0.63,0.4,2.14,670223.0,571466.0,,2,4,Bot,,,,,682626,,,2.5835160478949484,-121.26567286106226,-0.94024822676965,10.847178655500825,28.769809060271932,-38.322926138694015,3.46,1.61,,,,82.8,2608.0,6.4,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.06,,,,,,,,35,1,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,45.0,0.0,-0.065
FF,2023-05-24,94.9,-1.85,5.82,"Senga, Kodai",670156,673540,field_out,hit_into_play,,,,,2,Miles Mastrobuoni pops out to shortstop Francisco Lindor.,R,L,R,CHC,NYM,X,6.0,popup,0,0,2023,-0.17,1.37,-0.07,2.98,670223.0,571466.0,,1,4,Bot,117.24,123.03,,,682626,,,5.08690607919162,-138.07990818043726,-4.88947773419266,-3.331198087709838,29.472323565544837,-13.741894367820867,2.91,1.4,194.0,97.2,51.0,95.8,2059.0,6.7,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.8,0.009,0.013,0.0,1.0,0.0,0.0,3.0,34,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,221.0,-0.073,-0.32
FF,2023-05-24,95.9,-1.91,5.86,"Senga, Kodai",663538,673540,strikeout,swinging_strike,,,,,7,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,2.0,,1,2,2023,-0.47,1.5,-0.48,1.83,670223.0,571466.0,,0,4,Bot,,,,,682626,,,4.877670935887824,-139.39422989729442,-8.470238657255184,-7.307788167201014,32.21409194370494,-10.863303729629072,3.08,1.48,,,,96.3,2178.0,6.7,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.85,,,0.0,1.0,0.0,0.0,,33,7,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,214.0,-0.046,-0.412
FF,2023-05-24,94.8,-1.97,5.8,"Senga, Kodai",663538,673540,,foul,,,,,9,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,,,1,2,2023,-0.32,1.37,0.5,1.44,670223.0,571466.0,,0,4,Bot,,,,,682626,,,7.196242100796587,-137.6683551193897,-8.811931053837172,-5.638525165561299,31.086560337100828,-12.9132789684124,3.08,1.48,194.0,69.5,30.0,95.1,2124.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.86,,,,,,,,33,6,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,217.0,0.0,0.0
ST,2023-05-24,84.7,-1.65,5.92,"Senga, Kodai",663538,673540,,foul,,,,,6,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,,,1,2,2023,0.87,-0.11,0.3,2.19,670223.0,571466.0,,0,4,Bot,,,,,682626,,,2.8366767288339134,-123.45386471623608,-2.2213842312190755,8.393348176016811,22.980470328985515,-33.095753475862324,3.08,1.48,171.0,62.2,52.0,85.6,2462.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.85,,,,,,,,33,5,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,34.0,0.0,0.0
FO,2023-05-24,81.7,-1.86,5.99,"Senga, Kodai",663538,673540,,foul,,,,,5,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,,,1,2,2023,-0.55,0.61,-0.14,2.24,670223.0,571466.0,,0,4,Bot,,,,,682626,,,4.963608925661737,-118.8214558609372,-3.0201384477184043,-6.172104896348218,23.33275581370778,-26.03658605266445,3.08,1.48,3.0,56.0,-39.0,81.9,1050.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.97,,,,,,,,33,4,Forkball,3,2,3,2,2,3,3,2,Standard,Standard,238.0,0.0,0.0
FO,2023-05-24,83.8,-1.82,6.0,"Senga, Kodai",663538,673540,,ball,,,,,13,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,B,,,0,2,2023,-0.53,-0.15,-1.47,1.75,670223.0,571466.0,,0,4,Bot,,,,,682626,,,1.8838379753356809,-122.19918529310272,-3.240154630878467,-5.712043941762627,20.769243268793435,-33.32593811730241,3.08,1.49,,,,84.9,897.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.93,,,,,,,,33,3,Forkball,3,2,3,2,2,3,3,2,Standard,Standard,243.0,0.0,0.012
FF,2023-05-24,95.3,-2.08,5.77,"Senga, Kodai",663538,673540,,foul,,,,,8,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,,,0,1,2023,-0.74,1.26,-0.17,1.46,,670223.0,571466.0,0,4,Bot,,,,,682626,,,6.718191340983231,-138.4400341463912,-8.531586528093268,-11.03983101296319,31.530208762205003,-14.232323583307554,3.08,1.48,,,,95.5,2278.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.93,,,,,,,,33,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,214.0,0.0,-0.138
FC,2023-05-24,90.5,-2.03,5.83,"Senga, Kodai",663538,673540,,swinging_strike,,,,,14,Nico Hoerner strikes out swinging.,R,R,R,CHC,NYM,S,,,0,0,2023,0.24,1.16,0.65,1.32,,670223.0,571466.0,0,4,Bot,,,,,682626,,,6.18528839059556,-131.67558223734747,-7.938223604207978,1.7307400200328729,24.153501132526205,-17.179899862083243,3.08,1.48,,,,91.5,2413.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.9,,,,,,,,33,1,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,203.0,0.0,-0.111
