pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-04,82.1,2.2,5.99,"Serven, Brian",661531,489119,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,L,COL,MIL,S,2.0,,1,2,2023,0.73,0.46,1.01,1.04,,,,2,5,Bot,,,,,605170,,,-4.104588327421825,-119.62821562910588,-5.710915853111801,7.76980621841906,17.68164066450571,-27.0079018007936,3.45,1.64,,,,82.9,1744.0,6.2,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.28,,,0.0,1.0,0.0,0.0,,38,4,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,128.0,-0.01,-0.071,brian serven,
FF,2023-05-04,88.3,1.65,6.4,"Serven, Brian",661531,489119,field_out,hit_into_play,,,,,4,Brian Serven pops out to second baseman Brice Turang in foul territory.,R,R,L,COL,MIL,X,4.0,popup,1,0,2023,0.27,1.13,-0.44,2.71,,,,1,3,Bot,179.82,160.54,,,605170,,,-5.6680607222615045,-128.6170113337733,-5.408286714353563,3.982447915005269,20.82205231010058,-18.676336113231237,3.45,1.64,166.0,71.1,65.0,89.2,2148.0,6.3,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.17,0.001,0.0,0.0,1.0,0.0,0.0,3.0,22,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,160.0,-0.018,-0.2,brian serven,
SL,2023-04-26,81.7,-1.81,6.39,"Serven, Brian",661531,676440,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,2.0,,1,2,2023,1.51,-0.66,1.58,1.5,,678662.0,,1,5,Top,,,,,595956,,,4.742303348294085,-118.90318001541031,-3.174350131993545,13.446248791973506,22.960420523887795,-37.983767186761504,3.45,1.62,,,,82.1,2936.0,6.6,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,53.92,,,0.0,1.0,0.0,0.0,,36,4,Slider,3,0,0,3,0,3,0,3,Standard,Standard,68.0,0.034,-0.229,brian serven,
SL,2023-04-26,83.6,-1.78,6.26,"Serven, Brian",661531,676440,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,2.0,,2,2,2023,1.03,-0.37,0.63,1.31,,,,1,3,Top,,,,,595956,,,3.513121615321697,-121.71279745751158,-4.28287179510968,9.572008194869223,23.897484232850022,-35.18388152428741,3.45,1.62,,,,83.9,2722.0,6.4,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,54.07,,,0.0,1.0,0.0,0.0,,18,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,41.0,0.017,-0.153,brian serven,
FF,2023-04-26,93.0,0.01,5.76,"Serven, Brian",661531,669212,strikeout,swinging_strike,,,,,2,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,2.0,,2,2,2023,-0.41,1.59,0.14,3.13,,,,2,7,Top,,,,,595956,,,1.2526640829147866,-135.23980203005274,-4.37683056758664,-5.343442301875648,34.58349090028134,-12.07632814291224,3.45,1.62,,,,92.8,2348.0,6.6,718421,669212,595956,605137,665926,608070,642708,680757,664702,686823,53.89,,,0.0,1.0,0.0,0.0,,53,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,207.0,0.013,-0.09,brian serven,
FF,2023-04-23,94.6,-1.89,5.63,"Serven, Brian",661531,554430,strikeout,called_strike,,,,,6,Brian Serven called out on strikes.,R,R,R,PHI,COL,S,2.0,,1,2,2023,-1.01,1.35,0.53,2.29,602074.0,,678662.0,2,4,Top,,,,,592663,,,8.67398005737992,-137.48009802448368,-6.116146675513223,-14.715338083748902,29.71328150114751,-13.82219996910247,3.33,1.66,,,,95.9,2404.0,7.0,718458,554430,592663,665019,681082,624641,607208,656941,669016,592206,53.45,,,0.0,1.0,0.0,0.0,,30,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,222.0,0.05,-0.381,brian serven,
SI,2023-04-23,95.1,-1.85,5.65,"Serven, Brian",661531,554430,field_out,hit_into_play,,,,,14,"Brian Serven grounds out, third baseman Edmundo Sosa to first baseman Kody Clemens.",R,R,R,PHI,COL,X,5.0,ground_ball,0,0,2023,-1.39,0.81,0.2,1.44,,,,1,3,Top,106.18,162.11,,,592663,,,8.591573315258614,-138.13351372473423,-7.327810313537328,-19.63839211506205,27.56159774940958,-20.372803212520807,3.45,1.62,1.0,95.7,-47.0,96.6,2303.0,7.0,718458,554430,592663,665019,681082,624641,607208,656941,669016,592206,53.48,0.131,0.126,0.0,1.0,0.0,0.0,2.0,17,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,216.0,0.018,-0.172,brian serven,
SI,2023-04-23,96.3,2.28,5.69,"Serven, Brian",661531,642397,field_out,hit_into_play,,,,,5,Brian Serven flies out to left fielder Kyle Schwarber.,R,R,L,PHI,COL,X,7.0,fly_ball,1,0,2023,1.12,0.68,-0.12,2.71,,,,1,7,Top,55.45,74.7,,,592663,,,-8.982709102532567,-139.88798282320505,-3.903666031262956,16.775620970043825,31.48848714275432,-22.49636500444879,3.45,1.62,352.0,94.2,32.0,96.9,2414.0,6.7,718458,642397,592663,665019,681082,624641,607208,656941,669016,592206,53.77,0.157,0.265,0.0,1.0,0.0,0.0,3.0,51,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,131.0,0.031,-0.2,brian serven,
SI,2023-04-23,94.9,-2.47,6.07,"Serven, Brian",661531,656814,field_out,hit_into_play,,,,,4,Brian Serven flies out to left fielder Cristian Pache.,R,R,R,PHI,COL,X,7.0,fly_ball,0,1,2023,-1.45,0.65,-0.58,2.52,,605612.0,678662.0,0,9,Top,101.78,108.22,,,592663,,,8.131983488029062,-137.93037369189517,-5.0617614666426975,-20.26556290448316,29.901364277726447,-22.908316781111143,3.45,1.62,236.0,81.5,50.0,94.4,2108.0,6.0,718458,656814,592663,665019,681082,624641,607208,665506,669016,592206,54.52,0.04,0.047,0.0,1.0,0.0,0.0,3.0,71,2,Sinker,9,3,3,9,3,9,3,9,Standard,Standard,232.0,0.008,-0.317,brian serven,
SL,2023-04-19,90.0,-2.67,5.49,"Serven, Brian",661531,670912,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,R,COL,PIT,S,2.0,,1,2,2023,0.37,0.23,0.34,0.91,,,,0,5,Bot,,,,,641511,,,6.785427271928604,-130.85329515864763,-5.9803424805489,2.8885963490364914,25.69866770061729,-28.50500811759924,3.44,1.63,,,,91.3,2493.0,7.0,718509,670912,641511,467793,664029,663647,666801,669261,678225,656582,53.55,,,0.0,1.0,0.0,0.0,,47,4,Slider,1,9,1,9,9,1,1,9,Standard,Standard,142.0,-0.003,-0.175,brian serven,
