pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-21,97.4,-1.67,6.09,"Severino, Luis",571912,622663,single,hit_into_play,,,,,14,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,X,9.0,line_drive,2,2,2023,-0.85,1.31,1.04,2.14,,,,2,5,Bot,173.74,126.74,,,543309,,,9.251613655158833,-141.4562204660282,-8.1596232782621,-13.405715018702942,29.0746283098622,-12.83284708086393,3.15,1.46,345.0,82.8,17.0,98.1,2256,6.5,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,53.96,0.954,0.89,0.9,1.0,1.0,0.0,4.0,35,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,220,0.02,0.149
CH,2023-05-21,86.9,-1.8,5.86,"Severino, Luis",571912,622663,,ball,,,,,14,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,B,,,1,2,2023,-1.32,0.75,1.13,1.23,,,,2,5,Bot,,,,,543309,,,9.826216863467732,-126.13898829240652,-6.5768033573126985,-15.99268055595008,21.67360250276985,-23.03550484551496,3.02,1.46,,,,88.2,1682,6.9,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,53.6,,,,,,,,35,6,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,247,0.0,0.018
FF,2023-05-21,97.3,-1.9,6.07,"Severino, Luis",571912,622663,,foul,,,,,2,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,S,,,1,2,2023,-0.83,1.15,0.06,3.09,,,,2,5,Bot,,,,,543309,,,7.140039948337212,-141.5606106028617,-5.124416833638276,-12.703407171601288,30.118957233097557,-15.648893385705414,3.15,1.46,216.0,72.8,44.0,97.4,2191,6.2,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.28,,,,,,,,35,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,218,0.0,0.0
FF,2023-05-21,98.1,-1.91,6.1,"Severino, Luis",571912,622663,,foul,,,,,7,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,S,,,1,2,2023,-0.73,1.4,-0.36,1.91,,,,2,5,Bot,,,,,543309,,,5.868397248954749,-142.61139190609086,-9.09206451559444,-11.33135869093805,30.18430713798087,-11.190219011404407,3.15,1.46,,,,98.2,2245,6.2,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.25,,,,,,,,35,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213,0.0,0.0
FF,2023-05-21,97.1,-1.77,6.11,"Severino, Luis",571912,622663,,called_strike,,,,,8,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,S,,,1,1,2023,-1.13,1.13,0.1,1.53,,,,2,5,Bot,,,,,543309,,,7.567132609257244,-141.0355491641933,-9.311805875103769,-16.711235205909755,29.432803072884067,-15.224359622677284,2.97,1.46,,,,97.2,2068,6.3,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.23,,,,,,,,35,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,208,0.0,-0.026
CH,2023-05-21,85.9,-1.86,6.02,"Severino, Luis",571912,622663,,ball,,,,,14,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,B,,,0,1,2023,-1.32,1.03,0.62,0.47,,,,2,5,Bot,,,,,543309,,,8.546447413783058,-124.63085784595776,-8.986575341416353,-15.469413206194034,23.312192716873515,-19.811519228058337,3.02,1.46,,,,86.2,1712,6.5,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.01,,,,,,,,35,2,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,246,0.0,0.015
CH,2023-05-21,85.7,-1.88,5.99,"Severino, Luis",571912,622663,,swinging_strike,,,,,4,Luke Maile singles on a line drive to right fielder Jake Bauers.,R,R,R,CIN,NYY,S,,,0,0,2023,-1.21,1.1,-0.3,2.53,,,,2,5,Bot,,,,,543309,,,6.211808309075964,-124.6470972041113,-4.157518277125141,-13.890221530509496,24.073896779166457,-20.037163667375157,3.15,1.46,,,,86.1,1656,6.5,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.05,,,,,,,,35,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,241,0.0,-0.021
FF,2023-05-21,98.6,-1.89,6.06,"Severino, Luis",621028,622663,strikeout,swinging_strike,,,,,6,Kevin Newman strikes out swinging.,R,R,R,CIN,NYY,S,2.0,,1,2,2023,-0.71,1.38,0.42,2.39,,,,1,5,Bot,,,,,543309,,,7.9074434224863746,-143.29761431545165,-7.785239823236306,-11.51886378399695,29.994369295941333,-11.49376034289381,3.2,1.54,,,,98.9,2213,6.3,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.21,,,0.0,1.0,0.0,0.0,,34,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,215,-0.024,-0.122
FF,2023-05-21,97.9,-1.79,6.11,"Severino, Luis",621028,622663,,foul,,,,,12,Kevin Newman strikes out swinging.,R,R,R,CIN,NYY,S,,,1,2,2023,-0.86,1.31,0.34,3.43,,,,1,5,Bot,,,,,543309,,,7.719009964868872,-142.3429230726194,-4.776451310254401,-13.391148321196605,31.73647895853168,-13.382534595649227,3.2,1.54,201.0,77.3,29.0,97.8,2254,6.2,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.29,,,,,,,,34,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,214,0.0,0.0
FF,2023-05-21,97.7,-1.91,6.06,"Severino, Luis",621028,622663,,foul,,,,,12,Kevin Newman strikes out swinging.,R,R,R,CIN,NYY,S,,,1,2,2023,-0.74,1.33,0.19,3.57,,,,1,5,Bot,,,,,543309,,,7.3602216249825085,-142.0519668315626,-4.25971085501111,-11.769089845961512,33.80243315336251,-13.421269461609892,3.2,1.54,265.0,79.7,34.0,97.5,2336,6.3,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.18,,,,,,,,34,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,211,0.0,0.0
