pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-17,89.2,2.85,4.6,"Sherriff, Ryan",677594,595411,field_out,hit_into_play,,,,,3,"Julio Rodriguez grounds out, first baseman Triston Casas to pitcher Ryan Sherriff.",R,R,L,BOS,SEA,X,3.0,ground_ball,0,0,2023,1.36,-0.02,0.43,2.75,666211.0,664059.0,,2,8,Top,146.06,175.03,,,657136,,,-8.77204956862357,-129.7392397226458,1.483674533174951,17.163313303277388,24.73145798090333,-32.93207190798142,3.22,1.45,19.0,111.0,-8.0,89.2,2104,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.38,0.409,0.383,0.0,1.0,0.0,0.0,2.0,79,1,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,110,0.001,-0.542
SL,2023-05-17,78.8,2.86,4.76,"Sherriff, Ryan",664034,595411,field_out,hit_into_play,,,,,2,Ty France lines out to shortstop Enrique Hernandez.,R,R,L,BOS,SEA,X,6.0,line_drive,1,2,2023,-1.47,0.02,-0.21,3.12,666211.0,664059.0,,1,8,Top,100.81,141.58,,,657136,,,-3.942237519780274,-114.63335550040276,3.2822449641897777,-12.039514815478986,23.21496791135793,-32.88432998368461,3.21,1.47,161.0,88.9,13.0,78.2,2517,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.42,0.923,0.904,0.0,1.0,0.0,0.0,4.0,78,4,Slider,12,3,3,12,3,12,3,12,Standard,Standard,292,0.001,-0.071
SI,2023-05-17,88.5,2.73,4.68,"Sherriff, Ryan",664034,595411,,foul,,,,,5,Ty France lines out to shortstop Enrique Hernandez.,R,R,L,BOS,SEA,S,,,1,1,2023,1.64,0.19,-0.04,2.22,666211.0,664059.0,,1,8,Top,,,,,657136,,,-10.145485098407908,-128.42062583334652,-0.2034494824854545,20.33808785191232,29.91645111201367,-30.30243299873159,3.21,1.47,177.0,67.8,40.0,87.6,2115,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.31,,,,,,,,78,3,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,107,0.0,-0.204
SL,2023-05-17,78.3,3.08,4.7,"Sherriff, Ryan",664034,595411,,ball,,,,,12,Ty France lines out to shortstop Enrique Hernandez.,R,R,L,BOS,SEA,B,,,0,1,2023,-1.41,-0.05,0.98,3.74,666211.0,664059.0,,1,8,Top,,,,,657136,,,-1.9237794262358443,-113.96789475280244,4.846274678207027,-11.955408795194812,20.539272234764887,-33.717014550835216,2.93,1.22,,,,78.1,2616,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.42,,,,,,,,78,2,Slider,12,3,3,12,3,12,3,12,Standard,Standard,301,0.0,0.045
SI,2023-05-17,88.7,2.75,4.69,"Sherriff, Ryan",664034,595411,,foul,,,,,4,Ty France lines out to shortstop Enrique Hernandez.,R,R,L,BOS,SEA,S,,,0,0,2023,1.72,0.33,-0.36,2.02,666211.0,664059.0,,1,8,Top,,,,,657136,,,-11.131140673431537,-128.61156115800588,-1.0596227948135324,21.50867411450686,29.57671956591696,-28.53657765802537,3.21,1.47,174.0,86.2,65.0,87.7,2123,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.38,,,,,,,,78,1,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,112,0.0,-0.09
SI,2023-05-17,88.8,2.93,4.64,"Sherriff, Ryan",664059,595411,double,hit_into_play,,,,,14,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,X,8.0,line_drive,1,1,2023,1.44,-0.05,1.0,2.25,,,666211.0,1,8,Top,164.35,71.6,,,657136,,,-7.715517316899236,-128.95033780947762,0.4619894031419331,17.76556154356526,32.06137034497852,-33.154753331812,3.08,1.45,283.0,98.4,13.0,87.7,2210,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.35,0.934,0.866,1.25,1.0,1.0,1.0,4.0,77,3,Sinker,12,3,3,12,3,12,3,12,Strategic,Standard,113,-0.001,0.95
SI,2023-05-17,88.7,2.66,4.68,"Sherriff, Ryan",664059,595411,,swinging_strike,,,,,7,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,S,,,1,0,2023,1.71,0.11,-0.52,1.79,,,666211.0,1,8,Top,,,,,657136,,,-11.232439265772292,-128.58018564141832,-1.0623039120853437,21.44647131375502,31.725185944325656,-30.96066630507112,3.08,1.45,,,,87.2,2135,6.0,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.5,,,,,,,,77,2,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,108,0.0,-0.075
SI,2023-05-17,88.8,2.84,4.67,"Sherriff, Ryan",664059,595411,,ball,,,,,13,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,B,,,0,0,2023,1.56,-0.17,-0.87,1.84,,,666211.0,1,8,Top,,,,,657136,,,-12.285769130032778,-128.67120943533902,-0.3633992274059421,20.074686878626395,31.093971314842157,-34.25861999653251,2.8,1.2,,,,87.7,2161,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.28,,,,,,,,77,1,Sinker,12,3,3,12,3,12,3,12,Strategic,Standard,114,0.0,0.045
SI,2023-05-17,88.0,2.69,4.67,"Sherriff, Ryan",676609,595411,field_out,hit_into_play,,,,,8,Jose Caballero pops out to second baseman Enmanuel Valdez.,R,R,L,BOS,SEA,X,4.0,popup,2,2,2023,1.48,0.04,0.24,1.89,,,666211.0,0,8,Top,136.71,121.91,,,657136,,,-8.940139010476784,-127.84256625358526,-0.6310874400070587,18.13342776131571,29.319789799525346,-31.88734546632832,3.09,1.41,196.0,68.6,42.0,87.1,2162,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.43,0.457,0.449,0.0,1.0,0.0,0.0,3.0,76,5,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,106,0.0,-0.308
SI,2023-05-17,89.1,2.73,4.62,"Sherriff, Ryan",676609,595411,,ball,,,,,13,Jose Caballero pops out to second baseman Enmanuel Valdez.,R,R,L,BOS,SEA,B,,,1,2,2023,1.63,-0.17,-0.95,1.8,,,666211.0,0,8,Top,,,,,657136,,,-12.386358818575866,-129.05676758231,-0.4006180140253866,20.997923903399872,30.52707569890822,-34.196865740521964,2.75,1.22,,,,88.0,2071,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.35,,,,,,,,76,4,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,108,0.0,0.048
SI,2023-05-17,88.6,2.98,4.61,"Sherriff, Ryan",676609,595411,,foul,,,,,9,Jose Caballero pops out to second baseman Enmanuel Valdez.,R,R,L,BOS,SEA,S,,,0,1,2023,1.58,-0.01,0.6,1.85,,,666211.0,0,8,Top,,,,,657136,,,-9.07052000581411,-128.5365806136048,-0.5000191400696722,19.450806072824328,31.20887462967828,-32.45206202020132,3.09,1.41,129.0,62.3,66.0,87.6,2114,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.26,,,,,,,,76,2,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,112,0.0,-0.055
SI,2023-05-17,87.8,2.8,4.68,"Sherriff, Ryan",676609,595411,,called_strike,,,,,6,Jose Caballero pops out to second baseman Enmanuel Valdez.,R,R,L,BOS,SEA,S,,,0,0,2023,1.54,-0.09,0.45,1.8,,,666211.0,0,8,Top,,,,,657136,,,-8.830373156653085,-127.40661697459991,-0.5282295773786528,18.63913629250516,29.763296726427065,-33.278447037484305,2.78,1.19,,,,86.8,2053,6.1,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.37,,,,,,,,76,1,Sinker,12,3,3,12,3,12,3,12,Strategic,Standard,109,0.0,-0.051
