pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-21,80.9,0.97,5.57,"Shuster, Jared",677594,694363,strikeout,swinging_strike,,,,,14,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,S,2.0,,3,2,2023,0.75,0.96,0.2,1.05,676609.0,,,2,6,Top,,,,,518595,,,-3.1725384288991214,-117.80381977224904,-5.410473492926847,7.544531492269063,19.330158596251817,-22.47016579913693,3.19,1.45,,,,82.3,1429.0,6.9,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.64,,,0.0,1.0,0.0,0.0,,42,6,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,130.0,0.06,-0.392
CH,2023-05-21,81.1,0.89,5.66,"Shuster, Jared",677594,694363,,ball,,,,,14,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,B,,,2,2,2023,0.73,0.99,1.25,1.97,676609.0,,,2,6,Top,,,,,518595,,,-0.6024056824547457,-118.28335160085688,-3.6913944721808414,7.030148553202593,18.26213099473337,-22.370477493254903,3.26,1.45,,,,82.6,1387.0,6.7,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.78,,,,,,,,42,5,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,136.0,0.0,0.063
SL,2023-05-21,84.3,0.84,5.57,"Shuster, Jared",677594,694363,,blocked_ball,,,,,13,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,B,,,1,2,2023,-0.28,0.23,-0.76,0.4,676609.0,,,2,6,Top,,,,,518595,,,-3.197032553279499,-122.81879462068052,-6.249001856144221,-2.353644134661893,20.855888081269,-28.98706836652056,3.26,1.45,,,,85.8,2130.0,6.9,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.62,,,,,,,,42,4,Slider,2,1,1,2,1,2,1,2,Standard,Standard,160.0,0.0,0.042
CH,2023-05-21,81.9,0.87,5.67,"Shuster, Jared",677594,694363,,foul,,,,,6,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,S,,,1,1,2023,0.83,0.84,0.45,2.37,676609.0,,,2,6,Top,,,,,518595,,,-2.578668122196183,-119.35409276225658,-2.5847169638976166,8.404752203701413,22.09260886916112,-23.847856512646707,3.19,1.45,132.0,77.8,73.0,82.8,1478.0,6.7,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.79,,,,,,,,42,3,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,130.0,0.0,-0.057
CH,2023-05-21,83.3,0.86,5.65,"Shuster, Jared",677594,694363,,foul,,,,,6,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,S,,,1,0,2023,0.89,0.85,0.76,2.24,676609.0,,,2,6,Top,,,,,518595,,,-1.9757488778479328,-121.3201156747618,-3.081149316745257,9.179329890775074,23.856190918945828,-23.403951454991333,3.19,1.45,,,,83.8,1527.0,6.6,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.9,,,,,,,,42,2,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,134.0,0.0,-0.043
FF,2023-05-21,91.9,0.97,5.62,"Shuster, Jared",677594,694363,,ball,,,,,12,Julio Rodriguez strikes out swinging.,R,R,L,ATL,SEA,B,,,0,0,2023,0.78,1.15,0.36,4.66,676609.0,,,2,6,Top,,,,,518595,,,-3.2358982652411257,-133.9556590923638,0.8677292654480547,10.051825710849752,26.80459038224972,-18.58334482597347,3.26,1.43,,,,92.7,2174.0,6.5,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,54.02,,,,,,,,42,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,139.0,0.0,0.026
FF,2023-05-21,92.0,0.92,5.64,"Shuster, Jared",664034,694363,field_out,hit_into_play,,,,,5,Ty France flies out to right fielder Ronald Acuna Jr.  Jose Caballero to 3rd.,R,R,L,ATL,SEA,X,9.0,fly_ball,0,0,2023,0.8,1.04,0.05,2.58,,676609.0,,1,6,Top,197.24,93.02,,,518595,,,-3.937262922786977,-133.923320315501,-4.160425812399282,10.429985035757367,30.45522525803608,-18.956548397157853,3.16,1.4,316.0,92.3,31.0,92.1,2116.0,6.5,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,54.04,0.083,0.136,0.0,1.0,0.0,0.0,3.0,41,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,135.0,0.051,-0.351
FF,2023-05-21,92.1,0.89,5.67,"Shuster, Jared",641487,694363,field_out,hit_into_play,,,,,1,J.P. Crawford lines out to left fielder Eddie Rosario.,R,L,L,ATL,SEA,X,7.0,line_drive,1,2,2023,0.87,1.23,-0.6,3.01,,676609.0,,0,6,Top,89.41,79.59,,,518595,,,-5.709688885587054,-133.9615228771976,-3.612955541453761,11.65675770452086,28.90265880091189,-16.726072535698332,3.35,1.59,315.0,89.8,28.0,92.6,2117.0,6.6,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.89,0.074,0.084,0.0,1.0,0.0,0.0,3.0,40,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,143.0,0.068,-0.249
FF,2023-05-21,91.5,0.6,5.68,"Shuster, Jared",641487,694363,,ball,,,,,11,J.P. Crawford lines out to left fielder Eddie Rosario.,R,L,L,ATL,SEA,B,,,0,2,2023,0.74,1.13,-0.95,3.14,,676609.0,,0,6,Top,,,,,518595,,,-5.567025217018838,-133.1730501723323,-3.031635829317151,10.024727293342217,27.27853454849545,-18.22040380070948,3.31,1.52,,,,92.5,1946.0,6.8,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.73,,,,,,,,40,3,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,135.0,0.0,0.068
FF,2023-05-21,91.1,0.84,5.69,"Shuster, Jared",641487,694363,,called_strike,,,,,7,J.P. Crawford lines out to left fielder Eddie Rosario.,R,L,L,ATL,SEA,S,,,0,1,2023,0.9,1.21,-0.64,1.88,,,676609.0,0,6,Top,,,,,518595,,,-5.690413865817176,-132.48467398451493,-6.32299997273818,11.848514103736155,27.911042714423758,-16.701307575120563,3.33,1.57,,,,91.8,2065.0,6.7,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.79,,,,,,,,40,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,138.0,-0.04,-0.055
