pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-22,84.2,-1.68,5.95,"Silseth, Chase",457759,681217,field_out,hit_into_play,,,,,9,"Justin Turner grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,R,R,LAA,BOS,X,5.0,ground_ball,2,2,2023,0.39,-0.67,0.66,1.77,,,,2,9,Top,109.69,173.15,,,642136,,,4.655272576508478,-122.53151447999612,-1.9709201527621332,2.940441317775974,24.61316845999664,-38.749028005571695,3.24,1.48,89.0,78.8,7.0,83.9,2777.0,6.1,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.39,0.331,0.322,0.0,1.0,0.0,0.0,2.0,62,5,Slider,2,1,1,2,1,2,1,2,Standard,Standard,52.0,0.035,-0.09
SL,2023-05-22,84.8,-1.73,6.05,"Silseth, Chase",457759,681217,,called_strike,,,,,1,"Justin Turner grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,R,R,LAA,BOS,S,,,2,1,2023,0.04,-0.29,-0.56,3.36,,,,2,9,Top,,,,,642136,,,2.6175710930390568,-123.56103045029562,0.6132556970123901,-0.0891681426030217,24.74079530085667,-35.484201614771784,3.43,1.56,,,,84.5,2763.0,6.0,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.49,,,,,,,,62,4,Slider,2,1,1,2,1,2,1,2,Strategic,Standard,76.0,0.0,-0.03
FC,2023-05-22,86.5,-1.79,6.01,"Silseth, Chase",457759,681217,,ball,,,,,12,"Justin Turner grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,R,R,LAA,BOS,B,,,1,1,2023,0.18,0.08,0.29,4.08,,,,2,9,Top,,,,,642136,,,4.570416801472514,-126.0213827381095,1.397655873321605,1.0803575331997488,24.13260181649528,-31.825973565409488,3.41,1.68,,,,86.1,2618.0,5.9,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.64,,,,,,,,62,3,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,100.0,0.0,0.023
SL,2023-05-22,83.5,-1.8,5.99,"Silseth, Chase",457759,681217,,foul,,,,,8,"Justin Turner grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,R,R,LAA,BOS,S,,,1,0,2023,0.08,-0.74,-0.05,1.86,,,,2,9,Top,,,,,642136,,,3.829906195629152,-121.58000402985948,-1.631436233469474,0.0636151462452883,24.01099246775127,-39.37792524465379,3.24,1.48,,,,83.0,2675.0,6.0,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.53,,,,,,,,62,2,Slider,2,1,1,2,1,2,1,2,Standard,Standard,54.0,0.0,-0.027
SL,2023-05-22,81.9,-1.74,6.0,"Silseth, Chase",457759,681217,,ball,,,,,11,"Justin Turner grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,R,R,LAA,BOS,B,,,0,0,2023,0.43,-0.72,-0.7,4.59,,,,2,9,Top,,,,,642136,,,1.5007813074887166,-119.11692081777588,4.74585790252074,3.8441541190422672,23.23679042006732,-40.12346267822497,3.32,1.63,,,,81.5,2771.0,6.1,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.42,,,,,,,,62,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,51.0,0.0,0.021
FF,2023-05-22,93.9,-1.57,6.12,"Silseth, Chase",807799,681217,field_out,hit_into_play,,,,,11,Masataka Yoshida flies out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,X,7.0,fly_ball,3,2,2023,-0.45,1.24,-0.52,3.8,,,,1,9,Top,58.21,135.95,,,642136,,,3.706215314608441,-136.68002057875697,-3.043070460853863,-6.398092893036963,29.55366367710712,-16.15986763839474,3.13,1.34,230.0,91.2,59.0,94.1,2349.0,6.4,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.14,0.006,0.005,0.0,1.0,0.0,0.0,3.0,61,6,4-Seam Fastball,2,1,1,2,1,2,1,2,Strategic,Standard,192.0,0.052,-0.211
FS,2023-05-22,84.0,-1.65,6.13,"Silseth, Chase",807799,681217,,ball,,,,,11,Masataka Yoshida flies out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,B,,,2,2,2023,-0.76,-0.2,-3.03,3.34,,,,1,9,Top,,,,,642136,,,-1.6651548111452263,-122.33809695977612,0.3079435877259329,-7.3492354144154834,23.83026243498159,-34.45404329434971,3.13,1.31,,,,83.9,799.0,6.2,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.32,,,,,,,,61,5,Split-Finger,2,1,1,2,1,2,1,2,Strategic,Standard,252.0,0.0,0.059
FF,2023-05-22,94.4,-1.71,6.09,"Silseth, Chase",807799,681217,,foul,,,,,5,Masataka Yoshida flies out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,S,,,2,1,2023,-0.33,1.35,-0.22,2.22,,,,1,9,Top,,,,,642136,,,4.586954643801273,-137.29784701221467,-7.403531095935206,-5.163026578181305,28.264118101742145,-13.64210679908058,3.13,1.34,321.0,96.3,25.0,94.4,2383.0,6.1,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.37,,,,,,,,61,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Strategic,Standard,205.0,0.0,-0.049
SL,2023-05-22,84.3,-1.73,6.02,"Silseth, Chase",807799,681217,,ball,,,,,11,Masataka Yoshida flies out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,B,,,1,1,2023,0.33,-0.58,-0.88,3.2,,,,1,9,Top,,,,,642136,,,1.313552737129793,-122.83901630212785,0.9194946710388004,3.099658658521106,24.22886917484527,-38.45552773305474,3.13,1.36,,,,83.9,2720.0,5.9,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.56,,,,,,,,61,3,Slider,2,1,1,2,1,2,1,2,Strategic,Standard,37.0,0.0,0.037
SL,2023-05-22,83.8,-1.94,5.96,"Silseth, Chase",807799,681217,,ball,,,,,11,Masataka Yoshida flies out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,B,,,0,1,2023,0.19,-0.68,-1.13,2.65,,,,1,9,Top,,,,,642136,,,1.4917252510547252,-122.09469990592812,0.076170162740321,1.5505846896415525,24.48240812504252,-39.16781443696798,3.16,1.4,,,,83.3,2705.0,5.9,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.55,,,,,,,,61,2,Slider,2,1,1,2,1,2,1,2,Strategic,Standard,46.0,0.0,0.021
