pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,95.4,-2.12,5.75,"Sims, Lucas",676475,608371,field_out,hit_into_play,,,,,1,Alec Burleson flies out to left fielder Jake Fraley.,R,L,R,CIN,STL,X,7.0,fly_ball,1,1,2023,-0.72,1.54,-0.3,2.86,680977.0,,657557.0,2,8,Top,72.03,104.11,,,571912,,,6.2980936861508665,-138.675948845432,-5.359302908699852,-10.675381183360049,31.73625789941553,-11.249187443921423,3.38,1.59,272.0,86.8,42.0,94.1,2677,5.6,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.88,0.001,0.0,0.0,1.0,0.0,0.0,3.0,59,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,208,0.027,-0.51
CU,2023-05-25,80.6,-1.94,5.76,"Sims, Lucas",676475,608371,,ball,,,,,14,Alec Burleson flies out to left fielder Jake Fraley.,R,L,R,CIN,STL,B,,,0,1,2023,1.09,-0.62,2.15,0.34,669357.0,680977.0,657557.0,2,8,Top,,,,,571912,,,6.923834562318217,-117.05096270711576,-4.023737931274322,8.332601850924798,25.79678763152772,-37.113145818102296,3.35,1.58,,,,78.9,3214,5.6,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.9,,,,,,,,59,2,Curveball,0,1,1,0,2,0,2,0,Strategic,Standard,38,-0.1,0.049
FF,2023-05-25,94.9,-2.09,5.76,"Sims, Lucas",676475,608371,,called_strike,,,,,2,Alec Burleson flies out to left fielder Jake Fraley.,R,L,R,CIN,STL,S,,,0,0,2023,-0.21,1.58,-0.2,3.05,669357.0,680977.0,657557.0,2,8,Top,,,,,571912,,,5.36469216986286,-138.1446136401056,-4.940445388565236,-3.949839793329887,30.964308903636503,-11.000812481780402,3.35,1.58,,,,94.0,2638,5.7,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.76,,,,,,,,59,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,207,0.0,-0.126
FF,2023-05-25,94.8,-1.95,5.77,"Sims, Lucas",657557,608371,walk,ball,,,,,14,Paul DeJong walks.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,3,0,2023,-0.38,1.49,0.83,1.01,669357.0,,680977.0,2,8,Top,,,,,571912,,,7.987006202734019,-137.54189797003525,-9.9489634055482,-6.532690820600507,29.996786798150406,-11.245816587607928,3.22,1.48,,,,93.7,2663,5.7,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.75,,,0.7,1.0,0.0,0.0,,58,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,204,-0.018,0.021
SL,2023-05-25,84.4,-2.0,5.76,"Sims, Lucas",657557,608371,,ball,,,,,14,Paul DeJong walks.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,2,0,2023,1.66,0.51,1.75,1.9,,669357.0,680977.0,2,8,Top,,,,,571912,,,5.36054604459696,-122.77233245615804,-3.5299317371066943,15.411828834782623,27.37355165737686,-26.521074865267508,3.25,1.5,,,,82.9,3127,5.6,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.9,,,,,,,,58,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,72,-0.007,0.087
SL,2023-05-25,83.6,-2.06,5.75,"Sims, Lucas",657557,608371,,ball,,,,,12,Paul DeJong walks.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,1,0,2023,1.52,0.57,1.28,2.84,,669357.0,680977.0,2,8,Top,,,,,571912,,,4.645308505721535,-121.66054626089937,-1.310515950284435,13.900059458621383,27.142225259019717,-26.5179398915926,3.3,1.53,,,,82.1,3064,5.6,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.9,,,,,,,,58,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,63,0.0,0.088
FF,2023-05-25,95.1,-1.82,5.82,"Sims, Lucas",657557,608371,,ball,,,,,8,Paul DeJong walks.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,0,0,2023,-0.56,1.71,0.08,1.66,,669357.0,680977.0,2,8,Top,,,,,571912,,,6.151137920196982,-138.04405746513262,-8.90497870529061,-8.565396166980795,33.383223656402585,-8.507920832991894,3.27,1.48,,,,93.6,2650,5.7,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.78,,,,,,,,58,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,201,0.0,0.071
SL,2023-05-25,82.8,-2.15,5.73,"Sims, Lucas",669357,608371,double,hit_into_play,,,,,12,Nolan Gorman doubles (10) on a line drive to right fielder Stuart Fairchild.   Lars Nootbaar scores.,R,L,R,CIN,STL,X,9.0,line_drive,2,0,2023,2.0,0.57,0.91,3.13,,663457.0,,2,8,Top,214.12,101.31,,,571912,,,3.036474050630187,-120.48019573536638,-0.3918574035794782,18.3970432537295,29.31307061662795,-26.943868612413574,3.45,1.63,161.0,95.3,12.0,80.7,3052,5.4,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,55.06,0.914,0.856,1.25,1.0,1.0,1.0,4.0,56,3,Slider,0,0,0,0,1,0,1,0,Standard,Standard,61,-0.266,0.934
CU,2023-05-25,78.8,-1.84,5.77,"Sims, Lucas",669357,608371,,ball,,,,,14,Nolan Gorman doubles (10) on a line drive to right fielder Stuart Fairchild.   Lars Nootbaar scores.,R,L,R,CIN,STL,B,,,1,0,2023,1.03,-1.35,1.27,0.1,,,663457.0,2,8,Top,,,,,571912,,,4.793179548756756,-114.64855594857048,-2.8600161701632887,7.90336115100893,24.924000002582986,-43.54560638597661,3.32,1.5,,,,77.3,3173,5.6,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.86,,,,,,,,56,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,40,-0.028,0.033
FF,2023-05-25,95.6,-1.96,5.83,"Sims, Lucas",669357,608371,,ball,,,,,14,Nolan Gorman doubles (10) on a line drive to right fielder Stuart Fairchild.   Lars Nootbaar scores.,R,L,R,CIN,STL,B,,,0,0,2023,-0.38,1.66,0.83,1.67,,,663457.0,2,8,Top,,,,,571912,,,8.07607954296529,-138.7234752183428,-8.921333394373717,-6.733549651363486,31.81832474184675,-8.869800508222035,3.27,1.56,,,,94.2,2652,5.7,718030,608371,571912,668715,663697,669222,680574,641584,670770,656413,54.8,,,,,,,,56,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,0.027
