pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-10,85.2,-1.87,5.23,"Slater, Austin",596103,680686,field_out,hit_into_play,,,,,7,"Austin Slater grounds out softly, shortstop Ildemaro Vargas to first baseman Dominic Smith.",R,R,R,SF,WSH,X,6.0,ground_ball,0,0,2023,0.05,0.19,-0.41,1.69,624424.0,,,2,6,Bot,116.4,173.81,,,656180,,,3.299874735598744,-124.19277787372016,-2.496000388962642,-0.0379007342714294,20.806639387824585,-29.90249475619408,3.42,1.71,2.0,59.9,-42.0,84.9,1862.0,5.7,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.83,0.16,0.145,0.0,1.0,0.0,0.0,2.0,56,1,Slider,2,10,2,10,10,2,2,10,Standard,Standard,188.0,-0.002,-0.379,austin slater,
SI,2023-05-10,94.6,-1.57,5.27,"Slater, Austin",596103,680686,field_out,hit_into_play,,,,,4,"Austin Slater grounds out softly, shortstop Ildemaro Vargas to first baseman Dominic Smith.",R,R,R,SF,WSH,X,6.0,ground_ball,2,1,2023,-1.19,1.08,-0.75,2.83,,,,1,4,Bot,114.75,175.48,,,656180,,,4.755849939963512,-137.7015185670776,-3.0827995349746926,-16.22397069601857,31.32406040404319,-17.923362968887677,3.42,1.71,35.0,58.9,1.0,93.9,2064.0,5.9,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.58,0.114,0.105,0.0,1.0,0.0,0.0,1.0,38,4,Sinker,1,9,1,9,9,1,1,9,Standard,Standard,223.0,-0.003,-0.202,austin slater,
SL,2023-05-10,86.2,-1.8,5.15,"Slater, Austin",596103,680686,walk,ball,,,,,14,Austin Slater walks.,R,R,R,SF,WSH,B,,,3,2,2023,0.38,0.44,0.68,0.86,,,,2,2,Bot,,,,,656180,,,5.094215771483333,-125.53152186879733,-4.898732996165699,3.1369715432393246,23.22603923624615,-26.73063100839968,3.42,1.62,,,,86.0,1894.0,5.9,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.57,,,0.7,1.0,0.0,0.0,,16,6,Slider,0,4,0,4,4,0,0,4,Standard,Standard,220.0,0.009,0.112,austin slater,
SI,2023-05-09,91.4,2.27,6.27,"Slater, Austin",596103,571578,field_out,hit_into_play,,,,,3,Austin Slater flies out to center fielder Alex Call.,R,R,L,SF,WSH,X,8.0,fly_ball,3,2,2023,1.27,1.02,0.53,3.33,,,,0,5,Bot,131.86,65.76,,,660688,,,-7.185159521329631,-132.8630096756623,-3.742396686590684,16.577984450872663,28.82489334737193,-19.49747923622592,3.45,1.72,331.0,92.3,25.0,92.2,2011.0,6.8,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.66,0.146,0.201,0.0,1.0,0.0,0.0,3.0,40,6,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,148.0,-0.009,-0.315,austin slater,
FF,2023-05-09,92.1,2.21,6.38,"Slater, Austin",596103,571578,single,hit_into_play,,,,,5,Austin Slater singles on a ground ball to shortstop CJ Abrams.   Brett Wisely to 2nd.,R,R,L,SF,WSH,X,6.0,ground_ball,0,1,2023,0.6,1.09,-0.25,2.37,,,689172.0,2,2,Bot,116.63,148.86,,,660688,,,-7.591026586664039,-133.88455596106,-6.796076076039537,8.758038673430937,27.745910213525537,-17.71493816875599,3.45,1.72,11.0,101.8,-11.0,93.1,2010.0,6.8,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.65,0.234,0.224,0.9,1.0,1.0,0.0,2.0,20,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,143.0,0.013,0.349,austin slater,
SI,2023-05-09,91.7,2.1,6.47,"Slater, Austin",596103,571578,field_error,hit_into_play,,,,,6,Austin Slater reaches on a throwing error by shortstop CJ Abrams.,R,R,L,SF,WSH,X,6.0,ground_ball,1,1,2023,1.17,1.03,0.38,2.49,,,,0,1,Bot,107.11,155.98,,,660688,,,-6.932787891334482,-133.30368698459148,-6.516018045603928,15.390091803290645,25.95996368281832,-18.635823532663256,3.45,1.72,17.0,86.7,-7.0,92.8,1852.0,6.8,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.7,0.16,0.158,0.9,1.0,0.0,0.0,2.0,6,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,141.0,0.036,0.431,austin slater,
SL,2023-05-07,84.1,-1.56,5.93,"Slater, Austin",596103,605288,field_out,hit_into_play,,,,,4,Austin Slater pops out to third baseman Brian Anderson in foul territory.,R,R,R,SF,MIL,X,5.0,popup,1,1,2023,0.57,0.43,-0.34,2.52,,,,2,4,Bot,89.93,185.8,,,661388,,,1.7131280556530553,-122.56057892317534,-2.4067733955963573,5.412944955593208,23.30616678754052,-27.605979166798093,3.45,1.72,130.0,90.8,70.0,84.9,2356.0,6.6,718267,605288,661388,642133,668930,605119,642715,592885,686894,621438,53.86,0.006,0.005,0.0,1.0,0.0,0.0,3.0,34,3,Slider,2,3,2,3,3,2,2,3,Standard,Standard,165.0,-0.013,-0.097,austin slater,
SI,2023-05-07,93.4,-1.29,5.83,"Slater, Austin",596103,605288,walk,ball,,,,,14,Austin Slater walks.,R,R,R,SF,MIL,B,,,3,1,2023,-1.39,0.53,0.68,1.47,,666165.0,,2,2,Bot,,,,,661388,,,8.209568833974041,-135.6156527275326,-6.634170310263851,-19.00141915762446,31.548839494130466,-24.269584137446174,3.39,1.69,,,,93.8,2078.0,6.8,718267,605288,661388,642133,668930,605119,642715,592885,686894,621438,53.74,,,0.7,1.0,0.0,0.0,,17,5,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,226.0,0.012,0.049,austin slater,
FF,2023-05-07,94.5,-2.26,5.91,"Slater, Austin",596103,606303,strikeout,swinging_strike,,,,,2,Austin Slater strikes out swinging.,R,R,R,SF,MIL,S,2.0,,0,2,2023,-0.82,1.01,0.15,3.39,527038.0,,666165.0,1,6,Bot,,,,,661388,,,8.042988567166532,-137.5146426997501,-3.174382594111492,-12.091689569685691,28.726508346967226,-18.752266608787654,3.45,1.72,,,,94.2,2331.0,6.0,718267,606303,661388,642133,668930,605119,642715,592885,686894,621438,54.5,,,0.0,1.0,0.0,0.0,,54,3,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,217.0,-0.072,-0.439,austin slater,
CU,2023-05-03,80.0,0.68,6.15,"Slater, Austin",596103,664285,single,hit_into_play,,,,,6,Austin Slater singles on a sharp line drive to right fielder Kyle Tucker.   Joey Bart scores.    Austin Slater to 2nd.,R,R,L,HOU,SF,X,9.0,line_drive,3,2,2023,-0.81,-1.4,0.3,2.27,,663698.0,,1,6,Top,166.32,94.14,,,455117,,,0.7045601130216064,-116.32100507693728,0.9144817041636422,-7.441742019680429,25.66983856101368,-45.14040029472008,3.46,1.72,230.0,104.6,13.0,78.7,2734.0,5.8,718326,664285,455117,547989,643289,608324,665161,670541,676694,663656,54.7,0.854,0.834,0.9,1.0,1.0,0.0,4.0,38,7,Curveball,0,0,0,0,1,0,1,0,Standard,Standard,326.0,-0.158,0.69,austin slater,
