pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-24,92.9,-1.84,5.55,"Solano, Donovan",456781,543101,single,hit_into_play,,,,,7,Donovan Solano singles on a line drive to right fielder Michael Conforto.   Edouard Julien to 3rd.,R,R,R,MIN,SF,X,9.0,line_drive,0,1,2023,-1.57,0.89,-0.35,1.82,,,666397.0,2,4,Bot,166.52,78.76,,,666165,,,7.262555139697409,-135.03881751843218,-5.740951300919299,-20.799584184666063,28.03680679802637,-20.259221790327672,3.1,1.44,251.0,96.3,14.0,93.2,2339.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.05,0.929,0.882,0.9,1.0,1.0,0.0,4.0,42,2,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,221.0,0.007,0.349,donovan solano,
SL,2023-05-24,86.4,-2.05,5.5,"Solano, Donovan",456781,543101,strikeout,swinging_strike,,,,,14,Donovan Solano strikes out swinging.,R,R,R,MIN,SF,S,2.0,,2,2,2023,0.57,0.21,0.86,2.11,,,,0,3,Bot,,,,,666165,,,5.808851361399982,-125.61316129348172,-2.204651034548438,4.649637945256717,28.13653846454437,-29.720738773255597,3.1,1.44,,,,86.4,2050.0,6.6,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.95,,,0.0,1.0,0.0,0.0,,28,6,Slider,3,1,3,1,1,3,3,1,Standard,Standard,122.0,-0.015,-0.205,donovan solano,
SI,2023-05-24,95.2,-3.88,5.17,"Solano, Donovan",456781,676254,strikeout,called_strike,,,,,1,Donovan Solano called out on strikes.,R,R,R,MIN,SF,S,2.0,,3,2,2023,-1.25,0.0,-0.4,3.28,,,,0,7,Bot,,,,,666165,,,11.784939637491233,-138.0019321507696,0.7607510045159745,-18.74506178804076,33.401338855509735,-32.61891457200433,3.21,1.43,,,,93.7,2275.0,5.8,718047,676254,666165,664774,669477,527038,543063,571745,689172,624424,54.68,,,0.0,1.0,0.0,0.0,,65,8,Sinker,7,1,7,1,1,7,7,1,Standard,Standard,241.0,0.0,-0.315,donovan solano,
SI,2023-05-24,92.9,-1.95,5.55,"Solano, Donovan",456781,543101,field_out,hit_into_play,,,,,8,Donovan Solano lines out sharply to second baseman Brett Wisely.,R,R,R,MIN,SF,X,4.0,line_drive,2,2,2023,-1.4,0.76,-0.24,1.37,,,621439.0,0,1,Bot,145.59,150.8,,,666165,,,7.421063577195581,-135.0224442439826,-6.64879320143816,-18.72289541273786,26.59043160676704,-21.591849458509408,3.11,1.44,179.0,101.5,8.0,93.3,2192.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.15,0.703,0.689,0.0,1.0,0.0,0.0,4.0,8,5,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,223.0,-0.028,-0.308,donovan solano,
KC,2023-05-23,84.6,-2.09,5.72,"Solano, Donovan",456781,502171,strikeout,foul_tip,,,,,14,Donovan Solano strikes out on a foul tip.,R,R,R,MIN,SF,S,2.0,,2,2,2023,0.67,-1.29,0.59,1.1,,,608336.0,2,5,Bot,,,,,672275,,,4.864475513793078,-123.06281790652598,-1.7714908178018165,5.671662871944746,27.68219424868456,-44.94901487841939,3.08,1.47,,,,83.6,2783.0,5.9,718054,502171,672275,664774,689172,605204,642731,571745,573262,624424,54.57,,,0.0,1.0,0.0,0.0,,40,6,Knuckle Curve,3,0,3,0,0,3,3,0,Standard,Standard,35.0,-0.009,-0.206,donovan solano,
SI,2023-05-23,94.8,1.78,5.64,"Solano, Donovan",456781,518397,field_out,hit_into_play,,,,,12,"Donovan Solano grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",R,R,L,MIN,SF,X,4.0,ground_ball,1,2,2023,1.29,0.54,0.86,2.57,,,,1,8,Bot,134.68,148.87,,,672275,,,-5.294892821295176,-138.13003697075226,-3.643431322970308,17.660453817324434,27.267966131633603,-24.669328653192977,3.08,1.47,26.0,92.2,-4.0,95.4,2314.0,6.3,718054,518397,672275,664774,642731,605204,669477,571745,669369,624424,54.19,0.254,0.268,0.0,1.0,0.0,0.0,2.0,67,7,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,131.0,-0.046,-0.122,donovan solano,
SI,2023-05-23,96.1,-2.13,5.61,"Solano, Donovan",456781,502171,single,hit_into_play,,,,,6,Donovan Solano singles on a sharp line drive to right fielder Michael Conforto.,R,R,R,MIN,SF,X,9.0,line_drive,1,2,2023,-1.32,0.47,0.28,2.17,,,,1,1,Bot,177.64,105.85,,,672275,,,9.308755049516751,-139.67463315168715,-4.643788182084215,-19.32194181090216,27.037465441159224,-25.21213597715473,3.08,1.47,141.0,103.8,6.0,96.0,2091.0,6.0,718054,502171,672275,664774,689172,605204,642731,571745,573262,624424,54.5,0.549,0.494,0.9,1.0,1.0,0.0,4.0,5,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228.0,0.024,0.322,donovan solano,
FF,2023-05-22,93.7,2.35,5.53,"Solano, Donovan",456781,640455,walk,ball,,,,,12,Donovan Solano walks.,R,R,L,MIN,SF,B,,,3,2,2023,1.36,0.7,0.74,3.48,,,,0,4,Bot,,,,,672275,,,-7.344259946972652,-136.42316954161444,-1.206979188874543,18.520992970054007,26.361908058490187,-23.25589534325336,3.22,1.45,,,,96.3,1949.0,7.5,718067,640455,672275,664774,689172,669477,543063,666165,573262,624424,53.02,,,0.7,1.0,0.0,0.0,,31,6,4-Seam Fastball,0,4,0,4,4,0,0,4,Strategic,Standard,132.0,0.032,0.316,donovan solano,
CH,2023-05-22,88.0,2.55,5.62,"Solano, Donovan",456781,640455,single,hit_into_play,,,,,5,Donovan Solano singles on a line drive to left fielder Blake Sabol.,R,R,L,MIN,SF,X,7.0,line_drive,2,2,2023,1.26,0.17,0.14,1.97,,,,0,2,Bot,61.74,100.05,,,672275,,,-8.622636390414506,-127.9174626461274,-3.115247425334371,15.67816080348521,27.060685841802016,-29.808104264976528,3.06,1.45,246.0,86.6,17.0,89.3,1576.0,7.2,718067,640455,672275,664774,689172,669477,543063,666165,573262,624424,53.29,0.903,0.857,0.9,1.0,1.0,0.0,4.0,15,5,Changeup,0,4,0,4,4,0,0,4,Strategic,Standard,111.0,0.031,0.424,donovan solano,
FF,2023-05-22,81.0,-4.0,0.99,"Solano, Donovan",456781,643511,walk,ball,,,,,13,Donovan Solano walks.   Byron Buxton to 2nd.,R,R,R,MIN,SF,B,,,3,1,2023,0.13,-0.78,-1.08,1.51,,,621439.0,1,8,Bot,,,,,672275,,,6.192369818555664,-117.32664477387677,9.26075942060556,0.0632544204321728,22.1678622364805,-41.42517417115048,3.25,1.45,,,,80.2,1799.0,6.0,718067,643511,672275,664774,689172,669477,543063,669369,573262,624424,54.51,,,0.7,1.0,0.0,0.0,,65,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,332.0,0.054,0.24,donovan solano,
