pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-24,92.3,1.02,5.45,"Suwinski, Jack",669261,527048,strikeout,called_strike,,,,,8,Jack Suwinski called out on strikes.,R,L,L,PIT,TEX,S,2.0,,1,2,2023,1.45,0.79,-0.25,1.85,,,,0,7,Bot,,,,,641680,,,-6.348897213885608,-134.12748924689762,-4.964834453716022,18.902348370138476,31.10134132359529,-21.79208112783001,3.31,1.52,,,,91.4,2015.0,6.0,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.52,,,0.0,1.0,0.0,0.0,,57,5,Sinker,2,3,2,3,3,2,2,3,Strategic,Standard,132.0,-0.049,-0.175,jack suwinski,
SI,2023-05-24,93.3,1.04,5.49,"Suwinski, Jack",669261,527048,field_out,hit_into_play,,,,,3,Jack Suwinski lines out to third baseman Josh Jung.,R,L,L,PIT,TEX,X,5.0,line_drive,2,2,2023,1.37,0.62,0.4,2.89,,,666801.0,2,4,Bot,105.89,153.0,,,641680,,,-4.654592818647486,-135.92430851528582,-2.333315881022668,18.07163372808825,28.21612445187075,-24.10836400537629,3.39,1.55,132.0,57.0,20.0,93.3,2056.0,6.1,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.38,0.226,0.203,0.0,1.0,0.0,0.0,1.0,33,5,Sinker,2,3,2,3,3,2,2,3,Strategic,Standard,138.0,-0.031,-0.206,jack suwinski,
SI,2023-05-24,92.7,1.12,5.58,"Suwinski, Jack",669261,527048,field_out,hit_into_play,,,,,6,Jack Suwinski grounds out to first baseman Nathaniel Lowe.   Carlos Santana scores.    Connor Joe to 3rd.    Rodolfo Castro to 2nd.,R,L,L,PIT,TEX,X,3.0,ground_ball,3,2,2023,1.25,0.68,0.42,2.81,467793.0,656582.0,666801.0,0,2,Bot,159.33,163.59,,,641680,,,-4.517753667119813,-134.99419754218525,-2.8501073205183127,16.2925586804888,25.69766432653457,-23.46790798163441,3.39,1.55,4.0,74.4,-33.0,93.3,1903.0,6.3,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.2,0.06,0.054,0.0,1.0,0.0,0.0,2.0,18,6,Sinker,0,3,0,3,3,1,1,3,Standard,Standard,133.0,0.006,-0.365,jack suwinski,
SL,2023-05-24,82.7,1.45,6.4,"Suwinski, Jack",669261,519293,strikeout,swinging_strike,,,,,13,Jack Suwinski strikes out swinging.,R,L,L,PIT,TEX,S,2.0,,1,2,2023,-0.62,0.22,-0.87,2.05,663647.0,678225.0,656582.0,2,8,Bot,,,,,641680,,,-4.072501607962827,-120.3268179919625,-3.8457128108638976,-5.231218444466594,23.3430615456402,-29.49530291292796,3.39,1.55,,,,82.5,2343.0,6.2,718045,519293,641680,663993,543760,673962,669701,669352,665750,666969,54.32,,,0.0,1.0,0.0,0.0,,69,5,Slider,2,3,2,3,3,2,2,3,Standard,Standard,313.0,-0.198,-0.488,jack suwinski,
FS,2023-05-23,89.1,-2.46,5.42,"Suwinski, Jack",669261,543135,strikeout,called_strike,,,,,4,Jack Suwinski called out on strikes.,R,L,R,PIT,TEX,S,2.0,,2,2,2023,-1.15,-0.05,-0.63,2.72,,,,1,9,Bot,,,,,641680,,,6.948840744389623,-129.65126305516603,-0.5649887689035689,-14.325111397213588,24.117153175588577,-32.848007566803695,3.39,1.55,,,,90.2,1648.0,6.7,718065,543135,641680,663993,543760,673962,608369,669352,665750,666969,53.8,,,0.0,1.0,0.0,0.0,,67,5,Split-Finger,1,6,1,6,6,1,1,6,Strategic,Standard,239.0,-0.002,-0.153,jack suwinski,
FF,2023-05-23,96.7,-2.5,5.3,"Suwinski, Jack",669261,543135,field_out,hit_into_play,,,,,14,Jack Suwinski pops out to first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,X,3.0,popup,3,2,2023,-1.0,1.09,1.12,2.39,,,,2,6,Bot,159.93,155.71,,,641680,,,12.027306488718391,-140.26235158332247,-4.688526463822915,-15.992742017760936,33.57374436198434,-16.814382773631085,3.42,1.57,65.0,83.8,74.0,97.2,2226.0,6.9,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.62,0.001,0.0,0.0,1.0,0.0,0.0,3.0,48,6,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,232.0,-0.006,-0.131,jack suwinski,
FS,2023-05-23,89.6,-2.42,5.64,"Suwinski, Jack",669261,543135,strikeout,swinging_strike,,,,,13,Jack Suwinski strikes out swinging.,R,L,R,PIT,TEX,S,2.0,,1,2,2023,-0.88,-0.01,-0.11,1.16,,668804.0,,2,3,Bot,,,,,641680,,,7.587901464298047,-130.34198413852266,-5.120038312181348,-11.485284872774091,24.53244092894208,-31.43789924340898,3.42,1.57,,,,90.3,1636.0,6.5,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,54.0,,,0.0,1.0,0.0,0.0,,26,4,Split-Finger,1,2,1,2,2,1,1,2,Strategic,Standard,238.0,-0.04,-0.221,jack suwinski,
FC,2023-05-23,91.0,-2.46,5.6,"Suwinski, Jack",669261,543135,field_out,hit_into_play,,,,,2,Jack Suwinski pops out to shortstop Corey Seager.,R,L,R,PIT,TEX,X,6.0,popup,2,0,2023,0.19,0.58,0.23,2.91,457705.0,,,1,1,Bot,99.24,132.56,,,641680,,,6.382314007439074,-132.54115968659067,-2.165645228711912,0.9521923823519124,26.01217206840888,-25.112169898012223,3.42,1.57,183.0,66.1,50.0,92.0,2330.0,6.6,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.87,0.16,0.156,0.0,1.0,0.0,0.0,3.0,9,3,Cutter,0,2,0,2,2,0,0,2,Strategic,Standard,200.0,-0.06,-0.258,jack suwinski,
FC,2023-05-22,88.5,-2.53,5.46,"Suwinski, Jack",669261,641540,field_out,hit_into_play,,,,,6,Jack Suwinski flies out to center fielder Leody Taveras.,R,L,R,PIT,TEX,X,8.0,fly_ball,3,2,2023,0.1,0.96,0.44,2.5,,,668804.0,2,5,Bot,145.27,81.18,,,641680,,,7.146709375802157,-128.8028520127867,-3.250477273994188,-0.2475911335875697,24.251850458613347,-20.930062764516,3.46,1.58,297.0,88.7,42.0,90.1,2189.0,7.0,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.48,0.001,0.0,0.0,1.0,0.0,0.0,3.0,39,7,Cutter,1,0,1,0,0,1,1,0,Strategic,Strategic,204.0,-0.022,-0.262,jack suwinski,
FF,2023-05-22,91.4,-2.37,5.54,"Suwinski, Jack",669261,641540,strikeout,called_strike,,,,,6,Jack Suwinski called out on strikes.,R,L,R,PIT,TEX,S,2.0,,0,2,2023,-0.74,0.76,0.29,2.36,,,,2,3,Bot,,,,,641680,,,8.45000598611725,-132.87485710690447,-3.822738758568549,-10.48653591846269,27.04452383216045,-22.58581552907604,3.34,1.6,,,,93.1,2119.0,7.3,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.24,,,0.0,1.0,0.0,0.0,,24,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Strategic,210.0,-0.009,-0.057,jack suwinski,
