pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-25,85.8,-1.14,5.9,"Swanson, Dansby",621020,471911,strikeout,swinging_strike,,,,,13,Dansby Swanson strikes out swinging.,R,R,R,CHC,NYM,S,2.0,,2,2,2023,-0.73,-0.27,-0.38,0.92,,,,1,5,Bot,,,,,682626,,,3.2923441247447083,-124.99428085811758,-5.0440242514950056,-8.266186571422175,23.961369319251997,-34.24852489979136,3.46,1.61,,,,86.6,1448.0,6.6,718024,471911,682626,624413,643446,683146,596019,592192,607043,516782,53.88,,,0.0,1.0,0.0,0.0,,44,6,Changeup,1,5,1,5,5,1,1,5,Standard,Standard,230.0,-0.012,-0.153,dansby swanson,
CH,2023-05-25,87.0,-1.37,5.85,"Swanson, Dansby",621020,471911,field_out,hit_into_play,,,,,8,Dansby Swanson flies out to right fielder Starling Marte.,R,R,R,CHC,NYM,X,9.0,fly_ball,0,0,2023,-0.63,0.06,-0.24,2.1,,,663538.0,1,3,Bot,166.79,71.86,,,682626,,,4.000519593222146,-126.7037103176606,-2.96947983679767,-7.564334225620623,25.7254830596932,-31.1548935084455,3.46,1.61,331.0,92.1,28.0,87.4,1325.0,6.5,718024,471911,682626,624413,643446,683146,596019,592192,607043,516782,53.99,0.111,0.14,0.0,1.0,0.0,0.0,3.0,27,1,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,226.0,-0.029,-0.312,dansby swanson,
FF,2023-05-25,92.9,-1.43,5.85,"Swanson, Dansby",621020,471911,home_run,hit_into_play,,,,,5,Dansby Swanson homers (5) on a fly ball to left center field.,R,R,R,CHC,NYM,X,,fly_ball,3,2,2023,-0.07,0.78,-0.07,2.86,,,,1,1,Bot,80.96,48.42,,,682626,,,3.6506309219336632,-135.30654983243258,-3.624296109268648,-1.6439926593479302,28.337585292663896,-22.061357585742257,3.46,1.61,389.0,103.9,29.0,93.4,2202.0,6.4,718024,471911,682626,624413,643446,683146,596019,592192,607043,516782,54.06,0.871,1.772,2.0,1.0,0.0,3.0,6.0,8,6,4-Seam Fastball,0,1,0,1,1,1,1,1,Standard,Standard,206.0,0.107,0.961,dansby swanson,
FC,2023-05-25,87.0,-2.68,5.48,"Swanson, Dansby",621020,493603,field_out,hit_into_play,,,,,9,"Dansby Swanson grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",R,R,R,CHC,NYM,X,4.0,ground_ball,0,0,2023,0.61,0.52,0.63,2.09,,543228.0,663538.0,2,7,Bot,139.33,141.27,,,682626,,,6.758678273712682,-126.48797038865956,-3.035309088742417,5.184762205340892,26.34178203434685,-26.2175883896434,3.46,1.61,105.0,78.8,9.0,87.8,2720.0,6.9,718024,493603,682626,624413,643446,683146,596019,592192,607043,516782,53.61,0.369,0.352,0.0,1.0,0.0,0.0,4.0,62,1,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,144.0,-0.009,-0.468,dansby swanson,
FC,2023-05-24,88.2,-1.65,5.85,"Swanson, Dansby",621020,673540,field_out,hit_into_play,,,,,8,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,CHC,NYM,X,6.0,ground_ball,0,2,2023,-0.23,0.52,0.07,1.56,670223.0,571466.0,,2,4,Bot,108.36,162.33,,,682626,,,4.68912385595601,-128.3201933535534,-5.462721024011513,-3.513926088441607,26.7699398307978,-25.53344437933737,3.46,1.61,13.0,71.9,-6.0,88.9,2430.0,6.8,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.74,0.083,0.075,0.0,1.0,0.0,0.0,2.0,35,3,Cutter,3,2,3,2,2,3,3,2,Strategic,Standard,155.0,-0.054,-0.287,dansby swanson,
FF,2023-05-24,96.6,-2.08,5.76,"Swanson, Dansby",621020,673540,double,hit_into_play,,,,,4,Dansby Swanson doubles (12) on a line drive to right fielder Starling Marte.   Nico Hoerner scores.,R,R,R,CHC,NYM,X,9.0,line_drive,3,2,2023,-0.68,1.11,-0.57,2.52,,,663538.0,1,3,Bot,190.46,138.48,,,682626,,,5.616611502734367,-140.6954958751732,-5.711162978250334,-10.205107943593427,26.97608372177821,-16.309472895104523,3.46,1.61,182.0,77.1,16.0,97.7,2263.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.98,0.814,0.746,1.25,1.0,1.0,1.0,4.0,23,6,4-Seam Fastball,0,2,0,2,2,1,1,2,Standard,Standard,216.0,0.132,0.847,dansby swanson,
FF,2023-05-24,95.3,-2.49,5.49,"Swanson, Dansby",621020,622098,field_out,hit_into_play,,,,,2,Dansby Swanson flies out sharply to center fielder Brandon Nimmo.,R,R,R,CHC,NYM,X,8.0,fly_ball,0,2,2023,-0.47,1.45,0.22,3.22,,,670156.0,1,6,Bot,131.82,54.72,,,682626,,,8.132402875767923,-138.4849401465258,-3.5371462485748166,-7.936930734951151,32.49119662104343,-12.956788740037666,3.46,1.61,357.0,104.4,30.0,94.7,2382.0,6.1,718038,622098,682626,624413,643446,683146,596019,592192,607043,516782,54.36,0.869,1.746,0.0,1.0,0.0,0.0,6.0,50,5,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,212.0,-0.015,-0.197,dansby swanson,
FC,2023-05-24,88.6,-1.88,6.05,"Swanson, Dansby",621020,673540,force_out,hit_into_play,,,,,9,"Dansby Swanson grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil.   Miles Mastrobuoni out at 2nd.    Dansby Swanson to 1st.",R,R,R,CHC,NYM,X,6.0,ground_ball,1,0,2023,0.04,0.91,0.29,2.18,,,670156.0,1,1,Bot,122.7,140.83,,,682626,,,5.2206393674236935,-128.93494018181488,-5.293494588202968,-0.6522530159359826,26.550783730757995,-21.14510725752514,3.46,1.61,5.0,64.7,-24.0,88.7,2493.0,6.3,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.2,0.06,0.054,0.0,1.0,0.0,0.0,2.0,6,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,192.0,-0.028,-0.439,dansby swanson,
FF,2023-05-23,93.0,-2.19,5.79,"Swanson, Dansby",621020,656731,single,hit_into_play,,,,,8,Dansby Swanson singles on a sharp ground ball to right fielder Starling Marte.   Matt Mervis scores.    Nico Hoerner to 2nd.,R,R,R,CHC,NYM,X,9.0,ground_ball,1,1,2023,-0.58,0.83,0.0,2.16,670223.0,,663538.0,2,4,Bot,173.17,119.32,,,596142,,,7.016022389693188,-135.35893587694358,-5.520766762237417,-8.561915143406617,26.36295085180497,-20.90886400240997,3.44,1.59,128.0,106.5,5.0,95.2,2056.0,7.3,718055,656731,596142,624413,500871,683146,596019,502054,607043,516782,53.19,0.606,0.606,0.9,1.0,1.0,0.0,4.0,35,3,4-Seam Fastball,5,1,5,1,1,6,6,1,Standard,Standard,213.0,0.032,1.003,dansby swanson,
FF,2023-05-23,93.1,-1.85,5.93,"Swanson, Dansby",621020,668665,field_error,hit_into_play,,,,,5,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,X,5.0,ground_ball,3,2,2023,-0.09,1.17,-0.13,2.4,,,,2,8,Bot,102.31,159.9,,,596142,,,4.613987210798627,-135.57317857335903,-5.92063864387929,-2.0182958961502195,28.182837979807367,-16.598426003491326,3.44,1.59,13.0,99.1,-10.0,93.4,2213.0,6.3,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.18,0.257,0.275,0.9,1.0,0.0,0.0,2.0,70,8,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,196.0,0.0,0.123,dansby swanson,
