pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-20,93.1,-0.94,6.35,"Syndergaard, Noah",502671,592789,strikeout,called_strike,,,,,6,Paul Goldschmidt called out on strikes.,R,R,R,STL,LAD,S,2.0,,1,2,2023,-1.17,1.03,0.32,2.42,,,,2,5,Bot,,,,,605131,,,5.8191232310002,-135.3087625783576,-6.587765817298573,-15.6033565450719,32.03588754158346,-18.19879743855196,3.48,1.65,,,,93.4,2208.0,6.7,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.78,,,0.0,1.0,0.0,0.0,,38,4,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,210.0,-0.004,-0.071
CU,2023-05-20,77.9,-0.93,6.34,"Syndergaard, Noah",502671,592789,,foul,,,,,6,Paul Goldschmidt called out on strikes.,R,R,R,STL,LAD,S,,,1,1,2023,1.25,-0.04,0.71,2.38,,,,2,5,Bot,,,,,605131,,,1.2221786024624026,-113.43843445878043,-1.441305613657497,10.390971335969423,23.98372424211521,-32.47995041398103,3.48,1.65,95.0,63.5,14.0,78.1,2271.0,6.7,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.76,,,,,,,,38,3,Curveball,3,0,3,0,0,3,3,0,Standard,Standard,67.0,0.0,-0.026
FF,2023-05-20,92.1,-0.77,6.51,"Syndergaard, Noah",502671,592789,,ball,,,,,11,Paul Goldschmidt called out on strikes.,R,R,R,STL,LAD,B,,,0,1,2023,-0.38,1.51,-0.05,4.22,,,,2,5,Bot,,,,,605131,,,2.6642082167023413,-134.06218188204446,-3.260040876543441,-5.156273971862407,31.20434254954353,-13.542467344605988,3.48,1.67,,,,92.3,2206.0,6.6,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.95,,,,,,,,38,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,207.0,0.0,0.015
FC,2023-05-20,90.0,-0.96,6.4,"Syndergaard, Noah",502671,592789,,foul,,,,,6,Paul Goldschmidt called out on strikes.,R,R,R,STL,LAD,S,,,0,0,2023,0.15,1.11,0.58,2.5,,,,2,5,Bot,,,,,605131,,,3.5263471995263385,-130.93586363993566,-6.100822775007028,0.9929922241335224,27.41713989857375,-18.2905485198308,3.48,1.65,192.0,74.6,55.0,90.6,2077.0,6.6,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.86,,,,,,,,38,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,199.0,0.0,-0.021
CH,2023-05-20,87.6,-0.92,6.38,"Syndergaard, Noah",663457,592789,field_out,hit_into_play,,,,,7,"Lars Nootbaar grounds out, first baseman Freddie Freeman to pitcher Noah Syndergaard.",R,L,R,STL,LAD,X,3.0,ground_ball,1,1,2023,-1.29,0.62,-0.34,2.15,,,,1,5,Bot,145.32,170.69,,,605131,,,4.076008178024812,-127.38524725623408,-5.353165541128632,-14.839293650222713,27.58016548810787,-24.52411009126924,3.4,1.65,26.0,79.2,-3.0,88.0,1482.0,6.7,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.82,0.126,0.113,0.0,1.0,0.0,0.0,2.0,37,3,Changeup,3,0,3,0,0,3,3,0,Standard,Standard,235.0,-0.007,-0.165
CU,2023-05-20,77.9,-1.07,6.42,"Syndergaard, Noah",663457,592789,,ball,,,,,11,"Lars Nootbaar grounds out, first baseman Freddie Freeman to pitcher Noah Syndergaard.",R,L,R,STL,LAD,B,,,0,1,2023,0.92,-0.01,-1.15,2.88,,,,1,5,Bot,,,,,605131,,,-1.8774745194075144,-113.34020129827032,-0.6106735230061542,8.20483097075869,23.25493833727932,-32.34588443694762,3.29,1.57,,,,77.8,2330.0,6.5,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.98,,,,,,,,37,2,Curveball,3,0,3,0,0,3,3,0,Standard,Standard,63.0,0.0,0.021
SI,2023-05-20,91.2,-0.88,6.43,"Syndergaard, Noah",663457,592789,,called_strike,,,,,8,"Lars Nootbaar grounds out, first baseman Freddie Freeman to pitcher Noah Syndergaard.",R,L,R,STL,LAD,S,,,0,0,2023,-1.21,1.17,-0.17,1.84,,,,1,5,Bot,,,,,605131,,,4.403069902601966,-132.38638617214744,-8.07117456906397,-15.165071915508504,32.60312574974551,-16.7966247710494,3.56,1.67,,,,90.9,2192.0,6.6,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.9,,,,,,,,37,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,214.0,0.0,-0.028
SI,2023-05-20,91.4,-0.95,6.36,"Syndergaard, Noah",669242,592789,field_out,hit_into_play,,,,,7,Tommy Edman lines out sharply to left fielder David Peralta.,R,L,R,STL,LAD,X,7.0,line_drive,0,0,2023,-1.14,1.11,-0.48,1.81,,,,0,5,Bot,85.85,77.71,,,605131,,,3.6375634588084464,-132.7788101589685,-7.945246491691188,-14.189307195733942,31.396686574546614,-17.500311915150316,3.12,1.46,317.0,102.8,16.0,91.4,2185.0,6.6,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.91,0.583,0.607,0.0,1.0,0.0,0.0,5.0,36,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,215.0,-0.009,-0.235
SI,2023-05-20,92.4,-0.99,6.36,"Syndergaard, Noah",676475,592789,field_out,hit_into_play,,,,,5,Alec Burleson lines out sharply to right fielder Mookie Betts.,R,L,R,STL,LAD,X,9.0,line_drive,0,0,2023,-1.11,0.86,-0.09,2.53,,,,2,4,Bot,171.27,84.93,,,605131,,,4.773190900299298,-134.44254463167616,-5.861584618166948,-14.540921902871265,30.052700205557237,-20.64079031915105,3.44,1.61,305.0,101.4,18.0,93.0,2134.0,6.7,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.77,0.389,0.385,0.0,1.0,0.0,0.0,5.0,30,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,208.0,-0.005,-0.103
CU,2023-05-20,78.0,-0.82,6.36,"Syndergaard, Noah",657557,592789,strikeout,called_strike,,,,,9,Paul DeJong called out on strikes.,R,R,R,STL,LAD,S,2.0,,1,2,2023,0.9,-0.03,0.72,1.73,,,,1,4,Bot,,,,,605131,,,1.6704518220223583,-113.57246091293224,-3.0050103958593235,7.4011395072157775,21.805618958411696,-32.10487774407878,3.33,1.57,,,,78.5,2242.0,6.7,718109,592789,605131,518692,678246,571970,621035,444482,518792,605141,53.78,,,0.0,1.0,0.0,0.0,,29,4,Curveball,3,0,3,0,0,3,3,0,Standard,Standard,63.0,-0.007,-0.122
