pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-20,90.9,-1.41,6.13,"Taillon, Jameson",665019,592791,walk,ball,,,,,14,Kody Clemens walks.   Alec Bohm to 2nd.,R,L,R,PHI,CHC,B,,,3,1,2023,0.18,1.03,0.19,1.45,656941.0,,664761.0,1,3,Bot,,,,,543228,,,3.634661750578568,-132.25683592904275,-8.0944851339989,1.4380556214539837,26.85999076525641,-18.53696150492354,3.26,1.59,,,,91.5,2593.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.95,,,0.7,1.0,0.0,0.0,,28,5,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,194.0,0.003,0.157
CU,2023-05-20,82.1,-1.33,6.21,"Taillon, Jameson",665019,592791,,ball,,,,,13,Kody Clemens walks.   Alec Bohm to 2nd.,R,L,R,PHI,CHC,B,,,2,1,2023,0.77,-0.96,-1.16,2.28,656941.0,,664761.0,1,3,Bot,,,,,543228,,,-1.1195173680619253,-119.57849400056472,-0.4722334918584597,7.623655905711393,24.150571052373355,-41.498720233642175,3.26,1.62,,,,82.2,2752.0,6.4,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.08,,,,,,,,28,4,Curveball,6,0,6,0,0,6,6,0,Strategic,Standard,52.0,0.0,0.21
FC,2023-05-20,91.0,-1.39,6.17,"Taillon, Jameson",665019,592791,,foul,,,,,9,Kody Clemens walks.   Alec Bohm to 2nd.,R,L,R,PHI,CHC,S,,,2,0,2023,0.37,1.11,0.47,2.09,656941.0,,664761.0,1,3,Bot,,,,,543228,,,3.890748369575855,-132.4504893382221,-6.760972762489255,3.5773108417579094,26.510596062274068,-17.87643450371841,3.43,1.69,14.0,98.4,-8.0,91.5,2634.0,6.4,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.08,,,,,,,,28,3,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,191.0,0.0,-0.136
FC,2023-05-20,89.9,-1.57,6.09,"Taillon, Jameson",665019,592791,,ball,,,,,13,Kody Clemens walks.   Alec Bohm to 2nd.,R,L,R,PHI,CHC,B,,,1,0,2023,0.1,0.99,-1.0,1.76,656941.0,,664761.0,1,3,Bot,,,,,543228,,,1.20142772534843,-130.8282669551282,-6.898598093658258,0.9747570692159688,25.63386340240688,-19.60339878999425,3.29,1.57,,,,90.5,2584.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.99,,,,,,,,28,2,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,193.0,0.0,0.152
FC,2023-05-20,91.2,-1.36,6.15,"Taillon, Jameson",665019,592791,,ball,,,,,14,Kody Clemens walks.   Alec Bohm to 2nd.,R,L,R,PHI,CHC,B,,,0,0,2023,0.49,0.99,1.52,2.12,656941.0,,664761.0,1,3,Bot,,,,,543228,,,6.206341627084885,-132.66537036543775,-6.413783274993082,4.5929924640214965,26.277906702329982,-19.339335784873757,3.29,1.62,,,,91.9,2622.0,6.6,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.94,,,,,,,,28,1,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,185.0,0.0,0.047
FC,2023-05-20,90.5,-1.36,6.12,"Taillon, Jameson",669016,592791,field_out,hit_into_play,,,,,6,Brandon Marsh pops out to second baseman Nico Hoerner.,R,L,R,PHI,CHC,X,4.0,popup,0,1,2023,0.39,0.87,0.53,2.56,656941.0,,664761.0,0,3,Bot,155.33,133.88,,,543228,,,3.872221525875477,-131.75805910674916,-4.825582744998962,3.7752518288299153,27.14688160632735,-21.26246532038824,3.11,1.51,191.0,93.0,61.0,90.8,2637.0,6.4,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.13,0.011,0.015,0.0,1.0,0.0,0.0,3.0,27,2,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,182.0,-0.007,-0.338
SI,2023-05-20,94.7,-1.4,6.05,"Taillon, Jameson",669016,592791,,foul,,,,,4,Brandon Marsh pops out to second baseman Nico Hoerner.,R,L,R,PHI,CHC,S,,,0,0,2023,-1.25,1.15,-0.3,2.04,656941.0,,664761.0,0,3,Bot,,,,,543228,,,5.693322507487073,-137.558086549319,-7.343212186871727,-17.122939265793867,33.07117797187557,-16.15909575115206,3.11,1.51,272.0,87.2,36.0,94.9,2346.0,6.7,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.8,,,,,,,,27,1,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,213.0,0.0,-0.031
SI,2023-05-20,94.1,-1.14,6.17,"Taillon, Jameson",664761,592791,single,hit_into_play,,,,,13,Alec Bohm singles on a fly ball to second baseman Nico Hoerner.   Kyle Schwarber to 3rd.,R,R,R,PHI,CHC,X,4.0,fly_ball,1,0,2023,-1.04,1.15,-0.95,2.36,,,656941.0,0,3,Bot,146.68,110.29,,,543228,,,2.816891336177693,-136.9126315977087,-6.773682677219414,-13.67675260157075,28.145510046991788,-16.374581423558954,3.45,1.57,211.0,67.0,28.0,94.7,2337.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.02,0.957,0.866,0.9,1.0,1.0,0.0,4.0,26,2,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,209.0,0.011,0.63
SI,2023-05-20,94.1,-1.24,6.15,"Taillon, Jameson",664761,592791,,ball,,,,,11,Alec Bohm singles on a fly ball to second baseman Nico Hoerner.   Kyle Schwarber to 3rd.,R,R,R,PHI,CHC,B,,,0,0,2023,-1.13,1.26,-1.29,3.27,,,656941.0,0,3,Bot,,,,,543228,,,2.4068484048198338,-137.08665915952946,-4.580770984391833,-14.76515272358518,29.749846532582595,-15.482414014928796,3.4,1.52,,,,94.7,2351.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.97,,,,,,,,26,1,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,200.0,0.0,0.039
FC,2023-05-20,90.1,-1.24,6.14,"Taillon, Jameson",656941,592791,walk,ball,,,,,14,Kyle Schwarber walks.,R,L,R,PHI,CHC,B,,,3,2,2023,0.5,0.89,1.43,2.29,,,,0,3,Bot,,,,,543228,,,5.604113462639246,-131.19046014971468,-5.569990262914732,4.685560405668904,25.26863194563841,-20.98651292747945,3.09,1.52,,,,90.9,2718.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.95,,,0.7,1.0,0.0,0.0,,25,6,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,172.0,0.005,0.316
SI,2023-05-20,94.6,-1.12,6.14,"Taillon, Jameson",656941,592791,,ball,,,,,12,Kyle Schwarber walks.,R,L,R,PHI,CHC,B,,,2,2,2023,-1.19,1.07,0.92,2.37,,,,0,3,Bot,,,,,543228,,,8.01950095629816,-137.41929182506644,-6.551669800098481,-16.80369436986751,29.304988316085257,-17.386207801779783,3.17,1.55,,,,95.1,2358.0,6.6,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.88,,,,,,,,25,5,Sinker,6,0,6,0,0,6,6,0,Strategic,Standard,216.0,0.0,0.11
FC,2023-05-20,90.3,-1.18,6.17,"Taillon, Jameson",656941,592791,,foul,,,,,12,Kyle Schwarber walks.,R,L,R,PHI,CHC,S,,,2,1,2023,0.48,0.94,0.9,2.69,,,,0,3,Bot,,,,,543228,,,4.1856490917304905,-131.5908484911635,-4.812384006248989,4.838296614273588,24.460132634461303,-20.470097233296134,3.31,1.62,186.0,68.7,41.0,91.3,2637.0,6.6,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.94,,,,,,,,25,4,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,183.0,0.0,-0.073
FC,2023-05-20,87.9,-1.45,6.09,"Taillon, Jameson",656941,592791,,ball,,,,,11,Kyle Schwarber walks.,R,L,R,PHI,CHC,B,,,1,1,2023,0.64,0.79,-1.01,3.3,,,,0,3,Bot,,,,,543228,,,-0.2350318945506443,-128.10489662029394,-2.369847820610028,7.125847565120613,23.334925245734684,-23.20114519552049,3.19,1.55,,,,88.8,2624.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.0,,,,,,,,25,3,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,177.0,0.0,0.05
SI,2023-05-20,93.3,-1.37,6.16,"Taillon, Jameson",656941,592791,,ball,,,,,11,Kyle Schwarber walks.,R,L,R,PHI,CHC,B,,,0,1,2023,-1.03,1.08,-1.75,2.85,,,,0,3,Bot,,,,,543228,,,1.2941065656937938,-135.91880328092137,-5.1789973127753655,-13.151010531540615,28.009902510286157,-17.914156543501814,3.21,1.55,,,,93.8,2278.0,6.4,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.1,,,,,,,,25,2,Sinker,6,0,6,0,0,6,6,0,Strategic,Standard,196.0,0.0,0.03
FC,2023-05-20,90.0,-1.41,6.12,"Taillon, Jameson",656941,592791,,foul,,,,,8,Kyle Schwarber walks.,R,L,R,PHI,CHC,S,,,0,0,2023,0.31,0.88,0.25,2.06,,,,0,3,Bot,,,,,543228,,,3.474248794270197,-131.17248605826484,-6.102864207656454,3.0487886286981247,23.46186066948321,-20.968286417474086,3.31,1.62,3.0,86.9,-32.0,91.0,2596.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.02,,,,,,,,25,1,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,194.0,0.0,-0.037
SI,2023-05-20,93.7,-1.2,6.23,"Taillon, Jameson",592663,592791,field_out,hit_into_play,,,,,1,J.T. Realmuto pops out to second baseman Nico Hoerner.,R,R,R,PHI,CHC,X,4.0,popup,0,0,2023,-1.15,1.26,-0.41,3.06,,,547180.0,2,2,Bot,157.0,150.67,,,543228,,,4.615974389611482,-136.3797952489172,-5.297983057246285,-15.39035032744678,28.27875189024893,-15.524647485586536,3.53,1.68,149.0,61.1,55.0,94.3,2334.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.98,0.034,0.035,0.0,1.0,0.0,0.0,3.0,19,1,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,202.0,-0.004,-0.242
SI,2023-05-20,94.0,-1.27,6.15,"Taillon, Jameson",547180,592791,single,hit_into_play,,,,,7,Bryce Harper singles on a line drive to left fielder Ian Happ.,R,L,R,PHI,CHC,X,7.0,line_drive,0,0,2023,-1.1,0.99,-0.82,1.79,,,,2,2,Bot,63.32,124.61,,,543228,,,3.631140448697461,-136.80922027255735,-7.830991544586187,-14.662835561268624,28.995814345877367,-18.293933262322582,3.19,1.63,133.0,76.6,11.0,94.5,2351.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,54.04,0.371,0.361,0.9,1.0,1.0,0.0,4.0,18,1,Sinker,6,0,6,0,0,6,6,0,Strategic,Standard,212.0,0.002,0.136
SI,2023-05-20,94.7,-1.21,6.12,"Taillon, Jameson",592206,592791,field_out,hit_into_play,,,,,8,"Nick Castellanos grounds out, shortstop Dansby Swanson to first baseman Matt Mervis.",R,R,R,PHI,CHC,X,6.0,ground_ball,0,0,2023,-1.1,1.18,-0.08,1.91,,,,1,2,Bot,107.55,143.57,,,543228,,,5.438536604942735,-137.6673624253743,-7.998733645388387,-15.154194645526673,28.91375554777964,-15.620838056015248,3.65,1.79,9.0,101.6,-11.0,95.2,2387.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.96,0.234,0.224,0.0,1.0,0.0,0.0,2.0,17,1,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,205.0,-0.002,-0.172
FC,2023-05-20,90.7,-1.32,6.18,"Taillon, Jameson",681082,592791,field_out,hit_into_play,,,,,3,Bryson Stott flies out to shortstop Dansby Swanson.,R,L,R,PHI,CHC,X,6.0,fly_ball,2,2,2023,0.38,0.97,0.74,3.05,,,,0,2,Bot,121.43,112.81,,,543228,,,4.376229873868259,-132.15418895607417,-4.08257896079218,3.663869204272893,24.651703177779908,-20.15145559659372,3.2,1.56,218.0,73.6,48.0,91.6,2703.0,6.5,718097,592791,543228,670223,663538,621550,621020,664023,666624,673548,53.99,0.126,0.121,0.0,1.0,0.0,0.0,3.0,16,8,Cutter,6,0,6,0,0,6,6,0,Strategic,Standard,183.0,-0.004,-0.205
