pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-24,90.5,-2.84,5.51,"Taveras, Leody",665750,670912,walk,ball,,,,,13,Leody Taveras walks.   Jonah Heim to 2nd.,R,L,R,PIT,TEX,B,,,3,1,2023,0.44,0.24,-1.18,1.69,673962.0,,641680.0,2,6,Top,,,,,641511,,,3.281294760837968,-131.8385638643488,-4.20946607082033,4.512615123136112,26.2894819202801,-28.77025679035259,3.6,1.81,,,,92.7,2542.0,7.4,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.13,,,0.7,1.0,0.0,0.0,,47,5,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,143.0,-0.022,0.121,leody taveras,
FF,2023-05-24,95.3,-2.78,5.68,"Taveras, Leody",665750,670912,field_out,hit_into_play,,,,,14,"Leody Taveras grounds out sharply, second baseman Rodolfo Castro to first baseman Carlos Santana.",R,L,R,PIT,TEX,X,4.0,ground_ball,1,0,2023,-0.77,0.83,0.08,1.44,,,,0,5,Top,154.48,146.02,,,641511,,,9.356768621415068,-138.45557610847274,-7.518980616093586,-11.836791810682431,28.019842720299184,-19.983390030264843,3.6,1.79,9.0,100.2,-8.0,96.7,2269.0,7.0,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.51,0.24,0.216,0.0,1.0,0.0,0.0,2.0,34,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,222.0,0.023,-0.274,leody taveras,
SL,2023-05-24,86.8,-2.75,5.74,"Taveras, Leody",665750,670912,field_out,hit_into_play,,,,,8,Leody Taveras flies out to center fielder Jack Suwinski.,R,L,R,PIT,TEX,X,8.0,fly_ball,1,2,2023,0.52,0.13,-0.03,1.92,,,,0,2,Top,115.4,74.28,,,641511,,,5.537413864362967,-126.43533669236622,-3.3316536411133844,4.575586668756725,23.43354011764478,-30.345187569371102,3.6,1.79,311.0,90.9,41.0,88.7,2658.0,7.2,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.31,0.011,0.019,0.0,1.0,0.0,0.0,3.0,12,4,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,112.0,0.013,-0.175,leody taveras,
ST,2023-05-24,83.3,-1.47,5.71,"Taveras, Leody",665750,670059,single,hit_into_play,,,,,5,Leody Taveras singles on a line drive to right fielder Jack Suwinski.,R,L,R,PIT,TEX,X,9.0,line_drive,1,2,2023,1.34,0.03,-0.12,2.52,,,,0,9,Top,189.61,104.41,,,641511,,,0.4826359774820634,-121.32603612543694,-0.96253082258558,13.162129856508557,23.171046527358083,-31.899224603580056,3.6,1.79,253.0,78.7,23.0,83.5,2652.0,6.3,718045,670059,641511,656582,666801,663647,572008,668804,678225,669261,54.18,0.723,0.657,0.9,1.0,1.0,0.0,4.0,70,4,Sweeper,2,3,3,2,3,2,3,2,Strategic,Standard,71.0,-0.023,0.453,leody taveras,
CU,2023-05-23,69.6,1.66,5.55,"Taveras, Leody",665750,448179,strikeout,swinging_strike,,,,,8,Leody Taveras strikes out swinging.,R,R,L,PIT,TEX,S,2.0,,0,2,2023,-1.25,-0.94,-0.18,1.82,,,,0,5,Top,,,,,595978,,,-1.4795170457649416,-101.25649658666892,2.1725073108223043,-8.264145403600939,18.246994246058392,-39.1880004202527,3.59,1.79,,,,69.4,2479.0,6.3,718065,448179,595978,467793,678225,663647,672779,668804,669261,641943,54.16,,,0.0,1.0,0.0,0.0,,33,3,Curveball,1,2,2,1,2,1,2,1,Standard,Standard,314.0,0.023,-0.149,leody taveras,
CU,2023-05-23,73.8,1.41,5.76,"Taveras, Leody",665750,448179,strikeout,swinging_strike,,,,,7,Leody Taveras strikes out swinging.,R,R,L,PIT,TEX,S,2.0,,1,2,2023,-1.24,-1.22,-0.77,2.19,,,,2,2,Top,,,,,595978,,,-2.2750843483151675,-107.31247755139088,2.2654117489296963,-8.987084843083352,21.75418322092034,-42.19389769774506,3.59,1.79,,,,73.0,2670.0,6.1,718065,448179,595978,467793,678225,663647,672779,668804,669261,641943,54.36,,,0.0,1.0,0.0,0.0,,13,4,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,318.0,0.008,-0.071,leody taveras,
CH,2023-05-23,88.8,-2.68,6.13,"Taveras, Leody",665750,621249,single,hit_into_play,,,,,8,Leody Taveras singles on a line drive to right fielder Josh Palacios.,R,L,R,PIT,TEX,X,9.0,line_drive,1,2,2023,-1.12,0.44,-0.19,2.11,,,,1,9,Top,203.59,112.29,,,641511,,,8.37204468033897,-128.95830357412754,-4.655954364873224,-14.211364262003084,27.59812208335085,-26.476063846593718,3.59,1.79,235.0,86.0,17.0,88.0,1508.0,6.0,718065,621249,641511,467793,678225,663647,672779,668804,669261,641943,54.52,0.943,0.874,0.9,1.0,1.0,0.0,4.0,64,4,Changeup,1,6,6,1,6,1,6,1,Strategic,Standard,234.0,-0.001,0.322,leody taveras,
SL,2023-05-23,85.0,0.8,6.33,"Taveras, Leody",665750,669796,field_out,hit_into_play,,,,,2,"Leody Taveras grounds out, third baseman Ke'Bryan Hayes to first baseman Carlos Santana.",R,R,L,PIT,TEX,X,5.0,ground_ball,1,1,2023,0.01,0.07,-0.02,3.05,,543257.0,,2,6,Top,114.48,158.14,,,595978,,,-1.92893495142006,-123.57944234032637,-1.3768861899842684,0.5226993993147335,30.077473335453853,-31.39103300866103,3.59,1.79,4.0,93.3,-35.0,83.9,2009.0,6.1,718065,669796,595978,467793,678225,663647,672779,668804,669261,641943,54.41,0.066,0.059,0.0,1.0,0.0,0.0,2.0,45,3,Slider,1,5,5,1,5,1,5,1,Standard,Standard,310.0,0.01,-0.297,leody taveras,
CH,2023-05-22,89.1,-1.39,5.24,"Taveras, Leody",665750,682847,single,hit_into_play,,,,,5,Leody Taveras singles on a sharp line drive to right fielder Connor Joe.,R,L,R,PIT,TEX,X,9.0,line_drive,1,0,2023,-1.26,0.51,-0.05,2.41,,,,0,6,Top,184.55,106.61,,,595978,,,6.010898897571295,-129.6030391099413,-2.0306376595316333,-15.40312427631076,26.40868385363983,-26.176063568632696,3.58,1.78,179.0,106.3,9.0,90.3,1560.0,7.0,718075,682847,595978,467793,678225,663647,672779,668804,669261,656582,53.5,0.743,0.725,0.9,1.0,1.0,0.0,4.0,40,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,248.0,-0.06,0.354,leody taveras,
SI,2023-05-22,95.8,-1.35,5.16,"Taveras, Leody",665750,682847,single,hit_into_play,,,,,8,Leody Taveras singles on a ground ball to center fielder Jack Suwinski.,R,L,R,PIT,TEX,X,8.0,ground_ball,3,1,2023,-1.36,0.59,-0.16,2.3,,,,1,3,Top,125.39,99.96,,,595978,,,6.274599699922208,-139.38811901014483,-3.327795943741589,-19.138248211874117,30.91089269245854,-23.96212541961914,3.58,1.78,8.0,104.1,-17.0,96.8,2215.0,6.8,718075,682847,595978,467793,678225,663647,672779,668804,669261,656582,53.67,0.18,0.162,0.9,1.0,1.0,0.0,2.0,19,5,Sinker,1,0,0,1,0,1,0,1,Strategic,Standard,228.0,-0.029,0.164,leody taveras,
