pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-23,96.7,-1.7,5.31,"Thaiss, Matt",642136,678394,strikeout,foul_tip,,,,,3,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,S,2.0,,2,2,2023,-0.64,1.14,0.53,3.22,,,,1,7,Bot,,,,,624512,,,7.410209740594951,-140.66323260631964,-2.600118816192659,-10.239516609058958,32.347691075184095,-16.692317310262183,3.36,1.61,,,,96.5,2034.0,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.26,,,0.0,1.0,0.0,0.0,,51,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,242.0,-0.007,-0.153,matt thaiss,
SI,2023-05-23,94.0,-1.92,5.09,"Thaiss, Matt",642136,678394,home_run,hit_into_play,,,,,5,Matt Thaiss homers (2) on a fly ball to center field.,R,L,R,LAA,BOS,X,,fly_ball,2,0,2023,-1.49,-0.15,0.07,2.19,,,,0,5,Bot,82.73,21.94,,,624512,,,8.479356340812117,-136.62143239733007,-1.4290780415365183,-20.608472242547798,32.15640989775992,-33.88637649736347,3.36,1.61,409.0,104.8,29.0,93.6,2027.0,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.2,0.889,1.769,2.0,1.0,0.0,3.0,6.0,35,3,Sinker,1,0,1,0,0,2,2,0,Strategic,Standard,242.0,0.107,0.895,matt thaiss,
CH,2023-05-23,87.1,-1.9,5.13,"Thaiss, Matt",642136,678394,field_out,hit_into_play,,,,,13,"Matt Thaiss grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,LAA,BOS,X,4.0,ground_ball,3,2,2023,-1.49,0.27,-0.9,2.02,,,,0,2,Bot,160.51,158.6,,,624512,,,5.483319074256071,-126.8134786339464,-1.8592813162417787,-17.21169431247287,26.25007279763864,-29.057532317280668,3.36,1.61,7.0,76.7,-15.0,87.6,1761.0,6.6,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,53.9,0.06,0.058,0.0,1.0,0.0,0.0,2.0,16,7,Changeup,1,0,1,0,0,1,1,0,Strategic,Standard,255.0,-0.02,-0.315,matt thaiss,
SI,2023-05-23,96.0,-1.75,5.53,"Thaiss, Matt",642136,621057,strikeout,swinging_strike,,,,,11,Matt Thaiss strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,2,2,2023,-0.54,1.43,-0.57,3.55,592669.0,,665120.0,2,8,Bot,,,,,657136,,,4.30640560479284,-139.6668684337261,-2.823399393522208,-8.109318900924066,34.328494691202884,-13.126412610776336,3.36,1.61,,,,95.1,2290.0,6.0,718053,621057,657136,671213,665839,646240,571771,608701,680776,657077,54.5,,,0.0,1.0,0.0,0.0,,63,5,Sinker,4,0,4,0,0,4,4,0,Strategic,Standard,222.0,-0.003,-0.438,matt thaiss,
FS,2023-05-22,88.0,-3.05,5.09,"Thaiss, Matt",642136,656557,single,hit_into_play,,,,,5,Matt Thaiss singles on a ground ball to right fielder Alex Verdugo.   Brandon Drury to 3rd.,R,L,R,LAA,BOS,X,9.0,ground_ball,0,1,2023,-0.93,0.19,0.23,2.15,,,592273.0,1,2,Bot,175.5,155.97,,,657136,,,9.952764160263566,-127.78858224972264,-1.3994750428713782,-12.204851573680603,26.18372984518387,-30.024124287016686,3.36,1.6,26.0,94.3,-3.0,88.6,1449.0,6.8,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.74,0.28,0.26,0.9,1.0,1.0,0.0,2.0,14,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,253.0,0.065,0.557,matt thaiss,
FF,2023-05-22,94.7,-1.45,6.01,"Thaiss, Matt",642136,676710,strikeout,swinging_strike,,,,,1,Matt Thaiss strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,3,2,2023,-0.84,1.68,-0.79,3.08,,592273.0,,0,7,Bot,,,,,657136,,,3.6456905345602095,-137.6746922826122,-5.644401613335914,-11.531617073531446,35.88114362429391,-9.845613650649389,3.36,1.6,,,,94.4,2491.0,6.6,718070,676710,657136,671213,665839,646240,622569,807799,680776,657077,53.92,,,0.0,1.0,0.0,0.0,,49,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,215.0,-0.072,-0.487,matt thaiss,
FF,2023-05-21,94.1,-2.11,5.34,"Thaiss, Matt",642136,641154,walk,ball,,,,,11,Matt Thaiss walks.,R,L,R,LAA,MIN,B,,,3,2,2023,-0.26,1.18,-0.6,3.87,,,,0,7,Bot,,,,,680777,,,4.5650817079227775,-137.0051185834481,-0.7506332428752034,-4.266663126627413,30.07142661590618,-17.298231162044637,3.27,1.6,,,,95.9,2307.0,7.3,718080,641154,680777,666135,456781,571657,621043,608336,650489,663616,53.23,,,0.7,1.0,0.0,0.0,,54,7,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,205.0,0.057,0.316,matt thaiss,
FF,2023-05-21,95.7,-2.2,4.79,"Thaiss, Matt",642136,592254,double,hit_into_play,,,,,7,"Matt Thaiss doubles (4) on a ground ball to left fielder Joey Gallo.   Gio Urshela scores.    Matt Thaiss to 3rd.  Matt Thaiss advances to 3rd, on a fielding error by left fielder Joey Gallo.",R,L,R,LAA,MIN,X,7.0,ground_ball,2,2,2023,-1.02,1.29,-0.43,1.54,570482.0,,,2,8,Bot,36.32,115.36,,,680777,,,7.002124538524084,-139.00817589031934,-5.858893909049568,-14.781389901612844,33.69477312875252,-14.336552428210878,3.36,1.6,13.0,94.8,-5.0,96.0,2095.0,6.7,718080,592254,680777,666135,456781,571657,621043,608336,650489,663616,53.75,0.286,0.257,1.25,1.0,1.0,1.0,2.0,67,5,4-Seam Fastball,3,2,3,2,2,4,4,2,Standard,Standard,223.0,0.074,0.984,matt thaiss,
FF,2023-05-20,94.2,-1.84,5.25,"Thaiss, Matt",642136,686973,field_out,hit_into_play,,,,,9,Matt Thaiss pops out to third baseman Kyle Farmer in foul territory.,R,L,R,LAA,MIN,X,5.0,popup,0,2,2023,-0.76,1.38,0.71,1.99,592273.0,,,2,4,Bot,74.09,166.93,,,543877,,,8.456903918990857,-136.75562869713977,-5.828112193481153,-11.55664855378122,33.31990678375539,-13.794600180769404,3.35,1.59,173.0,88.1,66.0,95.3,2993.0,7.3,718096,686973,543877,456781,650489,571657,621043,608336,572191,664247,53.2,0.003,0.003,0.0,1.0,0.0,0.0,3.0,36,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Strategic,Standard,197.0,-0.044,-0.28,matt thaiss,
FF,2023-05-20,94.9,-1.75,5.42,"Thaiss, Matt",642136,686973,strikeout,swinging_strike,,,,,12,Matt Thaiss strikes out swinging.,R,L,R,LAA,MIN,S,2.0,,0,2,2023,-0.55,1.3,0.03,3.52,,,570482.0,2,2,Bot,,,,,543877,,,5.95903757069011,-138.09887005009818,-2.190483835951045,-8.430336787275142,32.82969818567748,-15.339079723474256,3.35,1.59,,,,96.0,2160.0,7.1,718096,686973,543877,456781,650489,571657,621043,608336,572191,664247,53.43,,,0.0,1.0,0.0,0.0,,21,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Strategic,Standard,213.0,-0.021,-0.169,matt thaiss,
