pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-21,89.0,1.98,5.89,"Thompson, Trayce",572204,650893,strikeout,called_strike,,,,,8,Trayce Thompson called out on strikes.,R,R,L,STL,LAD,S,2.0,,3,2,2023,1.44,0.71,-0.03,2.13,,,,0,9,Top,,,,,575929,,,-7.872562339939971,-129.49732975152634,-4.733783646209318,17.754243205845807,23.59857925289764,-23.43950494520852,3.36,1.64,,,,88.9,1685.0,6.0,718083,650893,575929,502671,669242,571448,657557,680977,663457,640458,54.55,,,0.0,1.0,0.0,0.0,,75,7,Changeup,10,5,5,10,5,10,5,10,Standard,Standard,124.0,0.003,-0.315,trayce thompson,
CH,2023-05-19,81.4,2.47,5.54,"Thompson, Trayce",572204,571927,strikeout,called_strike,,,,,8,Trayce Thompson called out on strikes.,R,R,L,STL,LAD,S,2.0,,3,2,2023,1.08,0.01,0.2,2.05,,681546.0,,2,4,Top,,,,,668800,,,-7.213035111154708,-118.39423621215414,-1.2352670082845845,11.542276856935956,22.744436889513874,-32.066568602941096,3.25,1.57,,,,81.8,2274.0,6.6,718113,571927,668800,502671,669357,571448,657557,680977,663457,640458,53.88,,,0.0,1.0,0.0,0.0,,31,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,93.0,0.041,-0.331,trayce thompson,
SI,2023-05-19,93.8,2.46,5.65,"Thompson, Trayce",572204,571927,strikeout,swinging_strike,,,,,2,Trayce Thompson strikes out swinging.,R,R,L,STL,LAD,S,2.0,,2,2,2023,1.3,0.88,-0.09,2.95,678246.0,,500743.0,1,2,Top,,,,,668800,,,-9.516218249512846,-136.18119999585073,-3.1604498090232016,18.364333174535407,31.18071437814224,-20.680347562809175,3.3,1.62,,,,94.0,2103.0,6.6,718113,571927,668800,502671,669357,571448,657557,680977,663457,640458,53.85,,,0.0,1.0,0.0,0.0,,14,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,119.0,0.068,-0.53,trayce thompson,
FF,2023-05-19,93.9,-1.9,5.75,"Thompson, Trayce",572204,669467,field_out,hit_into_play,,,,,6,Trayce Thompson flies out sharply to center fielder Lars Nootbaar.,R,R,R,STL,LAD,X,8.0,fly_ball,3,2,2023,-0.16,0.85,0.64,2.66,,,,2,6,Top,160.73,50.81,,,668800,,,7.014526954648777,-136.74228127663756,-4.299255249890511,-3.372823083945239,25.03242235956905,-20.763955472710578,3.3,1.62,376.0,103.3,22.0,95.4,2252.0,6.7,718113,669467,668800,502671,669357,571448,657557,680977,663457,640458,53.79,0.611,0.89,0.0,1.0,0.0,0.0,6.0,46,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,179.0,0.012,-0.131,trayce thompson,
SL,2023-05-18,90.7,1.8,5.75,"Thompson, Trayce",572204,650893,walk,blocked_ball,,,,,14,Trayce Thompson walks.   David Peralta to 3rd.    Miguel Rojas to 2nd.,R,R,L,STL,LAD,B,,,3,2,2023,0.26,0.56,0.08,0.58,,444482.0,500743.0,2,6,Top,,,,,575929,,,-4.861139825193558,-131.9481786414141,-8.231939794019857,4.0510280825533975,26.766209773134246,-24.14327318263052,3.37,1.62,,,,91.0,2041.0,6.4,718124,650893,575929,502671,680977,669357,657557,660766,663457,640458,54.13,,,0.7,1.0,0.0,0.0,,54,8,Slider,9,3,3,9,3,9,3,9,Strategic,Standard,171.0,-0.012,0.353,trayce thompson,
CU,2023-05-17,79.6,-0.79,5.5,"Thompson, Trayce",572204,543243,field_out,hit_into_play,,,,,2,Trayce Thompson pops out to first baseman Alex Kirilloff in foul territory.,R,R,R,LAD,MIN,X,3.0,popup,2,2,2023,0.96,-1.17,0.05,3.26,,681546.0,,1,4,Bot,156.55,188.68,,,543877,,,0.0399394707442421,-115.66099104779649,4.188477555765995,8.511207657517739,25.013816559045814,-43.71778706020329,3.32,1.63,75.0,71.1,76.0,79.3,2607.0,6.5,718136,543243,543877,666135,593871,650489,621043,663616,624503,608336,53.98,0.003,0.003,0.0,1.0,0.0,0.0,3.0,33,7,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,27.0,-0.041,-0.269,trayce thompson,
CU,2023-05-17,78.5,-0.76,5.47,"Thompson, Trayce",572204,543243,strikeout,foul_tip,,,,,5,Trayce Thompson strikes out on a foul tip.,R,R,R,LAD,MIN,S,2.0,,2,2,2023,0.94,-1.31,0.15,2.48,,,,2,2,Bot,,,,,543877,,,0.2262844730777868,-114.30936527337931,2.802986283021829,8.138774975071913,21.7957423833446,-44.346850909718896,3.32,1.63,,,,78.7,2540.0,6.5,718136,543243,543877,666135,593871,650489,621043,663616,624503,608336,54.03,,,0.0,1.0,0.0,0.0,,17,6,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,24.0,-0.011,-0.09,trayce thompson,
FF,2023-05-17,94.6,-2.22,4.88,"Thompson, Trayce",572204,592254,field_out,hit_into_play,,,,,1,Trayce Thompson pops out to catcher Christian Vazquez in foul territory.,R,R,R,LAD,MIN,X,2.0,popup,1,1,2023,-1.09,1.28,-0.72,2.82,,,,2,6,Bot,133.34,214.48,,,543877,,,6.390297101912398,-137.64846415713333,-2.5790689026416334,-15.32875621377422,30.11219881288028,-15.47477443434492,3.32,1.63,32.0,69.4,86.0,95.1,2211.0,6.6,718136,592254,543877,456781,593871,571657,621043,666135,650489,608336,53.94,0.001,0.0,0.0,1.0,0.0,0.0,3.0,53,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,218.0,-0.017,-0.097,trayce thompson,
SI,2023-05-17,93.7,-2.72,5.6,"Thompson, Trayce",572204,663485,field_out,hit_into_play,,,,,6,Trayce Thompson lines out sharply to shortstop Carlos Correa.,R,R,R,LAD,MIN,X,6.0,line_drive,2,1,2023,-1.29,0.25,0.28,2.25,,,,0,8,Bot,93.39,140.39,,,543877,,,10.444933260985362,-136.1516284294884,-3.501566708828261,-18.178193334375276,26.07305694778906,-28.51241032528987,3.32,1.63,170.0,108.3,9.0,93.0,2202.0,5.6,718136,663485,543877,456781,650489,571657,621043,666135,572191,608336,54.85,0.757,0.703,0.0,1.0,0.0,0.0,4.0,70,4,Sinker,7,3,7,3,3,7,7,3,Standard,Standard,231.0,-0.001,-0.278,trayce thompson,
FF,2023-05-15,96.6,-2.04,5.72,"Thompson, Trayce",572204,605347,walk,ball,,,,,11,Trayce Thompson walks.   Chris Taylor scores.    Freddie Freeman to 3rd.    Max Muncy to 2nd.,R,R,R,LAD,MIN,B,,,3,2,2023,-0.65,1.16,-1.03,3.52,621035.0,518692.0,571970.0,2,12,Bot,,,,,543877,,,4.167313580304931,-140.65371212621793,-2.9782064566828708,-9.609195908086232,31.900721805272163,-16.272507495549064,3.28,1.64,,,,96.8,1899.0,6.4,718159,605347,543877,456781,593871,571657,650489,666135,572191,663616,54.12,,,0.7,1.0,0.0,0.0,,106,6,4-Seam Fastball,8,8,8,8,8,9,9,8,Standard,Standard,226.0,0.342,0.915,trayce thompson,
