pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-08,87.6,1.31,6.0,"Urías, Ramón",602104,663556,walk,ball,,,,,13,Ramon Urias walks.,R,R,L,BAL,TB,B,,,3,1,2023,-0.32,0.53,-2.17,0.28,,,,0,5,Bot,,,,,642336,,,-7.860031636302617,-127.17330151399118,-8.866113252715689,-1.8224082483670565,26.944734469049237,-24.76333843253147,3.07,1.44,,,,88.9,2196.0,7.3,718259,663556,642336,670042,664040,670764,677551,668227,642350,666139,53.17,,,0.7,1.0,0.0,0.0,,39,5,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,157.0,0.055,0.23,ramón urías,
FF,2023-05-08,97.0,0.65,6.14,"Urías, Ramón",602104,663556,walk,ball,,,,,11,Ramon Urias walks.   Adam Frazier to 2nd.,R,R,L,BAL,TB,B,,,3,1,2023,0.88,1.34,-1.15,3.11,,,624428.0,2,2,Bot,,,,,642336,,,-6.953026951147637,-140.98321027071043,-5.701683411785498,13.29052110899304,32.065635794952044,-13.137134983207003,3.11,1.44,,,,98.4,2186.0,7.1,718259,663556,642336,670042,664040,670764,677551,668227,642350,666139,53.36,,,0.7,1.0,0.0,0.0,,17,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,139.0,0.023,0.125,ramón urías,
SL,2023-05-08,84.7,-1.72,5.84,"Urías, Ramón",602104,592094,single,hit_into_play,,,,,13,Ramon Urias singles on a line drive to center fielder Jose Siri.,R,R,R,BAL,TB,X,8.0,line_drive,0,0,2023,0.15,-0.19,-0.92,2.05,,,,2,9,Bot,102.77,75.68,,,642336,,,1.569723823420667,-123.36906819718472,-2.139503261584597,1.2038518753768055,24.910467733247405,-33.923274249573524,3.13,1.46,235.0,95.9,13.0,85.3,2514.0,6.6,718259,592094,642336,670623,664040,670764,677551,668227,642350,666139,53.85,0.931,0.885,0.9,1.0,1.0,0.0,4.0,72,1,Slider,0,3,0,3,3,0,0,3,Standard,Standard,83.0,0.009,0.136,ramón urías,
SL,2023-05-08,85.0,1.19,6.41,"Urías, Ramón",602104,621363,field_out,hit_into_play,,,,,7,"Ramon Urias grounds out, third baseman Taylor Walls to first baseman Luke Raley.",R,R,L,BAL,TB,X,5.0,ground_ball,1,2,2023,-0.57,0.07,-0.8,1.84,,,,1,7,Bot,103.97,159.22,,,642336,,,-3.572938720457936,-123.81767687745224,-4.574846591257804,-5.1113839949704944,24.46930599254648,-30.796261262327597,3.13,1.46,62.0,98.0,2.0,86.0,2451.0,6.9,718259,621363,642336,670042,664040,670764,677551,668227,642350,666139,53.63,0.457,0.445,0.0,1.0,0.0,0.0,4.0,56,5,Slider,0,2,0,2,2,0,0,2,Standard,Standard,239.0,-0.026,-0.122,ramón urías,
SL,2023-05-07,83.0,-1.16,6.52,"Urías, Ramón",602104,693821,walk,blocked_ball,,,,,14,Ramon Urias walks.   Adam Frazier to 2nd.,R,R,R,ATL,BAL,B,,,3,2,2023,-0.01,-0.76,1.05,0.57,,,624428.0,1,6,Top,,,,,644433,,,5.058349871045777,-120.76794479949524,-5.62972434225685,-1.102902438162619,23.595446052819245,-38.730846506759534,3.1,1.48,,,,82.8,2537.0,6.1,718277,693821,644433,621566,645277,663586,606115,592696,671739,660670,54.36,,,0.7,1.0,0.0,0.0,,45,10,Slider,1,1,1,1,1,1,1,1,Standard,Standard,12.0,-0.05,0.306,ramón urías,
SL,2023-05-07,82.1,-1.41,6.62,"Urías, Ramón",602104,693821,field_out,hit_into_play,,,,,5,"Ramon Urias grounds out, shortstop Orlando Arcia to first baseman Matt Olson.   Austin Hays scores.",R,R,R,ATL,BAL,X,6.0,ground_ball,0,0,2023,-0.21,-0.22,-0.04,2.36,669720.0,624428.0,,0,4,Top,103.79,150.21,,,644433,,,3.502291808603591,-119.6309809468619,-2.68753942667314,-2.649478825561448,22.68744587509161,-33.94855933763566,3.14,1.48,8.0,89.4,-17.0,81.9,2502.0,6.0,718277,693821,644433,621566,645277,663586,606115,592696,671739,660670,54.48,0.111,0.1,0.0,1.0,0.0,0.0,2.0,27,1,Slider,1,0,0,1,1,1,1,1,Standard,Standard,17.0,0.032,-0.311,ramón urías,
SI,2023-05-07,91.2,-1.42,6.65,"Urías, Ramón",602104,693821,field_out,hit_into_play,,,,,5,"Ramon Urias grounds out, pitcher Bryce Elder to first baseman Matt Olson.",R,R,R,ATL,BAL,X,1.0,ground_ball,2,2,2023,-1.04,0.8,0.02,2.56,,,624428.0,2,2,Top,129.23,184.13,,,644433,,,5.810340951086874,-132.6260363604285,-6.08369248257181,-13.529111202550238,27.336786375483094,-21.64395705687574,3.14,1.48,11.0,101.2,-12.0,90.7,1944.0,5.9,718277,693821,644433,621566,645277,663586,606115,592696,671739,660670,54.55,0.217,0.195,0.0,1.0,0.0,0.0,2.0,11,7,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,209.0,0.025,-0.207,ramón urías,
SI,2023-05-07,95.0,-3.77,5.32,"Urías, Ramón",602104,543859,strikeout,swinging_strike,,,,,1,Ramon Urias strikes out swinging.,R,R,R,ATL,BAL,S,2.0,,2,2,2023,-0.9,1.08,-0.28,3.2,,,,2,11,Top,,,,,669221,,,11.112703167287131,-138.08193454462034,-2.3380633952720022,-13.839202305198802,27.684611918657385,-17.968866438198543,3.14,1.48,,,,95.1,2360.0,6.2,718277,543859,669221,621566,645277,663586,606115,656541,671739,660670,54.33,,,0.0,1.0,0.0,0.0,,79,5,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,239.0,0.051,-0.09,ramón urías,
SL,2023-05-07,85.4,1.88,6.58,"Urías, Ramón",602104,669276,field_out,hit_into_play,,,,,5,"Ramon Urias grounds out, third baseman Austin Riley to first baseman Matt Olson.",R,R,L,ATL,BAL,X,5.0,ground_ball,0,2,2023,-0.44,0.47,0.05,2.55,,,,2,8,Top,98.52,172.23,,,644433,,,-3.4337989583940995,-124.31202709751535,-4.138781311310558,-3.8022172491517168,25.407451387116065,-26.64603732356743,3.14,1.48,29.0,79.7,-3.0,85.5,2150.0,6.4,718277,669276,644433,621566,645277,663586,606115,592696,671739,660670,54.11,0.134,0.121,0.0,1.0,0.0,0.0,2.0,60,3,Slider,1,1,1,1,1,1,1,1,Standard,Strategic,177.0,0.025,-0.057,ramón urías,
FF,2023-05-06,97.9,-2.04,6.02,"Urías, Ramón",602104,675911,strikeout,called_strike,,,,,2,Ramon Urias called out on strikes.,R,R,R,ATL,BAL,S,2.0,,3,2,2023,-0.59,1.57,0.21,2.56,,,,1,5,Top,,,,,669221,,,7.516350902003585,-142.18571849210213,-7.481131498527898,-9.789299069143755,34.80787143540346,-9.316467787696562,3.06,1.45,,,,98.6,2341.0,6.9,718283,675911,669221,621566,645277,663586,687093,592696,671739,660670,53.56,,,0.0,1.0,0.0,0.0,,34,6,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,198.0,0.021,-0.211,ramón urías,
