pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-25,97.2,2.55,5.88,"Vargas, Ildemaro",545121,623352,strikeout,foul_tip,,,,,12,Ildemaro Vargas strikes out on a foul tip.,R,R,L,WSH,SD,S,2.0,,2,2,2023,0.65,1.53,0.35,3.69,,,,0,9,Bot,,,,,543592,,,-7.4888633692493585,-141.34473076153824,-3.877109450606352,10.489817508072514,33.655993695026055,-11.040808940255824,3.2,1.48,,,,98.5,2248.0,7.1,718035,623352,543592,641525,630105,596059,593428,665742,663757,665487,53.37,,,0.0,1.0,0.0,0.0,,85,5,Sinker,6,8,6,8,8,6,6,8,Standard,Standard,149.0,-0.044,-0.205,ildemaro vargas,
FC,2023-05-21,86.8,1.82,6.01,"Vargas, Ildemaro",545121,666214,home_run,hit_into_play,,,,,7,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,X,,fly_ball,3,2,2023,0.06,0.4,-0.28,2.01,,,642086.0,0,3,Bot,52.78,58.32,,,668670,,,-5.183580180602879,-126.377840363421,-4.269627835774234,1.705861533930047,24.992617457811452,-27.17543833145309,3.19,1.48,395.0,103.5,25.0,87.3,2338.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.0,0.886,1.611,2.0,1.0,0.0,3.0,6.0,30,6,Cutter,4,1,4,1,1,6,6,1,Strategic,Standard,142.0,0.075,1.492,ildemaro vargas,
CU,2023-05-21,78.5,1.66,6.26,"Vargas, Ildemaro",545121,666214,single,hit_into_play,,,,,6,Ildemaro Vargas singles on a ground ball to center fielder Riley Greene.   Dominic Smith to 2nd.,R,R,L,WSH,DET,X,8.0,ground_ball,1,2,2023,-0.55,-0.73,0.32,2.39,,,642086.0,2,1,Bot,115.73,99.02,,,668670,,,-1.882338357070852,-114.41519504246692,-0.2968783362829161,-4.5663730393084245,18.21671598520682,-38.75902604988715,3.19,1.48,41.0,100.4,-1.0,79.2,2533.0,6.4,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.12,0.337,0.334,0.9,1.0,1.0,0.0,2.0,11,4,Curveball,3,0,3,0,0,3,3,0,Strategic,Standard,321.0,0.011,0.379,ildemaro vargas,
FF,2023-05-21,90.7,-1.98,5.84,"Vargas, Ildemaro",545121,669438,field_out,hit_into_play,,,,,12,"Ildemaro Vargas grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,L,R,WSH,DET,X,5.0,ground_ball,0,2,2023,-1.01,1.24,0.98,3.25,,,,0,5,Bot,104.33,152.79,,,668670,,,9.443540299682589,-131.73840600229033,-3.1752312727659344,-13.73381964855852,27.89090556389603,-17.183103802663066,3.19,1.48,102.0,53.4,18.0,89.9,2284.0,5.9,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.64,0.157,0.141,0.0,1.0,0.0,0.0,1.0,48,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Strategic,Standard,217.0,-0.003,-0.149,ildemaro vargas,
FC,2023-05-21,86.6,1.34,5.78,"Vargas, Ildemaro",545121,641302,field_out,hit_into_play,,,,,1,Ildemaro Vargas lines out to center fielder Riley Greene.,R,R,L,WSH,DET,X,8.0,line_drive,0,0,2023,-0.27,0.79,-0.41,2.95,,,,0,7,Bot,119.27,80.99,,,668670,,,-3.624256159331285,-126.09065562300464,-2.1980429276611737,-2.192228712578073,24.46538377672886,-23.49710958001937,3.19,1.48,295.0,85.6,24.0,87.0,2290.0,6.4,718089,641302,668670,679529,665155,656716,595879,668731,682985,663837,54.09,0.149,0.134,0.0,1.0,0.0,0.0,3.0,70,1,Cutter,6,4,6,4,4,6,6,4,Standard,Standard,159.0,-0.01,-0.235,ildemaro vargas,
FF,2023-05-20,93.8,-1.56,6.2,"Vargas, Ildemaro",545121,656412,single,hit_into_play,,,,,2,Ildemaro Vargas singles on a ground ball to left fielder Eric Haase.,R,L,R,WSH,DET,X,7.0,ground_ball,3,1,2023,-0.98,1.14,-0.2,3.09,,,,1,5,Bot,99.91,97.8,,,668670,,,5.647457021956591,-136.42496751273842,-4.806841645374531,-13.523215778508524,30.136578783172844,-17.05652017489437,3.22,1.5,114.0,103.1,4.0,93.0,2357.0,5.9,718108,656412,668670,679529,628451,570731,595879,606992,682985,663837,54.64,0.589,0.576,0.9,1.0,1.0,0.0,4.0,36,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,225.0,0.039,0.164,ildemaro vargas,
CH,2023-05-20,87.1,-1.55,6.16,"Vargas, Ildemaro",545121,656412,field_out,hit_into_play,,,,,7,"Ildemaro Vargas grounds out, second baseman Andy Ibanez to first baseman Spencer Torkelson.",R,L,R,WSH,DET,X,4.0,ground_ball,1,2,2023,-1.25,0.63,-0.42,1.84,,,,2,2,Bot,149.15,152.62,,,668670,,,5.250467920507065,-126.63800397403352,-5.47016929116508,-14.53562347805076,26.04017853934296,-24.427654744548256,3.22,1.5,8.0,77.0,-12.0,86.5,1885.0,5.9,718108,656412,668670,679529,628451,570731,595879,606992,682985,663837,54.56,0.077,0.077,0.0,1.0,0.0,0.0,2.0,16,7,Changeup,0,2,0,2,2,0,0,2,Strategic,Standard,239.0,-0.011,-0.071,ildemaro vargas,
CH,2023-05-20,83.0,1.2,6.02,"Vargas, Ildemaro",545121,663947,field_out,hit_into_play,,,,,14,Ildemaro Vargas lines out to shortstop Javier Baez.,R,R,L,WSH,DET,X,6.0,line_drive,0,2,2023,1.18,0.71,1.32,1.38,,,,0,7,Bot,106.51,150.59,,,606992,,,-2.0428522109661635,-120.83308856532604,-5.595968157488612,11.975928867298046,22.58431657799216,-24.351177569876008,3.22,1.5,153.0,86.4,9.0,83.8,1607.0,6.7,718108,663947,606992,679529,628451,570731,595879,656716,682985,663837,53.82,0.454,0.415,0.0,1.0,0.0,0.0,4.0,53,3,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,119.0,-0.01,-0.149,ildemaro vargas,
CH,2023-05-18,85.7,-3.85,5.73,"Vargas, Ildemaro",545121,571670,field_out,hit_into_play,,,,,13,"Ildemaro Vargas grounds out, second baseman Luis Arraez to first baseman Garrett Cooper.",R,L,R,MIA,WSH,X,4.0,ground_ball,1,1,2023,-1.51,0.29,-0.52,1.35,642086.0,,,2,9,Top,130.64,189.22,,,663743,,,10.838544969500589,-124.22963090351902,-4.582648010570446,-17.824652925085676,25.209062127284792,-28.4222000873074,3.23,1.5,36.0,91.6,0.0,85.2,1876.0,6.2,718130,571670,663743,643265,650333,516416,621563,650559,641658,680814,54.31,0.326,0.299,0.0,1.0,0.0,0.0,2.0,72,3,Changeup,5,3,3,5,3,5,3,5,Standard,Standard,252.0,0.034,-0.362,ildemaro vargas,
CU,2023-05-17,85.2,-1.62,6.36,"Vargas, Ildemaro",545121,665795,field_out,hit_into_play,,,,,11,"Ildemaro Vargas grounds out, shortstop Jon Berti to first baseman Yuli Gurriel.",R,L,R,MIA,WSH,X,6.0,ground_ball,1,2,2023,1.16,-0.47,-1.23,2.4,600869.0,,,2,4,Top,127.09,135.06,,,607732,,,-1.4173811408886012,-124.15814609688434,-2.087174185072959,12.26588111662045,24.820551955562756,-36.83142087460032,3.23,1.51,23.0,81.8,-4.0,85.3,2679.0,6.3,718132,665795,607732,493329,650333,516416,542932,650559,641658,624585,54.2,0.154,0.159,0.0,1.0,0.0,0.0,2.0,27,4,Curveball,1,2,2,1,2,1,2,1,Standard,Standard,40.0,0.04,-0.305,ildemaro vargas,
CU,2023-05-17,84.7,-1.83,6.29,"Vargas, Ildemaro",545121,665795,single,hit_into_play,,,,,4,Ildemaro Vargas singles on a ground ball to left fielder Bryan De La Cruz.,R,L,R,MIA,WSH,X,7.0,ground_ball,1,1,2023,0.92,-0.58,-0.47,2.61,,,,1,2,Top,108.84,140.24,,,607732,,,1.3460919990006657,-123.4550545775936,-1.1297117416552456,9.161686293144475,24.582953628572103,-38.1330479777312,3.23,1.51,19.0,102.6,-7.0,84.9,2551.0,6.3,718132,665795,607732,493329,650333,516416,542932,650559,641658,624585,54.15,0.274,0.257,0.9,1.0,1.0,0.0,2.0,10,3,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,35.0,-0.019,0.278,ildemaro vargas,
