pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-04,87.5,-1.96,5.31,"Velasquez, Vince",677551,592826,field_out,hit_into_play,,,,,14,"Wander Franco grounds out, shortstop Tucupita Marcano to first baseman Carlos Santana.",R,L,R,TB,PIT,X,6.0,ground_ball,1,1,2023,-1.15,0.56,0.11,1.12,,,,2,3,Bot,113.84,147.22,,,641511,,,7.411872887196931,-127.10197184146767,-5.133077110941727,-13.99830802083603,27.118519773971148,-25.19862902578862,3.32,1.48,9.0,99.0,-7.0,87.9,1533.0,6.8,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.74,0.263,0.24,0.0,1.0,0.0,0.0,2.0,20,3,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,233.0,-0.009,-0.097
FF,2023-05-04,91.0,-1.96,5.42,"Velasquez, Vince",677551,592826,,called_strike,,,,,8,"Wander Franco grounds out, shortstop Tucupita Marcano to first baseman Carlos Santana.",R,L,R,TB,PIT,S,,,1,0,2023,-0.1,1.37,0.27,1.45,,,,2,3,Bot,,,,,641511,,,5.851618995349004,-132.20443997292548,-6.96477341253263,-2.5590037640703285,30.94222268175783,-14.758154106093617,3.3,1.48,,,,91.2,2415.0,6.7,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.78,,,,,,,,20,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,203.0,0.0,-0.027
CH,2023-05-04,86.4,-1.92,5.34,"Velasquez, Vince",677551,592826,,ball,,,,,13,"Wander Franco grounds out, shortstop Tucupita Marcano to first baseman Carlos Santana.",R,L,R,TB,PIT,B,,,0,0,2023,-1.4,0.53,-1.24,1.05,,,,2,3,Bot,,,,,641511,,,4.507145728865071,-125.75407708912348,-5.082194702478388,-15.800957102069171,26.46732849074896,-25.731949122480277,3.34,1.48,,,,86.7,1497.0,6.6,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.93,,,,,,,,20,1,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,232.0,0.0,0.021
SL,2023-05-04,77.3,-1.83,5.62,"Velasquez, Vince",650490,592826,field_out,hit_into_play,,,,,8,"Yandy Diaz grounds out, third baseman Ke'Bryan Hayes to first baseman Carlos Santana.",R,R,R,TB,PIT,X,5.0,ground_ball,0,0,2023,0.63,-0.18,0.16,2.12,,,,1,3,Bot,94.07,165.47,,,641511,,,3.0805012693757416,-112.48943947432149,-0.1159400876589815,4.681590388312198,22.393445603606462,-33.89149184592711,3.42,1.62,109.0,91.2,7.0,77.0,2319.0,6.3,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,54.19,0.477,0.429,0.0,1.0,0.0,0.0,4.0,19,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,63.0,-0.015,-0.172
SL,2023-05-04,81.3,-1.91,5.42,"Velasquez, Vince",622534,592826,field_out,hit_into_play,,,,,9,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,X,4.0,ground_ball,2,2,2023,0.86,0.41,0.74,1.54,,,,0,3,Bot,140.91,161.24,,,641511,,,4.308693823837709,-118.31601167505966,-2.8312493399245224,7.177597314097165,23.810559464783854,-27.969307887229856,3.27,1.54,33.0,63.0,0.0,81.1,2466.0,6.3,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,54.2,0.131,0.119,0.0,1.0,0.0,0.0,2.0,18,6,Slider,1,0,1,0,0,1,1,0,Standard,Standard,94.0,-0.02,-0.205
CH,2023-05-04,85.9,-1.94,5.41,"Velasquez, Vince",622534,592826,,foul,,,,,13,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,S,,,2,2,2023,-1.1,0.7,-0.86,1.8,,,,0,3,Bot,,,,,641511,,,4.841841881581432,-125.0696085504021,-3.8021951152730704,-12.53040430421994,23.2917083559948,-24.24785820571084,3.27,1.54,11.0,93.7,-10.0,87.0,1608.0,6.8,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.7,,,,,,,,18,5,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,231.0,0.0,0.0
SL,2023-05-04,81.4,-1.87,5.45,"Velasquez, Vince",622534,592826,,called_strike,,,,,14,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,S,,,2,1,2023,0.6,0.37,0.97,1.84,,,,0,3,Bot,,,,,641511,,,5.235371412751972,-118.52021929276609,-2.2606558113049164,4.6537971424180125,22.21006384048568,-28.419992021154847,3.28,1.53,,,,81.7,2427.0,6.4,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,54.11,,,,,,,,18,4,Slider,1,0,1,0,0,1,1,0,Standard,Standard,101.0,0.0,-0.073
FF,2023-05-04,91.9,-1.98,5.47,"Velasquez, Vince",622534,592826,,ball,,,,,14,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,B,,,1,1,2023,-0.61,1.55,0.89,-0.1,,,,0,3,Bot,,,,,641511,,,8.60711645040115,-133.12375328841608,-11.655186212062576,-9.00335366204024,27.15386424616628,-11.3685597686048,3.26,1.54,,,,92.4,2493.0,6.7,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.77,,,,,,,,18,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,206.0,0.0,0.05
SL,2023-05-04,81.8,-1.77,5.6,"Velasquez, Vince",622534,592826,,ball,,,,,14,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,B,,,0,1,2023,0.72,-0.21,1.03,1.54,,,,0,3,Bot,,,,,641511,,,4.967073189971837,-119.0868250137108,-2.181745554534556,5.848483489687622,23.32973074377005,-33.992601464281194,3.28,1.54,,,,82.3,2564.0,6.6,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.86,,,,,,,,18,2,Slider,1,0,1,0,0,1,1,0,Standard,Standard,62.0,0.0,0.03
FF,2023-05-04,92.0,-1.78,5.45,"Velasquez, Vince",622534,592826,,foul,,,,,6,"Manuel Margot grounds out, second baseman Ji Hwan Bae to first baseman Carlos Santana.",R,R,R,TB,PIT,S,,,0,0,2023,-0.26,1.68,0.7,2.18,,,,0,3,Bot,,,,,641511,,,6.922189837603251,-133.74715639595746,-6.127041405955687,-4.636699141710289,29.150572879016973,-10.88040719027237,3.27,1.54,209.0,72.3,45.0,92.7,2599.0,6.8,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.75,,,,,,,,18,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,204.0,0.0,-0.037
SL,2023-05-04,84.0,-1.86,5.4,"Velasquez, Vince",542194,592826,strikeout,swinging_strike,,,,,14,Christian Bethancourt strikes out swinging.,R,R,R,TB,PIT,S,2.0,,1,2,2023,0.88,-0.23,1.22,1.18,,,,2,2,Bot,,,,,641511,,,5.413871283893638,-122.12522883963987,-2.888783841765361,7.570030191118906,26.353295693552948,-34.01500474299176,3.42,1.67,,,,84.1,2481.0,6.6,718309,592826,641511,467793,678225,663647,672779,668804,669261,656582,53.87,,,0.0,1.0,0.0,0.0,,14,5,Slider,1,0,1,0,0,1,1,0,Standard,Standard,79.0,-0.009,-0.071
