pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CU,2023-05-25,46.7,-1.36,6.85,"Vientos, Mark",668901,571466,field_out,hit_into_play,,,,,12,Mark Vientos pops out to second baseman Miles Mastrobuoni.,R,R,R,CHC,NYM,X,4.0,popup,0,0,2023,-0.28,1.25,0.02,4.04,,,516782.0,0,9,Top,143.47,134.43,,,543228,,,1.973074805373696,-67.41371140147734,6.346925586614201,-1.0915744358503388,8.067653584456004,-29.390091487322337,3.65,1.7,171.0,81.4,58.0,44.1,1243,3.8,718024,571466,543228,670223,670156,621458,621020,621550,643565,673548,56.72,0.034,0.037,0.0,1.0,0.0,0.0,3.0,77,1,Curveball,1,10,10,1,10,1,10,1,Standard,Standard,206,0.0,-0.359,mark vientos,
SI,2023-05-23,92.2,1.77,6.37,"Vientos, Mark",668901,592767,strikeout,foul_tip,,,,,1,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,2.0,,3,2,2023,0.56,1.44,-0.49,3.37,,,,1,4,Top,,,,,543228,,,-6.91074515346821,-134.09242508452436,-4.869274859967599,8.266491767781849,29.10096427051912,-13.95706009683127,3.64,1.69,,,,91.3,2026,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.71,,,0.0,1.0,0.0,0.0,,28,6,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,139,0.015,-0.211,mark vientos,
KC,2023-05-23,79.8,1.95,6.44,"Vientos, Mark",668901,592767,strikeout,foul_tip,,,,,8,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,2.0,,2,2,2023,0.26,-0.23,0.18,2.18,,607043.0,624413.0,2,1,Top,,,,,543228,,,-4.335272028985525,-116.18947900283078,-2.268225777435622,3.0916189722200342,19.444628832013628,-34.076176869858806,3.64,1.69,,,,79.3,2110,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.84,,,0.0,1.0,0.0,0.0,,5,6,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,6,0.042,-0.358,mark vientos,
SL,2023-05-21,85.5,-1.53,5.52,"Vientos, Mark",668901,669456,strikeout,foul_tip,,,,,14,Mark Vientos strikes out on a foul tip.,R,R,R,NYM,CLE,S,2.0,,0,2,2023,0.23,-0.08,1.37,1.35,,,,1,7,Bot,,,,,595956,,,6.4245084198221685,-124.46197135785934,-3.480124257007244,1.3405272345281716,21.55390062435032,-32.62293122286167,3.63,1.67,,,,86.7,2594,6.8,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.74,,,0.0,1.0,0.0,0.0,,49,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,86,-0.028,-0.107,mark vientos,
SL,2023-05-21,84.0,-1.42,5.58,"Vientos, Mark",668901,669456,force_out,hit_into_play,,,,,9,"Mark Vientos grounds into a force out, third baseman Jose Ramirez to second baseman Andres Gimenez.   Mark Canha out at 2nd.",R,R,R,NYM,CLE,X,5.0,ground_ball,1,1,2023,0.11,-0.06,0.71,2.21,,,592192.0,2,4,Bot,107.82,166.62,,,595956,,,4.77884893761169,-122.25498511783456,-1.2694743006644007,0.0954217210383135,25.4297250127606,-32.740834282040055,3.63,1.67,8.0,81.9,-15.0,84.7,2566,6.9,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.64,0.094,0.1,0.0,1.0,0.0,0.0,2.0,30,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,52,-0.031,-0.233,mark vientos,
FC,2023-05-21,86.6,-1.53,5.61,"Vientos, Mark",668901,669456,field_out,hit_into_play,,,,,14,"Mark Vientos grounds out, shortstop Gabriel Arias to first baseman Josh Naylor.",R,R,R,NYM,CLE,X,6.0,ground_ball,2,1,2023,0.36,0.5,0.9,1.42,,,,2,2,Bot,112.67,148.44,,,595956,,,5.134582839518611,-126.07182411052834,-4.910513551398589,2.847065421270231,23.94756105654921,-26.10182607023873,3.63,1.67,7.0,83.1,-12.0,87.6,2443,6.8,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.72,0.094,0.085,0.0,1.0,0.0,0.0,2.0,15,4,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,202,-0.011,-0.12,mark vientos,
SI,2023-05-19,94.8,-0.66,6.3,"Vientos, Mark",668901,615698,strikeout,swinging_strike,,,,,6,Mark Vientos strikes out swinging.,R,R,R,NYM,CLE,S,2.0,,1,2,2023,-0.64,1.43,0.39,2.72,,,,1,6,Bot,,,,,595956,,,4.212783198856952,-137.8365241696858,-6.938158621637762,-9.089047965355451,30.227804448334677,-12.534082610694316,3.62,1.66,,,,95.5,2135,6.7,718119,615698,595956,605137,665926,608070,642708,680757,664702,686823,53.81,,,0.0,1.0,0.0,0.0,,50,4,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,224,-0.023,-0.122,mark vientos,
FC,2023-05-19,85.9,-1.22,6.21,"Vientos, Mark",668901,615698,force_out,hit_into_play,,,,,7,"Mark Vientos grounds into a force out, fielded by third baseman Jose Ramirez.   Brett Baty out at 3rd.",R,R,R,NYM,CLE,X,5.0,ground_ball,0,1,2023,0.1,0.42,-0.55,1.68,,683146.0,516782.0,2,4,Bot,101.15,166.01,,,595956,,,1.389673357536101,-125.2249630769214,-5.42213467191808,0.8125229403143216,22.48791708569709,-26.9714589583706,3.62,1.66,26.0,102.6,-3.0,86.8,2074,6.5,718119,615698,595956,605137,665926,608070,642708,680757,664702,686823,53.99,0.383,0.345,0.0,1.0,0.0,0.0,2.0,32,2,Cutter,0,4,0,4,4,0,0,4,Standard,Standard,180,-0.034,-0.383,mark vientos,
SI,2023-05-19,95.1,-1.0,6.41,"Vientos, Mark",668901,615698,fielders_choice_out,hit_into_play,,,,,13,"Mark Vientos reaches on a fielder's choice out, third baseman Jose Ramirez to second baseman Andres Gimenez.   Brett Baty out at 3rd.",R,R,R,NYM,CLE,X,5.0,ground_ball,0,0,2023,-1.62,0.91,-1.4,2.42,,683146.0,,2,2,Bot,108.97,178.01,,,595956,,,2.6010815529820484,-138.3087859018695,-6.830145159128703,-21.2471442935174,33.365115178309296,-19.122154463019864,3.62,1.66,24.0,50.3,-1.0,95.5,2110,6.7,718119,615698,595956,605137,665926,608070,642708,680757,664702,686823,53.76,0.114,0.108,0.0,1.0,0.0,0.0,1.0,17,1,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,217,-0.023,-0.326,mark vientos,
CU,2023-05-19,82.9,-0.24,6.54,"Vientos, Mark",668901,675916,walk,ball,,,,,11,Mark Vientos walks.,R,R,R,NYM,CLE,B,,,3,1,2023,0.04,-0.67,-0.79,4.24,,,,2,7,Bot,,,,,595956,,,-1.330929907394149,-120.7488324744292,2.470779389614618,0.6416836729681336,22.574880467823768,-39.41229825843973,3.62,1.71,,,,82.5,2341,5.9,718119,675916,595956,672356,665926,608070,642708,680757,664702,686823,54.59,,,0.7,1.0,0.0,0.0,,67,5,Curveball,7,7,7,7,7,7,7,7,Standard,Standard,22,0.021,0.066,mark vientos,
