pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-13,93.2,2.21,5.76,"Voit, Luke",572228,657031,strikeout,called_strike,,,,,3,Luke Voit called out on strikes.,R,R,L,MIL,KC,S,2.0,,3,2,2023,0.1,1.31,0.51,3.34,,,,0,6,Bot,,,,,521692,,,-4.66382999114011,-135.7079686154885,-3.393935449130807,2.235833819346113,28.383240606910395,-15.415150600386296,3.38,1.6,,,,95.0,2221.0,7.2,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.32,,,0.0,1.0,0.0,0.0,,48,6,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,167.0,-0.033,-0.315,luke voit,
FF,2023-05-13,101.4,0.26,6.09,"Voit, Luke",572228,547973,strikeout,swinging_strike,,,,,4,Luke Voit strikes out swinging.,R,R,L,MIL,KC,S,2.0,,1,2,2023,0.25,1.67,-0.38,2.56,,,,0,8,Bot,,,,,521692,,,-2.4180914253935346,-147.39174447872293,-8.694593396244361,4.222384123728217,37.225804405239,-5.976380447731272,3.38,1.61,,,,103.1,2600.0,7.4,718183,547973,521692,668472,686681,681987,677951,658668,598265,669004,53.12,,,0.0,1.0,0.0,0.0,,64,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,178.0,-0.046,-0.175,luke voit,
SL,2023-05-12,84.7,-2.97,5.82,"Voit, Luke",572228,666721,single,hit_into_play,,,,,7,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,X,7.0,line_drive,3,2,2023,-0.19,0.74,-0.35,1.69,,,,0,6,Bot,69.7,109.57,,,666023,,,6.579282871672271,-123.19768295088608,-4.859965993354207,-3.203791829321276,22.754268890717416,-23.84225574003877,3.38,1.62,185.0,87.4,15.0,85.6,2247.0,6.8,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.74,0.977,0.915,0.9,1.0,1.0,0.0,4.0,48,7,Slider,3,0,3,0,0,3,3,0,Standard,Standard,122.0,0.011,0.314,luke voit,
FF,2023-05-12,93.1,-2.85,5.96,"Voit, Luke",572228,666721,strikeout,swinging_strike,,,,,11,Luke Voit strikes out swinging.,R,R,R,MIL,KC,S,2.0,,0,2,2023,-0.92,1.1,-0.25,3.89,,,605119.0,0,4,Bot,,,,,666023,,,8.764131638873264,-135.32311650817462,-1.9790270157114256,-13.190182764208464,28.663113976935517,-18.364978241439516,3.38,1.62,,,,93.8,2082.0,6.7,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.8,,,0.0,1.0,0.0,0.0,,33,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,222.0,-0.021,-0.249,luke voit,
FF,2023-05-12,95.0,-2.64,5.97,"Voit, Luke",572228,666721,walk,ball,,,,,14,Luke Voit walks.,R,R,R,MIL,KC,B,,,3,2,2023,-1.07,1.21,1.0,1.55,,,,0,2,Bot,,,,,666023,,,11.983394117682693,-137.70563557987285,-8.669913951250763,-16.198807242504216,29.343378203177465,-14.974245013427495,3.29,1.61,,,,95.7,2184.0,6.8,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.69,,,0.7,1.0,0.0,0.0,,15,6,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,228.0,0.031,0.316,luke voit,
FF,2023-05-10,91.8,1.52,5.96,"Voit, Luke",572228,477132,double,hit_into_play,,,,,9,Luke Voit doubles (3) on a sharp fly ball to left fielder Trayce Thompson.,R,R,L,MIL,LAD,X,7.0,fly_ball,2,2,2023,-0.03,1.44,0.5,2.0,,,,1,5,Bot,119.18,36.01,,,605131,,,-2.5421762158059384,-133.62253316450355,-7.321600751324924,0.1280685220175852,28.311198621669146,-13.605737533446968,3.41,1.64,403.0,102.2,29.0,92.3,2386.0,6.6,718228,477132,605131,518692,678246,621035,500743,572204,681546,605141,53.94,0.706,1.364,1.25,1.0,1.0,1.0,6.0,37,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,181.0,0.044,0.444,luke voit,
FF,2023-05-10,91.3,1.6,5.98,"Voit, Luke",572228,477132,strikeout,called_strike,,,,,6,Luke Voit called out on strikes.,R,R,L,MIL,LAD,S,2.0,,1,2,2023,-0.18,1.49,0.51,2.34,,,,2,2,Bot,,,,,605131,,,-2.383828429380971,-132.8999762077394,-6.509657291339865,-1.572786585759591,28.793097549802077,-13.295707714486312,3.3,1.64,,,,91.5,2391.0,6.4,718228,477132,605131,518692,678246,621035,500743,572204,681546,605141,54.07,,,0.0,1.0,0.0,0.0,,13,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,169.0,-0.011,-0.071,luke voit,
CH,2023-05-10,86.6,-3.48,5.67,"Voit, Luke",572228,593833,strikeout,swinging_strike,,,,,14,Luke Voit strikes out swinging.,R,R,R,MIL,LAD,S,2.0,,0,2,2023,-1.47,0.31,0.0,1.22,,,,0,8,Bot,,,,,605131,,,11.26760369903393,-125.5923905379534,-5.039728522798656,-17.760944464390754,24.172360770856184,-28.02623188598289,3.41,1.64,,,,86.5,1976.0,6.3,718228,593833,605131,518692,678246,621035,500743,444482,681546,605141,54.19,,,0.0,1.0,0.0,0.0,,63,3,Changeup,1,8,1,8,8,1,1,8,Standard,Standard,229.0,-0.002,-0.149,luke voit,
SI,2023-05-09,94.3,2.15,4.62,"Voit, Luke",572228,624647,strikeout,called_strike,,,,,8,Luke Voit called out on strikes.,R,R,L,MIL,LAD,S,2.0,,0,2,2023,1.65,0.49,-0.15,1.78,,,,2,6,Bot,,,,,669257,,,-9.644219212580648,-137.0678260158926,-2.79113945439274,22.95815160030345,29.963980390492264,-25.523385915336405,3.29,1.52,,,,94.2,2242.0,6.3,718241,624647,669257,518692,678246,571970,500743,621035,572204,605141,54.23,,,0.0,1.0,0.0,0.0,,46,3,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,117.0,-0.002,-0.057,luke voit,
SI,2023-05-09,98.1,-1.56,6.26,"Voit, Luke",572228,660813,single,hit_into_play,,,,,11,Luke Voit singles on a ground ball to left fielder Chris Taylor.   Christian Yelich to 2nd.,R,R,R,MIL,LAD,X,7.0,ground_ball,2,1,2023,-1.44,0.85,-0.88,2.97,,,592885.0,2,8,Bot,73.09,118.34,,,669257,,,5.097517662696111,-142.71371077627913,-5.322493380448687,-20.82853812139464,33.03649041005585,-19.5493088910688,3.41,1.64,108.0,92.3,8.0,96.9,2125.0,5.7,718241,660813,669257,518692,678246,571970,500743,621035,572204,605141,54.85,0.546,0.52,0.9,1.0,1.0,0.0,4.0,67,4,Sinker,2,6,2,6,6,2,2,6,Strategic,Standard,217.0,0.013,0.286,luke voit,
SL,2023-05-05,84.4,3.2,5.65,"Voit, Luke",572228,640455,strikeout,swinging_strike,,,,,7,Luke Voit strikes out swinging.,R,R,L,SF,MIL,S,2.0,,1,2,2023,0.1,0.23,-0.46,1.75,,,,1,4,Top,,,,,663698,,,-8.834511276552476,-122.79308355043628,-3.27246297813085,2.576801986567961,21.51998813957384,-29.370926356435277,3.4,1.64,,,,85.8,1683.0,7.0,718293,640455,663698,664774,689172,605204,642731,571745,670276,624424,53.54,,,0.0,1.0,0.0,0.0,,28,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,123.0,0.019,-0.122,luke voit,
CH,2023-05-05,85.0,3.22,5.93,"Voit, Luke",572228,640455,single,hit_into_play,,,,,6,Luke Voit singles on a sharp fly ball to right fielder Michael Conforto.,R,R,L,SF,MIL,X,9.0,fly_ball,0,0,2023,1.51,0.44,0.45,2.46,,,,0,2,Top,201.31,65.89,,,663698,,,-9.56833250771319,-123.40931797246952,-2.6745953347051312,17.304017214864075,24.950234285377807,-27.329785225723587,3.4,1.64,377.0,105.4,31.0,85.5,1466.0,6.8,718293,640455,663698,664774,689172,605204,642731,571745,670276,624424,53.72,0.886,1.747,0.9,1.0,1.0,0.0,6.0,12,1,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,21.0,-0.038,0.394,luke voit,
SL,2023-05-05,81.8,-1.71,5.9,"Voit, Luke",572228,605154,field_out,hit_into_play,,,,,9,Luke Voit flies out to right fielder Michael Conforto.,R,R,R,SF,MIL,X,9.0,fly_ball,0,0,2023,1.15,-0.18,0.61,2.15,,,,1,6,Top,177.46,119.68,,,663698,,,3.0641474786629512,-119.2410578560618,-1.6125862019822697,10.450129379789152,21.5864429240772,-33.795868320884466,3.4,1.64,236.0,80.7,48.0,83.0,2604.0,6.9,718293,605154,663698,664774,689172,605204,642731,571745,670276,624424,53.62,0.04,0.047,0.0,1.0,0.0,0.0,3.0,47,1,Slider,5,4,4,5,4,5,4,5,Standard,Standard,38.0,0.026,-0.172,luke voit,
SL,2023-05-05,87.5,-1.5,5.48,"Voit, Luke",572228,666808,strikeout,swinging_strike,,,,,9,Luke Voit strikes out swinging.,R,R,R,SF,MIL,S,2.0,,3,2,2023,0.51,0.05,0.6,2.11,,,,0,9,Top,,,,,663698,,,4.024382394541238,-127.41678727606168,-2.1091096190967558,4.740236294182665,25.78988920280212,-31.40960134842922,3.4,1.64,,,,87.9,2504.0,6.5,718293,666808,663698,664774,689172,605204,642731,571745,670276,624424,54.04,,,0.0,1.0,0.0,0.0,,69,6,Slider,6,4,4,6,4,6,4,6,Strategic,Standard,124.0,0.037,-0.315,luke voit,
SL,2023-05-04,88.8,-2.27,5.56,"Voit, Luke",572228,572955,strikeout,swinging_strike,,,,,9,Luke Voit strikes out swinging.,R,R,R,COL,MIL,S,2.0,,2,2,2023,0.33,-0.11,0.55,2.07,,,668930.0,1,9,Top,,,,,553869,,,6.196267255862038,-129.50421895520142,-2.431921163176072,2.8171317401426417,20.616853641396585,-33.1999815863554,3.41,1.64,,,,89.5,3022.0,6.1,718313,572955,553869,519058,605612,641857,678662,595777,686668,592178,54.44,,,0.0,1.0,0.0,0.0,,74,5,Slider,9,4,4,9,4,9,4,9,Standard,Standard,64.0,0.004,-0.272,luke voit,
SI,2023-05-03,90.5,1.32,5.57,"Voit, Luke",572228,607536,strikeout,swinging_strike,,,,,1,Luke Voit strikes out swinging.,R,R,L,COL,MIL,S,2.0,,1,2,2023,0.84,0.37,-0.59,3.43,,,,1,5,Top,,,,,553869,,,-6.61643865038979,-131.9461182991974,-0.3395453614127371,11.018024843802031,21.476795413066107,-27.863400543333697,3.41,1.64,,,,92.5,2334.0,6.9,718315,607536,553869,543068,676701,641857,678662,595777,545341,592178,53.64,,,0.0,1.0,0.0,0.0,,33,4,Sinker,4,0,0,4,0,4,0,4,Strategic,Standard,128.0,0.011,-0.122,luke voit,
SL,2023-05-03,85.2,-1.65,6.18,"Voit, Luke",572228,453268,hit_by_pitch,hit_by_pitch,,,,,11,Luke Voit hit by pitch.,R,R,R,COL,MIL,B,,,2,2,2023,0.7,0.02,-2.59,4.24,668930.0,,,2,7,Top,,,,,553869,,,-3.6038887875898906,-124.1310741366336,1.5801375095994397,7.975305005989013,20.744633692512355,-32.36629973029968,3.41,1.64,,,,85.5,2665.0,6.0,718315,453268,553869,543068,676701,641857,678662,595777,545341,592178,54.47,,,0.7,1.0,0.0,0.0,,51,5,Slider,4,0,0,4,0,4,0,4,Standard,Standard,94.0,-0.011,0.224,luke voit,
FF,2023-05-03,93.8,-1.58,5.95,"Voit, Luke",572228,659275,walk,ball,,,,,11,Luke Voit walks.,R,R,R,COL,MIL,B,,,3,1,2023,-0.35,0.9,-1.34,3.47,661388.0,668930.0,,1,9,Top,,,,,553869,,,1.3800784326811608,-136.92269698747555,-2.8408578014155497,-4.770986319483994,21.860214593843963,-20.3159739557721,3.4,1.64,,,,94.6,2475.0,6.0,718315,659275,553869,543068,676701,641857,678662,595777,545341,592178,54.55,,,0.7,1.0,0.0,0.0,,71,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Strategic,Standard,212.0,-0.002,0.161,luke voit,
FC,2023-04-30,87.3,2.12,5.27,"Voit, Luke",572228,660761,strikeout,called_strike,,,,,6,Luke Voit called out on strikes.,R,R,L,MIL,LAA,S,2.0,,2,2,2023,-0.09,0.78,0.56,2.39,605119.0,,,1,4,Bot,,,,,642136,,,-3.5528867455659983,-127.1925352470976,-2.4196518760049988,-0.3149703838771577,24.34270523061645,-23.419752331191077,3.43,1.59,,,,87.2,2395.0,6.0,718365,660761,642136,571875,592273,570482,687263,650859,545361,592669,54.5,,,0.0,1.0,0.0,0.0,,31,6,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,150.0,-0.073,-0.3,luke voit,
FC,2023-04-30,88.8,2.03,5.3,"Voit, Luke",572228,660761,strikeout,swinging_strike,,,,,13,Luke Voit strikes out swinging.,R,R,L,MIL,LAA,S,2.0,,0,2,2023,0.12,0.71,-0.96,1.94,,,642133.0,0,2,Bot,,,,,642136,,,-7.52433730264945,-129.24783223037346,-3.698390808178845,2.8234336472807056,24.59447259598062,-23.66871838097097,3.45,1.68,,,,88.8,2436.0,6.1,718365,660761,642136,571875,592273,570482,687263,650859,545361,592669,54.44,,,0.0,1.0,0.0,0.0,,15,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,143.0,-0.038,-0.249,luke voit,
FF,2023-04-30,96.9,-1.61,5.89,"Voit, Luke",572228,681217,walk,ball,,,,,12,Luke Voit walks.,R,R,R,MIL,LAA,B,,,3,2,2023,-0.28,1.35,1.49,3.43,,,,1,7,Bot,,,,,642136,,,8.90206798890062,-140.84746030864602,-4.10743646384261,-5.594712638763285,30.164621961873063,-13.473159078846669,3.45,1.6,,,,97.0,2411.0,6.3,718365,681217,642136,592273,650859,570482,687263,621493,545361,592669,54.21,,,0.7,1.0,0.0,0.0,,53,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,214.0,0.031,0.235,luke voit,
SL,2023-04-29,88.0,1.27,6.07,"Voit, Luke",572228,672282,field_out,hit_into_play,,,,,13,"Luke Voit grounds out, second baseman Brandon Drury to first baseman Gio Urshela.",R,R,L,MIL,LAA,X,4.0,ground_ball,1,1,2023,-0.29,0.75,-0.85,2.36,,,,1,4,Bot,120.78,128.38,,,595453,,,-4.480937279022511,-128.02406626989364,-4.399794011598533,-2.223055770907632,26.904407943328145,-23.27412408621365,3.49,1.7,150.0,62.2,21.0,87.0,1923.0,5.7,718376,672282,595453,570482,592273,543685,687263,621493,545361,592669,54.78,0.489,0.441,0.0,1.0,0.0,0.0,4.0,31,3,Slider,3,0,3,0,0,3,3,0,Standard,Standard,152.0,-0.007,-0.165,luke voit,
