pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-25,92.1,-1.97,6.38,"Volpe, Anthony",683011,502043,strikeout,foul_tip,,,,,4,Anthony Volpe strikes out on a foul tip.,R,R,R,NYY,BAL,S,2.0,,0,2,2023,-1.26,0.67,-0.51,2.0,,,641432.0,0,7,Bot,,,,,668939,,,6.556082658352371,-133.81294225722283,-6.827551937687618,-16.61275362314067,29.35900528006773,-22.761444779663325,3.09,1.48,,,,93.3,2188.0,7.1,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.39,,,0.0,1.0,0.0,0.0,,53,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,212.0,-0.071,-0.249,anthony volpe,
SI,2023-05-25,93.6,-1.95,6.4,"Volpe, Anthony",683011,502043,force_out,hit_into_play,,,,,9,"Anthony Volpe grounds into a force out, fielded by shortstop Jorge Mateo.   Willie Calhoun out at 2nd.",R,R,R,NYY,BAL,X,6.0,ground_ball,3,1,2023,-1.3,0.64,0.37,1.43,,664056.0,641432.0,2,4,Bot,112.18,162.73,,,668939,,,8.95230184459436,-135.8801343899881,-8.603979281785422,-17.972632994923213,28.067063069182684,-22.507755888142725,3.09,1.48,5.0,103.6,-16.0,94.9,2109.0,7.1,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.43,0.209,0.189,0.0,1.0,0.0,0.0,2.0,32,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213.0,-0.052,-0.586,anthony volpe,
SI,2023-05-25,93.1,-1.9,6.45,"Volpe, Anthony",683011,502043,field_out,hit_into_play,,,,,4,"Anthony Volpe grounds out, third baseman Gunnar Henderson to first baseman Ryan O'Hearn.",R,R,R,NYY,BAL,X,5.0,ground_ball,0,1,2023,-1.25,0.95,-0.67,2.01,,,,2,2,Bot,100.66,177.88,,,668939,,,5.97711414731979,-135.37205337744015,-7.81952328686693,-16.705428438725587,28.49194189031057,-18.981786748135672,3.09,1.48,16.0,93.9,-6.0,94.5,2121.0,7.1,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.44,0.203,0.184,0.0,1.0,0.0,0.0,2.0,15,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213.0,-0.011,-0.082,anthony volpe,
SI,2023-05-25,96.2,-2.4,5.1,"Volpe, Anthony",683011,666974,field_out,hit_into_play,,,,,8,Anthony Volpe lines out to center fielder Ryan McKenna.,R,R,R,NYY,BAL,X,8.0,line_drive,0,0,2023,-1.76,-0.38,-0.2,1.96,,641432.0,,2,9,Bot,148.78,66.63,,,668939,,,9.714693373660095,-139.78233647816103,-1.8087965809985325,-25.24742988542601,33.562818157612895,-36.95904044622836,3.09,1.48,333.0,98.2,22.0,94.8,2159.0,5.7,718029,666974,668939,656811,624428,683002,622761,669720,663630,623993,54.78,0.334,0.425,0.0,1.0,0.0,0.0,5.0,71,1,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,264.0,-0.046,-0.326,anthony volpe,
FF,2023-05-24,91.3,-1.05,6.86,"Volpe, Anthony",683011,669330,walk,ball,,,,,14,Anthony Volpe walks.,R,R,R,NYY,BAL,B,,,3,0,2023,-0.46,1.69,1.07,1.96,,,,0,5,Bot,,,,,543510,,,6.329922847129925,-132.432352030756,-9.985995177065584,-6.886337492481256,31.65578269895582,-10.313750348499331,3.12,1.58,,,,90.8,2399.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.06,,,0.7,1.0,0.0,0.0,,34,4,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,200.0,0.033,0.153,anthony volpe,
SL,2023-05-24,83.4,-1.42,6.9,"Volpe, Anthony",683011,669330,field_out,hit_into_play,,,,,6,"Anthony Volpe grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,5.0,ground_ball,0,1,2023,0.15,0.11,0.67,2.06,,,,0,3,Bot,104.88,162.24,,,543510,,,4.511424938438811,-121.42070626137188,-4.908108814753672,0.6112411208145779,23.94607147361838,-30.27935161817321,3.09,1.47,55.0,86.4,2.0,83.5,2495.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.16,0.309,0.314,0.0,1.0,0.0,0.0,2.0,18,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,115.0,-0.025,-0.198,anthony volpe,
ST,2023-05-24,83.4,-0.95,6.13,"Volpe, Anthony",683011,543056,strikeout,swinging_strike,,,,,13,Anthony Volpe strikes out swinging.,R,R,L,NYY,BAL,S,2.0,,0,2,2023,-1.31,-0.91,-0.95,1.8,,,,1,8,Bot,,,,,543510,,,2.5240853833346315,-121.49293905049431,-1.729263734130129,-13.423324756324666,23.91092245736324,-41.05587147821526,3.09,1.47,,,,82.3,2430.0,5.5,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,55.02,,,0.0,1.0,0.0,0.0,,71,3,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,339.0,-0.015,-0.107,anthony volpe,
SL,2023-05-24,93.3,-1.97,6.09,"Volpe, Anthony",683011,657508,field_out,hit_into_play,,,,,6,"Anthony Volpe grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,6.0,ground_ball,3,2,2023,-0.22,0.95,0.44,2.44,,,,2,6,Bot,109.37,145.46,,,543510,,,6.686004869808429,-135.69187329958226,-5.6991804847497445,-4.279134142905612,30.92782971801776,-19.39972380094761,3.09,1.47,146.0,97.8,9.0,93.2,2300.0,6.4,718040,657508,543510,663624,624428,687401,622761,669720,656775,623993,54.13,0.623,0.561,0.0,1.0,0.0,0.0,4.0,47,6,Slider,5,1,5,1,1,5,5,1,Standard,Standard,206.0,-0.002,-0.131,anthony volpe,
SI,2023-05-23,92.8,-1.51,6.19,"Volpe, Anthony",683011,680694,field_out,hit_into_play,,,,,1,Anthony Volpe flies out to center fielder Cedric Mullins.,R,R,R,NYY,BAL,X,8.0,fly_ball,3,2,2023,-0.56,1.08,-0.37,3.18,,,,1,4,Bot,106.62,55.26,,,668939,,,4.168676824535075,-135.10736384874943,-4.323342003788742,-7.811429141972352,28.43685025316704,-18.145460306029285,3.1,1.47,359.0,95.4,33.0,93.5,2042.0,6.6,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,53.9,0.126,0.219,0.0,1.0,0.0,0.0,3.0,33,7,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,197.0,-0.017,-0.211,anthony volpe,
SI,2023-05-23,95.0,-1.53,6.29,"Volpe, Anthony",683011,680694,field_out,hit_into_play,,,,,1,"Anthony Volpe grounds out, second baseman Adam Frazier to first baseman Ryan Mountcastle.   Harrison Bader to 2nd.",R,R,R,NYY,BAL,X,4.0,ground_ball,2,1,2023,-1.26,1.06,-0.5,2.99,,,664056.0,1,2,Bot,153.99,156.06,,,668939,,,5.5365545780083,-138.111889802595,-5.344675843751306,-17.363653267187317,32.66220922844635,-17.591822955725707,3.1,1.47,55.0,68.3,3.0,94.9,2220.0,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.06,0.154,0.143,0.0,1.0,0.0,0.0,2.0,16,4,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,199.0,-0.02,-0.424,anthony volpe,
