pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-04-27,98.4,-2.07,5.74,"Wade, Tyler",642180,660271,walk,ball,,,,,9,Tyler Wade walks.,R,L,R,LAA,OAK,B,,,3,2,2023,-0.26,1.05,0.44,1.54,676116.0,,,2,4,Top,,,,,595453,,,7.468911226741079,-143.03809486199435,-8.515175052362906,-5.101056907484455,29.667178651227232,-16.004775115291203,3.29,1.52,,,,99.9,2230,7.0,718402,660271,595453,592273,650859,543685,570482,621493,545361,592669,53.53,,,0.7,1.0,0.0,0.0,,34,6,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,195,-0.013,0.175,tyler wade,
ST,2023-04-27,86.4,-2.26,5.92,"Wade, Tyler",642180,660271,strikeout,swinging_strike,,,,,14,Tyler Wade strikes out swinging.,R,L,R,LAA,OAK,S,2.0,,2,2,2023,1.27,0.15,0.75,1.11,,,,2,3,Top,,,,,595453,,,4.591033189617901,-125.70410943708346,-5.537889511492991,12.455920511671792,27.233533476668857,-29.652473074137,3.29,1.52,,,,87.0,2659,6.8,718402,660271,595453,592273,650859,543685,570482,621493,545361,592669,53.7,,,0.0,1.0,0.0,0.0,,17,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,58,0.011,-0.09,tyler wade,
FF,2023-04-24,93.3,-1.77,6.41,"Wade, Tyler",642180,642545,field_out,hit_into_play,,,,,8,"Tyler Wade grounds out, second baseman Luis Rengifo to first baseman Brandon Drury.",R,L,R,LAA,OAK,X,4.0,ground_ball,3,1,2023,-0.53,1.43,-0.18,1.51,643393.0,665923.0,667670.0,2,10,Top,154.91,156.63,,,595453,,,5.248139215144547,-135.50422451723392,-10.016700511542972,-7.630892245512221,29.24497013225467,-12.504136362778691,3.25,1.51,5.0,97.1,-16.0,93.5,2125,6.5,718437,642545,595453,592273,650859,543685,687263,621493,545361,592669,54.02,0.18,0.166,0.0,1.0,0.0,0.0,2.0,91,5,4-Seam Fastball,8,11,11,8,11,8,11,8,Standard,Standard,153,0.007,-1.153,tyler wade,
CH,2023-04-24,85.0,-2.34,6.12,"Wade, Tyler",642180,642545,strikeout,called_strike,,,,,8,Tyler Wade called out on strikes.,R,L,R,LAA,OAK,S,2.0,,1,2,2023,-1.18,0.76,0.27,1.82,643393.0,668843.0,667670.0,1,9,Top,,,,,595453,,,8.457586463318393,-123.51451132174844,-5.298078386136028,-13.74232332523295,23.08623624688432,-23.48406207865208,3.42,1.57,,,,85.0,1574,6.2,718437,642545,595453,592273,650859,543685,687263,621493,545361,592669,54.26,,,0.0,1.0,0.0,0.0,,79,4,Changeup,8,8,8,8,8,8,8,8,Strategic,Standard,324,0.178,-0.516,tyler wade,
FF,2023-04-23,99.0,-1.43,5.63,"Wade, Tyler",642180,594798,strikeout,swinging_strike,,,,,3,Tyler Wade strikes out swinging.,R,L,R,TEX,OAK,S,2.0,,2,2,2023,-0.68,1.56,0.29,3.08,,,,1,5,Top,,,,,641680,,,6.339290627344675,-144.0131520938634,-5.1894267512805,-10.99149248049,34.5281660522337,-9.510482924429636,3.24,1.5,,,,99.8,2538,6.8,718453,594798,641680,663993,543760,673962,677649,669352,665750,666969,53.68,,,0.0,1.0,0.0,0.0,,40,5,4-Seam Fastball,4,2,2,4,2,4,2,4,Strategic,Standard,216,0.019,-0.153,tyler wade,
FF,2023-04-23,98.4,-1.49,5.69,"Wade, Tyler",642180,594798,single,hit_into_play,,,,,7,Tyler Wade singles on a ground ball to center fielder Leody Taveras.,R,L,R,TEX,OAK,X,8.0,ground_ball,3,1,2023,-0.7,1.55,-0.47,1.89,,,,1,3,Top,141.32,85.7,,,641680,,,4.414513544062128,-142.9622690700418,-8.455309016909016,-10.607227120752466,34.40263749591979,-9.122062041350226,3.24,1.5,19.0,103.5,-5.0,98.8,2585,6.7,718453,594798,641680,663993,543760,673962,677649,669352,665750,666969,53.81,0.349,0.323,0.9,1.0,1.0,0.0,2.0,21,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,218,-0.023,0.164,tyler wade,
SI,2023-04-23,98.2,-1.2,5.66,"Wade, Tyler",642180,642546,strikeout,called_strike,,,,,6,Tyler Wade called out on strikes.,R,L,R,TEX,OAK,S,2.0,,2,2,2023,-1.39,0.51,0.51,2.27,,,,0,8,Top,,,,,641680,,,7.84021507761297,-142.72540715956188,-4.872393072437211,-20.82046937455892,33.02590306152736,-24.216229050696285,3.21,1.53,,,,98.2,2071,6.3,718453,642546,641680,663993,543760,673962,677649,669352,665750,666969,54.16,,,0.0,1.0,0.0,0.0,,60,5,Sinker,4,2,2,4,2,4,2,4,Strategic,Standard,233,0.036,-0.205,tyler wade,
CU,2023-04-22,85.5,-1.06,6.19,"Wade, Tyler",642180,622250,strikeout,called_strike,,,,,1,Tyler Wade called out on strikes.,R,L,R,TEX,OAK,S,2.0,,1,2,2023,1.18,-0.93,-0.44,3.1,,,,2,8,Top,,,,,506702,,,-0.9160759519024144,-124.5550265969809,0.872116791771794,12.457624767777206,26.918224257861848,-42.17843859241764,3.36,1.58,,,,84.9,2263,6.0,718469,622250,506702,543543,677649,673962,669701,669352,608671,666969,54.51,,,0.0,1.0,0.0,0.0,,76,6,Curveball,16,3,3,16,3,16,3,16,Strategic,Standard,21,0.0,-0.071,tyler wade,
FF,2023-04-19,91.3,1.87,6.26,"Wade, Tyler",642180,657006,walk,ball,,,,,13,Tyler Wade walks.,R,L,L,OAK,CHC,B,,,3,0,2023,-0.05,1.02,-1.02,1.76,,,,0,5,Bot,,,,,571466,,,-7.108129542789347,-132.75967525537823,-7.663429100203224,0.6875647254817917,24.07205435510564,-18.67149209497873,3.35,1.61,,,,91.1,2279,5.9,718506,657006,571466,543333,663538,663611,621020,664023,641355,621550,54.62,,,0.7,1.0,0.0,0.0,,35,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,158,0.055,0.153,tyler wade,
SL,2023-04-19,83.1,1.63,6.22,"Wade, Tyler",642180,657006,strikeout,swinging_strike_blocked,,,,,13,Tyler Wade strikes out swinging.,R,L,L,OAK,CHC,S,2.0,,0,2,2023,-1.23,-0.3,-0.98,0.94,,,,2,2,Bot,,,,,571466,,,-3.5651952323178304,-121.03024037040043,-5.013537609011434,-11.363352136065435,23.874884158431467,-34.31164084616906,3.25,1.51,,,,82.6,2653,6.0,718506,657006,571466,543333,663538,663611,621020,664023,641355,621550,54.55,,,0.0,1.0,0.0,0.0,,13,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,308,-0.011,-0.057,tyler wade,
