pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,91.1,2.9,5.18,"Waldichuk, Ken",663728,686610,walk,ball,,,,,12,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,3,0,2023,0.8,1.28,1.54,2.86,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-5.185454029108047,-132.59068058519117,-2.742848869909015,10.47974531082351,26.880936772966,-16.61215111095617,3.61,1.75,,,,92.5,2228.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.51,,,0.7,1.0,0.0,0.0,,37,4,4-Seam Fastball,4,0,4,0,0,5,5,0,Standard,Standard,128.0,0.03,0.359
CH,2023-05-24,83.9,2.87,5.19,"Waldichuk, Ken",663728,686610,,ball,,,,,13,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,2,0,2023,1.19,0.51,-0.94,1.56,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-11.309593622671684,-121.78466549451024,-3.074120584405756,13.88423191160896,21.201296115805157,-26.645972182586164,3.54,1.71,,,,85.4,1663.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.38,,,,,,,,37,3,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,114.0,0.0,0.439
CH,2023-05-24,84.4,2.94,5.16,"Waldichuk, Ken",663728,686610,,blocked_ball,,,,,14,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,1,0,2023,1.34,0.55,0.06,0.72,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-9.456837349990137,-122.48508732811555,-5.1174892672346015,15.27848381482474,22.46779407669373,-25.81302405355647,3.58,1.75,,,,85.5,1808.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.52,,,,,,,,37,2,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,115.0,0.0,0.157
ST,2023-05-24,79.8,3.1,5.3,"Waldichuk, Ken",663728,686610,,ball,,,,,12,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,0,0,2023,-0.76,0.06,0.99,2.72,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-3.246169571138446,-116.20908822020974,0.8985969252539225,-6.3258264593354046,20.52211750983077,-31.9796097849176,3.54,1.72,,,,80.9,2038.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.62,,,,,,,,37,1,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,298.0,0.0,0.039
ST,2023-05-24,82.7,2.81,5.23,"Waldichuk, Ken",672284,686610,strikeout,swinging_strike,,,,,13,Jarred Kelenic strikes out swinging.,R,L,L,SEA,OAK,S,2.0,,1,2,2023,-0.81,0.61,-1.06,1.92,641487.0,677594.0,553993.0,1,4,Bot,,,,,669127,,,-7.335071750900145,-120.35281782190025,-2.310796647507869,-6.646739946336671,21.333329255837462,-25.998613746581103,3.37,1.58,,,,84.2,2155.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.45,,,0.0,1.0,0.0,0.0,,36,4,Sweeper,4,0,4,0,0,4,4,0,Strategic,Standard,294.0,-0.02,-0.516
FF,2023-05-24,91.7,2.7,5.54,"Waldichuk, Ken",672284,686610,,swinging_strike,,,,,1,Jarred Kelenic strikes out swinging.,R,L,L,SEA,OAK,S,,,1,1,2023,0.55,1.37,-0.38,3.37,641487.0,677594.0,553993.0,1,4,Bot,,,,,669127,,,-9.102954953265105,-133.26371123407205,-2.6263922753936426,8.485071020248807,27.195711153553106,-15.377704648750347,3.37,1.58,,,,93.0,2322.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.48,,,,,,,,36,3,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,132.0,0.0,-0.157
FF,2023-05-24,92.5,2.82,5.41,"Waldichuk, Ken",672284,686610,,called_strike,,,,,4,Jarred Kelenic strikes out swinging.,R,L,L,SEA,OAK,S,,,1,0,2023,0.86,1.17,-0.54,2.4,641487.0,677594.0,553993.0,1,4,Bot,,,,,669127,,,-10.58726137663369,-134.37947410916848,-4.493802990635174,12.609972343900766,27.160687535846044,-17.172975825977687,3.32,1.58,,,,93.9,2392.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.46,,,,,,,,36,2,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,137.0,0.0,-0.171
ST,2023-05-24,81.4,2.85,5.28,"Waldichuk, Ken",672284,686610,,ball,,,,,13,Jarred Kelenic strikes out swinging.,R,L,L,SEA,OAK,B,,,0,0,2023,-1.22,-0.2,-0.93,2.42,641487.0,677594.0,553993.0,1,4,Bot,,,,,669127,,,-6.220597333935456,-118.3607498938235,0.6302636055157307,-10.260764729004876,22.976335455849608,-34.426790764172964,3.37,1.51,,,,82.4,2064.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.45,,,,,,,,36,1,Sweeper,4,0,4,0,0,4,4,0,Strategic,Standard,297.0,0.0,0.087
ST,2023-05-24,80.4,2.83,5.24,"Waldichuk, Ken",553993,686610,walk,ball,,,,,13,Eugenio Suarez walks.   J.P. Crawford to 3rd.    Julio Rodriguez to 2nd.,R,R,L,SEA,OAK,B,,,3,2,2023,-1.04,-0.06,-0.55,1.23,,641487.0,677594.0,1,4,Bot,,,,,669127,,,-5.599055082061958,-116.97563745103128,-2.101354431215944,-8.454886895948437,22.122397979284827,-32.57263181462157,3.42,1.63,,,,81.4,2142.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.52,,,0.7,1.0,0.0,0.0,,35,7,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,301.0,0.016,0.661
FF,2023-05-24,92.9,2.96,5.23,"Waldichuk, Ken",553993,686610,,foul,,,,,4,Eugenio Suarez walks.   J.P. Crawford to 3rd.    Julio Rodriguez to 2nd.,R,R,L,SEA,OAK,S,,,3,2,2023,1.12,1.04,-0.32,2.62,,641487.0,677594.0,1,4,Bot,,,,,669127,,,-10.978885412794646,-134.86064493720608,-3.2204407562460955,15.987681281845028,27.624607473679696,-18.889017238227204,3.42,1.55,180.0,66.0,38.0,94.2,2255.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.47,,,,,,,,35,6,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,124.0,0.0,0.0
