pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-05-20,81.5,-2.17,5.76,"Wantz, Andrew",571657,681806,force_out,hit_into_play,,,,,2,"Kyle Farmer grounds into a force out, shortstop Zach Neto to second baseman Brandon Drury.   Carlos Correa out at 2nd.",R,R,R,LAA,MIN,X,6.0,ground_ball,0,1,2023,1.19,0.58,-0.1,3.11,,,621043.0,2,8,Top,96.76,129.38,,,595453,,,2.360537159998686,-118.6264199459341,-0.4004490737753611,10.566526995057703,25.883450317111,-26.92385214791281,3.34,1.55,131.0,92.0,8.0,81.0,2399.0,6.3,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.24,0.546,0.52,0.0,1.0,0.0,0.0,4.0,70,2,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,70.0,0.004,-0.207
FF,2023-05-20,93.2,-1.82,6.03,"Wantz, Andrew",571657,681806,,swinging_strike,,,,,1,"Kyle Farmer grounds into a force out, shortstop Zach Neto to second baseman Brandon Drury.   Carlos Correa out at 2nd.",R,R,R,LAA,MIN,S,,,0,0,2023,-0.15,1.69,-0.28,3.3,,,621043.0,2,8,Top,,,,,595453,,,4.294235776701026,-135.5963207649771,-4.936766090011915,-2.860580253233425,32.99934085988181,-10.470043477833295,3.34,1.55,,,,93.4,2539.0,6.7,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,53.84,,,,,,,,70,1,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,203.0,0.0,-0.036
CH,2023-05-20,86.1,-2.37,5.76,"Wantz, Andrew",666397,681806,strikeout,swinging_strike,,,,,13,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,S,2.0,,1,2,2023,-1.1,0.16,-1.18,2.2,,,621043.0,1,8,Top,,,,,595453,,,5.045854817286389,-125.26709364942576,-2.455958562557844,-12.572469171127638,27.83304358477426,-30.22442561314684,3.35,1.62,,,,85.6,1462.0,6.2,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.29,,,0.0,1.0,0.0,0.0,,69,4,Changeup,2,6,6,2,6,2,6,2,Strategic,Standard,355.0,0.003,-0.219
ST,2023-05-20,82.6,-2.18,5.81,"Wantz, Andrew",666397,681806,,foul,,,,,2,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,S,,,1,1,2023,0.8,0.21,0.23,2.98,,,621043.0,1,8,Top,,,,,595453,,,3.9473708749656575,-120.31416828603368,-0.3503599485336774,6.975058996356737,23.38648476008285,-30.294954276053197,3.35,1.62,171.0,75.4,22.0,82.9,2414.0,6.4,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.09,,,,,,,,69,3,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,71.0,0.0,-0.063
FC,2023-05-20,89.5,-2.06,5.88,"Wantz, Andrew",666397,681806,,ball,,,,,12,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,B,,,0,1,2023,0.68,0.91,0.79,4.06,,,621043.0,1,8,Top,,,,,595453,,,5.594559458414131,-130.3312509201778,-0.4114872602291969,6.530859152683591,28.273421011097756,-21.95157580416424,3.12,1.62,,,,89.3,2599.0,6.2,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.28,,,,,,,,69,2,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,180.0,0.0,0.026
FC,2023-05-20,88.9,-2.09,5.86,"Wantz, Andrew",666397,681806,,swinging_strike,,,,,3,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,S,,,0,0,2023,0.46,0.9,0.83,3.2,,,621043.0,1,8,Top,,,,,595453,,,6.164471453661553,-129.4519576248237,-2.413633491495006,4.017419322266036,25.700090413979723,-21.76024956975593,3.26,1.62,,,,89.1,2449.0,6.3,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.24,,,,,,,,69,1,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,208.0,0.0,-0.056
ST,2023-05-20,80.4,-2.19,5.79,"Wantz, Andrew",621043,681806,walk,ball,,,,,11,Carlos Correa walks.,R,R,R,LAA,MIN,B,,,3,2,2023,0.91,-0.08,-2.06,2.82,,,,1,8,Top,,,,,595453,,,-1.4132039831724073,-117.07702137164344,0.2731563539145081,8.579696152631659,23.13397904692522,-33.164568340032744,3.53,1.7,,,,80.1,2305.0,6.1,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.36,,,0.7,1.0,0.0,0.0,,68,6,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,61.0,-0.003,0.235
FF,2023-05-20,92.9,-1.64,6.13,"Wantz, Andrew",621043,681806,,ball,,,,,11,Carlos Correa walks.,R,R,R,LAA,MIN,B,,,2,2,2023,-0.18,1.49,-0.4,4.44,,,,1,8,Top,,,,,595453,,,3.587713325452898,-135.28191656626876,-1.7702727434746062,-3.0855483457677537,31.706204435463025,-13.841632203456184,3.51,1.7,,,,93.1,2394.0,6.5,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,53.95,,,,,,,,68,5,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,138.0,0.0,0.059
ST,2023-05-20,81.8,-2.06,5.82,"Wantz, Andrew",621043,681806,,ball,,,,,12,Carlos Correa walks.,R,R,R,LAA,MIN,B,,,1,2,2023,1.29,0.35,1.61,2.83,,,,1,8,Top,,,,,595453,,,5.794550028642309,-119.03087813817488,-0.8079364278849017,11.004094010793716,24.55816671374681,-28.924408068645988,3.55,1.7,,,,81.7,2438.0,6.4,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.1,,,,,,,,68,4,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,60.0,0.0,0.031
ST,2023-05-20,81.4,-2.08,5.83,"Wantz, Andrew",621043,681806,,swinging_strike,,,,,14,Carlos Correa walks.,R,R,R,LAA,MIN,S,,,1,1,2023,1.01,0.26,0.45,1.38,,,,1,8,Top,,,,,595453,,,3.765261831237177,-118.5344137970832,-3.87465497097588,8.721029171395253,23.269741896478717,-29.169636543514574,3.51,1.7,,,,81.4,2422.0,6.3,718096,681806,595453,665120,592273,570482,687263,621493,545361,592669,54.18,,,,,,,,68,3,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,65.0,0.0,-0.044
