pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-25,84.8,-1.02,5.66,"Weaver, Luke",660766,596133,hit_by_pitch,hit_by_pitch,,,,,11,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,B,,,3,2,2023,-1.31,0.45,-1.92,4.37,,,676475.0,1,7,Top,,,,,571912,,,0.5154422313293425,-123.38125085179756,2.4431623362689443,-13.358709783359457,26.784504868808835,-28.364017090082456,3.33,1.63,,,,83.7,1282,5.8,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.72,,,0.7,1.0,0.0,0.0,,47,9,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,216,-0.057,0.315
CU,2023-05-25,81.9,-0.83,5.7,"Weaver, Luke",660766,596133,,foul,,,,,5,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,S,,,3,2,2023,0.1,-0.64,-0.04,2.63,,,676475.0,1,7,Top,,,,,571912,,,1.5702434200052102,-119.2194881088753,0.844005020100477,0.6458769888699759,24.01146963205136,-38.607212853855735,3.33,1.63,5.0,82.9,-30.0,80.9,2207,5.7,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.83,,,,,,,,47,8,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,51,0.0,0.0
FF,2023-05-25,91.9,-0.92,5.67,"Weaver, Luke",660766,596133,,foul,,,,,3,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,S,,,3,2,2023,-0.68,1.07,0.38,2.96,,,676475.0,1,7,Top,,,,,571912,,,4.703115805517,-133.7398685236716,-3.329375471000665,-9.12217115290663,28.29261748579773,-18.84301857570036,3.33,1.63,163.0,68.3,58.0,91.1,2296,5.8,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.73,,,,,,,,47,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,0.0
FF,2023-05-25,92.9,-0.8,5.75,"Weaver, Luke",660766,596133,,ball,,,,,11,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,B,,,2,2,2023,-0.65,1.1,-0.06,4.22,,,676475.0,1,7,Top,,,,,571912,,,3.27006505323386,-135.2511920370037,-0.5601717285006814,-8.639492079885192,29.367430032018216,-18.742019918694535,3.3,1.61,,,,92.1,2288,5.8,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.71,,,,,,,,47,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205,0.0,0.113
FC,2023-05-25,86.8,-0.94,5.69,"Weaver, Luke",660766,596133,,foul,,,,,2,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,S,,,2,2,2023,0.15,0.46,-0.06,2.99,,,676475.0,1,7,Top,,,,,571912,,,1.7828555699514628,-126.53139579378752,-1.313264586647249,1.281498404887966,23.170627717735165,-27.09418292773272,3.33,1.63,126.0,58.7,64.0,86.4,2318,5.7,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.8,,,,,,,,47,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,165,0.0,0.0
FF,2023-05-25,92.4,-0.91,5.69,"Weaver, Luke",660766,596133,,foul,,,,,2,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,S,,,2,1,2023,-0.63,1.4,0.22,2.96,,,676475.0,1,7,Top,,,,,571912,,,4.19286855424556,-134.27924185615865,-4.039947480199816,-8.54336767515255,34.1417405608101,-14.660101365112691,3.33,1.63,153.0,70.5,63.0,90.8,2329,5.8,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.73,,,,,,,,47,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216,0.0,-0.07
FC,2023-05-25,86.1,-0.96,5.68,"Weaver, Luke",660766,596133,,called_strike,,,,,5,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,S,,,2,0,2023,0.4,0.45,-0.09,2.46,,,676475.0,1,7,Top,,,,,571912,,,1.2310512775392333,-125.37098768242411,-2.302444012035479,3.967483041459685,26.47587794151112,-27.15813639135218,3.27,1.64,,,,84.9,2316,5.6,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.9,,,,,,,,47,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,161,0.0,-0.084
FC,2023-05-25,86.3,-0.95,5.67,"Weaver, Luke",660766,596133,,ball,,,,,14,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,B,,,1,0,2023,0.18,0.39,1.22,1.49,,,676475.0,1,7,Top,,,,,571912,,,4.733652968310373,-125.47176821987564,-4.370327985589279,0.8462925096943958,28.763436026893903,-27.28794338930111,3.17,1.58,,,,84.7,2356,5.6,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.87,,,,,,,,47,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,165,0.0,0.069
CH,2023-05-25,85.8,-1.08,5.63,"Weaver, Luke",660766,596133,,ball,,,,,13,Juan Yepez hit by pitch.    Alec Burleson to 2nd.,R,R,R,CIN,STL,B,,,0,0,2023,-1.44,0.85,-0.4,1.32,,,676475.0,1,7,Top,,,,,571912,,,4.489935530999489,-124.76562816124137,-5.5055213701012775,-15.92717587959673,28.426169558711184,-22.40485256071796,3.32,1.61,,,,84.6,1587,5.8,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.68,,,,,,,,47,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,217,0.0,0.045
FF,2023-05-25,95.0,-1.02,5.77,"Weaver, Luke",676475,596133,single,hit_into_play,,,,,5,Alec Burleson singles on a line drive to center fielder TJ Friedl.,R,L,R,CIN,STL,X,8.0,line_drive,1,2,2023,-0.37,1.35,-0.21,2.37,,,,1,7,Top,118.24,91.7,,,571912,,,2.9184929899427714,-138.24124770397432,-6.207555345529174,-5.458452377207036,30.963799206247256,-13.700767643710725,3.38,1.59,229.0,80.1,19.0,93.7,2413,5.6,718030,596133,571912,668715,663697,669222,680574,641584,670770,656413,54.94,0.963,0.893,0.9,1.0,1.0,0.0,4.0,46,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209,-0.043,0.322
