pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-20,95.3,-2.6,5.52,"Wilson, Steven",807799,621051,field_out,hit_into_play,,,,,2,Masataka Yoshida pops out to third baseman Rougned Odor in foul territory.,R,L,R,SD,BOS,X,5.0,popup,1,0,2023,-0.89,1.35,0.12,2.98,,665839.0,,2,9,Top,88.9,186.85,,,664954,,,9.273016513089402,-138.44057502368182,-4.046343042270053,-13.61821764345699,33.82020330541331,-14.19751365696828,3.12,1.36,98.0,88.9,75.0,96.2,2304,7.1,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.4,0.003,0.003,0.0,1.0,0.0,0.0,3.0,67,2,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,214,0.012,-0.361
FF,2023-05-20,95.5,-2.51,5.56,"Wilson, Steven",807799,621051,,ball,,,,,11,Masataka Yoshida pops out to third baseman Rougned Odor in foul territory.,R,L,R,SD,BOS,B,,,0,0,2023,-0.77,1.41,-0.43,3.65,,665839.0,,2,9,Top,,,,,664954,,,7.301926315260554,-138.8134927444406,-2.5599347437787725,-11.633668317457923,34.10774991491722,-13.627272387642812,3.09,1.23,,,,96.4,2253,7.1,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.39,,,,,,,,67,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,209,0.0,0.035
ST,2023-05-20,82.2,-3.42,4.75,"Wilson, Steven",657077,621051,field_out,hit_into_play,,,,,7,Alex Verdugo flies out to left fielder Juan Soto.,R,L,R,SD,BOS,X,7.0,fly_ball,1,2,2023,0.82,1.04,-0.7,2.04,,665839.0,,1,9,Top,80.35,114.14,,,664954,,,4.619569961852835,-119.6692778957658,-1.5867783259046258,6.869645728904816,24.91235156398662,-22.156231681552292,3.39,1.49,241.0,87.2,49.0,82.5,2599,6.6,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.86,0.009,0.008,0.0,1.0,0.0,0.0,3.0,66,4,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,103,0.011,-0.217
ST,2023-05-20,80.9,-3.15,5.11,"Wilson, Steven",657077,621051,,called_strike,,,,,13,Alex Verdugo flies out to left fielder Juan Soto.,R,L,R,SD,BOS,S,,,1,1,2023,1.44,0.9,-0.94,2.41,,665839.0,,1,9,Top,,,,,664954,,,2.179356953731092,-117.7236387167242,-0.9915130605702208,12.767559026450884,26.08727852438449,-23.968133878874184,3.35,1.46,,,,81.2,2577,6.9,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.65,,,,,,,,66,3,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,75,0.0,-0.098
FF,2023-05-20,94.5,-2.51,5.64,"Wilson, Steven",657077,621051,,ball,,,,,11,Alex Verdugo flies out to left fielder Juan Soto.,R,L,R,SD,BOS,B,,,0,1,2023,-0.75,1.59,-0.68,4.02,,665839.0,,1,9,Top,,,,,664954,,,6.5421133081691565,-137.40192337308034,-2.04356129679429,-11.066574843685736,33.38110273283413,-11.890632510896584,3.42,1.46,,,,95.1,2431,6.9,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.61,,,,,,,,66,2,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,206,0.0,0.024
ST,2023-05-20,79.6,-3.25,5.08,"Wilson, Steven",657077,621051,,called_strike,,,,,7,Alex Verdugo flies out to left fielder Juan Soto.,R,L,R,SD,BOS,S,,,0,0,2023,1.32,0.8,-0.4,1.86,,665839.0,,1,9,Top,,,,,664954,,,3.803790210895466,-115.81812670605892,-1.7486424047400524,10.94702646978254,24.339280106952145,-24.87231436027147,3.26,1.41,,,,79.8,2614,6.7,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.76,,,,,,,,66,1,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,76,0.0,-0.059
ST,2023-05-20,81.4,-3.04,5.21,"Wilson, Steven",657136,621051,field_out,hit_into_play,,,,,6,Connor Wong pops out to shortstop Xander Bogaerts.,R,R,R,SD,BOS,X,6.0,popup,1,2,2023,1.39,0.99,0.69,2.49,,665839.0,,0,9,Top,123.96,158.69,,,664954,,,5.763656615923739,-118.35422999577251,-1.291058503194503,11.58048020332406,26.642477381220807,-22.917366906888518,3.19,1.4,88.0,80.3,72.0,81.7,2658,7.0,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.54,0.003,0.003,0.0,1.0,0.0,0.0,3.0,65,4,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,81,0.014,-0.249
FF,2023-05-20,94.7,-2.49,5.64,"Wilson, Steven",657136,621051,,called_strike,,,,,9,Connor Wong pops out to shortstop Xander Bogaerts.,R,R,R,SD,BOS,S,,,1,1,2023,-0.58,1.7,0.62,1.72,,665839.0,,0,9,Top,,,,,664954,,,9.57057932041374,-137.3471347149447,-8.44371145988707,-9.592095526001025,32.13658207114589,-8.867791467973912,3.49,1.43,,,,95.9,2469,7.3,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.23,,,,,,,,65,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,200,0.0,-0.066
ST,2023-05-20,78.9,-2.95,5.33,"Wilson, Steven",657136,621051,,ball,,,,,11,Connor Wong pops out to shortstop Xander Bogaerts.,R,R,R,SD,BOS,B,,,0,1,2023,1.76,0.35,-1.42,2.32,,665839.0,,0,9,Top,,,,,664954,,,0.0356902742354339,-114.9262545291754,-0.3005118959703451,15.470900459860504,23.840248331006688,-29.28549184507625,3.25,1.4,,,,79.6,2523,7.0,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.48,,,,,,,,65,2,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,72,0.0,0.051
ST,2023-05-20,80.0,-3.02,5.19,"Wilson, Steven",657136,621051,,foul_bunt,,,,,9,Connor Wong pops out to shortstop Xander Bogaerts.,R,R,R,SD,BOS,S,,,0,0,2023,1.56,0.82,0.47,1.76,,665839.0,,0,9,Top,,,,,664954,,,4.804868046560421,-116.39750303804792,-2.304925250245063,12.942231691690951,25.9233171983483,-24.579286787429968,3.19,1.4,0.0,,,80.5,2672,7.0,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.46,,,,,,,,65,1,Sweeper,2,4,4,2,4,2,4,2,Strategic,Standard,79,0.0,-0.088
FF,2023-05-20,94.6,-2.52,5.68,"Wilson, Steven",665839,621051,double,hit_into_play,,,,,2,Enmanuel Valdez doubles (4) on a sharp line drive to right fielder Fernando Tatis Jr.,R,L,R,SD,BOS,X,9.0,line_drive,1,2,2023,-0.53,1.64,0.0,2.74,,,,0,9,Top,196.75,72.23,,,664954,,,7.8776713639926,-137.45133242623476,-5.673713458137602,-8.475386506388245,32.15900995961801,-10.320167190941511,3.06,1.55,358.0,107.1,20.0,95.7,2439,7.1,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.35,0.797,1.16,1.25,1.0,1.0,1.0,6.0,64,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,204,-0.021,0.679
ST,2023-05-20,82.0,-3.32,5.01,"Wilson, Steven",665839,621051,,foul,,,,,6,Enmanuel Valdez doubles (4) on a sharp line drive to right fielder Fernando Tatis Jr.,R,L,R,SD,BOS,S,,,1,2,2023,1.05,1.07,0.62,2.19,,,,0,9,Top,,,,,664954,,,6.926840491315533,-119.2739110119564,-1.8943608572372437,8.713911816597742,22.85844806181225,-21.84451102258488,3.06,1.55,171.0,71.6,64.0,82.7,2769,6.8,718092,621051,664954,641525,630105,596059,593428,665742,640492,665487,53.71,,,,,,,,64,4,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,89,0.0,0.0
