pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
ST,2023-05-24,84.2,2.53,5.01,"Wong, Kolten",543939,594580,strikeout,swinging_strike,,,,,13,Kolten Wong strikes out swinging.,R,L,L,SEA,OAK,S,2.0,,0,2,2023,-1.39,0.05,-1.11,1.66,,,,2,8,Bot,,,,,669127,,,-5.548736844343063,-122.5620090723804,-1.4386128176799071,-12.683937469414005,26.371222898800205,-31.56281547899967,3.08,1.44,,,,81.5,3220.0,4.7,718037,594580,669127,676116,643393,607054,649557,668709,657656,664913,55.83,,,0.0,1.0,0.0,0.0,,70,3,Sweeper,6,1,6,1,1,6,6,1,Standard,Standard,291.0,0.0,-0.057,kolten wong,
CH,2023-05-23,86.9,-2.69,5.97,"Wong, Kolten",543939,665622,field_out,hit_into_play,,,,,4,"Kolten Wong grounds out, third baseman Jace Peterson to first baseman Jesus Aguilar.",R,L,R,SEA,OAK,X,5.0,ground_ball,0,0,2023,-1.39,0.37,-0.77,2.35,,,,1,5,Bot,114.96,179.76,,,542208,,,7.45753327138578,-126.41687934602312,-3.283744933449644,-16.426040516439375,23.57368128187302,-27.777186673812636,3.09,1.44,20.0,63.6,-5.0,87.1,1649.0,6.2,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.27,0.111,0.102,0.0,1.0,0.0,0.0,2.0,36,1,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,243.0,-0.021,-0.172,kolten wong,
FF,2023-05-23,97.6,-2.49,6.1,"Wong, Kolten",543939,665622,field_out,hit_into_play,,,,,7,Kolten Wong lines out sharply to center fielder Esteury Ruiz.,R,L,R,SEA,OAK,X,8.0,line_drive,3,2,2023,-0.7,1.39,-0.35,1.56,,,553993.0,2,2,Bot,105.77,71.35,,,542208,,,7.397267786776714,-141.71879312023114,-9.94547946906131,-11.129860519450496,30.57372239438358,-11.33989542254436,3.09,1.44,321.0,100.9,14.0,97.9,2486.0,6.4,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.07,0.786,0.8,0.0,1.0,0.0,0.0,4.0,17,6,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,222.0,-0.025,-0.262,kolten wong,
SL,2023-05-23,85.6,2.55,5.23,"Wong, Kolten",543939,663992,field_out,hit_into_play,,,,,7,Kolten Wong lines out to center fielder Esteury Ruiz.,R,L,L,SEA,OAK,X,8.0,line_drive,1,2,2023,-0.53,-0.05,-0.6,1.45,,,,0,7,Bot,114.67,93.53,,,542208,,,-6.52658950647701,-124.59414449187844,-2.606153739094461,-4.23900957355868,24.49886864205958,-32.349072646269406,3.09,1.44,265.0,76.9,29.0,87.8,2389.0,7.6,718050,663992,542208,542583,649557,607054,669397,667670,665923,657656,52.9,0.234,0.211,0.0,1.0,0.0,0.0,3.0,51,5,Slider,3,2,3,2,2,3,3,2,Standard,Standard,209.0,-0.018,-0.175,kolten wong,
FF,2023-05-16,94.5,-1.19,6.43,"Wong, Kolten",543939,601713,double,hit_into_play,,,,,7,Kolten Wong doubles (3) on a line drive to center fielder Jarren Duran.,R,L,R,BOS,SEA,X,8.0,line_drive,1,0,2023,-0.27,1.59,-0.28,1.53,,,,2,4,Top,112.68,56.8,,,624512,,,3.0287029970149906,-137.31798586932624,-10.794231779735808,-4.022413150564015,29.195414712922044,-9.862017146669832,3.12,1.47,350.0,97.1,20.0,96.2,2270.0,7.2,718149,601713,624512,671213,665839,646240,622569,807799,680776,657077,53.27,0.303,0.342,1.25,1.0,1.0,1.0,4.0,32,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,201.0,-0.028,0.201,kolten wong,
FF,2023-05-16,94.9,-1.08,6.48,"Wong, Kolten",543939,601713,field_out,hit_into_play,,,,,6,"Kolten Wong grounds out, shortstop Pablo Reyes to first baseman Triston Casas.",R,L,R,BOS,SEA,X,6.0,ground_ball,1,1,2023,-0.14,1.69,0.32,2.38,,,,0,3,Top,121.82,146.83,,,624512,,,4.015113172831756,-137.89441289839647,-8.93653700644919,-2.697618756664636,30.64780104355936,-8.814564802521621,3.12,1.47,9.0,81.1,-15.0,96.2,2382.0,7.1,718149,601713,624512,671213,665839,646240,622569,807799,680776,657077,53.41,0.077,0.069,0.0,1.0,0.0,0.0,2.0,20,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,196.0,0.017,-0.228,kolten wong,
SI,2023-05-16,90.6,2.83,4.45,"Wong, Kolten",543939,595411,field_out,hit_into_play,,,,,4,"Kolten Wong bunt grounds out softly, pitcher Ryan Sherriff to first baseman Triston Casas.",R,L,L,BOS,SEA,X,1.0,ground_ball,0,0,2023,1.56,0.15,-0.55,2.13,,,,2,6,Top,134.78,181.41,,,624512,,,-11.708524118964048,-131.32906440233452,-0.1145637710832512,20.61975400707419,29.201520056321087,-30.611299399451884,3.12,1.47,50.0,28.8,32.0,89.9,2079.0,6.2,718149,595411,624512,671213,665839,646240,622569,807799,680776,657077,54.33,0.254,0.235,0.0,1.0,0.0,0.0,1.0,51,1,Sinker,7,4,4,7,4,7,4,7,Standard,Standard,106.0,0.009,0.003,kolten wong,
SL,2023-05-16,82.8,-2.02,5.41,"Wong, Kolten",543939,621057,field_out,hit_into_play,,,,,7,"Kolten Wong grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,SEA,X,4.0,ground_ball,1,2,2023,0.51,-0.56,-0.29,1.86,,,,0,9,Top,147.2,152.93,,,624512,,,2.923470326869498,-120.60674087328836,-0.5020144594149119,4.398983943985849,24.24405588479197,-37.77564738020447,3.12,1.47,3.0,93.7,-32.0,82.3,2365.0,6.0,718149,621057,624512,671213,665839,646240,622569,807799,680776,657077,54.55,0.069,0.066,0.0,1.0,0.0,0.0,2.0,75,6,Slider,9,4,4,9,4,9,4,9,Strategic,Standard,86.0,0.003,-0.175,kolten wong,
FC,2023-05-15,90.5,-3.05,4.95,"Wong, Kolten",543939,656557,field_out,hit_into_play,,,,,5,Kolten Wong flies out to center fielder Jarren Duran.,R,L,R,BOS,SEA,X,8.0,fly_ball,0,1,2023,-0.23,0.51,0.07,2.52,,,606192.0,1,5,Top,130.67,44.43,,,657136,,,8.316300516582691,-131.7239856410536,-1.2872089373656213,-4.265395606931853,24.007236144078117,-26.111612068170626,3.13,1.47,382.0,98.8,27.0,91.3,2466.0,6.5,718163,656557,657136,671213,665839,646240,622569,606132,680776,657077,54.03,0.503,0.842,0.0,1.0,0.0,0.0,6.0,32,2,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,254.0,0.021,-0.256,kolten wong,
FC,2023-05-15,91.7,-3.07,5.03,"Wong, Kolten",543939,656557,field_out,hit_into_play,,,,,2,Kolten Wong grounds out to first baseman Triston Casas.,R,L,R,BOS,SEA,X,3.0,ground_ball,0,0,2023,-0.47,0.79,0.08,3.0,,,,2,3,Top,155.2,173.31,,,657136,,,8.983811872978396,-133.37219267485673,-1.0462149486009595,-7.324784780247033,24.93421530542408,-22.587363334106712,3.13,1.47,2.0,73.4,-51.0,92.2,2434.0,6.3,718163,656557,657136,671213,665839,646240,622569,606132,680776,657077,54.17,0.194,0.175,0.0,1.0,0.0,0.0,2.0,16,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,242.0,0.011,-0.103,kolten wong,
