pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-04-07,92.9,-1.39,5.81,"Woodruff, Brandon",676475,605540,walk,ball,,,,,11,Alec Burleson walks.,R,L,R,MIL,STL,B,,,3,1,2023,-1.13,0.77,-1.76,3.14,,,,1,6,Top,,,,,661388,,,1.5283223684466136,-135.3190134422178,-2.7098255021026083,-14.13451986406631,31.66879953072582,-22.396516863165942,3.27,1.43,,,,93.3,2254,6.7,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.84,,,0.7,1.0,0.0,0.0,,44,5,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,208,-0.036,0.167
CH,2023-04-07,86.4,-1.41,5.69,"Woodruff, Brandon",676475,605540,,ball,,,,,14,Alec Burleson walks.,R,L,R,MIL,STL,B,,,2,1,2023,-1.35,0.64,0.38,1.23,,,,1,6,Top,,,,,661388,,,7.031617649310526,-125.44042548621596,-5.670748242560184,-15.710022590900724,27.357137148792336,-24.42377301215232,3.21,1.4,,,,86.5,1958,6.6,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.86,,,,,,,,44,4,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,229,0.0,0.078
CH,2023-04-07,84.9,-1.48,5.76,"Woodruff, Brandon",676475,605540,,ball,,,,,11,Alec Burleson walks.,R,L,R,MIL,STL,B,,,1,1,2023,-1.23,0.65,-1.21,3.26,,,,1,6,Top,,,,,661388,,,3.1292324734315,-123.58438675887962,-0.755392541258672,-13.22863211411521,27.29701434514726,-25.62125415856625,3.18,1.51,,,,85.1,1800,6.6,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.88,,,,,,,,44,3,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,228,0.0,0.037
CU,2023-04-07,83.9,-1.26,5.77,"Woodruff, Brandon",676475,605540,,ball,,,,,14,Alec Burleson walks.,R,L,R,MIL,STL,B,,,0,1,2023,-0.09,-0.7,0.33,-0.26,,,,1,6,Top,,,,,661388,,,3.900116156056458,-122.0603537862328,-6.143208392843587,-1.7479147997731328,26.047819374520632,-38.02688934186782,3.3,1.49,,,,84.3,2565,6.7,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.77,,,,,,,,44,2,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,35,0.0,0.021
CU,2023-04-07,82.9,-1.37,5.86,"Woodruff, Brandon",676475,605540,,called_strike,,,,,2,Alec Burleson walks.,R,L,R,MIL,STL,S,,,0,0,2023,0.26,-0.55,-0.19,2.83,,,,1,6,Top,,,,,661388,,,2.214017738586629,-120.63158801881912,0.6921356403115124,2.020823222444548,25.724863707117684,-37.84133690498785,3.27,1.43,,,,83.1,2488,6.7,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.83,,,,,,,,44,1,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,35,0.0,-0.028
FF,2023-04-07,95.1,-1.37,5.73,"Woodruff, Brandon",680977,605540,field_out,hit_into_play,,,,,14,"Brendan Donovan grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,L,R,MIL,STL,X,4.0,ground_ball,1,1,2023,-0.79,1.09,0.12,1.52,,,,0,6,Top,135.46,150.04,,,661388,,,5.738709338043388,-138.15767664570652,-7.874258731390982,-11.420123007291629,30.95438771442115,-16.645463360678427,3.31,1.66,32.0,105.4,-1.0,95.9,2338,6.9,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.64,0.466,0.452,0.0,1.0,0.0,0.0,4.0,43,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,215,0.03,-0.228
CH,2023-04-07,85.0,-1.48,5.77,"Woodruff, Brandon",680977,605540,,ball,,,,,11,"Brendan Donovan grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,L,R,MIL,STL,B,,,0,1,2023,-1.41,0.84,-1.02,3.55,,,,0,6,Top,,,,,661388,,,3.910013887281264,-123.62820574161586,-0.489667864149402,-15.167679798108724,26.614838701171426,-23.76732356583502,3.32,1.57,,,,85.2,1987,6.6,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.87,,,,,,,,43,2,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,226,0.0,0.03
SL,2023-04-07,86.3,-1.42,5.89,"Woodruff, Brandon",680977,605540,,called_strike,,,,,4,"Brendan Donovan grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,L,R,MIL,STL,S,,,0,0,2023,0.21,0.29,-0.43,2.22,,,,0,6,Top,,,,,661388,,,1.967859575882508,-125.72418740441888,-3.137427643229031,1.8117942698780003,24.461848632421752,-28.695862316851063,3.32,1.6,,,,87.0,2325,6.6,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.93,,,,,,,,43,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,134,0.0,-0.037
SI,2023-04-07,93.9,-1.23,5.72,"Woodruff, Brandon",669242,605540,field_out,hit_into_play,,,,,9,Tommy Edman flies out to center fielder Garrett Mitchell.,R,L,R,MIL,STL,X,8.0,fly_ball,2,0,2023,-1.05,0.93,0.43,1.84,,,691023.0,2,5,Top,133.09,50.09,,,661388,,,6.68432192108792,-136.5162861703089,-6.397514910824862,-14.637766487242567,31.47955078001985,-19.33355042327167,3.19,1.5,369.0,97.3,25.0,94.3,2253,6.7,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.8,0.334,0.498,0.0,1.0,0.0,0.0,5.0,39,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,212,0.028,-0.302
CH,2023-04-07,84.0,-1.46,5.73,"Woodruff, Brandon",669242,605540,,ball,,,,,13,Tommy Edman flies out to center fielder Garrett Mitchell.,R,L,R,MIL,STL,B,,,1,0,2023,-1.53,0.7,-1.52,1.57,,,691023.0,2,5,Top,,,,,661388,,,2.9332515509970745,-122.25019339323576,-4.611393316702976,-15.933936962932128,25.625509103163115,-24.48039519483854,3.03,1.39,,,,84.3,1991,6.7,718674,605540,661388,642133,668930,605119,642715,592885,669003,686894,53.85,,,,,,,,39,2,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,227,0.0,0.033
