pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-22,92.0,1.78,5.65,"Young, Alex",657557,622065,double,hit_into_play,,,,,9,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,X,9.0,line_drive,3,2,2023,1.57,0.59,0.82,1.66,,669357.0,,1,8,Top,180.19,72.77,,,592200,,,-5.794853897423256,-133.8309214791084,-5.514129849867282,20.062597924037263,29.80334529944704,-24.073263845924824,3.37,1.6,337.0,96.2,20.0,91.3,2438.0,6.0,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.52,0.331,0.383,1.25,1.0,1.0,1.0,4.0,66,9,Sinker,5,4,4,5,5,5,5,5,Standard,Standard,129.0,-0.251,0.997
CU,2023-05-22,84.2,2.13,5.54,"Young, Alex",657557,622065,,foul,,,,,13,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,S,,,3,2,2023,-0.45,0.51,-1.11,1.74,,669357.0,,1,8,Top,,,,,592200,,,-6.562157874343799,-122.41972366214242,-3.4100715742145624,-3.204543973618294,25.0039556409682,-26.55757505139749,3.37,1.6,,,,83.4,2526.0,5.9,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.62,,,,,,,,66,8,Curveball,5,4,4,5,4,5,4,5,Standard,Standard,257.0,0.0,0.0
CH,2023-05-22,88.0,1.84,5.91,"Young, Alex",657557,622065,,ball,,,,,14,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,B,,,2,2,2023,1.25,0.04,1.75,1.15,,669357.0,,1,8,Top,,,,,592200,,,-2.7914318813044923,-128.1952829558952,-5.528725925916369,14.397317719748973,25.59245945720828,-30.80914573036491,3.28,1.53,,,,87.6,1711.0,5.9,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.61,,,,,,,,66,7,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,117.0,0.0,0.091
CH,2023-05-22,88.5,1.81,5.92,"Young, Alex",657557,622065,,blocked_ball,,,,,14,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,B,,,1,2,2023,1.16,0.14,0.75,0.74,,669357.0,,1,8,Top,,,,,592200,,,-4.989822523856036,-128.68372308981807,-6.865617934602826,13.969558737462952,25.05173683803854,-29.41410405555202,3.25,1.45,,,,88.3,1586.0,6.1,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.44,,,,,,,,66,6,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,118.0,0.0,0.051
FF,2023-05-22,92.6,1.56,5.8,"Young, Alex",657557,622065,,foul,,,,,2,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,S,,,1,2,2023,1.13,1.09,0.06,2.98,,669357.0,,1,8,Top,,,,,592200,,,-6.261072861885553,-134.7873323179371,-3.758496782828018,15.15980109575678,29.048658207428613,-18.28977651168488,3.37,1.6,172.0,70.7,61.0,92.1,2317.0,6.0,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.53,,,,,,,,66,5,4-Seam Fastball,5,4,4,5,4,5,4,5,Standard,Standard,119.0,0.0,0.0
CU,2023-05-22,84.0,2.11,5.66,"Young, Alex",657557,622065,,foul,,,,,7,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,S,,,1,2,2023,-0.44,0.24,-0.44,1.64,,669357.0,,1,8,Top,,,,,592200,,,-4.986293123044977,-122.13774611556715,-3.230458751415499,-3.1094686041750217,28.97740874214361,-29.32145387686165,3.37,1.6,7.0,88.0,-14.0,82.6,2368.0,5.9,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.64,,,,,,,,66,4,Curveball,5,4,4,5,4,5,4,5,Standard,Standard,300.0,0.0,0.0
CH,2023-05-22,88.1,1.88,5.95,"Young, Alex",657557,622065,,ball,,,,,14,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,B,,,0,2,2023,1.17,0.0,2.19,1.91,,669357.0,,1,8,Top,,,,,592200,,,-1.651134194966326,-128.27596243719907,-3.6998561161568,13.295081189115724,26.36189205216176,-31.601884267707234,3.3,1.45,,,,87.8,1628.0,6.0,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.47,,,,,,,,66,3,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,116.0,0.0,0.035
CH,2023-05-22,87.8,1.85,5.96,"Young, Alex",657557,622065,,foul,,,,,14,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,S,,,0,1,2023,1.28,0.45,0.27,1.16,,669357.0,,1,8,Top,,,,,592200,,,-6.41988711217524,-127.63621991506896,-6.439069782309879,15.263173727863938,24.922225667540825,-26.123240457830292,3.37,1.6,3.0,66.6,-20.0,87.7,1611.0,6.2,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.34,,,,,,,,66,2,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,117.0,0.0,-0.109
CH,2023-05-22,86.7,1.89,6.0,"Young, Alex",657557,622065,,called_strike,,,,,3,Paul DeJong doubles (4) on a line drive to right fielder Wil Myers.   Nolan Gorman scores.,R,R,L,CIN,STL,S,,,0,0,2023,0.76,0.44,0.76,2.87,,669357.0,,1,8,Top,,,,,592200,,,-4.242580090608814,-126.30044363777368,-2.2158531121396643,9.027499879112687,23.821435225318865,-27.23198731244167,3.3,1.6,,,,86.6,1448.0,6.0,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.53,,,,,,,,66,1,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,123.0,0.0,-0.059
CH,2023-05-22,87.2,1.82,5.97,"Young, Alex",669357,622065,double,hit_into_play,,,,,9,Nolan Gorman doubles (9) on a ground ball to right fielder Wil Myers.,R,L,L,CIN,STL,X,9.0,ground_ball,2,1,2023,1.33,0.26,0.58,1.87,,,,1,8,Top,180.64,150.16,,,592200,,,-5.65717124431598,-126.8358946799651,-4.209407708070089,15.521889251941571,25.30849663432784,-28.76011803764531,3.44,1.62,39.0,102.6,-1.0,86.7,1587.0,5.9,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.58,0.409,0.386,1.25,1.0,1.0,1.0,4.0,65,4,Changeup,5,4,4,5,4,5,4,5,Strategic,Standard,118.0,-0.102,0.395
CH,2023-05-22,87.2,1.71,6.0,"Young, Alex",669357,622065,,ball,,,,,14,Nolan Gorman doubles (9) on a ground ball to right fielder Wil Myers.,R,L,L,CIN,STL,B,,,1,1,2023,1.21,0.22,0.04,0.96,,,,1,8,Top,,,,,592200,,,-6.448311480032676,-126.74920019128184,-6.385124640485041,14.315337878563811,25.118167586522205,-28.699818544068624,3.46,1.62,,,,86.7,1478.0,5.9,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.56,,,,,,,,65,3,Changeup,5,4,4,5,4,5,4,5,Strategic,Standard,117.0,0.0,0.037
CU,2023-05-22,83.0,2.05,5.66,"Young, Alex",669357,622065,,called_strike,,,,,8,Nolan Gorman doubles (9) on a ground ball to right fielder Wil Myers.,R,L,L,CIN,STL,S,,,1,0,2023,-0.47,0.45,0.19,1.75,,,,1,8,Top,,,,,592200,,,-3.3084303901086045,-120.84446451475412,-3.3039507097030727,-3.893313676022761,24.801809901613616,-27.35570596671782,3.43,1.62,,,,81.9,2551.0,5.6,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.85,,,,,,,,65,2,Curveball,5,4,4,5,4,5,4,5,Strategic,Standard,266.0,0.0,-0.035
SI,2023-05-22,92.1,1.76,5.67,"Young, Alex",669357,622065,,ball,,,,,13,Nolan Gorman doubles (9) on a ground ball to right fielder Wil Myers.,R,L,L,CIN,STL,B,,,0,0,2023,1.63,0.72,-0.16,0.66,,,,1,8,Top,,,,,592200,,,-8.367027788198968,-133.71911958217228,-8.394805563469088,21.395226558229208,28.519649493025543,-21.89451629144539,3.56,1.62,,,,91.6,2483.0,6.1,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.41,,,,,,,,65,1,Sinker,5,4,4,5,4,5,4,5,Strategic,Standard,128.0,0.0,0.028
SI,2023-05-22,88.4,1.83,5.98,"Young, Alex",663457,622065,strikeout,called_strike,,,,,8,Lars Nootbaar called out on strikes.,R,L,L,CIN,STL,S,2.0,,0,2,2023,1.32,0.35,-0.16,1.9,,,,0,8,Top,,,,,592200,,,-7.5540661010259935,-128.60524138814722,-4.618568053117185,16.168535902981493,25.26905992835613,-27.49164983590476,3.46,1.65,,,,88.2,1543.0,6.1,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.42,,,0.0,1.0,0.0,0.0,,64,3,Sinker,5,4,4,5,4,5,4,5,Strategic,Standard,122.0,0.054,-0.149
CH,2023-05-22,85.6,1.95,6.07,"Young, Alex",663457,622065,,foul,,,,,8,Lars Nootbaar called out on strikes.,R,L,L,CIN,STL,S,,,0,1,2023,0.97,0.14,0.07,2.05,,,,0,8,Top,,,,,592200,,,-6.3504818580728,-124.5515829573998,-3.5373358439972504,11.33536359853064,22.6891835260694,-30.257606853103205,3.41,1.65,,,,85.4,1458.0,6.0,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.54,,,,,,,,64,2,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,120.0,0.0,-0.049
CU,2023-05-22,82.0,2.28,5.77,"Young, Alex",663457,622065,,foul,,,,,5,Lars Nootbaar called out on strikes.,R,L,L,CIN,STL,S,,,0,0,2023,0.09,0.58,0.17,2.66,,,,0,8,Top,,,,,592200,,,-4.896909515178467,-119.39370599723712,-1.6029083460784248,1.817401564587256,23.8731531840114,-26.505619661149304,3.41,1.65,6.0,38.1,-24.0,81.0,2239.0,5.6,718071,622065,592200,668715,663697,669222,680574,641584,676480,571976,54.86,,,,,,,,64,1,Curveball,5,4,4,5,4,5,4,5,Standard,Standard,249.0,0.0,-0.037
CU,2023-05-20,82.5,2.27,5.83,"Young, Alex",664056,622065,field_out,hit_into_play,,,,,6,Harrison Bader pops out to catcher Luke Maile in foul territory.,R,R,L,CIN,NYY,X,2.0,popup,2,2,2023,-0.46,0.07,0.4,2.54,,519203.0,518934.0,2,5,Top,135.2,210.39,,,571912,,,-3.346944983728483,-120.2894538403862,-1.1945250332593955,-3.9193222426234406,20.95370432753137,-31.437587989395382,3.06,1.42,27.0,74.7,85.0,82.5,2415.0,5.9,718095,622065,571912,668715,663697,669222,680574,641584,676480,571976,54.56,0.001,0.0,0.0,1.0,0.0,0.0,3.0,43,5,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,272.0,0.058,-0.358
SI,2023-05-20,90.6,1.97,5.85,"Young, Alex",664056,622065,,swinging_strike,,,,,3,Harrison Bader pops out to catcher Luke Maile in foul territory.,R,R,L,CIN,NYY,S,,,2,1,2023,1.17,0.4,0.69,3.12,,519203.0,518934.0,2,5,Top,,,,,571912,,,-5.641845502047171,-131.94189100906888,-1.8286379277263367,14.864951508504252,24.553007978629,-27.243181795511344,3.06,1.42,,,,90.4,2378.0,5.8,718095,622065,571912,668715,663697,669222,680574,641584,676480,571976,54.67,,,,,,,,43,4,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,133.0,0.0,-0.148
CH,2023-05-20,85.7,1.93,6.05,"Young, Alex",664056,622065,,blocked_ball,,,,,13,Harrison Bader pops out to catcher Luke Maile in foul territory.,R,R,L,CIN,NYY,B,,,1,1,2023,1.25,0.2,-0.07,-0.07,,519203.0,518934.0,2,5,Top,,,,,571912,,,-7.169423068466389,-124.5362011838221,-8.567485587344287,14.361812044881262,22.382940087689896,-28.716057300109508,2.9,1.42,,,,85.4,1485.0,5.9,718095,622065,571912,668715,663697,669222,680574,641584,676480,571976,54.57,,,,,,,,43,3,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,116.0,0.0,0.059
