pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-02,88.0,-2.27,5.91,"Zuñiga, Guillermo",545361,670871,strikeout,swinging_strike,,,,,14,Mike Trout strikes out swinging.,R,R,R,STL,LAA,S,2.0,,3,2,2023,0.59,-0.28,1.55,1.59,,,,2,9,Top,,,,,668800,,,8.048156787201485,-127.96826661688829,-3.8450388529811432,5.011834453653682,24.61308540408635,-34.6480586005939,3.44,1.63,,,,88.3,2702,6.4,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.12,,,0.0,1.0,0.0,0.0,,68,7,Slider,1,5,5,1,5,1,5,1,Standard,Standard,72,0.001,-0.131
SL,2023-05-02,86.6,-2.45,5.93,"Zuñiga, Guillermo",545361,670871,,foul,,,,,5,Mike Trout strikes out swinging.,R,R,R,STL,LAA,S,,,3,2,2023,0.38,-0.38,0.02,2.79,,,,2,9,Top,,,,,668800,,,5.135948693276417,-126.182024228422,-0.5951016915264945,3.158361361493274,23.31759242378177,-36.38444907460476,3.44,1.63,194.0,68.9,48.0,87.3,2521,6.5,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.04,,,,,,,,68,6,Slider,1,5,5,1,5,1,5,1,Standard,Standard,80,0.0,0.0
FF,2023-05-02,99.8,-2.34,5.81,"Zuñiga, Guillermo",545361,670871,,ball,,,,,11,Mike Trout strikes out swinging.,R,R,R,STL,LAA,B,,,2,2,2023,-0.8,1.1,-0.88,3.78,,,,2,9,Top,,,,,668800,,,5.89055850192293,-145.32300642478165,-2.8005089378966987,-12.666857976567796,33.726949686252226,-16.121877581622083,3.39,1.58,,,,99.6,2339,6.1,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.36,,,,,,,,68,5,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,227,0.0,0.041
FF,2023-05-02,99.4,-2.04,6.03,"Zuñiga, Guillermo",545361,670871,,ball,,,,,12,Mike Trout strikes out swinging.,R,R,R,STL,LAA,B,,,1,2,2023,-0.84,1.11,0.98,4.29,,,,2,9,Top,,,,,668800,,,10.201416590992558,-144.4964908835707,-1.9720455027885493,-14.087192261495922,32.12007153839494,-16.28710366368454,3.29,1.51,,,,99.2,2303,6.1,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.4,,,,,,,,68,4,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,229,0.0,0.018
FF,2023-05-02,100.2,-2.22,5.79,"Zuñiga, Guillermo",545361,670871,,foul,,,,,6,Mike Trout strikes out swinging.,R,R,R,STL,LAA,S,,,1,1,2023,-0.99,1.23,0.41,2.21,,,,2,9,Top,,,,,668800,,,9.56749390092926,-145.54664239577252,-7.441061365193991,-16.333351268669983,32.9179699516368,-13.045766023028914,3.44,1.63,230.0,80.5,41.0,100.0,2381,6.2,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.3,,,,,,,,68,3,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,232,0.0,-0.026
FF,2023-05-02,100.6,-2.23,5.94,"Zuñiga, Guillermo",545361,670871,,ball,,,,,6,Mike Trout strikes out swinging.,R,R,R,STL,LAA,B,,,0,1,2023,-0.89,1.23,0.75,2.4,,,,2,9,Top,,,,,668800,,,10.328355400929356,-146.12893709734436,-7.413669154612728,-15.038738789651635,31.54289709311465,-12.883580304469533,3.49,1.51,,,,100.5,2373,6.2,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.34,,,,,,,,68,2,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,224,0.0,0.015
FF,2023-05-02,100.8,-2.24,5.82,"Zuñiga, Guillermo",545361,670871,,called_strike,,,,,7,Mike Trout strikes out swinging.,R,R,R,STL,LAA,S,,,0,0,2023,-0.86,1.21,-0.36,1.97,,,,2,9,Top,,,,,668800,,,7.234380917340413,-146.4426208274077,-8.212040977609819,-14.0467997756276,33.919720176329434,-12.99422915177908,3.51,1.58,,,,100.6,2332,6.2,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.27,,,,,,,,68,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,225,0.0,-0.021
FF,2023-05-02,99.0,-2.49,5.75,"Zuñiga, Guillermo",687263,670871,field_out,hit_into_play,,,,,4,Zach Neto flies out to center fielder Dylan Carlson.,R,R,R,STL,LAA,X,8.0,fly_ball,3,2,2023,-0.83,1.17,-0.45,2.78,,,,1,9,Top,132.29,41.08,,,668800,,,7.486857222070171,-143.9787059013075,-5.433028770747501,-13.254298211888406,31.893231898877143,-14.784051273694752,3.45,1.59,390.0,99.7,31.0,99.0,2232,6.2,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.27,0.589,1.114,0.0,1.0,0.0,0.0,6.0,67,6,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,228,0.001,-0.211
SL,2023-05-02,87.1,-2.31,5.87,"Zuñiga, Guillermo",687263,670871,,ball,,,,,14,Zach Neto flies out to center fielder Dylan Carlson.,R,R,R,STL,LAA,B,,,2,2,2023,0.33,0.2,1.68,1.16,,,,1,9,Top,,,,,668800,,,8.95211980365984,-126.57875533676992,-5.636529502053162,1.8968576166090636,23.505254536092213,-29.0582993709136,3.35,1.54,,,,87.8,2694,6.6,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,53.89,,,,,,,,67,5,Slider,1,5,5,1,5,1,5,1,Standard,Standard,66,0.0,0.059
FF,2023-05-02,99.4,-2.26,5.75,"Zuñiga, Guillermo",687263,670871,,called_strike,,,,,6,Zach Neto flies out to center fielder Dylan Carlson.,R,R,R,STL,LAA,S,,,2,1,2023,-0.85,1.03,0.68,2.29,,,,1,9,Top,,,,,668800,,,10.003711854687772,-144.39104564300507,-6.493672536757279,-14.051479368791888,31.21247681370884,-16.383263636837206,3.5,1.56,,,,99.4,2240,6.2,718338,670871,668800,502671,669242,571448,657557,641933,666185,663457,54.28,,,,,,,,67,4,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,228,0.0,-0.049
