pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-19,80.2,-1.67,5.05,"Hicks, Aaron",543305,594902,strikeout,swinging_strike,,,,,6,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,2.0,,0,2,2023,0.78,0.2,0.41,2.66,,,,0,6,Top,,,,,663886,,,3.1446194911288536,-116.88944540962358,0.9855421275416624,6.661367972552567,20.47125162765696,-30.69232299320926,3.57,1.7,,,,81.4,1902,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.62,,,0.0,1.0,0.0,0.0,,36,3,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,100,0.024,-0.149
CH,2023-05-19,82.4,-1.52,5.3,"Hicks, Aaron",543305,594902,,foul_bunt,,,,,11,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,,,0,1,2023,-1.21,0.7,-0.84,2.89,,,,0,6,Top,,,,,663886,,,3.954716038368961,-120.05680944407868,-0.363822227016755,-12.515915346932822,22.2070126228198,-25.50266726833553,3.57,1.7,47.0,,,83.7,1787,7.0,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.49,,,,,,,,36,2,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,234,0.0,-0.049
FF,2023-05-19,88.2,-1.5,5.23,"Hicks, Aaron",543305,594902,,called_strike,,,,,4,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,,,0,0,2023,-0.41,1.24,-0.53,2.81,,,,0,6,Top,,,,,663886,,,3.2625567553498938,-128.42743692961588,-2.4360720583909274,-5.206286129538343,25.32256667216132,-18.11718278249971,3.54,1.65,,,,89.3,2065,6.8,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.66,,,,,,,,36,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,209,0.0,-0.037
FC,2023-05-19,89.2,-1.44,5.24,"Hicks, Aaron",543305,594902,strikeout,swinging_strike,,,,,12,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,2.0,,3,2,2023,0.12,0.69,0.26,4.15,,,,0,3,Top,,,,,663886,,,3.9677277205131096,-129.9209044722198,1.8547959461051635,0.6337277814552245,24.576727986008603,-24.886171392931335,3.57,1.7,,,,90.6,1792,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.63,,,0.0,1.0,0.0,0.0,,15,7,Cutter,0,1,1,0,1,0,1,0,Strategic,Standard,200,0.021,-0.314
FF,2023-05-19,91.3,-1.36,5.26,"Hicks, Aaron",543305,594902,,foul,,,,,12,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,,,3,2,2023,-0.64,1.26,0.67,3.88,,,,0,3,Top,,,,,663886,,,6.584994648660096,-132.89793895565683,-0.3269042591527488,-8.928784728087658,26.013914575947425,-17.28853879244122,3.57,1.7,,,,93.0,2003,7.1,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.4,,,,,,,,15,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,214,0.0,0.0
CU,2023-05-19,74.3,-1.37,5.42,"Hicks, Aaron",543305,594902,,ball,,,,,11,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,B,,,2,2,2023,1.25,-0.59,-1.37,2.82,,,,0,3,Top,,,,,663886,,,-2.2276983978241947,-108.19704682588538,2.9329505341049016,10.23997617947396,17.45119235398374,-37.490658228363976,3.47,1.59,,,,75.3,1971,6.8,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.7,,,,,,,,15,5,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,58,0.0,0.108
SL,2023-05-19,80.7,-1.75,5.05,"Hicks, Aaron",543305,594902,,ball,,,,,13,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,B,,,1,2,2023,0.88,-0.15,-0.55,1.44,,,,0,3,Top,,,,,663886,,,1.0044835640043308,-117.70984307703834,-1.185241570045463,8.118046618514974,19.658195869378,-33.58931414127812,3.57,1.65,,,,82.1,2009,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.65,,,,,,,,15,4,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,83,0.0,0.03
CH,2023-05-19,84.2,-1.41,5.22,"Hicks, Aaron",543305,594902,,called_strike,,,,,11,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,,,1,1,2023,-1.09,0.5,-0.96,2.79,,,,0,3,Top,,,,,663886,,,3.233135500623311,-122.72438705572938,-0.338884787485755,-11.631357143402631,21.125784175285585,-27.23924774308202,3.63,1.74,,,,85.9,1619,7.0,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.52,,,,,,,,15,3,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,239,0.0,-0.053
FF,2023-05-19,88.5,-1.46,5.32,"Hicks, Aaron",543305,594902,,foul,,,,,3,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,S,,,1,0,2023,-0.24,1.08,0.38,3.08,,,,0,3,Top,,,,,663886,,,5.054894318362254,-128.89124259906168,-1.7543267091249133,-3.5931010172921964,24.045471212298825,-19.857105485067123,3.57,1.7,288.0,90.2,23.0,90.0,1992,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.58,,,,,,,,15,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,210,0.0,-0.046
CU,2023-05-19,75.1,-1.5,5.48,"Hicks, Aaron",543305,594902,,ball,,,,,11,Aaron Hicks strikes out swinging.,R,L,R,CIN,NYY,B,,,0,0,2023,0.9,-0.59,-1.08,4.0,,,,0,3,Top,,,,,663886,,,-0.7436903618732373,-109.30346531077411,5.115200995810085,7.379441599573712,17.093215222431443,-37.91590459871442,3.4,1.55,,,,76.2,1909,6.8,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.67,,,,,,,,15,1,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,58,0.0,0.039
