pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,89.1,-1.15,6.36,"Baddoo, Akil",668731,425844,field_out,hit_into_play,,,,,14,Akil Baddoo pops out to third baseman Maikel Garcia in foul territory.,R,L,R,KC,DET,X,5.0,popup,1,1,2023,-0.22,1.5,0.83,1.96,,679529.0,,2,4,Top,92.17,175.74,,,666023,,,5.297413754944801,-129.69609907579826,-7.9788648689400175,-3.426433173098605,22.680930870814866,-13.82179303290064,3.27,1.6,106.0,55.8,67.0,89.4,2307,6.1,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.41,0.001,0.0,0.0,1.0,0.0,0.0,1.0,25,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,198,0.035,-0.299
CH,2023-05-24,86.5,-1.66,6.2,"Baddoo, Akil",668731,425844,,ball,,,,,13,Akil Baddoo pops out to third baseman Maikel Garcia in foul territory.,R,L,R,KC,DET,B,,,0,1,2023,-1.07,0.47,-1.45,1.46,,679529.0,,2,4,Top,,,,,666023,,,2.662923750507846,-126.02914913502856,-6.095463569743808,-11.978217475541342,21.96253284501867,-26.23641689163686,3.27,1.6,,,,86.5,1716,5.9,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.62,,,,,,,,25,2,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,232,0.0,0.028
CH,2023-05-24,86.5,-1.53,6.17,"Baddoo, Akil",668731,425844,,foul,,,,,13,Akil Baddoo pops out to third baseman Maikel Garcia in foul territory.,R,L,R,KC,DET,S,,,0,0,2023,-0.95,0.77,-1.05,1.85,,679529.0,,2,4,Top,,,,,666023,,,3.042995421839312,-126.06882393997137,-5.75434132544342,-10.817996883807826,21.47492754061348,-23.04893808291455,3.27,1.6,221.0,68.8,37.0,86.6,1507,5.9,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.59,,,,,,,,25,1,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,233,0.0,-0.054
CH,2023-05-24,85.5,-1.54,6.23,"Baddoo, Akil",668731,425844,field_out,hit_into_play,,,,,13,"Akil Baddoo grounds out, second baseman Matt Duffy to first baseman Nick Pratto.",R,L,R,KC,DET,X,4.0,ground_ball,0,1,2023,-1.11,0.37,-0.86,2.15,,,,1,2,Top,152.66,160.56,,,666023,,,3.812258415996833,-124.59518610271712,-4.146104459929925,-12.360225359043294,22.765815863058343,-27.743771680469926,3.27,1.6,4.0,65.3,-30.0,85.7,1731,6.1,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.36,0.049,0.044,0.0,1.0,0.0,0.0,2.0,10,2,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,236,0.017,-0.144
FF,2023-05-24,88.2,-1.18,6.32,"Baddoo, Akil",668731,425844,,called_strike,,,,,5,"Akil Baddoo grounds out, second baseman Matt Duffy to first baseman Nick Pratto.",R,L,R,KC,DET,S,,,0,0,2023,0.02,1.57,-0.07,2.62,,,,1,2,Top,,,,,666023,,,2.6326338172177253,-128.44791251387545,-6.182156136676752,-0.2669000170597635,24.554470727108228,-13.734479558636547,3.27,1.6,,,,87.9,2191,5.9,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.61,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,196,0.0,-0.028
CH,2023-05-23,85.9,-1.87,5.63,"Baddoo, Akil",668731,594577,single,hit_into_play,,,,,8,Akil Baddoo singles on a ground ball to right fielder MJ Melendez.,R,L,R,KC,DET,X,9.0,ground_ball,1,0,2023,-1.06,0.45,0.24,1.74,,,,0,5,Top,173.27,130.86,,,521692,,,7.0869411077304205,-125.1282620848457,-3.996226057098728,-12.418338949632483,19.91253524970287,-26.875435784582955,3.22,1.57,10.0,100.8,-10.0,86.4,1524,6.1,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.44,0.254,0.271,0.9,1.0,1.0,0.0,2.0,38,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,233,-0.039,0.354
SL,2023-05-23,83.0,-2.1,5.66,"Baddoo, Akil",668731,594577,,ball,,,,,11,Akil Baddoo singles on a ground ball to right fielder MJ Melendez.,R,L,R,KC,DET,B,,,0,0,2023,0.47,-0.22,-1.1,2.93,,,,0,5,Top,,,,,521692,,,1.364285996398558,-121.06343559828662,0.5233854805098386,4.420628010982623,19.94439664537484,-34.62765718957775,3.46,1.61,,,,83.0,2197,5.8,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.69,,,,,,,,38,1,Slider,3,0,0,3,0,3,0,3,Standard,Standard,78,0.0,0.039
FF,2023-05-23,92.2,-1.93,5.51,"Baddoo, Akil",668731,594577,field_out,hit_into_play,,,,,4,"Akil Baddoo grounds out, third baseman Maikel Garcia to first baseman Vinnie Pasquantino.",R,L,R,KC,DET,X,5.0,ground_ball,3,2,2023,-0.5,1.16,-0.56,2.48,,,,0,3,Top,107.82,160.56,,,521692,,,4.525818636881835,-134.33208298691318,-4.438433981372455,-6.93124970716709,26.607215083245585,-17.382010563754267,3.22,1.57,60.0,103.7,0.0,92.3,2095,6.1,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.4,0.429,0.407,0.0,1.0,0.0,0.0,4.0,18,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,219,0.025,-0.314
FF,2023-05-23,93.6,-2.15,5.52,"Baddoo, Akil",668731,594577,,ball,,,,,11,"Akil Baddoo grounds out, third baseman Maikel Garcia to first baseman Vinnie Pasquantino.",R,L,R,KC,DET,B,,,2,2,2023,-0.69,1.15,-1.54,3.2,,,,0,3,Top,,,,,521692,,,3.100684684789615,-136.4577276516091,-2.8533507690062567,-9.301950290252584,27.13739009692572,-17.283454630663567,3.22,1.61,,,,94.1,2210,6.2,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.25,,,,,,,,18,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,225,0.0,0.108
FC,2023-05-23,87.9,-2.27,5.57,"Baddoo, Akil",668731,594577,,foul,,,,,5,"Akil Baddoo grounds out, third baseman Maikel Garcia to first baseman Vinnie Pasquantino.",R,L,R,KC,DET,S,,,2,1,2023,0.29,0.44,0.23,2.62,,,,0,3,Top,,,,,521692,,,5.409711230757157,-128.01028410969985,-2.0510235487189528,2.328083542703682,22.424091024221028,-27.05217297081116,3.22,1.57,152.0,64.3,63.0,87.9,2177,5.9,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.62,,,,,,,,18,4,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,172,0.0,-0.073
