pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
KC,2023-05-24,81.9,-2.05,5.42,"Kirilloff, Alex",666135,543101,strikeout,swinging_strike,,,,,11,Alex Kirilloff strikes out swinging.,R,L,R,MIN,SF,S,2.0,,2,2,2023,1.22,-0.51,-0.98,2.77,,456781.0,,2,4,Bot,,,,,666165,,,0.0576168068855374,-119.2682291557659,1.6534232927988457,11.554711164787095,24.88873877476964,-37.60894131509407,3.25,1.71,,,,82.4,2173,6.8,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.7,,,0.0,1.0,0.0,0.0,,43,5,Knuckle Curve,6,1,6,1,1,6,6,1,Standard,Standard,54,-0.007,-0.239
KC,2023-05-24,83.9,-1.85,5.26,"Kirilloff, Alex",666135,543101,,ball,,,,,14,Alex Kirilloff strikes out swinging.,R,L,R,MIN,SF,B,,,1,2,2023,0.4,-0.82,2.33,-1.34,666397.0,,456781.0,2,4,Bot,,,,,666165,,,8.949945791372862,-121.68574984233216,-7.194879460012139,2.0311585123470444,26.55955631626917,-38.82248845435035,3.34,1.74,,,,84.3,2230,7.0,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.52,,,,,,,,43,4,Knuckle Curve,5,1,5,1,1,6,6,1,Standard,Standard,51,0.031,0.067
SI,2023-05-24,93.0,-1.93,5.47,"Kirilloff, Alex",666135,543101,,swinging_strike,,,,,13,Alex Kirilloff strikes out swinging.,R,L,R,MIN,SF,S,,,1,1,2023,-1.4,0.91,-1.45,2.06,666397.0,,456781.0,2,4,Bot,,,,,666165,,,4.333045009581593,-135.3165084222829,-4.972233022386255,-18.1397470400341,29.817763778791328,-20.154030160642552,3.25,1.71,,,,93.4,2205,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.96,,,,,,,,43,3,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,225,0.0,-0.133
SL,2023-05-24,88.0,-2.18,5.4,"Kirilloff, Alex",666135,543101,,foul,,,,,3,Alex Kirilloff strikes out swinging.,R,L,R,MIN,SF,S,,,1,0,2023,0.14,0.61,0.41,2.87,666397.0,,456781.0,2,4,Bot,,,,,666165,,,6.02769224944923,-128.1187441071531,-1.3628359252791906,0.3948532471986579,24.357095282374864,-25.37878512535966,3.25,1.71,187.0,70.8,55.0,88.9,2253,6.7,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.85,,,,,,,,43,2,Slider,5,1,5,1,1,5,5,1,Standard,Standard,182,0.0,-0.11
FF,2023-05-24,93.5,-1.91,5.59,"Kirilloff, Alex",666135,543101,,ball,,,,,11,Alex Kirilloff strikes out swinging.,R,L,R,MIN,SF,B,,,0,0,2023,-0.73,1.42,-0.03,3.82,666397.0,,456781.0,2,4,Bot,,,,,666165,,,6.471100383279484,-136.03332805919788,-1.8973198147147556,-10.558226521124512,31.955724330830638,-14.464137366380433,3.4,1.83,,,,93.5,2262,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.06,,,,,,,,43,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,212,0.0,0.07
SI,2023-05-24,92.8,-1.87,5.57,"Kirilloff, Alex",666135,543101,strikeout,called_strike,,,,,3,Alex Kirilloff called out on strikes.,R,L,R,MIN,SF,S,2.0,,3,2,2023,-1.33,0.94,0.65,2.98,,,,1,3,Bot,,,,,666165,,,9.365446912672256,-134.7106405625456,-2.7899155188444973,-18.35000226908442,33.3255580431612,-20.43274228632032,3.34,1.72,,,,92.3,2150,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.07,,,0.0,1.0,0.0,0.0,,29,6,Sinker,3,1,3,1,1,3,3,1,Strategic,Standard,224,-0.011,-0.211
SL,2023-05-24,87.4,-2.18,5.45,"Kirilloff, Alex",666135,543101,,called_strike,,,,,1,Alex Kirilloff called out on strikes.,R,L,R,MIN,SF,S,,,3,1,2023,0.33,0.41,-0.72,3.09,,,,1,3,Bot,,,,,666165,,,2.8465641033508127,-127.2627857423481,-0.3988087440941329,2.9452107144579567,26.38351603264631,-27.817067661269736,3.34,1.66,,,,87.6,2174,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.11,,,,,,,,29,5,Slider,3,1,3,1,1,3,3,1,Strategic,Standard,170,0.0,-0.069
SI,2023-05-24,91.7,-2.01,5.49,"Kirilloff, Alex",666135,543101,,ball,,,,,11,Alex Kirilloff called out on strikes.,R,L,R,MIN,SF,B,,,2,1,2023,-1.27,0.62,-2.01,3.2,,,,1,3,Bot,,,,,666165,,,2.736092209338734,-133.416766227615,-1.168212101925549,-15.604539905704064,33.95734849831859,-24.82576425722995,3.31,1.69,,,,91.3,2219,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.01,,,,,,,,29,4,Sinker,3,1,3,1,1,3,3,1,Strategic,Standard,231,0.0,0.079
SI,2023-05-24,92.2,-2.0,5.43,"Kirilloff, Alex",666135,543101,,called_strike,,,,,4,Alex Kirilloff called out on strikes.,R,L,R,MIN,SF,S,,,2,0,2023,-1.42,0.87,-0.7,2.39,,,,1,3,Bot,,,,,666165,,,6.440881858740772,-133.86150345513715,-3.641820602981965,-18.547796443451528,36.27601990290032,-21.171547698178323,3.25,1.66,,,,91.6,2191,6.7,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.84,,,,,,,,29,3,Sinker,3,1,3,1,1,3,3,1,Strategic,Standard,229,0.0,-0.045
FF,2023-05-24,93.7,-1.91,5.62,"Kirilloff, Alex",666135,543101,,ball,,,,,11,Alex Kirilloff called out on strikes.,R,L,R,MIN,SF,B,,,1,0,2023,-0.88,1.47,-0.04,4.42,,,,1,3,Bot,,,,,666165,,,6.758911695490681,-136.24757764544484,-0.5038916523594688,-12.561835974298694,34.87381107080042,-14.253635095973744,3.43,1.72,,,,93.0,2228,6.3,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.21,,,,,,,,29,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,222,0.0,0.045
