pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,91.3,-1.05,6.86,"Volpe, Anthony",683011,669330,walk,ball,,,,,14,Anthony Volpe walks.,R,R,R,NYY,BAL,B,,,3,0,2023,-0.46,1.69,1.07,1.96,,,,0,5,Bot,,,,,543510,,,6.329922847129925,-132.432352030756,-9.985995177065584,-6.886337492481256,31.65578269895582,-10.313750348499331,3.12,1.58,,,,90.8,2399.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.06,,,0.7,1.0,0.0,0.0,,34,4,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,200.0,0.033,0.152
FC,2023-05-24,86.6,-1.36,6.95,"Volpe, Anthony",683011,669330,,ball,,,,,12,Anthony Volpe walks.,R,R,R,NYY,BAL,B,,,2,0,2023,0.36,0.62,0.33,3.93,,,,0,5,Bot,,,,,543510,,,3.297810265875224,-126.09345747204388,-2.2359167548212917,3.1074852615243698,27.74175816905812,-25.32238683734652,3.17,1.6,,,,86.4,2310.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.21,,,,,,,,34,3,Cutter,2,1,2,1,1,2,2,1,Standard,Standard,172.0,0.0,0.138
FF,2023-05-24,91.3,-1.36,6.83,"Volpe, Anthony",683011,669330,,ball,,,,,12,Anthony Volpe walks.,R,R,R,NYY,BAL,B,,,1,0,2023,-0.33,1.53,0.72,4.49,,,,0,5,Bot,,,,,543510,,,5.957251510021935,-132.7629597613567,-3.2632790107992373,-5.203673791404719,29.798954518839132,-13.679016250605851,3.22,1.58,,,,91.3,2387.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.08,,,,,,,,34,2,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,202.0,0.0,0.066
CU,2023-05-24,73.4,-1.17,6.97,"Volpe, Anthony",683011,669330,,ball,,,,,12,Anthony Volpe walks.,R,R,R,NYY,BAL,B,,,0,0,2023,0.9,-0.97,0.01,3.47,,,,0,5,Bot,,,,,543510,,,0.8246490968445368,-106.79122220346898,1.9548747130600832,6.702138600015462,19.29964063301707,-40.1562519365428,3.22,1.52,,,,73.3,2651.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.13,,,,,,,,34,1,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,44.0,0.0,0.039
SL,2023-05-24,83.4,-1.42,6.9,"Volpe, Anthony",683011,669330,field_out,hit_into_play,,,,,6,"Anthony Volpe grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,5.0,ground_ball,0,1,2023,0.15,0.11,0.67,2.06,,,,0,3,Bot,104.88,162.24,,,543510,,,4.511424938438811,-121.42070626137188,-4.908108814753672,0.6112411208145779,23.94607147361838,-30.27935161817321,3.09,1.47,55.0,86.4,2.0,83.5,2495.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.16,0.309,0.314,0.0,1.0,0.0,0.0,2.0,18,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,115.0,-0.025,-0.198
FC,2023-05-24,87.9,-1.36,6.89,"Volpe, Anthony",683011,669330,,called_strike,,,,,12,"Anthony Volpe grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,S,,,0,0,2023,0.33,0.77,0.65,3.43,,,,0,3,Bot,,,,,543510,,,4.167984527737636,-128.0026102816032,-3.873454525608474,2.743182973180325,27.30108969852435,-23.080984531869905,3.17,1.55,,,,87.6,2471.0,6.1,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.37,,,,,,,,18,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,177.0,0.0,-0.037
ST,2023-05-24,83.4,-0.95,6.13,"Volpe, Anthony",683011,543056,strikeout,swinging_strike,,,,,13,Anthony Volpe strikes out swinging.,R,R,L,NYY,BAL,S,2.0,,0,2,2023,-1.31,-0.91,-0.95,1.8,,,,1,8,Bot,,,,,543510,,,2.5240853833346315,-121.49293905049431,-1.729263734130129,-13.423324756324666,23.91092245736324,-41.05587147821526,3.09,1.47,,,,82.3,2430.0,5.5,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,55.02,,,0.0,1.0,0.0,0.0,,71,3,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,339.0,-0.015,-0.107
FF,2023-05-24,91.2,-0.72,5.92,"Volpe, Anthony",683011,543056,,foul,,,,,1,Anthony Volpe strikes out swinging.,R,R,L,NYY,BAL,S,,,0,1,2023,0.11,0.75,-0.38,2.74,,,,1,8,Bot,,,,,543510,,,0.6179201162735651,-132.91381241139743,-3.7298947125594615,1.159876166206417,28.315795439338256,-22.651456480766043,3.09,1.47,265.0,90.5,28.0,90.6,2389.0,5.8,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.69,,,,,,,,71,2,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,169.0,0.0,-0.036
KC,2023-05-24,78.4,-0.64,6.02,"Volpe, Anthony",683011,543056,,called_strike,,,,,5,Anthony Volpe strikes out swinging.,R,R,L,NYY,BAL,S,,,0,0,2023,-0.62,-2.03,0.17,2.27,,,,1,8,Bot,,,,,543510,,,2.861126991591733,-113.90910938100772,2.5958084564599577,-5.977531822345503,25.43677291125684,-50.37999955199418,3.09,1.47,,,,76.5,2618.0,5.5,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,55.03,,,,,,,,71,1,Knuckle Curve,6,9,6,9,9,6,6,9,Standard,Standard,347.0,0.0,-0.028
SL,2023-05-24,93.3,-1.97,6.09,"Volpe, Anthony",683011,657508,field_out,hit_into_play,,,,,6,"Anthony Volpe grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,6.0,ground_ball,3,2,2023,-0.22,0.95,0.44,2.44,,,,2,6,Bot,109.37,145.46,,,543510,,,6.686004869808429,-135.69187329958226,-5.6991804847497445,-4.279134142905612,30.92782971801776,-19.39972380094761,3.09,1.47,146.0,97.8,9.0,93.2,2300.0,6.4,718040,657508,543510,663624,624428,687401,622761,669720,656775,623993,54.13,0.623,0.561,0.0,1.0,0.0,0.0,4.0,47,6,Slider,5,1,5,1,1,5,5,1,Standard,Standard,206.0,-0.002,-0.132
FF,2023-05-24,98.7,-1.62,6.17,"Volpe, Anthony",683011,657508,,ball,,,,,12,"Anthony Volpe grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,B,,,2,2,2023,-0.82,1.61,0.88,2.7,,,,2,6,Bot,,,,,543510,,,8.751869971131507,-143.2916070859911,-7.760973757845285,-13.315722881185833,34.06635805132315,-8.279209432115277,3.2,1.6,,,,99.0,2318.0,6.6,718040,657508,543510,663624,624428,687401,622761,669720,656775,623993,53.87,,,,,,,,47,5,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,207.0,0.0,0.041
