pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-04-28,90.4,-0.81,5.22,"García, Avisaíl",541645,573186,single,hit_into_play,,,,,4,Avisail Garcia singles on a pop up to right fielder Seiya Suzuki.   Luis Arraez to 3rd.,R,R,R,MIA,CHC,X,9.0,popup,0,1,2023,-1.03,0.18,-0.43,2.74,,,650333.0,1,7,Bot,163.91,130.48,,,543228,,,3.1055407928602192,-131.6877788935829,-0.6679293079441306,-12.678685838577833,26.26426157938386,-30.18613553106336,3.44,1.77,171.0,61.1,28.0,89.8,2311.0,5.7,718391,573186,543228,641820,663538,663611,621020,664023,641355,673548,54.77,0.597,0.537,0.9,1.0,1.0,0.0,4.0,50,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,203.0,0.134,0.56
SL,2023-04-28,88.2,-0.81,5.28,"García, Avisaíl",541645,573186,,swinging_strike,,,,,9,Avisail Garcia singles on a pop up to right fielder Seiya Suzuki.   Luis Arraez to 3rd.,R,R,R,MIA,CHC,S,,,0,0,2023,0.27,0.04,0.76,1.66,,,650333.0,1,7,Bot,,,,,543228,,,3.205362586334016,-128.52711911033117,-2.829859381523381,2.4136307789851643,24.8108295998668,-31.388754220998447,3.44,1.77,,,,87.8,2810.0,5.8,718391,573186,543228,641820,663538,663611,621020,664023,641355,673548,54.69,,,,,,,,50,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,93.0,0.0,-0.054
SL,2023-04-28,86.4,-0.84,5.37,"García, Avisaíl",541645,573186,field_out,hit_into_play,,,,,9,"Avisail Garcia grounds out, shortstop Dansby Swanson to first baseman Trey Mancini.",R,R,R,MIA,CHC,X,6.0,ground_ball,1,1,2023,0.41,-0.45,0.7,2.22,,,,2,4,Bot,106.08,155.98,,,543228,,,2.802724154035653,-125.82485187760513,-0.3962169826359394,3.808472616989002,26.091712572352712,-37.055867063268735,3.44,1.77,34.0,96.4,-2.0,85.6,2752.0,5.8,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.73,0.314,0.283,0.0,1.0,0.0,0.0,2.0,29,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,64.0,-0.013,-0.098
SL,2023-04-28,86.6,-0.9,5.36,"García, Avisaíl",541645,573186,,swinging_strike,,,,,14,"Avisail Garcia grounds out, shortstop Dansby Swanson to first baseman Trey Mancini.",R,R,R,MIA,CHC,S,,,1,0,2023,0.52,-0.32,1.0,0.77,,,,2,4,Bot,,,,,543228,,,3.4413756151513035,-126.02310619088875,-4.07126203958147,4.856691416432074,26.44802786694988,-34.991333987215995,3.44,1.77,,,,86.0,2842.0,5.9,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.55,,,,,,,,29,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,69.0,0.0,-0.027
SL,2023-04-28,86.5,-0.84,5.31,"García, Avisaíl",541645,573186,,ball,,,,,14,"Avisail Garcia grounds out, shortstop Dansby Swanson to first baseman Trey Mancini.",R,R,R,MIA,CHC,B,,,0,0,2023,0.52,-0.34,1.58,0.16,,,,2,4,Bot,,,,,543228,,,4.682708578024929,-125.89078638961196,-5.398158379313243,4.64720649822733,23.45188910870488,-35.044167676689014,3.4,1.75,,,,86.2,2784.0,5.9,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.6,,,,,,,,29,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,60.0,0.0,0.021
SI,2023-04-28,91.6,-0.94,5.22,"García, Avisaíl",541645,573186,strikeout,called_strike,,,,,7,Avisail Garcia called out on strikes.,R,R,R,MIA,CHC,S,2.0,,3,2,2023,-1.05,0.26,-0.54,1.95,,,650333.0,0,2,Bot,,,,,543228,,,3.230208358092621,-133.33855649053643,-2.94430569146671,-13.209346224619996,28.36384291750656,-28.6738523927434,3.36,1.69,,,,90.7,2203.0,5.7,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.78,,,0.0,1.0,0.0,0.0,,11,8,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.035,-0.459
SI,2023-04-28,91.0,-0.93,5.24,"García, Avisaíl",541645,573186,,foul,,,,,8,Avisail Garcia called out on strikes.,R,R,R,MIA,CHC,S,,,3,2,2023,-0.88,0.28,0.24,2.03,,,650333.0,0,2,Bot,,,,,543228,,,4.767500897065934,-132.57131977005022,-2.7895130984512586,-11.353074197294395,26.416242688452552,-28.52993400940291,3.44,1.77,3.0,59.1,-38.0,90.5,2323.0,5.8,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.72,,,,,,,,11,7,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,0.0
SV,2023-04-28,84.3,-0.97,5.26,"García, Avisaíl",541645,573186,,foul,,,,,5,Avisail Garcia called out on strikes.,R,R,R,MIA,CHC,S,,,3,2,2023,0.98,0.45,0.23,2.72,,,650333.0,0,2,Bot,,,,,543228,,,0.8549502950131919,-122.8811413632842,-0.4561970826325452,9.801567402528626,23.340916932707277,-27.75259718157262,3.44,1.77,168.0,77.6,72.0,83.7,2732.0,5.7,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.82,,,,,,,,11,6,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,55.0,0.0,0.0
SI,2023-04-28,90.7,-0.94,5.25,"García, Avisaíl",541645,573186,,foul,,,,,4,Avisail Garcia called out on strikes.,R,R,R,MIA,CHC,S,,,3,1,2023,-0.74,0.41,-0.58,2.6,,,650333.0,0,2,Bot,,,,,543228,,,2.445304090185849,-132.0577961042592,-1.58205876552495,-9.220815434948742,27.760070743300933,-27.237825313869447,3.44,1.77,156.0,75.8,70.0,89.5,2206.0,5.5,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.99,,,,,,,,11,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,-0.102
SI,2023-04-28,91.2,-0.97,5.16,"García, Avisaíl",541645,573186,,blocked_ball,,,,,14,Avisail Garcia called out on strikes.,R,R,R,MIA,CHC,B,,,2,1,2023,-0.61,-0.09,0.8,0.44,,,650333.0,0,2,Bot,,,,,543228,,,5.727146724285171,-132.71034363712914,-5.770645381174044,-8.442052821294181,28.27215438498047,-32.164295175022474,3.43,1.71,,,,90.5,2301.0,5.9,718391,573186,543228,641820,663538,621550,621020,664023,641355,673548,54.63,,,,,,,,11,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,0.175
