pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FS,2023-05-24,84.2,-2.56,5.14,"Sabol, Blake",666165,657746,field_error,hit_into_play,,,,,7,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,X,4.0,ground_ball,1,2,2023,-1.43,0.0,-0.56,1.96,,,,1,5,Top,164.95,156.85,,,680777,,,7.511866068702568,-122.42188608984924,-0.9701508044499152,-15.846434176535894,25.502741526459427,-32.18420653676977,3.43,1.69,16.0,84.1,-7.0,84.5,1378.0,6.7,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.85,0.134,0.133,0.9,1.0,0.0,0.0,2.0,45,5,Split-Finger,6,1,1,6,1,6,1,6,Strategic,Standard,237.0,-0.012,0.352
FF,2023-05-24,93.0,-2.66,5.02,"Sabol, Blake",666165,657746,,foul,,,,,1,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,S,,,1,2,2023,-1.07,1.26,-0.5,2.95,,,,1,5,Top,,,,,680777,,,7.935192336992602,-135.18091427640005,-2.256429248631382,-14.89558397332056,31.394566776231503,-16.472190722725244,3.43,1.69,337.0,95.6,46.0,93.3,2298.0,6.7,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.84,,,,,,,,45,4,4-Seam Fastball,6,1,1,6,1,6,1,6,Strategic,Standard,220.0,0.0,0.0
FS,2023-05-24,84.9,-2.55,5.15,"Sabol, Blake",666165,657746,,ball,,,,,14,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,B,,,0,2,2023,-1.32,0.16,0.27,0.63,,,,1,5,Top,,,,,680777,,,9.216703695308592,-123.25465928027802,-4.532681084650146,-15.280078421380129,24.95273934055584,-29.778776727763734,3.57,1.77,,,,84.8,1304.0,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.1,,,,,,,,45,3,Split-Finger,6,1,1,6,1,6,1,6,Strategic,Standard,233.0,0.0,0.014
FF,2023-05-24,92.2,-2.54,5.1,"Sabol, Blake",666165,657746,,swinging_strike,,,,,2,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,S,,,0,1,2023,-0.99,1.39,0.09,3.44,,,,1,5,Top,,,,,680777,,,8.835188189682627,-133.98190507911227,-1.3797540543325293,-13.856768960187647,29.66788041818697,-15.315067751846255,3.43,1.69,,,,92.2,2299.0,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.1,,,,,,,,45,2,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,219.0,0.0,-0.036
FF,2023-05-24,89.7,-2.5,5.22,"Sabol, Blake",666165,657746,,foul,,,,,1,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,S,,,0,0,2023,-1.0,1.36,-0.38,2.99,,,,1,5,Top,,,,,680777,,,7.367102813964647,-130.4771804463944,-2.400627743223152,-12.985444307903894,27.277971431269123,-16.332108817329924,3.43,1.69,225.0,92.7,61.0,89.9,2235.0,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.09,,,,,,,,45,1,4-Seam Fastball,6,1,1,6,1,6,1,6,Strategic,Standard,213.0,0.0,-0.028
FS,2023-05-24,83.9,-2.76,4.94,"Sabol, Blake",666165,657746,fielders_choice,hit_into_play,,,,,13,"Blake Sabol reaches on a fielder's choice, fielded by pitcher Joe Ryan.   Michael Conforto to 2nd.  Michael Conforto advances to 2nd, on a throwing error by pitcher Joe Ryan.",R,L,R,MIN,SF,X,1.0,ground_ball,1,2,2023,-1.39,0.08,-1.32,1.55,,,624424.0,1,3,Top,127.95,180.36,,,680777,,,6.125780531437049,-121.94591878876248,-1.5384565088618702,-15.06877157581328,26.36363136397513,-31.237274283457356,3.43,1.69,4.0,54.8,-25.0,84.0,1372.0,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.85,0.103,0.094,0.9,1.0,0.0,0.0,1.0,25,4,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,241.0,-0.041,0.608
FS,2023-05-24,83.3,-2.69,5.03,"Sabol, Blake",666165,657746,,foul,,,,,5,"Blake Sabol reaches on a fielder's choice, fielded by pitcher Joe Ryan.   Michael Conforto to 2nd.  Michael Conforto advances to 2nd, on a throwing error by pitcher Joe Ryan.",R,L,R,MIN,SF,S,,,1,1,2023,-1.12,-0.09,0.24,2.63,,,624424.0,1,3,Top,,,,,680777,,,8.979441433178454,-121.05969651988892,1.1239730441888198,-12.709767307130534,22.021342375492708,-33.536916932595865,3.43,1.69,130.0,74.2,72.0,84.1,1264.0,6.8,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.74,,,,,,,,25,3,Split-Finger,3,1,1,3,1,3,1,3,Strategic,Standard,243.0,0.0,-0.064
FF,2023-05-24,91.4,-2.71,4.96,"Sabol, Blake",666165,657746,,foul,,,,,5,"Blake Sabol reaches on a fielder's choice, fielded by pitcher Joe Ryan.   Michael Conforto to 2nd.  Michael Conforto advances to 2nd, on a throwing error by pitcher Joe Ryan.",R,L,R,MIN,SF,S,,,1,0,2023,-0.9,1.13,-0.01,2.38,,,624424.0,1,3,Top,,,,,680777,,,8.774258146116747,-132.6868667222671,-3.001094235754145,-12.586682839599346,31.51906617434401,-18.410678344597308,3.43,1.69,,,,91.2,2240.0,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.93,,,,,,,,25,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Strategic,Standard,225.0,0.0,-0.074
FS,2023-05-24,80.9,-2.64,5.25,"Sabol, Blake",666165,657746,,ball,,,,,11,"Blake Sabol reaches on a fielder's choice, fielded by pitcher Joe Ryan.   Michael Conforto to 2nd.  Michael Conforto advances to 2nd, on a throwing error by pitcher Joe Ryan.",R,L,R,MIN,SF,B,,,0,0,2023,-1.1,-0.02,-1.19,3.17,,,624424.0,1,3,Top,,,,,680777,,,5.360121385042777,-117.60778375408688,2.1023674862091597,-11.192846631568706,23.170414171728247,-33.030413338334085,3.43,1.72,,,,81.2,1187.0,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.89,,,,,,,,25,1,Split-Finger,3,1,1,3,1,3,1,3,Strategic,Standard,241.0,0.0,0.046
FF,2023-05-24,93.9,-2.75,4.95,"Sabol, Blake",666165,657746,field_out,hit_into_play,,,,,2,"Blake Sabol grounds out sharply, second baseman Edouard Julien to first baseman Alex Kirilloff.",R,L,R,MIN,SF,X,4.0,ground_ball,0,2,2023,-1.03,1.2,-0.16,3.37,664774.0,642731.0,,2,1,Top,151.64,151.4,,,680777,,,8.93624573113358,-136.35862367320354,-0.9636217139821854,-14.865994617333865,32.24567651319199,-17.229147683789268,3.43,1.69,61.0,102.4,1.0,93.3,2202.0,6.2,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.25,0.451,0.419,0.0,1.0,0.0,0.0,4.0,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.057,-0.293
