pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-23,94.3,1.58,6.14,"Dixon, Brandon",641525,669022,home_run,hit_into_play,,,,,5,Brandon Dixon homers (1) on a fly ball to center field.,R,R,L,WSH,SD,X,,fly_ball,0,0,2023,0.59,1.37,-0.05,2.74,,,,0,4,Top,161.93,40.02,,,660688,,,-5.60850050758396,-137.18169403664754,-6.303750306329628,8.625620807313867,28.1474601425096,-13.601310428668674,3.58,1.69,403.0,105.7,24.0,95.7,2350,6.9,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.56,0.949,1.824,2.0,1.0,0.0,3.0,6.0,26,1,4-Seam Fastball,0,2,2,0,3,0,3,0,Standard,Standard,151,-0.086,1.0
SL,2023-05-23,87.2,1.71,6.0,"Dixon, Brandon",641525,669022,field_out,hit_into_play,,,,,4,Brandon Dixon pops out to third baseman Jeimer Candelario in foul territory.,R,R,L,WSH,SD,X,5.0,popup,1,0,2023,-0.35,0.43,-0.31,2.52,,,,0,2,Top,110.6,191.89,,,660688,,,-4.195050768230972,-127.00484955487438,-3.173218752579253,-3.014755743513222,24.93060789279444,-27.04092142045389,3.58,1.69,46.0,92.4,77.0,89.0,2002,7.3,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.22,0.014,0.017,0.0,1.0,0.0,0.0,3.0,11,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,193,0.017,-0.274
FF,2023-05-23,93.6,1.65,6.12,"Dixon, Brandon",641525,669022,,ball,,,,,11,Brandon Dixon pops out to third baseman Jeimer Candelario in foul territory.,R,R,L,WSH,SD,B,,,0,0,2023,0.4,1.6,-0.1,4.16,,,,0,2,Top,,,,,660688,,,-5.465360357872592,-136.1534552076627,-2.8603987480852946,6.203581560172343,30.6688953472352,-11.863419641082444,3.36,1.68,,,,94.9,2354,7.1,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.37,,,,,,,,11,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,154,0.0,0.039
FF,2023-05-23,96.6,1.67,6.12,"Dixon, Brandon",641525,669022,pickoff_1b,ball,,,,,12,Catcher Keibert Ruiz picks off Nelson Cruz at  on throw to first baseman Dominic Smith.,R,R,L,WSH,SD,B,2.0,,1,0,2023,0.28,1.53,0.16,4.53,,630105.0,443558.0,2,1,Top,,,,,660688,,,-4.72941864290279,-140.5530418252536,-2.144068437664405,4.807115618793598,33.65908298209966,-11.714230604886192,3.38,1.61,,,,97.8,2410,7.1,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.38,,,0.0,0.0,0.0,0.0,,7,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,159,0.032,-0.545
FF,2023-05-23,95.0,1.62,6.12,"Dixon, Brandon",641525,669022,,ball,,,,,11,Catcher Keibert Ruiz picks off Nelson Cruz at  on throw to first baseman Dominic Smith.,R,R,L,WSH,SD,B,,,0,0,2023,0.41,1.59,-0.49,4.01,,630105.0,443558.0,2,1,Top,,,,,660688,,,-6.530309959598816,-138.24358783776836,-3.4602888245578662,6.674819544647913,31.49817285457865,-11.19563330331274,3.31,1.58,,,,96.5,2352,7.2,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.33,,,,,,,,7,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,157,0.0,0.075
FF,2023-05-20,94.9,2.99,5.24,"Dixon, Brandon",641525,519242,field_out,hit_into_play,,,,,6,Brandon Dixon flies out to center fielder Jarren Duran.,R,R,L,SD,BOS,X,8.0,fly_ball,1,0,2023,1.19,0.99,0.29,2.51,,,,1,7,Bot,130.18,57.59,,,657136,,,-9.78707373521163,-137.79426034383948,-3.6371199080056056,17.493827413032214,33.57252438594632,-18.98931814870769,3.58,1.69,350.0,96.6,37.0,95.0,2132,6.7,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.79,0.14,0.294,0.0,1.0,0.0,0.0,3.0,56,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,110,-0.026,-0.2
FF,2023-05-20,96.1,2.99,5.09,"Dixon, Brandon",641525,519242,,ball,,,,,14,Brandon Dixon flies out to center fielder Jarren Duran.,R,R,L,SD,BOS,B,,,0,0,2023,1.23,0.91,1.13,2.48,,,,1,7,Bot,,,,,657136,,,-7.775975325073961,-139.72913353732088,-3.343750274708342,17.884708670262608,34.29249315083461,-19.77382046614273,3.47,1.69,,,,96.3,2088,6.7,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.83,,,,,,,,56,1,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,103,0.0,0.029
SL,2023-05-20,81.9,3.09,5.25,"Dixon, Brandon",641525,519242,hit_by_pitch,hit_by_pitch,,,,,13,Brandon Dixon hit by pitch.    Nelson Cruz to 2nd.,R,R,L,SD,BOS,B,,,0,2,2023,-1.47,-0.18,-2.19,0.75,,,443558.0,1,5,Bot,,,,,657136,,,-9.040143243997948,-118.9245721746242,-3.120188456464051,-11.779076204886357,26.18804664199396,-33.41071108257167,3.58,1.69,,,,81.1,2413,6.2,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,54.27,,,0.7,1.0,0.0,0.0,,40,3,Slider,1,4,1,4,4,1,1,4,Strategic,Standard,328,0.045,0.504
CH,2023-05-20,87.0,3.22,4.86,"Dixon, Brandon",641525,519242,,called_strike,,,,,9,Brandon Dixon hit by pitch.    Nelson Cruz to 2nd.,R,R,L,SD,BOS,S,,,0,1,2023,1.53,0.55,0.3,1.78,,,443558.0,1,5,Bot,,,,,657136,,,-10.141297781453924,-126.22604393292303,-2.268549387250054,18.40483418262445,26.61630098979949,-26.037733724698377,3.47,1.64,,,,87.0,1946,6.5,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.99,,,,,,,,40,2,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,89,0.0,-0.061
FF,2023-05-20,97.0,3.05,5.28,"Dixon, Brandon",641525,519242,,foul,,,,,3,Brandon Dixon hit by pitch.    Nelson Cruz to 2nd.,R,R,L,SD,BOS,S,,,0,0,2023,1.3,0.87,0.69,3.44,,,443558.0,1,5,Bot,,,,,657136,,,-9.34783212190226,-140.86263510767705,-1.3001503812671815,19.55847637367063,34.45897957364918,-20.51775308687892,3.58,1.69,201.0,77.2,20.0,97.1,2228,6.6,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.88,,,,,,,,40,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,113,0.0,-0.054
