pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,95.9,2.23,5.95,"Drury, Brandon",592273,572020,single,hit_into_play,,,,,9,Brandon Drury singles on a sharp line drive to right fielder Raimel Tapia.,R,R,L,LAA,BOS,X,9.0,line_drive,0,0,2023,0.99,1.2,0.46,1.73,,,,2,3,Bot,181.58,103.37,,,657136,,,-6.971145582228597,-139.2167897791403,-8.24930544287385,14.49439492375062,34.81970139152807,-14.855193038032205,3.55,1.74,229.0,102.9,10.0,96.0,2216.0,6.7,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.77,0.82,0.792,0.9,1.0,1.0,0.0,4.0,24,1,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,129.0,0.003,0.136
CU,2023-05-24,76.4,-1.16,6.64,"Drury, Brandon",592273,601713,field_out,hit_into_play,,,,,8,Brandon Drury flies out to second baseman Pablo Reyes.,R,R,R,LAA,BOS,X,4.0,fly_ball,2,1,2023,0.99,-1.53,-0.18,1.97,,,,1,5,Bot,124.52,122.51,,,657136,,,0.2750156974176622,-111.02688065956144,0.2604134193121412,7.8830810293763935,27.02188986599629,-44.80997233696744,3.55,1.74,194.0,91.3,59.0,76.1,2773.0,7.0,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.55,0.006,0.005,0.0,1.0,0.0,0.0,3.0,43,4,Curveball,7,1,7,1,1,7,7,1,Standard,Standard,22.0,-0.001,-0.201
FF,2023-05-24,94.0,-1.1,6.58,"Drury, Brandon",592273,601713,,ball,,,,,12,Brandon Drury flies out to second baseman Pablo Reyes.,R,R,R,LAA,BOS,B,,,1,1,2023,0.13,1.84,0.84,3.85,,,,1,5,Bot,,,,,657136,,,4.796541310527558,-136.53617111002097,-5.415147329534872,0.3051124039610106,36.12242819917388,-8.273072464670678,3.55,1.74,,,,94.6,2258.0,7.2,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.3,,,,,,,,43,3,4-Seam Fastball,7,1,7,1,1,7,7,1,Standard,Standard,195.0,0.0,0.036
FF,2023-05-24,93.0,-0.76,6.82,"Drury, Brandon",592273,601713,,ball,,,,,12,Brandon Drury flies out to second baseman Pablo Reyes.,R,R,R,LAA,BOS,B,,,0,1,2023,0.0,1.8,0.84,4.01,,,,1,5,Bot,,,,,657136,,,4.201271852642215,-135.19447654025146,-5.360712809840487,-1.1245977847776094,34.5096014178945,-9.28150478167198,3.55,1.74,,,,93.9,2308.0,7.3,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.24,,,,,,,,43,2,4-Seam Fastball,7,1,7,1,1,7,7,1,Standard,Standard,185.0,0.0,0.021
CU,2023-05-24,76.8,-1.09,6.6,"Drury, Brandon",592273,601713,,foul_tip,,,,,9,Brandon Drury flies out to second baseman Pablo Reyes.,R,R,R,LAA,BOS,S,,,0,0,2023,0.81,-1.57,0.65,1.93,,,,1,5,Bot,,,,,657136,,,2.217747646642953,-111.6723627730197,0.2336838770588576,6.107072370851749,26.710647963875328,-45.33623910566882,3.55,1.74,,,,76.5,2798.0,6.9,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.65,,,,,,,,43,1,Curveball,7,1,7,1,1,7,7,1,Standard,Standard,18.0,0.0,-0.028
FF,2023-05-24,93.9,2.09,6.18,"Drury, Brandon",592273,572020,double,hit_into_play,,,,,7,Brandon Drury doubles (11) on a ground ball to left fielder Rob Refsnyder.   Hunter Renfroe to 3rd.,R,R,L,LAA,BOS,X,7.0,ground_ball,1,0,2023,0.67,1.41,-0.8,2.26,,,592669.0,0,2,Bot,64.96,147.68,,,657136,,,-9.011148360548711,-136.31782163806025,-7.543486658890355,10.417293078226225,31.86364737954251,-13.102499840948596,3.55,1.74,126.0,78.0,10.0,94.1,2156.0,6.7,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.83,0.377,0.362,1.25,1.0,1.0,1.0,4.0,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,136.0,0.109,1.02
FF,2023-05-24,94.7,2.0,6.29,"Drury, Brandon",592273,572020,,ball,,,,,13,Brandon Drury doubles (11) on a ground ball to left fielder Rob Refsnyder.   Hunter Renfroe to 3rd.,R,R,L,LAA,BOS,B,,,0,0,2023,0.54,1.49,-1.32,2.64,,,592669.0,0,2,Bot,,,,,657136,,,-9.896805617774984,-137.3445965567191,-7.14451705048737,9.145159397520398,32.27938455763337,-11.817183836624652,3.55,1.74,,,,94.7,2167.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.87,,,,,,,,12,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,135.0,0.0,0.037
SL,2023-05-24,82.6,-2.0,6.43,"Drury, Brandon",592273,445276,field_out,hit_into_play,,,,,9,"Brandon Drury grounds out, third baseman Rafael Devers to first baseman Justin Turner.",R,R,R,LAA,BOS,X,5.0,ground_ball,1,2,2023,0.6,-0.11,0.62,1.77,,,,0,8,Bot,85.83,161.36,,,657136,,,4.852960932489389,-120.24345386349847,-3.91023696211542,4.814236389447141,23.84382703558395,-32.68635786224464,3.55,1.74,11.0,83.4,-9.0,83.4,2389.0,6.8,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.66,0.091,0.082,0.0,1.0,0.0,0.0,2.0,65,6,Slider,7,2,7,2,2,7,7,2,Standard,Standard,57.0,-0.001,-0.175
FC,2023-05-24,93.7,-2.12,6.28,"Drury, Brandon",592273,445276,,foul,,,,,3,"Brandon Drury grounds out, third baseman Rafael Devers to first baseman Justin Turner.",R,R,R,LAA,BOS,S,,,1,2,2023,-0.01,1.8,0.66,3.3,,,,0,8,Bot,,,,,657136,,,7.299440863198954,-136.08462824860092,-5.929882567540017,-1.8875540962750232,33.54288202253268,-8.76994513679835,3.55,1.74,134.0,78.4,10.0,94.5,2701.0,7.1,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.36,,,,,,,,65,5,Cutter,7,2,7,2,2,7,7,2,Standard,Standard,179.0,0.0,0.0
FC,2023-05-24,94.0,-2.19,6.27,"Drury, Brandon",592273,445276,,foul,,,,,6,"Brandon Drury grounds out, third baseman Rafael Devers to first baseman Justin Turner.",R,R,R,LAA,BOS,S,,,1,2,2023,-0.09,1.74,0.61,2.8,,,,0,8,Bot,,,,,657136,,,7.558113552875048,-136.49803692301975,-7.194813904077464,-2.8443211738158203,30.24463268766189,-9.019657242151457,3.55,1.74,199.0,71.4,50.0,95.2,2646.0,7.1,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.37,,,,,,,,65,4,Cutter,7,2,7,2,2,7,7,2,Standard,Standard,145.0,0.0,0.0
