pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-04,82.1,2.2,5.99,"Serven, Brian",661531,489119,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,L,COL,MIL,S,2.0,,1,2,2023,0.73,0.46,1.01,1.04,,,,2,5,Bot,,,,,605170,,,-4.104588327421825,-119.62821562910588,-5.710915853111801,7.76980621841906,17.68164066450571,-27.0079018007936,3.45,1.64,,,,82.9,1744.0,6.2,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.28,,,0.0,1.0,0.0,0.0,,38,4,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,128.0,-0.01,-0.072
CH,2023-05-04,83.0,1.84,6.08,"Serven, Brian",661531,489119,,swinging_strike,,,,,9,Brian Serven strikes out swinging.,R,R,L,COL,MIL,S,,,1,1,2023,0.78,0.7,0.42,2.05,,,,2,5,Bot,,,,,605170,,,-4.781640030608263,-120.97621375598824,-4.327158481514443,8.485524642753935,16.325818505485714,-24.732566010579717,3.45,1.64,,,,84.2,1727.0,6.3,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.2,,,,,,,,38,3,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,134.0,0.0,-0.026
FC,2023-05-04,86.0,1.63,6.35,"Serven, Brian",661531,489119,,foul,,,,,11,Brian Serven strikes out swinging.,R,R,L,COL,MIL,S,,,1,0,2023,-0.14,0.45,-0.9,2.75,,,,2,5,Bot,,,,,605170,,,-5.7302422500334025,-125.31775687914852,-3.344235294795693,-0.5296495697965751,20.11338287567642,-27.004787332541856,3.45,1.64,144.0,104.4,7.0,86.9,2035.0,6.3,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.18,,,,,,,,38,2,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,170.0,0.0,-0.027
FF,2023-05-04,88.6,1.7,6.43,"Serven, Brian",661531,489119,,ball,,,,,12,Brian Serven strikes out swinging.,R,R,L,COL,MIL,B,,,0,0,2023,0.02,1.1,0.14,3.89,,,,2,5,Bot,,,,,605170,,,-3.850756234041482,-129.18218845625492,-2.5906189141980884,0.8640427634237655,20.593303858435377,-19.38777152384852,3.44,1.73,,,,89.3,2061.0,6.1,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.42,,,,,,,,38,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,154.0,0.0,0.021
FF,2023-05-04,88.3,1.65,6.4,"Serven, Brian",661531,489119,field_out,hit_into_play,,,,,4,Brian Serven pops out to second baseman Brice Turang in foul territory.,R,R,L,COL,MIL,X,4.0,popup,1,0,2023,0.27,1.13,-0.44,2.71,,,,1,3,Bot,179.82,160.54,,,605170,,,-5.6680607222615045,-128.6170113337733,-5.408286714353563,3.982447915005269,20.82205231010058,-18.676336113231237,3.45,1.64,166.0,71.1,65.0,89.2,2148.0,6.3,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.17,0.001,0.0,0.0,1.0,0.0,0.0,3.0,22,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,160.0,-0.018,-0.2
FC,2023-05-04,86.1,1.64,6.4,"Serven, Brian",661531,489119,,ball,,,,,13,Brian Serven pops out to second baseman Brice Turang in foul territory.,R,R,L,COL,MIL,B,,,0,0,2023,-0.12,0.61,-0.98,2.07,,,,1,3,Bot,,,,,605170,,,-5.974833742531762,-125.42415144214084,-5.422770320461757,-0.359366583028941,20.493903258075875,-24.906555163032586,3.54,1.66,,,,86.9,2185.0,6.3,718313,489119,605170,642133,668930,605119,642715,592885,686894,621438,54.18,,,,,,,,22,1,Cutter,0,2,0,2,2,0,0,2,Standard,Strategic,169.0,0.0,0.029
SL,2023-04-26,81.7,-1.81,6.39,"Serven, Brian",661531,676440,strikeout,swinging_strike,,,,,14,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,2.0,,1,2,2023,1.51,-0.66,1.58,1.5,,678662.0,,1,5,Top,,,,,595956,,,4.742303348294085,-118.90318001541031,-3.174350131993545,13.446248791973506,22.960420523887795,-37.983767186761504,3.45,1.62,,,,82.1,2936.0,6.6,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,53.92,,,0.0,1.0,0.0,0.0,,36,4,Slider,3,0,0,3,0,3,0,3,Standard,Standard,68.0,0.034,-0.23
SL,2023-04-26,81.1,-1.8,6.32,"Serven, Brian",661531,676440,,swinging_strike_blocked,,,,,14,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,,,1,1,2023,0.88,-0.74,0.09,0.68,,678662.0,,1,5,Top,,,,,595956,,,2.543845699499103,-118.0734670333478,-4.6159774263322,7.760518793396244,22.42121975657433,-38.41525261094325,3.45,1.62,,,,81.5,2690.0,6.5,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,54.0,,,,,,,,36,3,Slider,3,0,0,3,0,3,0,3,Standard,Standard,36.0,0.0,-0.1
SL,2023-04-26,80.3,-1.76,6.45,"Serven, Brian",661531,676440,,called_strike,,,,,6,Brian Serven strikes out swinging.,R,R,R,CLE,COL,S,,,1,0,2023,0.8,-0.38,0.37,2.73,,678662.0,,1,5,Top,,,,,595956,,,3.18714251678256,-116.9899058227255,-0.8206697616014272,6.737518073546167,22.330077960630845,-35.75903030935765,3.38,1.62,,,,80.4,2633.0,6.3,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,54.17,,,,,,,,36,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,39.0,0.0,-0.076
CU,2023-04-26,73.5,-1.25,6.62,"Serven, Brian",661531,676440,,ball,,,,,13,Brian Serven strikes out swinging.,R,R,R,CLE,COL,B,,,0,0,2023,0.57,-1.1,-1.08,1.65,,678662.0,,1,5,Top,,,,,595956,,,-0.6478539298066647,-106.97003806252114,-0.8150283755257304,4.485630486869515,19.67395796771252,-40.65718504707367,3.38,1.62,,,,73.4,2512.0,6.3,718421,676440,595956,605137,665926,608070,642708,680757,686823,660757,54.15,,,,,,,,36,1,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,26.0,0.0,0.041
