pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,91.1,2.9,5.18,"Raleigh, Cal",663728,686610,walk,ball,,,,,12,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,3,0,2023,0.8,1.28,1.54,2.86,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-5.185454029108047,-132.59068058519117,-2.742848869909015,10.47974531082351,26.880936772966,-16.61215111095617,3.61,1.75,,,,92.5,2228.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.51,,,0.7,1.0,0.0,0.0,,37,4,4-Seam Fastball,4,0,4,0,0,5,5,0,Standard,Standard,128.0,0.03,0.373
CH,2023-05-24,83.9,2.87,5.19,"Raleigh, Cal",663728,686610,,ball,,,,,13,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,2,0,2023,1.19,0.51,-0.94,1.56,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-11.309593622671684,-121.78466549451024,-3.074120584405756,13.88423191160896,21.201296115805157,-26.645972182586164,3.54,1.71,,,,85.4,1663.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.38,,,,,,,,37,3,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,114.0,0.0,0.433
CH,2023-05-24,84.4,2.94,5.16,"Raleigh, Cal",663728,686610,,blocked_ball,,,,,14,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,1,0,2023,1.34,0.55,0.06,0.72,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-9.456837349990137,-122.48508732811555,-5.1174892672346015,15.27848381482474,22.46779407669373,-25.81302405355647,3.58,1.75,,,,85.5,1808.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.52,,,,,,,,37,2,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,115.0,0.0,0.153
ST,2023-05-24,79.8,3.1,5.3,"Raleigh, Cal",663728,686610,,ball,,,,,12,Cal Raleigh walks.   J.P. Crawford scores.    Julio Rodriguez to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,OAK,B,,,0,0,2023,-0.76,0.06,0.99,2.72,641487.0,677594.0,553993.0,2,4,Bot,,,,,669127,,,-3.246169571138446,-116.20908822020974,0.8985969252539225,-6.3258264593354046,20.52211750983077,-31.9796097849176,3.54,1.72,,,,80.9,2038.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.62,,,,,,,,37,1,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,298.0,0.0,0.035
FF,2023-05-24,91.6,2.79,5.59,"Raleigh, Cal",663728,686610,single,hit_into_play,,,,,6,Cal Raleigh singles on a sharp line drive to center fielder Ramon Laureano.,R,R,L,SEA,OAK,X,8.0,line_drive,0,0,2023,0.86,1.14,0.56,2.55,,,,0,4,Bot,119.07,84.85,,,669127,,,-7.550233380186545,-133.27316535818306,-4.346458124666626,11.80701501873592,26.135507392095224,-17.773607627622695,3.43,1.57,160.0,105.0,9.0,92.8,2232.0,6.8,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.71,0.731,0.687,0.9,1.0,1.0,0.0,4.0,28,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,138.0,0.043,0.394
CH,2023-05-24,84.0,1.09,5.9,"Raleigh, Cal",663728,669674,field_out,hit_into_play,,,,,3,"Cal Raleigh grounds out, second baseman Tony Kemp to first baseman Ryan Noda.",R,R,L,SEA,OAK,X,4.0,ground_ball,1,0,2023,0.89,1.32,0.57,2.89,,,,2,6,Bot,138.9,143.96,,,669127,,,-2.930646227831733,-122.25349778666914,-3.176502269825836,9.456127214299654,24.391111048131496,-18.54924715706819,3.43,1.57,145.0,69.9,18.0,83.6,1924.0,6.0,718037,669674,669127,676116,643393,607054,649557,668709,657656,664913,54.48,0.743,0.669,0.0,1.0,0.0,0.0,4.0,54,2,Changeup,5,0,5,0,0,5,5,0,Standard,Standard,127.0,-0.001,-0.125
CU,2023-05-24,77.9,0.77,6.1,"Raleigh, Cal",663728,669674,,ball,,,,,11,"Cal Raleigh grounds out, second baseman Tony Kemp to first baseman Ryan Noda.",R,R,L,SEA,OAK,B,,,0,0,2023,-0.26,-1.29,-1.07,2.56,,,,2,6,Bot,,,,,669127,,,-3.454521475461652,-113.33970399501302,1.6901275829631468,-1.5271357614152343,22.408789969676143,-43.7549102938886,3.55,1.57,,,,77.2,2606.0,6.0,718037,669674,669127,676116,643393,607054,649557,668709,657656,664913,54.53,,,,,,,,54,1,Curveball,5,0,5,0,0,5,5,0,Standard,Standard,335.0,0.0,0.021
FF,2023-05-24,92.4,2.87,5.57,"Raleigh, Cal",663728,686610,single,hit_into_play,,,,,8,Cal Raleigh singles on a ground ball to center fielder Ramon Laureano.,R,R,L,SEA,OAK,X,8.0,ground_ball,0,0,2023,1.17,1.29,0.12,1.75,,,,0,2,Bot,121.11,103.99,,,669127,,,-9.658981282784373,-134.18476645374085,-6.832152042837822,16.09100921016368,26.18228490589175,-15.2564792227976,3.43,1.57,127.0,78.9,12.0,93.7,2395.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.54,0.431,0.388,0.9,1.0,1.0,0.0,4.0,11,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.038,0.394
SL,2023-05-23,84.5,-3.03,5.79,"Raleigh, Cal",663728,665622,field_out,hit_into_play,,,,,4,Cal Raleigh flies out to right fielder Ramon Laureano.,R,L,R,SEA,OAK,X,9.0,fly_ball,0,0,2023,0.15,-0.13,-0.43,2.26,,,,2,4,Bot,211.22,97.31,,,542208,,,5.728086883253459,-123.07965075262491,-1.658933433124013,0.477690432829278,22.703897011750776,-33.44299203967261,3.41,1.57,326.0,90.7,31.0,84.4,2283.0,6.0,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.48,0.071,0.11,0.0,1.0,0.0,0.0,3.0,30,1,Slider,0,2,0,2,2,0,0,2,Strategic,Standard,47.0,-0.013,-0.104
SL,2023-05-23,88.5,-2.59,6.06,"Raleigh, Cal",663728,665622,strikeout,swinging_strike,,,,,14,Cal Raleigh strikes out swinging.,R,L,R,SEA,OAK,S,2.0,,0,2,2023,-0.11,0.16,1.05,1.21,,,553993.0,0,2,Bot,,,,,542208,,,9.13819459820812,-128.54750674408916,-6.099567173277788,-3.124276599117116,26.5661721671276,-29.242238950110156,3.41,1.57,,,,88.7,2247.0,6.5,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,53.98,,,0.0,1.0,0.0,0.0,,15,4,Slider,0,2,0,2,2,0,0,2,Strategic,Standard,316.0,-0.038,-0.248
SL,2023-05-23,89.0,-2.67,6.06,"Raleigh, Cal",663728,665622,,foul,,,,,8,Cal Raleigh strikes out swinging.,R,L,R,SEA,OAK,S,,,0,2,2023,0.11,0.3,-0.05,1.8,,,553993.0,0,2,Bot,,,,,542208,,,6.222238243262823,-129.543248131369,-5.119709205108456,0.0891070651854665,23.552152719175066,-28.048443753729416,3.41,1.57,4.0,92.9,-26.0,89.8,2234.0,6.5,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.02,,,,,,,,15,3,Slider,0,2,0,2,2,0,0,2,Strategic,Standard,92.0,0.0,0.0
FF,2023-05-23,96.4,-2.18,6.5,"Raleigh, Cal",663728,665622,,foul,,,,,11,Cal Raleigh strikes out swinging.,R,L,R,SEA,OAK,S,,,0,1,2023,-0.38,1.56,-0.07,3.72,,,553993.0,0,2,Bot,,,,,542208,,,6.484854149984292,-140.15987350029772,-5.369874986703988,-6.506206563444189,31.5604473729048,-10.512973214441798,3.41,1.57,196.0,78.9,19.0,96.5,2497.0,6.4,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.1,,,,,,,,15,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,208.0,0.0,-0.057
FF,2023-05-23,95.8,-2.55,6.28,"Raleigh, Cal",663728,665622,,called_strike,,,,,6,Cal Raleigh strikes out swinging.,R,L,R,SEA,OAK,S,,,0,0,2023,-0.42,1.42,0.58,2.19,,,553993.0,0,2,Bot,,,,,542208,,,9.184769693789812,-139.01232004335162,-8.369522460275823,-7.509042673357706,30.29089681918778,-12.017462520184882,3.5,1.57,,,,95.6,2292.0,6.3,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.21,,,,,,,,15,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,223.0,0.0,-0.05
SL,2023-05-23,84.3,-1.37,5.71,"Raleigh, Cal",663728,543507,field_out,hit_into_play,,,,,4,Cal Raleigh flies out to shortstop Aledmys Diaz.,R,L,R,SEA,OAK,X,6.0,fly_ball,1,1,2023,0.47,-0.25,-0.73,2.44,664059.0,,553993.0,2,8,Bot,121.2,123.49,,,542208,,,0.5584701198985154,-122.8684828335597,-0.789256359801316,4.719566735954182,22.422702011837405,-34.75853698360271,3.41,1.57,192.0,87.0,56.0,85.7,2560.0,6.9,718050,543507,542208,542583,643393,607054,649557,667670,665923,657656,53.56,0.014,0.013,0.0,1.0,0.0,0.0,3.0,61,3,Slider,3,2,3,2,2,3,3,2,Strategic,Standard,68.0,-0.029,-0.517
