pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,93.1,-2.65,4.98,"Schmitt, Casey",669477,657746,strikeout,called_strike,,,,,3,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,S,2.0,,2,2,2023,-1.06,1.15,0.79,2.91,,,666165.0,2,5,Top,,,,,680777,,,11.24661159401606,-135.26545547881545,-2.0762090735300336,-15.389573097879335,27.591399694811603,-17.795672905164583,3.05,1.48,,,,94.0,2370,6.8,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.74,,,0.0,1.0,0.0,0.0,,47,6,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,222,0.009,-0.207
FS,2023-05-24,85.3,-2.56,5.09,"Schmitt, Casey",669477,657746,,ball,,,,,14,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,B,,,1,2,2023,-0.99,0.18,1.33,0.91,,,666165.0,2,5,Top,,,,,680777,,,11.159120772446183,-123.83104028501576,-3.979486913278487,-12.104962971216771,20.21401576613903,-29.734322270974,3.16,1.51,,,,86.2,1220,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.93,,,,,,,,47,5,Split-Finger,6,1,1,6,1,6,1,6,Standard,Standard,240,0.0,0.031
FF,2023-05-24,93.0,-2.66,4.96,"Schmitt, Casey",669477,657746,,foul,,,,,11,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,S,,,1,2,2023,-1.08,1.01,-0.15,3.88,,,666165.0,2,5,Top,,,,,680777,,,8.856482762323239,-135.21750536949168,0.820265142951087,-15.182194118382387,29.543615533590096,-20.214045827363154,3.16,1.51,255.0,84.4,42.0,93.5,2214,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.87,,,,,,,,47,4,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,220,0.0,0.0
FF,2023-05-24,91.7,-2.64,5.16,"Schmitt, Casey",669477,657746,,foul,,,,,11,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,S,,,1,1,2023,-0.93,1.2,-0.6,3.55,,,666165.0,2,5,Top,,,,,680777,,,7.2079270137491935,-133.42995234221,-0.8487600365229241,-12.658328526619544,26.68415929638723,-17.757636288774307,3.16,1.51,207.0,74.7,51.0,92.4,2065,6.5,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.96,,,,,,,,47,3,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,217,0.0,-0.056
FF,2023-05-24,92.1,-2.54,5.1,"Schmitt, Casey",669477,657746,,called_strike,,,,,5,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,S,,,1,0,2023,-1.07,1.04,0.26,2.36,,,666165.0,2,5,Top,,,,,680777,,,9.43283877484782,-133.83381033483747,-3.3821523864210525,-14.776292131142354,26.85887500875837,-19.128916213554227,3.16,1.51,,,,92.5,2096,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.07,,,,,,,,47,2,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,222,0.0,-0.036
FS,2023-05-24,83.3,-2.45,5.21,"Schmitt, Casey",669477,657746,,ball,,,,,14,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,B,,,0,0,2023,-1.2,0.64,0.6,1.39,,,666165.0,2,5,Top,,,,,680777,,,9.354363512951146,-121.09939618147648,-3.644538641081184,-13.494930618043028,20.378443777613786,-25.384444197119787,3.16,1.54,,,,83.8,1350,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.15,,,,,,,,47,1,Split-Finger,6,1,1,6,1,6,1,6,Standard,Standard,237,0.0,0.027
FS,2023-05-24,83.7,-2.64,5.09,"Schmitt, Casey",669477,657746,field_out,hit_into_play,,,,,7,Casey Schmitt lines out to center fielder Michael A.   Taylor.,R,R,R,MIN,SF,X,8.0,line_drive,1,1,2023,-1.02,0.24,-0.41,1.84,,624424.0,666165.0,2,3,Top,98.36,50.11,,,680777,,,7.199571087222467,-121.7948035859227,-1.6343443397579036,-11.48145597901673,20.625289645338704,-29.701682897310494,3.16,1.51,374.0,97.6,22.0,84.7,1216,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.86,0.334,0.425,0.0,1.0,0.0,0.0,5.0,27,3,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,244,0.047,-0.453
FF,2023-05-24,93.0,-2.66,4.84,"Schmitt, Casey",669477,657746,,ball,,,,,12,Casey Schmitt lines out to center fielder Michael A.   Taylor.,R,R,R,MIN,SF,B,,,0,1,2023,-1.11,1.17,1.26,3.2,,624424.0,666165.0,2,3,Top,,,,,680777,,,12.567390681326842,-135.03512761139916,-1.0626127782696142,-16.065914291126507,24.91898093285316,-17.67846156243029,3.16,1.45,,,,94.0,2231,6.7,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.82,,,,,,,,27,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,227,0.0,0.068
FF,2023-05-24,93.4,-2.67,4.95,"Schmitt, Casey",669477,657746,,called_strike,,,,,3,Casey Schmitt lines out to center fielder Michael A.   Taylor.,R,R,R,MIN,SF,S,,,0,0,2023,-1.14,1.23,0.46,2.94,,624424.0,666165.0,2,3,Top,,,,,680777,,,10.575833135564055,-135.72366940875793,-2.149867210382798,-16.396498942250407,28.798566280782325,-16.660584098727952,3.16,1.51,,,,93.6,2189,6.4,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.08,,,,,,,,27,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,221,0.0,-0.086
ST,2023-05-24,79.6,-2.66,5.15,"Schmitt, Casey",669477,657746,single,hit_into_play,,,,,3,Casey Schmitt singles on a ground ball to right fielder Matt Wallner.   Mike Yastrzemski scores.,R,R,R,MIN,SF,X,9.0,ground_ball,0,2,2023,0.9,-0.42,0.63,3.26,,573262.0,,0,2,Top,161.32,105.41,,,680777,,,5.540845899034944,-115.68716826933802,3.507885076534394,6.892238790912664,23.92766204506482,-36.86144425473263,3.16,1.51,30.0,97.2,-4.0,79.6,2727,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.87,0.329,0.316,0.9,1.0,1.0,0.0,2.0,12,3,Sweeper,1,0,0,1,1,1,1,1,Strategic,Standard,62,-0.08,0.873
FS,2023-05-24,82.6,-2.7,5.13,"Schmitt, Casey",669477,657746,,called_strike,,,,,9,Casey Schmitt singles on a ground ball to right fielder Matt Wallner.   Mike Yastrzemski scores.,R,R,R,MIN,SF,S,,,0,1,2023,-1.22,0.41,0.64,1.98,,573262.0,,0,2,Top,,,,,680777,,,10.025149522802248,-119.85798293935756,-1.404644538611597,-13.741601289320291,24.55151159313944,-28.14578898561218,3.17,1.45,,,,82.7,1402,6.7,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.83,,,,,,,,12,2,Split-Finger,1,0,0,1,0,1,0,1,Standard,Standard,244,0.0,-0.086
FS,2023-05-24,83.1,-2.73,5.24,"Schmitt, Casey",669477,657746,,called_strike,,,,,12,Casey Schmitt singles on a ground ball to right fielder Matt Wallner.   Mike Yastrzemski scores.,R,R,R,MIN,SF,S,,,0,0,2023,-1.49,0.57,0.13,3.1,,573262.0,,0,2,Top,,,,,680777,,,9.49884247470859,-120.54250871168009,0.5324666314769778,-16.40136276864747,24.80278351229465,-26.957545375229877,2.88,1.31,,,,83.1,1372,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.93,,,,,,,,12,1,Split-Finger,1,0,0,1,0,1,0,1,Strategic,Standard,243,0.0,-0.088
CH,2023-05-24,83.5,1.22,5.76,"Schmitt, Casey",669477,663558,strikeout,swinging_strike,,,,,14,Casey Schmitt strikes out swinging.,R,R,L,MIN,SF,S,2.0,,1,2,2023,1.15,0.36,1.15,1.9,,,666165.0,1,7,Top,,,,,680777,,,-2.4550802292373035,-121.56140106115838,-3.212040975011976,11.848552465006636,23.184108620589747,-28.20169540958769,3.16,1.51,,,,84.8,1696,7.1,718047,663558,680777,666135,666397,456781,571657,650489,572191,670242,53.44,,,0.0,1.0,0.0,0.0,,63,4,Changeup,7,1,1,7,1,7,1,7,Standard,Standard,150,0.005,-0.219
