pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,88.1,-0.16,6.88,"Biggio, Cavan",624415,664126,strikeout,swinging_strike,,,,,5,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,2.0,,2,2,2023,0.33,-0.6,-0.01,2.44,,662139.0,,2,9,Top,,,,,542194,,,-0.3278862843342292,-128.30312127903747,-3.45409999130663,3.701531302780114,28.23423967409317,-38.25455328394094,3.35,1.59,,,,89.2,2442.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.43,,,0.0,1.0,0.0,0.0,,74,6,Slider,7,3,3,7,3,7,3,7,Strategic,Standard,79.0,0.004,-0.239
FF,2023-05-24,99.5,-0.27,6.7,"Biggio, Cavan",624415,664126,,ball,,,,,13,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,B,,,1,2,2023,-0.16,1.5,-0.18,1.27,,662139.0,,2,9,Top,,,,,542194,,,0.6179753327198292,-144.2159823065825,-13.09350773002404,-2.338341475296287,38.55397774189457,-8.216320986018442,3.35,1.6,,,,100.4,2384.0,7.3,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.18,,,,,,,,74,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,192.0,0.0,0.014
SL,2023-05-24,87.8,-0.06,6.92,"Biggio, Cavan",624415,664126,,foul,,,,,5,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,2,2023,0.36,-0.59,-0.11,2.65,,662139.0,,2,9,Top,,,,,542194,,,-0.8574645431795663,-127.9028997947706,-3.0323039147090785,4.097219403572191,25.3969687319178,-38.26198578927539,3.35,1.59,126.0,75.4,10.0,87.6,2443.0,6.0,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,54.5,,,,,,,,74,4,Slider,7,3,3,7,3,7,3,7,Strategic,Standard,67.0,0.0,0.0
FF,2023-05-24,98.3,-0.27,6.78,"Biggio, Cavan",624415,664126,,foul,,,,,8,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,1,2023,0.0,1.7,0.03,1.88,,662139.0,,2,9,Top,,,,,542194,,,0.8093939299146841,-142.71807072200926,-11.850406729326467,-0.1698129938482666,35.38145524837248,-6.321661477882119,3.35,1.59,2.0,73.9,-47.0,99.2,2452.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.41,,,,,,,,74,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,187.0,0.0,-0.071
FF,2023-05-24,97.9,-0.46,6.75,"Biggio, Cavan",624415,664126,,called_strike,,,,,7,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,0,2023,-0.22,1.7,-0.52,1.77,,662139.0,,2,9,Top,,,,,542194,,,0.3623621731017608,-142.1080648381786,-11.938125939383289,-3.11607678431457,34.95702394763036,-6.60355153215985,3.35,1.53,,,,98.7,2300.0,7.0,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.48,,,,,,,,74,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,194.0,0.0,-0.062
SL,2023-05-24,86.8,-0.22,6.88,"Biggio, Cavan",624415,664126,,ball,,,,,13,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,B,,,0,0,2023,0.46,-0.69,-0.44,0.99,,,662139.0,2,9,Top,,,,,542194,,,-1.4739542869855051,-126.33087990896767,-6.527514330077106,5.20342920114352,26.942451049448344,-38.417432100357885,3.35,1.64,,,,88.0,2392.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.37,,,,,,,,74,1,Slider,7,3,3,7,3,7,3,7,Standard,Standard,60.0,-0.001,0.027
FF,2023-05-24,93.2,-1.64,5.76,"Biggio, Cavan",624415,592094,home_run,hit_into_play,,,,,9,Cavan Biggio homers (3) on a fly ball to right center field.,R,L,R,TB,TOR,X,,fly_ball,0,0,2023,-0.44,1.48,0.45,1.97,,,,0,8,Top,198.11,43.76,,,542194,,,6.3940043026060405,-135.5298564635737,-7.328188656049848,-6.753105623182626,27.92457232803796,-12.491248300126744,3.35,1.59,422.0,105.0,28.0,94.4,2668.0,6.9,718044,592094,542194,670042,670764,670623,677551,668227,642350,622534,53.58,0.911,1.799,2.0,1.0,0.0,3.0,6.0,59,1,4-Seam Fastball,5,1,1,5,2,5,2,5,Strategic,Standard,210.0,-0.033,1.0
EP,2023-05-23,53.3,-1.14,6.92,"Biggio, Cavan",624415,670042,single,hit_into_play,,,,,2,Cavan Biggio singles on a line drive to left fielder Randy Arozarena.,R,L,R,TB,TOR,X,7.0,line_drive,0,0,2023,0.19,1.0,-0.12,3.15,,,,2,9,Top,75.55,90.36,,,642336,,,1.2539583134504189,-77.45188668418218,3.329039990759555,0.5793549948615853,10.596604637266992,-28.874445084610656,3.35,1.59,212.0,82.1,17.0,52.3,1182.0,5.5,718061,670042,642336,623912,670764,670623,677551,668227,642350,666139,55.01,0.966,0.902,0.9,1.0,1.0,0.0,4.0,80,1,Eephus,1,15,15,1,15,1,15,1,Strategic,Strategic,190.0,0.0,0.136
FF,2023-05-21,98.0,-1.87,6.17,"Biggio, Cavan",624415,657508,strikeout,foul_tip,,,,,12,Cavan Biggio strikes out on a foul tip.,R,L,R,TOR,BAL,S,2.0,,0,2,2023,-0.78,1.72,0.12,3.51,,672386.0,,0,11,Bot,,,,,668939,,,7.20078404174995,-142.3340787459891,-5.641171089817992,-12.323726180029144,36.15168216280112,-7.704521288502895,3.35,1.6,,,,97.8,2379.0,6.5,718087,657508,668939,663624,624428,683002,622761,669720,656775,663630,53.99,,,0.0,1.0,0.0,0.0,,92,3,4-Seam Fastball,3,8,3,8,8,3,3,8,Standard,Standard,211.0,-0.011,-0.249
SL,2023-05-21,85.6,-0.61,5.87,"Biggio, Cavan",624415,543056,walk,ball,,,,,13,Cavan Biggio walks.,R,L,L,TOR,BAL,B,,,3,1,2023,-0.59,0.44,-1.26,1.56,,,,1,8,Bot,,,,,543510,,,-0.3364191166692513,-124.69772198408528,-4.769238714275746,-6.06733531342005,23.90354196725444,-26.84017550033212,3.35,1.54,,,,84.8,2641.0,5.6,718087,543056,543510,663624,624428,683002,687401,669720,656775,623993,54.87,,,0.7,1.0,0.0,0.0,,67,5,Slider,2,2,2,2,2,2,2,2,Standard,Standard,199.0,0.047,0.166
