pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-06,76.4,1.25,5.83,"Arroyo, Christian",624414,663559,single,hit_into_play,,,,,13,Christian Arroyo singles on a line drive to left fielder Kyle Schwarber.   Justin Turner scores.    Rafael Devers scores.,R,R,L,PHI,BOS,X,7.0,line_drive,0,0,2023,-0.53,-0.55,-0.1,1.36,457759.0,646240.0,,2,4,Top,49.9,105.03,,,592663,,,-1.9346550523314088,-111.36715669530014,-1.4272109260256436,-4.085235318919184,19.8631108949342,-36.73626848307344,3.35,1.54,258.0,86.9,20.0,77.9,2116.0,7.3,718284,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.24,0.551,0.562,0.9,1.0,1.0,0.0,4.0,29,1,Curveball,1,2,2,1,4,1,4,1,Standard,Standard,313.0,-0.172,1.516
FF,2023-05-06,90.6,1.24,5.98,"Arroyo, Christian",624414,663559,strikeout,swinging_strike,,,,,11,Christian Arroyo strikes out swinging.,R,R,L,PHI,BOS,S,2.0,,0,2,2023,0.2,1.58,-0.31,4.35,,,,0,3,Top,,,,,592663,,,-4.373557507121133,-131.87241720885768,-1.5427573308450808,3.285108756836069,27.74412841434541,-13.593782651783934,3.35,1.54,,,,92.1,2040.0,7.2,718284,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.33,,,0.0,1.0,0.0,0.0,,16,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,166.0,0.026,-0.149
FF,2023-05-06,91.1,0.94,5.95,"Arroyo, Christian",624414,663559,,foul,,,,,11,Christian Arroyo strikes out swinging.,R,R,L,PHI,BOS,S,,,0,1,2023,0.29,1.78,-0.83,3.33,,,,0,3,Top,,,,,592663,,,-5.173248310259489,-132.53951016256173,-4.608031808168768,4.532609606804196,27.701274140808504,-10.367458420567475,3.35,1.54,121.0,54.0,60.0,93.0,2095.0,7.4,718284,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.11,,,,,,,,16,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,176.0,0.0,-0.049
FF,2023-05-06,91.2,1.05,5.97,"Arroyo, Christian",624414,663559,,foul,,,,,1,Christian Arroyo strikes out swinging.,R,R,L,PHI,BOS,S,,,0,0,2023,0.07,1.54,-0.31,3.02,,,,0,3,Top,,,,,592663,,,-3.665111563367182,-132.83397778953514,-4.952608456523426,1.6570226718411492,27.978822658111024,-13.0507975711104,3.35,1.54,145.0,59.6,56.0,93.0,2055.0,7.3,718284,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.21,,,,,,,,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,172.0,0.0,-0.037
SI,2023-05-06,99.0,-2.1,5.65,"Arroyo, Christian",624414,622554,field_out,hit_into_play,,,,,11,"Christian Arroyo grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",R,R,R,PHI,BOS,X,5.0,ground_ball,0,0,2023,-1.26,0.98,-0.88,3.39,,646240.0,680776.0,2,7,Top,107.22,165.49,,,592663,,,6.2853721133281,-143.95255178795702,-3.000453307229926,-19.052622030768998,35.34183613776133,-18.100055012432797,3.35,1.54,11.0,54.8,-15.0,98.9,2335.0,6.4,718284,622554,592663,664761,681082,624641,607208,656941,669016,592206,54.09,0.074,0.067,0.0,1.0,0.0,0.0,1.0,61,1,Sinker,3,7,7,3,7,3,7,3,Standard,Standard,212.0,0.01,-0.47
FF,2023-05-06,93.7,-2.79,5.82,"Arroyo, Christian",624414,641401,double,hit_into_play,,,,,7,Christian Arroyo doubles (5) on a sharp line drive to center fielder Brandon Marsh.,R,R,R,PHI,BOS,X,8.0,line_drive,1,0,2023,-1.07,1.24,-0.32,2.09,,,,1,6,Top,86.37,48.78,,,592663,,,8.829140530724024,-136.11835593752843,-6.697624728767219,-15.198901982162926,29.88749021950138,-15.425767033178897,3.35,1.54,275.0,102.3,12.0,94.6,2182.0,6.9,718284,641401,592663,664761,681082,624641,607208,656941,669016,592206,53.6,0.92,0.892,1.25,1.0,1.0,1.0,4.0,48,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,228.0,-0.032,0.395
FC,2023-05-06,88.5,-2.75,5.85,"Arroyo, Christian",624414,641401,,ball,,,,,14,Christian Arroyo doubles (5) on a sharp line drive to center fielder Brandon Marsh.,R,R,R,PHI,BOS,B,,,0,0,2023,0.23,1.02,0.23,1.29,,,,1,6,Top,,,,,592663,,,6.857585876213621,-128.5575430299362,-7.247590318841513,1.1739641214199503,26.67803201050133,-19.540077855797183,3.35,1.57,,,,89.5,2306.0,7.0,718284,641401,592663,664761,681082,624641,607208,656941,669016,592206,53.48,,,,,,,,48,1,Cutter,3,5,5,3,5,3,5,3,Standard,Standard,201.0,0.0,0.029
SL,2023-05-05,80.1,3.1,5.85,"Arroyo, Christian",624414,607755,field_out,hit_into_play,,,,,5,"Christian Arroyo grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",R,R,L,PHI,BOS,X,5.0,ground_ball,0,2,2023,-1.73,-0.39,0.01,2.53,,671213.0,,2,8,Top,102.5,164.93,,,592663,,,-3.5384648677962445,-116.47813692727584,0.229846415522694,-14.756360518704415,25.43493730469949,-35.98539866982877,3.36,1.55,23.0,72.1,-4.0,79.3,2556.0,6.2,718301,607755,592663,664761,543281,624641,607208,656941,656495,592206,54.33,0.091,0.082,0.0,1.0,0.0,0.0,2.0,65,3,Slider,3,5,5,3,5,3,5,3,Standard,Standard,313.0,0.02,-0.221
CU,2023-05-05,75.6,4.22,3.89,"Arroyo, Christian",624414,607755,,called_strike,,,,,5,"Christian Arroyo grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",R,R,L,PHI,BOS,S,,,0,1,2023,-1.7,0.69,0.21,2.25,,,671213.0,2,8,Top,,,,,592663,,,-5.264073463512667,-109.89238560052137,2.524134711387201,-12.583790418049592,22.073065342484963,-27.39481592336786,3.38,1.54,,,,74.6,2582.0,5.9,718301,607755,592663,664761,543281,624641,607208,656941,656495,592206,54.6,,,,,,,,65,2,Curveball,3,5,5,3,5,3,5,3,Standard,Standard,282.0,0.0,-0.036
SL,2023-05-05,79.8,3.06,5.9,"Arroyo, Christian",624414,607755,,swinging_strike,,,,,13,"Christian Arroyo grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",R,R,L,PHI,BOS,S,,,0,0,2023,-1.66,-0.32,-1.04,2.35,,,671213.0,2,8,Top,,,,,592663,,,-5.881516145650876,-116.06625001667445,-0.389623876208669,-13.595533391609202,24.881916288959903,-35.17010244098018,3.36,1.55,,,,79.1,2644.0,6.1,718301,607755,592663,664761,543281,624641,607208,656941,656495,592206,54.37,,,,,,,,65,1,Slider,3,5,5,3,5,3,5,3,Standard,Standard,324.0,0.0,-0.036
