pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,91.2,-1.12,6.31,"Frazier, Clint",640449,615698,single,hit_into_play,,,,,7,Clint Frazier singles on a sharp line drive to right fielder Gabriel Arias.   Andrew Vaughn to 3rd.    Gavin Sheets to 2nd.,R,R,R,CLE,CWS,X,9.0,line_drive,0,0,2023,-0.04,0.71,-0.3,1.87,,683734.0,657757.0,1,4,Top,143.57,86.02,,,595956,,,2.171799159775159,-132.7661396225394,-6.877557043873478,-0.8744560306153575,25.108121744385063,-22.59752042442873,3.33,1.58,294.0,105.7,15.0,91.9,2142.0,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.09,0.637,0.745,0.9,1.0,1.0,0.0,5.0,25,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,200.0,-0.044,0.943
CH,2023-05-24,79.7,-0.11,5.83,"Frazier, Clint",640449,669212,strikeout,swinging_strike,,,,,8,Clint Frazier strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,2,2,2023,-1.34,0.81,0.18,1.51,,,,2,6,Top,,,,,595956,,,3.154027967495106,-115.97789691517768,-4.26665526763075,-12.70273622553929,22.07590610951479,-24.269277620746774,3.33,1.58,,,,79.6,2198.0,6.3,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.21,,,0.0,1.0,0.0,0.0,,40,5,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,245.0,0.001,-0.09
SL,2023-05-24,87.4,0.27,5.84,"Frazier, Clint",640449,669212,,ball,,,,,12,Clint Frazier strikes out swinging.,R,R,R,CLE,CWS,B,,,1,2,2023,0.28,0.39,1.03,2.67,,,,2,6,Top,,,,,595956,,,1.2582345218083937,-127.16093069834912,-2.2159575190613623,2.717842632015917,29.911791968626087,-27.74545279833541,3.18,1.53,,,,86.9,2394.0,6.3,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.15,,,,,,,,40,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,127.0,0.0,0.018
CH,2023-05-24,78.7,-0.19,5.77,"Frazier, Clint",640449,669212,,swinging_strike,,,,,8,Clint Frazier strikes out swinging.,R,R,R,CLE,CWS,S,,,1,1,2023,-1.34,0.53,-0.12,1.77,,,,2,6,Top,,,,,595956,,,2.644464900389121,-114.63880683215392,-2.831292828715557,-12.291920125567769,21.938764093008547,-27.21103211126646,3.33,1.58,,,,78.8,2272.0,6.4,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.14,,,,,,,,40,3,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,254.0,0.0,-0.026
FF,2023-05-24,93.1,0.24,5.76,"Frazier, Clint",640449,669212,,ball,,,,,11,Clint Frazier strikes out swinging.,R,R,R,CLE,CWS,B,,,0,1,2023,-0.49,1.57,-0.54,4.15,,,,2,6,Top,,,,,595956,,,-0.9301813738374,-135.56201278331707,-1.797583381087436,-5.822904323804392,32.042018787413504,-12.692243986910738,3.23,1.53,,,,93.4,2447.0,6.6,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,53.9,,,,,,,,40,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,197.0,0.0,0.015
SL,2023-05-24,84.1,0.04,5.73,"Frazier, Clint",640449,669212,,called_strike,,,,,12,Clint Frazier strikes out swinging.,R,R,R,CLE,CWS,S,,,0,0,2023,0.25,0.51,0.85,3.23,,,,2,6,Top,,,,,595956,,,1.3614113959271985,-122.601361215609,-0.462520673488476,2.280847014538612,23.908309627521803,-27.114955116682385,3.16,1.46,,,,84.4,2261.0,6.3,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.16,,,,,,,,40,1,Slider,0,6,6,0,6,0,6,0,Standard,Standard,120.0,0.0,-0.021
SI,2023-05-24,92.2,-1.11,6.38,"Frazier, Clint",640449,615698,walk,ball,,,,,11,Clint Frazier walks.,R,R,R,CLE,CWS,B,,,3,0,2023,-1.2,1.18,-0.5,4.45,,,,0,3,Top,,,,,595956,,,4.164683677545385,-134.34145897902707,-1.668339495346415,-15.390655080433236,28.44074569099365,-17.74968984325301,3.17,1.52,,,,92.6,,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.1,,,0.7,1.0,0.0,0.0,,13,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,,-0.04,0.152
SI,2023-05-24,92.4,-1.18,6.38,"Frazier, Clint",640449,615698,,ball,,,,,11,Clint Frazier walks.,R,R,R,CLE,CWS,B,,,2,0,2023,-1.0,1.3,-1.58,2.8,,,,0,3,Top,,,,,595956,,,1.1388505786393477,-134.4970759282749,-6.171344839584216,-12.372768506827496,27.5826817965521,-15.23191944614761,3.27,1.58,,,,92.7,,6.3,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.15,,,,,,,,13,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,,0.0,0.138
SI,2023-05-24,92.6,-1.07,6.4,"Frazier, Clint",640449,615698,,ball,,,,,11,Clint Frazier walks.,R,R,R,CLE,CWS,B,,,1,0,2023,-0.92,1.32,-0.79,4.02,,,,0,3,Top,,,,,595956,,,2.7472413848931185,-134.87694393914566,-3.238436593741624,-11.83937223107807,26.62630276517205,-15.496522632472988,3.27,1.52,,,,93.4,,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.0,,,,,,,,13,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,,0.0,0.066
SI,2023-05-24,93.0,-0.99,6.44,"Frazier, Clint",640449,615698,,ball,,,,,12,Clint Frazier walks.,R,R,R,CLE,CWS,B,,,0,0,2023,-0.72,1.37,0.22,3.83,,,,0,3,Top,,,,,595956,,,4.696725138298707,-135.51396855504194,-4.0303619233783206,-9.895820283366852,25.447327904568944,-14.538204159732604,3.24,1.58,,,,93.9,,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.1,,,,,,,,13,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,,0.0,0.039
