pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FA,2023-05-22,59.5,-1.67,6.27,"Salazar, César",663967,670712,field_out,hit_into_play,,,,,11,Cesar Salazar flies out to left fielder Tyrone Taylor.,R,L,R,MIL,HOU,X,7.0,fly_ball,0,1,2023,-0.57,1.15,-0.9,3.36,,,,0,9,Top,60.01,86.63,,,661388,,,2.000959142275357,-86.52062952439559,2.541022939845697,-3.1649581600637102,12.232930020142216,-26.97350810492376,3.29,1.49,321.0,91.4,34.0,57.9,1575,4.8,718068,670712,661388,573131,680911,605119,668930,621438,686894,608385,55.71,0.043,0.056,0.0,1.0,0.0,0.0,3.0,77,2,Other,2,12,12,2,12,2,12,2,Standard,Standard,214,0.0,-0.198
FA,2023-05-22,61.0,-1.72,6.26,"Salazar, César",663967,670712,,called_strike,,,,,7,Cesar Salazar flies out to left fielder Tyrone Taylor.,R,L,R,MIL,HOU,S,,,0,0,2023,-0.89,0.53,-0.79,1.96,,,,0,9,Top,,,,,661388,,,2.77377522619055,-88.80420852809429,0.7557527968272693,-5.129724300264842,12.862967984444763,-29.707891329989792,3.35,1.63,,,,59.3,1543,4.7,718068,670712,661388,573131,680911,605119,668930,621438,686894,608385,55.78,,,,,,,,77,1,Other,2,12,12,2,12,2,12,2,Standard,Standard,222,0.0,-0.037
SL,2023-05-13,86.1,-1.58,6.22,"Salazar, César",663967,656302,field_out,hit_into_play,,,,,5,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,X,9.0,fly_ball,2,1,2023,0.01,0.09,-0.14,2.39,,,,0,5,Top,199.82,119.32,,,664874,,,3.3779334922989395,-125.29021231612772,-2.9686982257191605,-0.6257755401511101,27.05293496834797,-30.86071580241912,3.29,1.49,230.0,92.5,54.0,85.7,2615,6.2,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.3,0.003,0.003,0.0,1.0,0.0,0.0,3.0,33,4,Slider,1,0,0,1,0,1,0,1,Standard,Standard,89,0.032,-0.278
FF,2023-05-13,95.2,-1.29,6.33,"Salazar, César",663967,656302,,ball,,,,,11,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,B,,,1,1,2023,-0.25,1.45,-0.89,3.41,,,,0,5,Top,,,,,664874,,,1.608043764784886,-138.67746667368408,-5.309724129226254,-3.591666538025968,30.81847480404931,-12.460915308986133,3.08,1.44,,,,95.1,2391,6.2,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.32,,,,,,,,33,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,192,0.0,0.05
CH,2023-05-13,79.3,-1.08,6.12,"Salazar, César",663967,656302,,ball,,,,,13,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,B,,,0,1,2023,-0.81,1.26,-0.93,0.47,,,,0,5,Top,,,,,664874,,,1.858133625056396,-115.40997634593651,-8.035953407068131,-7.585274258493322,19.13859592267137,-19.70081356394821,3.08,1.36,,,,80.0,1850,6.5,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,53.97,,,,,,,,33,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,191,0.0,0.03
SL,2023-05-13,84.9,-1.51,6.12,"Salazar, César",663967,656302,,called_strike,,,,,8,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,S,,,0,0,2023,0.07,0.32,0.25,1.8,,,,0,5,Top,,,,,664874,,,3.9650270545513866,-123.6078033375489,-4.470021435022559,-0.0022200077231519,22.945051252208245,-28.236023402172037,3.06,1.41,,,,84.8,2654,6.0,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.47,,,,,,,,33,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,84,0.0,-0.037
SL,2023-05-13,85.2,-1.73,6.11,"Salazar, César",663967,656302,field_out,hit_into_play,,,,,9,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,X,9.0,fly_ball,2,2,2023,0.08,0.23,0.42,1.68,,,,1,2,Top,202.54,92.65,,,664874,,,4.889753003118749,-124.03047115198764,-4.586773344651077,-0.1237281553188972,23.66299616983703,-29.115168556756704,3.29,1.49,323.0,91.3,28.0,85.1,2727,6.1,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.43,0.111,0.141,0.0,1.0,0.0,0.0,3.0,11,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,86,0.017,-0.151
FF,2023-05-13,94.7,-1.3,6.31,"Salazar, César",663967,656302,,foul,,,,,2,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,S,,,2,1,2023,-0.38,1.59,0.11,3.34,,,,1,2,Top,,,,,664874,,,4.53926629321457,-137.8899844877455,-5.683793420220444,-5.765353758237497,28.442480500290007,-10.774079556106212,3.29,1.49,222.0,73.7,26.0,95.2,2407,6.4,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.12,,,,,,,,11,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,191,0.0,-0.05
FF,2023-05-13,93.6,-1.3,6.29,"Salazar, César",663967,656302,,ball,,,,,11,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,B,,,1,1,2023,-0.23,1.56,-0.15,3.76,,,,1,2,Top,,,,,664874,,,3.4725872284037105,-136.3506084436512,-4.259994228073326,-3.660912500546216,29.30341728681716,-11.964852456270496,3.12,1.45,,,,93.7,2429,6.2,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.26,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,191,0.0,0.036
FF,2023-05-13,94.7,-1.29,6.26,"Salazar, César",663967,656302,,foul,,,,,6,Cesar Salazar flies out to right fielder Gavin Sheets.,R,L,R,CWS,HOU,S,,,1,0,2023,-0.13,1.71,0.75,2.15,,,,1,2,Top,,,,,664874,,,5.602812056014002,-137.55188761100047,-8.831987044949877,-2.9743977958881764,32.45073676651309,-8.644220113585595,3.29,1.49,36.0,64.2,1.0,94.3,2571,6.3,718189,656302,664874,683734,593643,660162,641313,643217,673357,657757,54.18,,,,,,,,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194,0.0,-0.036
