pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-12,87.0,0.84,5.66,"Villar, David",681584,669459,field_out,hit_into_play,,,,,4,David Villar pops out to first baseman Emmanuel Rivera in foul territory.,R,R,L,AZ,SF,X,3.0,popup,0,1,2023,-0.26,0.16,-0.43,2.42,,,,0,7,Top,161.95,194.53,,,672515,,,-2.4950242071747786,-126.6957208427274,-1.9343433440257267,-2.364088969727172,25.164782630958214,-30.299235759168727,3.26,1.63,89.0,89.1,80.0,86.8,2664.0,6.1,718199,669459,672515,656896,606466,668942,605113,666971,666150,682998,54.42,0.009,0.009,0.0,1.0,0.0,0.0,3.0,56,2,Slider,6,4,4,6,4,6,4,6,Standard,Standard,231.0,0.033,-0.198
FC,2023-05-12,88.7,0.98,5.67,"Villar, David",681584,669459,,called_strike,,,,,2,David Villar pops out to first baseman Emmanuel Rivera in foul territory.,R,R,L,AZ,SF,S,,,0,0,2023,-0.34,0.71,-0.15,3.19,,,,0,7,Top,,,,,672515,,,-2.0369535059847705,-129.27161582704093,-1.5590759024255476,-3.513222899208301,24.284799842668253,-24.08010144830551,3.26,1.67,,,,88.6,2354.0,6.0,718199,669459,672515,656896,606466,668942,605113,666971,666150,682998,54.55,,,,,,,,56,1,Cutter,6,4,4,6,4,6,4,6,Standard,Standard,186.0,0.0,-0.037
SI,2023-05-10,93.0,-1.18,5.66,"Villar, David",681584,663658,strikeout,called_strike,,,,,5,David Villar called out on strikes.,R,R,R,SF,WSH,S,2.0,,2,2,2023,-1.67,0.56,-0.2,2.38,,,,1,8,Bot,,,,,656180,,,6.206915353149833,-135.25781459860144,-3.82879427000436,-21.84775775821945,31.52455311068363,-24.65482811665491,3.26,1.62,,,,93.4,2181.0,6.7,718230,663658,656180,642086,671277,656308,545121,656448,669743,657041,53.81,,,0.0,1.0,0.0,0.0,,73,5,Sinker,4,10,4,10,10,4,4,10,Standard,Standard,224.0,-0.002,-0.151
SI,2023-05-10,91.9,-1.31,5.64,"Villar, David",681584,663658,,foul,,,,,4,David Villar called out on strikes.,R,R,R,SF,WSH,S,,,2,1,2023,-1.31,0.68,-0.71,2.47,,,,1,8,Bot,,,,,656180,,,4.3702783418495645,-133.72236998760297,-3.656452538224391,-16.603073230912315,29.65804838249956,-23.419990997681488,3.26,1.63,184.0,64.4,42.0,92.4,2053.0,6.6,718230,663658,656180,642086,671277,656308,545121,656448,669743,657041,53.86,,,,,,,,73,4,Sinker,4,10,4,10,10,4,4,10,Standard,Standard,234.0,0.0,-0.05
SI,2023-05-10,91.0,-1.21,5.58,"Villar, David",681584,663658,,called_strike,,,,,3,David Villar called out on strikes.,R,R,R,SF,WSH,S,,,2,0,2023,-1.12,0.74,0.42,3.1,,,,1,8,Bot,,,,,656180,,,6.537585369431837,-132.38818271252617,-1.869526807733173,-14.64149678628587,30.341018316616054,-23.31794578582194,3.26,1.62,,,,91.4,2044.0,6.7,718230,663658,656180,642086,671277,656308,545121,656448,669743,657041,53.81,,,,,,,,73,3,Sinker,4,10,4,10,10,4,4,10,Standard,Standard,185.0,0.0,-0.045
FC,2023-05-10,85.0,-1.0,5.8,"Villar, David",681584,663658,,ball,,,,,9,David Villar called out on strikes.,R,R,R,SF,WSH,B,,,1,0,2023,0.28,0.13,0.79,1.48,,,,1,8,Bot,,,,,656180,,,3.661435122639268,-123.81455919855192,-4.182952823112951,2.288849974658241,21.19888951279659,-30.25909369269903,3.2,1.55,,,,85.9,2506.0,6.5,718230,663658,656180,642086,671277,656308,545121,656448,669743,657041,54.02,,,,,,,,73,2,Cutter,4,10,4,10,10,4,4,10,Standard,Standard,107.0,0.0,0.045
FC,2023-05-10,84.8,-0.99,5.81,"Villar, David",681584,663658,,ball,,,,,14,David Villar called out on strikes.,R,R,R,SF,WSH,B,,,0,0,2023,0.15,0.52,0.92,1.67,,,,1,8,Bot,,,,,656180,,,4.18669874070323,-123.5087051947356,-4.503724292474874,0.8495536714173894,21.48458893733643,-26.182171324258565,3.26,1.59,,,,85.8,2506.0,6.6,718230,663658,656180,642086,671277,656308,545121,656448,669743,657041,53.88,,,,,,,,73,1,Cutter,4,10,4,10,10,4,4,10,Standard,Standard,138.0,0.0,0.029
SI,2023-05-09,91.8,2.33,6.22,"Villar, David",681584,571578,single,hit_into_play,,,,,7,David Villar singles on a sharp line drive to center fielder Alex Call.,R,R,L,SF,WSH,X,8.0,line_drive,0,0,2023,1.28,0.58,-0.31,1.93,,,,1,6,Bot,135.13,88.74,,,660688,,,-9.584616014272852,-133.33318574730333,-6.383805050249965,17.296528384713703,25.77630480719819,-24.097275317761607,3.26,1.63,189.0,105.6,8.0,93.1,,6.9,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.57,0.674,0.62,0.9,1.0,1.0,0.0,4.0,51,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,,0.013,0.271
SI,2023-05-09,92.0,2.27,6.34,"Villar, David",681584,571578,field_out,hit_into_play,,,,,7,"David Villar grounds out, first baseman Dominic Smith to pitcher Patrick Corbin.",R,R,L,SF,WSH,X,3.0,ground_ball,0,1,2023,1.19,0.81,-0.54,2.03,,,,0,4,Bot,154.69,160.56,,,660688,,,-9.808411097771746,-133.5486761737621,-6.912002312951558,16.30954916989021,27.654485523307905,-21.122219727938216,3.26,1.63,75.0,86.4,4.0,93.0,1899.0,6.9,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.6,0.357,0.338,0.0,1.0,0.0,0.0,4.0,33,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,137.0,-0.014,-0.198
CH,2023-05-09,80.7,2.18,6.51,"Villar, David",681584,571578,,called_strike,,,,,3,"David Villar grounds out, first baseman Dominic Smith to pitcher Patrick Corbin.",R,R,L,SF,WSH,S,,,0,0,2023,1.05,0.55,0.38,3.3,,,,0,4,Bot,,,,,660688,,,-6.059107713180699,-117.35938720943136,-1.543932282946436,10.864506124086468,21.45854251727554,-26.97847633112237,3.31,1.62,,,,81.4,1361.0,6.7,718250,571578,660688,642086,671277,600869,682928,666906,669743,657041,53.79,,,,,,,,33,1,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,131.0,0.0,-0.037
