pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FS,2023-05-24,84.1,-1.11,6.01,"Rosario, Eddie",592696,664062,field_out,hit_into_play,,,,,7.0,Eddie Rosario flies out to center fielder Jason Heyward.,R,L,R,ATL,LAD,X,8.0,fly_ball,1,0,2023,-1.09,0.22,-0.47,1.52,,,,0,5,Bot,119.2,49.06,,,669257,,,3.6527776855349128,-122.45460734947916,-4.5028736883935245,-11.662115469720254,23.048313062675764,-29.268086001158025,3.34,1.61,371.0,92.2,28.0,84.4,1652.0,6.4,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.12,0.111,0.14,0.0,1.0,0.0,0.0,3.0,36,2,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,249.0,-0.029,-0.274
FS,2023-05-24,83.5,-0.86,6.1,"Rosario, Eddie",592696,664062,,ball,,,,,14.0,Eddie Rosario flies out to center fielder Jason Heyward.,R,L,R,ATL,LAD,B,,,0,0,2023,-1.49,0.58,1.25,0.53,,,,0,5,Bot,,,,,669257,,,7.77312678221788,-121.20287730688923,-7.511325921986463,-16.19461106680162,22.99117109372745,-25.182467429248188,3.34,1.61,,,,83.4,1787.0,6.3,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.2,,,,,,,,36,1,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,247.0,0.0,0.039
FF,2023-05-24,94.5,-1.02,6.03,"Rosario, Eddie",592696,664062,strikeout,swinging_strike,,,,,6.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,1,2,2023,-0.66,1.18,0.51,2.47,,,,1,2,Bot,,,,,669257,,,5.424693975856725,-137.57152433797572,-6.226503125859712,-9.51988662869216,28.47302938613704,-16.044962395541006,3.34,1.61,,,,94.4,2235.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.47,,,0.0,1.0,0.0,0.0,,15,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,227.0,-0.016,-0.121
SL,2023-05-24,87.0,-0.96,6.18,"Rosario, Eddie",592696,664062,,foul,,,,,6.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,,,1,1,2023,0.38,0.49,0.79,2.19,,,,1,2,Bot,,,,,669257,,,3.414362779877838,-126.7977765383584,-4.477539234503048,3.516837664593637,22.734072679826944,-26.2210098017365,3.34,1.61,161.0,59.7,49.0,87.1,2551.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.5,,,,,,,,15,3,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,178.0,0.0,-0.044
CU,2023-05-24,80.6,-0.73,6.21,"Rosario, Eddie",592696,664062,,foul,,,,,9.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,,,1,0,2023,0.43,-0.81,0.38,1.62,,,,1,2,Bot,,,,,669257,,,1.628529890712519,-117.54050529763776,-2.0889828889532134,3.7321652219435326,20.82050046196245,-39.52276776276434,3.34,1.61,6.0,92.9,-16.0,80.4,2631.0,5.9,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.64,,,,,,,,15,2,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,43.0,0.0,-0.036
FF,2023-05-24,92.0,-0.93,6.17,"Rosario, Eddie",592696,664062,,ball,,,,,11.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,B,,,0,0,2023,-0.77,1.37,-1.22,3.13,,,,1,2,Bot,,,,,669257,,,0.9384332162476088,-133.95598037043698,-4.8354772816950575,-9.500146365897075,28.466477585671772,-14.78840321059946,3.34,1.61,,,,91.3,2145.0,5.8,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.72,,,,,,,,15,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,222.0,0.0,0.029
SL,2023-05-24,83.8,-1.85,5.35,"Rosario, Eddie",592696,571946,strikeout,swinging_strike,,,,,14.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,1,2,2023,1.47,0.36,0.74,1.06,663586.0,,,2,6,Bot,,,,,669257,,,3.1420118464002207,-122.01491895349638,-4.282374976799741,14.082838066036606,23.87638457830745,-27.988883452004668,3.34,1.61,,,,85.5,2653.0,7.3,718042,571946,669257,518692,678246,571970,621035,444482,518792,605141,53.19,,,0.0,1.0,0.0,0.0,,49,4,Slider,3,1,3,1,1,3,3,1,Strategic,Standard,64.0,-0.024,-0.285
FF,2023-05-24,93.6,-1.85,5.37,"Rosario, Eddie",592696,571946,,swinging_strike,,,,,4.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,,,1,1,2023,-0.84,1.41,-0.45,2.65,663586.0,,,2,6,Bot,,,,,669257,,,5.604997838758734,-136.31618998449648,-4.508803556038993,-11.732956260039602,27.97185649626489,-13.801745333825044,3.34,1.61,,,,95.8,2442.0,7.4,718042,571946,669257,518692,678246,571970,621035,444482,518792,605141,53.14,,,,,,,,49,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,218.0,0.0,-0.059
FS,2023-05-24,86.2,-1.48,5.57,"Rosario, Eddie",592696,571946,,foul,,,,,6.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,S,,,1,0,2023,-0.9,0.76,0.28,2.6,663586.0,,,2,6,Bot,,,,,669257,,,6.125531578934952,-125.43129390509326,-2.411150332915815,-10.742988620391625,24.53892064001344,-23.89029842595859,3.34,1.61,94.0,90.1,5.0,87.9,1598.0,7.3,718042,571946,669257,518692,678246,571970,621035,444482,518792,605141,53.22,,,,,,,,49,2,Split-Finger,3,1,3,1,1,3,3,1,Strategic,Standard,230.0,0.0,-0.039
FF,2023-05-24,93.8,-1.75,5.53,"Rosario, Eddie",592696,571946,,ball,,,,,13.0,Eddie Rosario strikes out swinging.,R,L,R,ATL,LAD,B,,,0,0,2023,-1.02,1.44,-1.27,2.1,663586.0,,,2,6,Bot,,,,,669257,,,3.5745485216411823,-136.4356348826753,-6.455002026269286,-13.56367557085266,29.75550868336052,-12.914434048589095,3.34,1.61,,,,95.5,2428.0,7.3,718042,571946,669257,518692,678246,571970,621035,444482,518792,605141,53.23,,,,,,,,49,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,214.0,0.0,0.025
