pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
KC,2023-05-23,78.7,2.07,6.31,"Escobar, Eduardo",500871,592767,single,hit_into_play,,,,,14,Eduardo Escobar singles on a fly ball to center fielder Mike Tauchman.   Brandon Nimmo to 2nd.,R,R,L,CHC,NYM,X,8.0,fly_ball,1,2,2023,0.05,-0.19,0.06,1.22,,,607043.0,0,6,Top,133.63,99.73,,,543228,,,-4.402458786309711,-114.50184567332286,-3.83748938364852,1.2356755515811275,20.83557885309636,-33.36874264605581,3.09,1.45,234.0,70.5,31.0,78.0,1958.0,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.76,0.8,0.727,0.9,1.0,1.0,0.0,4.0,46,4,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,5.0,-0.033,0.769
SI,2023-05-23,92.7,1.69,6.35,"Escobar, Eduardo",500871,592767,,foul,,,,,11,Eduardo Escobar singles on a fly ball to center fielder Mike Tauchman.   Brandon Nimmo to 2nd.,R,R,L,CHC,NYM,S,,,1,1,2023,0.67,1.43,-0.98,2.58,,,607043.0,0,6,Top,,,,,543228,,,-8.187949221585255,-134.5729163912051,-6.8629825962127935,9.931258207090302,29.866408792473216,-13.473598250857137,3.09,1.45,7.0,90.0,-19.0,91.6,2074.0,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.69,,,,,,,,46,3,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,141.0,0.0,-0.073
FC,2023-05-23,88.6,1.81,6.27,"Escobar, Eduardo",500871,592767,,ball,,,,,13,Eduardo Escobar singles on a fly ball to center fielder Mike Tauchman.   Brandon Nimmo to 2nd.,R,R,L,CHC,NYM,B,,,0,1,2023,0.04,1.4,-1.85,1.8,,,607043.0,0,6,Top,,,,,543228,,,-8.907853677368095,-128.56312028333386,-7.665585000265139,2.284297111298639,26.742528746997216,-15.212927750983797,3.02,1.4,,,,87.5,2032.0,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.75,,,,,,,,46,2,Cutter,6,1,1,6,1,6,1,6,Standard,Standard,131.0,0.0,0.023
SI,2023-05-23,92.1,1.75,6.38,"Escobar, Eduardo",500871,592767,,called_strike,,,,,4,Eduardo Escobar singles on a fly ball to center fielder Mike Tauchman.   Brandon Nimmo to 2nd.,R,R,L,CHC,NYM,S,,,0,0,2023,0.58,1.48,-0.43,2.1,,,607043.0,0,6,Top,,,,,543228,,,-6.7584568173746575,-133.8570707336692,-8.180936784894007,8.424938159974054,27.485651795594656,-12.811557762553004,3.02,1.45,,,,91.5,2048.0,5.9,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.63,,,,,,,,46,1,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,141.0,0.0,-0.05
KC,2023-05-23,80.1,1.95,6.4,"Escobar, Eduardo",500871,592767,field_out,hit_into_play,,,,,8,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,X,3.0,popup,2,2,2023,0.31,-0.19,0.25,1.78,,,,2,3,Top,147.73,172.02,,,543228,,,-4.307748041844915,-116.72149073874483,-3.199739042424926,3.615447934435405,19.94843384984278,-33.52191080595671,3.09,1.45,86.0,77.4,73.0,79.5,2022.0,5.6,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.92,0.001,0.0,0.0,1.0,0.0,0.0,3.0,21,6,Knuckle Curve,4,0,0,4,0,4,0,4,Standard,Standard,3.0,0.006,-0.09
SI,2023-05-23,92.3,1.92,6.33,"Escobar, Eduardo",500871,592767,,foul,,,,,1,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,S,,,2,2,2023,0.42,1.46,-0.56,2.78,,,,2,3,Top,,,,,543228,,,-7.163458798181597,-134.098272579291,-6.312222075525706,6.581347931743264,28.68930382472342,-13.319688852421052,3.09,1.45,171.0,82.2,62.0,91.5,2091.0,5.9,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.64,,,,,,,,21,5,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,139.0,0.0,0.0
SI,2023-05-23,92.0,1.88,6.43,"Escobar, Eduardo",500871,592767,,foul,,,,,1,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,S,,,2,1,2023,0.82,1.38,-0.62,2.6,,,,2,3,Top,,,,,543228,,,-8.00965818564307,-133.63069220611973,-6.804986600712252,11.509250685187432,28.15025652327162,-14.356791561414576,3.09,1.45,6.0,86.4,-22.0,91.2,2111.0,5.9,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.64,,,,,,,,21,4,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,147.0,0.0,-0.03
SI,2023-05-23,91.7,1.81,6.43,"Escobar, Eduardo",500871,592767,,called_strike,,,,,11,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,S,,,2,0,2023,0.52,1.47,-0.03,3.28,,,,2,3,Top,,,,,543228,,,-5.722169945377608,-133.47659467556304,-5.265557251616827,7.39956105495683,27.564247116465776,-13.668697653750188,3.0,1.43,,,,91.1,2065.0,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.69,,,,,,,,21,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,144.0,0.0,-0.029
SI,2023-05-23,92.1,1.82,6.33,"Escobar, Eduardo",500871,592767,,ball,,,,,11,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,B,,,1,0,2023,0.72,1.4,-0.14,3.77,,,,2,3,Top,,,,,543228,,,-6.467546359367518,-134.00393722768993,-3.7102336345778975,10.035781315231016,27.84234864721484,-14.609540816487964,2.85,1.34,,,,91.3,2036.0,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.75,,,,,,,,21,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,141.0,0.0,0.025
SI,2023-05-23,92.6,1.83,6.44,"Escobar, Eduardo",500871,592767,,ball,,,,,11,Eduardo Escobar pops out to first baseman Matt Mervis.,R,R,L,CHC,NYM,B,,,0,0,2023,0.6,1.42,-1.19,2.26,,,,2,3,Top,,,,,543228,,,-8.92985752812079,-134.4053707690929,-7.9177220568681586,9.165979587992435,27.219407734523337,-13.418001086389504,2.98,1.45,,,,91.9,2116.0,5.9,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.62,,,,,,,,21,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,144.0,0.0,0.021
