pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,82.7,2.35,4.73,"Olivares, Edward",658668,571510,hit_by_pitch,hit_by_pitch,,,,,13,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,B,,,1,2,2023,-0.15,0.11,-1.7,1.45,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-9.064429502776404,-120.25605027563864,-1.219554709853861,0.1772971374939385,22.14106346380628,-31.053562291215027,3.51,1.72,,,,84.0,2497.0,7.1,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.4,,,0.7,1.0,0.0,0.0,,29,7,Slider,0,1,0,1,1,0,0,1,Standard,Standard,282.0,0.081,0.705
FF,2023-05-24,92.2,2.32,5.34,"Olivares, Edward",658668,571510,,foul,,,,,3,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,S,,,1,2,2023,1.01,1.06,0.76,3.07,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-6.1707940527877145,-134.24819234242577,-2.32521989689086,13.464625690264086,25.356663449004586,-18.93592112993661,3.51,1.72,248.0,76.2,33.0,93.0,2350.0,6.4,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.06,,,,,,,,29,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,132.0,0.0,0.0
CH,2023-05-24,81.8,2.26,5.11,"Olivares, Edward",658668,571510,,ball,,,,,14,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,B,,,0,2,2023,1.29,0.37,0.52,0.91,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-6.443568828965492,-119.0849058446379,-3.6998067618771913,13.500460602350772,20.74419009257285,-28.12569531634985,3.51,1.72,,,,82.5,1651.0,6.5,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.99,,,,,,,,29,5,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,110.0,0.0,0.1
SL,2023-05-24,80.9,2.43,4.88,"Olivares, Edward",658668,571510,,foul,,,,,12,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,S,,,0,2,2023,-0.3,0.25,1.0,2.83,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-2.630270287145484,-117.89303764719446,1.563914826362562,-2.411944509429401,20.21494035664721,-30.31595726923725,3.51,1.72,125.0,63.6,68.0,82.5,2398.0,7.1,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.43,,,,,,,,29,4,Slider,0,1,0,1,1,0,0,1,Standard,Standard,268.0,0.0,0.0
FF,2023-05-24,91.1,2.11,5.35,"Olivares, Edward",658668,571510,,foul,,,,,12,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,S,,,0,2,2023,0.91,1.1,0.16,3.74,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-6.8629291252346265,-132.65859931017275,-0.5777206872947278,12.140014471944983,24.886878507086397,-19.09300043582794,3.51,1.72,189.0,70.7,51.0,91.7,2382.0,6.3,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.16,,,,,,,,29,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,129.0,0.0,0.0
FF,2023-05-24,90.9,2.3,5.33,"Olivares, Edward",658668,571510,,foul,,,,,3,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,S,,,0,1,2023,0.97,1.15,0.71,3.52,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-6.0637692507147,-132.3488767371894,-1.1198567783607791,12.712883623099644,26.291169313163305,-18.590757864596217,3.51,1.72,301.0,88.8,45.0,91.3,2444.0,6.3,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.16,,,,,,,,29,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,134.0,0.0,-0.122
SL,2023-05-24,80.8,2.41,4.96,"Olivares, Edward",658668,571510,,called_strike,,,,,13,Edward Olivares hit by pitch.    Bobby Witt Jr.  to 3rd.    Nick Pratto to 2nd.,R,R,L,KC,DET,S,,,0,0,2023,-0.12,0.18,-0.2,1.57,,677951.0,668472.0,1,4,Bot,,,,,606992,,,-5.605235186406113,-117.51470151503555,-1.168725085660691,0.0411005796537042,24.31822493963501,-30.54037386193114,3.51,1.72,,,,80.9,2240.0,6.6,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.89,,,,,,,,29,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,296.0,0.0,-0.091
CH,2023-05-24,82.1,2.07,5.21,"Olivares, Edward",658668,571510,field_out,hit_into_play,,,,,7,Edward Olivares flies out to left fielder Akil Baddoo.,R,R,L,KC,DET,X,7.0,fly_ball,2,2,2023,1.1,0.75,-0.4,2.19,,,,0,2,Bot,65.12,54.82,,,606992,,,-7.8336226510476035,-119.4456323561386,-1.8195488044974208,11.947844055319049,21.12212467986139,-24.7692969384535,3.51,1.72,385.0,98.2,34.0,83.5,1824.0,7.1,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.44,0.269,0.544,0.0,1.0,0.0,0.0,5.0,12,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,116.0,-0.023,-0.205
FF,2023-05-24,93.1,1.98,5.39,"Olivares, Edward",658668,571510,,foul,,,,,1,Edward Olivares flies out to left fielder Akil Baddoo.,R,R,L,KC,DET,S,,,2,2,2023,0.94,1.24,-0.71,3.23,,,,0,2,Bot,,,,,606992,,,-8.987901246106604,-135.41436039387867,-2.5642906817298323,13.34081062348905,24.86018755623075,-16.459980439839295,3.51,1.72,159.0,75.9,15.0,93.9,2412.0,6.4,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.09,,,,,,,,12,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,137.0,0.0,0.0
FF,2023-05-24,92.1,2.0,5.35,"Olivares, Edward",658668,571510,,swinging_strike,,,,,12,Edward Olivares flies out to left fielder Akil Baddoo.,R,R,L,KC,DET,S,,,2,1,2023,1.01,1.19,1.24,2.89,,,,0,2,Bot,,,,,606992,,,-4.14770242214459,-134.24850077392912,-3.102126957461275,13.09440191154276,25.117193257094023,-17.253579715544515,3.51,1.72,,,,93.2,2476.0,6.6,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.94,,,,,,,,12,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.0,-0.073
