pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,84.7,-1.17,6.34,"Haase, Eric",606992,425844,single,hit_into_play,,,,,6,Eric Haase singles on a sharp line drive to left fielder Edward Olivares.,R,R,R,KC,DET,X,7.0,line_drive,0,0,2023,0.72,0.4,0.28,2.56,,,,2,5,Top,48.79,112.96,,,666023,,,1.929551169637864,-123.4692046798938,-3.352602445253135,7.077602264045157,22.54082733532436,-27.660410303038205,3.21,1.5,198.0,102.9,11.0,84.7,2386.0,6.0,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.51,0.903,0.89,0.9,1.0,1.0,0.0,4.0,34,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,154.0,-0.017,0.136
FF,2023-05-24,91.0,-2.43,5.63,"Haase, Eric",606992,621295,walk,ball,,,,,11,Eric Haase walks.,R,R,R,KC,DET,B,,,3,2,2023,-0.61,1.4,-1.61,3.12,,570731.0,,2,8,Top,,,,,666023,,,3.470659672004833,-132.51507957039928,-3.505203552659748,-7.928354874915588,27.301597569059133,-15.163964311278978,3.21,1.5,,,,93.6,1975.0,7.7,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,52.82,,,0.7,1.0,0.0,0.0,,66,6,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,224.0,-0.001,0.154
SL,2023-05-24,84.5,-2.3,5.61,"Haase, Eric",606992,621295,,ball,,,,,14,Eric Haase walks.,R,R,R,KC,DET,B,,,2,2,2023,1.04,-0.17,1.92,0.62,,570731.0,,2,8,Top,,,,,666023,,,7.892498475104033,-122.68702273715652,-4.931804872038638,8.761635239785932,26.239207258667708,-32.99667951131244,3.21,1.5,,,,85.7,2391.0,7.4,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.11,,,,,,,,66,5,Slider,2,6,6,2,6,2,6,2,Standard,Standard,56.0,0.0,0.091
FC,2023-05-24,85.4,-2.15,5.61,"Haase, Eric",606992,621295,,ball,,,,,14,Eric Haase walks.,R,R,R,KC,DET,B,,,1,2,2023,0.63,0.61,2.66,0.98,,570731.0,,2,8,Top,,,,,666023,,,10.24690929168018,-123.89326974179816,-5.891931841486329,4.345525385307059,26.18252902924227,-24.795072978390685,3.21,1.5,,,,86.8,2522.0,7.5,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.02,,,,,,,,66,4,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,42.0,0.0,0.014
FF,2023-05-24,92.2,-2.22,5.8,"Haase, Eric",606992,621295,,ball,,,,,3,Eric Haase walks.,R,R,R,KC,DET,B,,,0,2,2023,-0.68,1.22,0.43,3.26,,570731.0,,2,8,Top,,,,,666023,,,8.335694357729736,-134.19784426240568,-3.364186319019757,-9.944642400804984,25.823705174039787,-16.86131998408331,3.21,1.5,,,,93.9,1857.0,7.0,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.49,,,,,,,,66,3,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,222.0,0.0,0.006
SL,2023-05-24,78.4,-1.42,6.12,"Haase, Eric",606992,425844,field_out,hit_into_play,,,,,2,"Eric Haase grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,R,KC,DET,X,5.0,ground_ball,2,1,2023,1.05,0.2,0.04,2.73,,,,1,3,Top,99.94,166.01,,,666023,,,1.209592238892802,-114.19785087269676,-0.880534150471571,8.967482176842234,20.40832026501556,-30.51314274609431,3.21,1.5,14.0,92.9,-11.0,77.9,2493.0,5.8,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.7,0.191,0.218,0.0,1.0,0.0,0.0,2.0,16,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,80.0,0.018,-0.201
FF,2023-05-24,92.2,-2.16,5.78,"Haase, Eric",606992,621295,,swinging_strike,,,,,1,Eric Haase walks.,R,R,R,KC,DET,S,,,0,1,2023,-0.8,1.07,-0.59,2.75,,570731.0,,2,8,Top,,,,,666023,,,5.818738179628974,-134.21211784324473,-4.332206705365051,-10.886244020036154,25.730079467173464,-18.45968562679861,3.21,1.5,,,,94.3,2021.0,7.2,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.26,,,,,,,,66,2,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,223.0,0.0,-0.049
FF,2023-05-24,89.5,-1.2,6.38,"Haase, Eric",606992,425844,,called_strike,,,,,8,"Eric Haase grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,R,KC,DET,S,,,2,0,2023,-0.1,1.55,0.05,1.82,,,,1,3,Top,,,,,666023,,,3.2774550565051044,-130.16760038840448,-8.520841432982529,-1.7545609150573476,25.345786987606967,-12.925893898445292,3.21,1.5,,,,89.5,2173.0,6.1,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.37,,,,,,,,16,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,-0.045
SI,2023-05-24,89.9,-1.48,6.13,"Haase, Eric",606992,425844,,ball,,,,,13,"Eric Haase grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,R,KC,DET,B,,,1,0,2023,-1.1,0.93,-0.09,1.35,,,,1,3,Top,,,,,666023,,,5.747381559554117,-130.70856646638362,-7.830491528769572,-13.86365602710176,26.134065533982685,-20.086191692816094,3.21,1.5,,,,89.7,2244.0,6.1,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.39,,,,,,,,16,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,0.045
SL,2023-05-24,83.9,-2.33,5.8,"Haase, Eric",606992,621295,,foul,,,,,8,Eric Haase walks.,R,R,R,KC,DET,S,,,0,0,2023,0.6,0.28,0.03,1.93,,570731.0,,2,8,Top,,,,,666023,,,4.384525109387718,-122.2046838234006,-3.203405841618002,5.216609852651343,22.994025676189644,-28.907726498753988,3.21,1.5,193.0,70.4,42.0,86.1,2195.0,7.5,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,52.97,,,,,,,,66,1,Slider,2,6,6,2,6,2,6,2,Standard,Standard,64.0,0.0,-0.054
