pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-24,83.2,-2.71,5.6,"Arias, Gabriel",672356,656629,grounded_into_double_play,hit_into_play,,,,,7,"Gabriel Arias grounds into a double play, third baseman Yoan Moncada to second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Josh Bell out at 2nd.    Gabriel Arias out at 1st.",R,R,R,CLE,CWS,X,5.0,ground_ball,0,2,2023,0.49,-0.72,-0.42,1.71,,,605137.0,1,5,Bot,106.6,166.62,,,664874,,,4.31217998918545,-121.17010497670248,-1.0243828688268,3.9506931723227705,25.067677674257624,-39.213000266394886,3.35,1.52,7.0,80.6,-14.0,83.8,2444,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.73,0.08,0.072,0.0,1.0,0.0,0.0,2.0,37,4,Curveball,0,6,0,6,6,0,0,6,Standard,Standard,55,-0.017,-0.281
FF,2023-05-24,96.0,-2.76,5.49,"Arias, Gabriel",672356,656629,,foul,,,,,11,"Gabriel Arias grounds into a double play, third baseman Yoan Moncada to second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Josh Bell out at 2nd.    Gabriel Arias out at 1st.",R,R,R,CLE,CWS,S,,,0,2,2023,-0.89,1.64,-0.12,3.93,,,605137.0,1,5,Bot,,,,,664874,,,9.115732419125056,-139.49274813348865,-2.249079076692352,-13.658111434848998,31.833213833926678,-10.462282344664189,3.35,1.52,,,,97.2,2555,7.1,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.44,,,,,,,,37,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,213,0.0,0.0
FF,2023-05-24,95.6,-2.82,5.46,"Arias, Gabriel",672356,656629,,swinging_strike,,,,,1,"Gabriel Arias grounds into a double play, third baseman Yoan Moncada to second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Josh Bell out at 2nd.    Gabriel Arias out at 1st.",R,R,R,CLE,CWS,S,,,0,1,2023,-1.04,1.62,-0.82,3.4,,,605137.0,1,5,Bot,,,,,664874,,,7.735803035252962,-138.97320818218446,-3.483647354039532,-15.278458882618258,31.500312475305385,-10.548475614107218,3.35,1.52,,,,96.8,2599,7.1,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.45,,,,,,,,37,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,220,0.0,-0.061
SL,2023-05-24,87.5,-2.85,5.43,"Arias, Gabriel",672356,656629,,foul,,,,,9,"Gabriel Arias grounds into a double play, third baseman Yoan Moncada to second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Josh Bell out at 2nd.    Gabriel Arias out at 1st.",R,R,R,CLE,CWS,S,,,0,0,2023,0.14,0.23,0.49,2.07,,,605137.0,1,5,Bot,,,,,664874,,,7.835912943482211,-127.25131183032632,-2.4192129024209703,-0.2112039044420232,27.277264089473483,-29.327652690752085,3.35,1.52,183.0,68.0,45.0,88.1,2335,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.71,,,,,,,,37,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,107,0.0,-0.054
FF,2023-05-24,98.1,-2.72,5.53,"Arias, Gabriel",672356,656629,strikeout,swinging_strike,,,,,1,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,1,2,2023,-0.99,1.52,-0.74,2.92,,,,2,2,Bot,,,,,664874,,,7.749766409493138,-142.601541355072,-5.1633015430367415,-15.255738507349191,32.760797354916704,-10.402782157404696,3.35,1.52,,,,99.4,2668,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.46,,,0.0,1.0,0.0,0.0,,12,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218,-0.011,-0.072
SL,2023-05-24,87.8,-2.76,5.46,"Arias, Gabriel",672356,656629,,ball,,,,,12,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,B,,,0,2,2023,0.47,0.02,0.47,4.01,,,,2,2,Bot,,,,,664874,,,6.887240586203701,-127.70001011864306,2.6280536244796577,3.711580559547694,26.90246164018853,-32.75428796360258,3.23,1.46,,,,88.5,2355,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.73,,,,,,,,12,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,74,0.0,0.014
SL,2023-05-24,88.1,-2.67,5.59,"Arias, Gabriel",672356,656629,,foul,,,,,13,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,S,,,0,2,2023,0.26,-0.1,-0.99,2.29,,,,2,2,Bot,,,,,664874,,,3.54358315240862,-128.44140406480156,-1.8252966767662016,2.293356924552928,22.964940418874924,-33.18517080445391,3.35,1.52,4.0,98.4,-28.0,88.6,2304,6.2,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,54.28,,,,,,,,12,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,102,0.0,0.0
FF,2023-05-24,99.3,-2.34,5.75,"Arias, Gabriel",672356,656629,,foul,,,,,8,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,S,,,0,2,2023,-1.14,1.6,-0.23,2.02,,,,2,2,Bot,,,,,664874,,,8.538429672249489,-144.0997725214004,-8.568551600256972,-17.891876386962775,35.09167499403822,-8.069419453337694,3.35,1.52,231.0,77.3,42.0,100.1,2647,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.5,,,,,,,,12,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,0.0
FF,2023-05-24,98.2,-2.54,5.76,"Arias, Gabriel",672356,656629,,swinging_strike,,,,,11,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,S,,,0,1,2023,-0.97,1.71,-0.87,3.17,,,,2,2,Bot,,,,,664874,,,6.846364199514223,-142.75836081705376,-5.500574057174396,-14.88035219835498,36.09412075811663,-7.81737985137543,3.35,1.52,,,,98.7,2610,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.64,,,,,,,,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,-0.025
FF,2023-05-24,97.1,-2.53,5.67,"Arias, Gabriel",672356,656629,,swinging_strike,,,,,2,Gabriel Arias strikes out swinging.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.92,1.5,-0.24,2.99,,,,2,2,Bot,,,,,664874,,,8.345608039666846,-141.04929135890177,-5.119426355369527,-14.173658737578128,33.08745712398515,-11.126958906076853,3.35,1.52,,,,98.2,2537,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.45,,,,,,,,12,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,-0.021
