pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-18,95.3,-1.37,6.03,"Mitchell, Garrett",669003,669302,strikeout,swinging_strike,,,,,1,Garrett Mitchell strikes out swinging.,R,L,R,SEA,MIL,S,2.0,,1,2,2023,-0.72,1.39,-0.32,3.02,,,,1,4,Top,,,,,663728,,,4.491870127314931,-138.69622866610743,-5.562389447324026,-10.243407289939686,30.243218104610563,-13.231487381337123,3.35,1.59,,,,98.1,1894.0,7.8,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.67,,,0.0,1.0,0.0,0.0,,32,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,206.0,0.02,-0.121
FS,2023-04-18,83.6,-1.43,6.21,"Mitchell, Garrett",669003,669302,,called_strike,,,,,11,Garrett Mitchell strikes out swinging.,R,L,R,SEA,MIL,S,,,1,1,2023,-1.01,0.01,-0.05,3.62,,,,1,4,Top,,,,,663728,,,5.299960128585788,-121.61340099108622,0.4730433073585005,-11.100290813353707,23.423298604377703,-32.42530440126739,3.41,1.61,,,,85.5,805.0,7.5,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.99,,,,,,,,32,3,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,235.0,0.0,-0.044
FF,2023-04-18,94.0,-1.09,6.25,"Mitchell, Garrett",669003,669302,,called_strike,,,,,11,Garrett Mitchell strikes out swinging.,R,L,R,SEA,MIL,S,,,1,0,2023,-0.56,1.53,-0.88,2.73,,,,1,4,Top,,,,,663728,,,1.8220025926691048,-136.7878807071738,-7.037747249692299,-7.406615371705881,28.62729882900922,-11.65710862058982,3.41,1.61,,,,97.1,1880.0,7.9,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.58,,,,,,,,32,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,199.0,0.0,-0.036
KC,2023-04-18,81.4,-1.46,6.17,"Mitchell, Garrett",669003,669302,,ball,,,,,11,Garrett Mitchell strikes out swinging.,R,L,R,SEA,MIL,B,,,0,0,2023,0.81,-0.98,-0.9,5.11,,,,1,4,Top,,,,,663728,,,-0.3200042828848256,-118.38828457220464,6.230440115753373,7.719842665885838,22.08816157092508,-42.77233380792679,3.41,1.63,,,,82.8,2103.0,7.2,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,53.3,,,,,,,,32,1,Knuckle Curve,4,3,3,4,3,4,3,4,Standard,Standard,42.0,0.0,0.029
FF,2023-04-18,95.3,-1.18,6.15,"Mitchell, Garrett",669003,669302,field_out,hit_into_play,,,,,4,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,X,8.0,fly_ball,3,2,2023,-0.52,1.5,-0.62,2.17,,,,1,2,Top,99.56,63.83,,,663728,,,2.6989115128005823,-138.60998639621565,-8.40426453818648,-7.239007159909652,29.706413611288937,-11.231822899158146,3.35,1.59,341.0,91.4,27.0,98.0,1955.0,7.8,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.74,0.1,0.116,0.0,1.0,0.0,0.0,3.0,10,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,206.0,0.015,-0.211
FF,2023-04-18,95.6,-1.3,6.12,"Mitchell, Garrett",669003,669302,,called_strike,,,,,13,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,S,,,3,1,2023,-0.64,1.48,-0.91,1.91,,,,1,2,Top,,,,,663728,,,2.553459520014217,-139.05829742219936,-9.08033022835542,-8.838633386821835,30.28796645779501,-11.118593210632644,3.49,1.67,,,,98.6,1960.0,7.9,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.58,,,,,,,,10,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,202.0,0.0,-0.069
FF,2023-04-18,95.6,-1.44,6.08,"Mitchell, Garrett",669003,669302,,called_strike,,,,,7,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,S,,,3,0,2023,-0.7,1.47,-0.45,1.71,,,,1,2,Top,,,,,663728,,,4.298770709589707,-138.91959304868087,-9.421294050372609,-9.958852613587654,30.1139589149201,-11.2745873145933,3.4,1.6,,,,98.0,1990.0,7.7,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.85,,,,,,,,10,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,210.0,0.0,-0.049
FF,2023-04-18,94.7,-1.41,6.28,"Mitchell, Garrett",669003,669302,,ball,,,,,11,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,B,,,2,0,2023,-0.36,1.53,-0.44,3.64,,,,1,2,Top,,,,,663728,,,3.426071049722347,-137.9020196739839,-4.785240100462782,-5.402738989865385,29.559622330891106,-11.801658305159988,3.38,1.61,,,,97.6,1879.0,7.8,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.67,,,,,,,,10,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,205.0,0.0,0.084
FF,2023-04-18,94.9,-1.06,6.21,"Mitchell, Garrett",669003,669302,,ball,,,,,14,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,B,,,1,0,2023,-0.3,1.7,0.44,1.45,,,,1,2,Top,,,,,663728,,,4.750710227923754,-137.90546371479698,-10.910459389108292,-4.868490190551094,28.411282238067773,-8.258886565211741,3.4,1.62,,,,97.9,1987.0,7.9,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.62,,,,,,,,10,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,200.0,0.0,0.045
FF,2023-04-18,96.0,-1.52,6.03,"Mitchell, Garrett",669003,669302,,ball,,,,,13,Garrett Mitchell flies out to center fielder Julio Rodriguez.,R,L,R,SEA,MIL,B,,,0,0,2023,-0.51,1.6,-0.19,1.0,,,,1,2,Top,,,,,663728,,,4.813497964701725,-139.39167759460005,-11.610316336496286,-7.7556851175301,29.60843306732324,-8.87101970653029,3.36,1.6,,,,98.5,2023.0,7.7,718517,669302,663728,664034,543939,553993,676609,672284,677594,606192,52.81,,,,,,,,10,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,203.0,0.0,0.029
