pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-23,91.7,1.86,6.4,"Sánchez, Gary",596142,592767,field_out,hit_into_play,,,,,1,"Gary Sanchez grounds out, third baseman Patrick Wisdom to first baseman Matt Mervis.",R,R,L,CHC,NYM,X,5.0,ground_ball,2,2,2023,0.58,1.27,-0.69,2.9,,,,2,5,Top,97.7,153.57,,,543228,,,-7.61186686680644,-133.3294879452438,-5.74936726053149,8.449086685106032,25.216584421570776,-15.945490814171892,3.22,1.55,96.0,63.1,11.0,91.2,1991,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.71,0.22,0.198,0.0,1.0,0.0,0.0,2.0,40,5,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,143,0.004,-0.09
KC,2023-05-23,78.1,2.04,6.31,"Sánchez, Gary",596142,592767,,called_strike,,,,,5,"Gary Sanchez grounds out, third baseman Patrick Wisdom to first baseman Matt Mervis.",R,R,L,CHC,NYM,S,,,2,1,2023,0.17,-0.21,0.03,2.47,,,,2,5,Top,,,,,543228,,,-4.576574448056778,-113.7723269288306,-1.0336632807702386,2.294640428564055,20.57314299658565,-34.03720489306955,3.22,1.62,,,,77.3,1896,5.6,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.88,,,,,,,,40,4,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,1,0.0,-0.03
KC,2023-05-23,79.6,2.12,6.31,"Sánchez, Gary",596142,592767,,ball,,,,,13,"Gary Sanchez grounds out, third baseman Patrick Wisdom to first baseman Matt Mervis.",R,R,L,CHC,NYM,B,,,1,1,2023,0.16,-0.19,0.0,1.2,,,,2,5,Top,,,,,543228,,,-4.8898580710598525,-115.85388046796189,-4.127225577148469,2.286418471040024,20.016555146927505,-33.38172806498093,3.22,1.62,,,,79.0,2056,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.84,,,,,,,,40,3,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,21,0.0,0.023
SI,2023-05-23,92.3,1.97,6.28,"Sánchez, Gary",596142,592767,,called_strike,,,,,2,"Gary Sanchez grounds out, third baseman Patrick Wisdom to first baseman Matt Mervis.",R,R,L,CHC,NYM,S,,,1,0,2023,0.92,1.0,0.06,3.34,,,,2,5,Top,,,,,543228,,,-6.796797617820826,-134.28632432383685,-3.878983993119068,12.58685024955355,25.93980141112764,-19.34072285838821,3.28,1.62,,,,91.8,2145,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.77,,,,,,,,40,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,135,0.0,-0.027
SI,2023-05-23,91.8,1.94,6.35,"Sánchez, Gary",596142,592767,,ball,,,,,11,"Gary Sanchez grounds out, third baseman Patrick Wisdom to first baseman Matt Mervis.",R,R,L,CHC,NYM,B,,,0,0,2023,0.82,1.08,-0.45,4.27,,,,2,5,Top,,,,,543228,,,-7.731467896907912,-133.53454760802106,-1.7760818446801707,11.366445401774486,26.78047620645101,-19.06263156813085,3.22,1.62,,,,91.1,1810,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.78,,,,,,,,40,1,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,129,0.0,0.021
KC,2023-05-23,77.1,2.09,6.39,"Sánchez, Gary",596142,592767,field_out,hit_into_play,,,,,9,Gary Sanchez flies out to right fielder Seiya Suzuki.,R,R,L,CHC,NYM,X,9.0,fly_ball,1,1,2023,0.4,-0.21,0.79,1.62,,,,0,3,Top,164.55,89.61,,,543228,,,-3.436638462903506,-112.30229792829785,-2.8140042606421827,3.976910124972709,19.46403728400724,-33.64634921175156,3.22,1.55,288.0,87.4,34.0,76.4,2092,5.6,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.87,0.017,0.015,0.0,1.0,0.0,0.0,3.0,19,3,Knuckle Curve,4,0,0,4,0,4,0,4,Standard,Standard,14,0.017,-0.228
KC,2023-05-23,77.1,1.99,6.44,"Sánchez, Gary",596142,592767,,called_strike,,,,,2,Gary Sanchez flies out to right fielder Seiya Suzuki.,R,R,L,CHC,NYM,S,,,1,0,2023,0.29,-0.19,0.25,2.93,,,,0,3,Top,,,,,543228,,,-4.157300654731068,-112.3326437953738,-0.2410182945700927,3.1053094360890463,18.03973444230899,-33.99232346185009,3.22,1.63,,,,76.7,1963,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.83,,,,,,,,19,2,Knuckle Curve,4,0,0,4,0,4,0,4,Standard,Standard,5,0.0,-0.046
SI,2023-05-23,91.9,1.98,6.42,"Sánchez, Gary",596142,592767,,ball,,,,,11,Gary Sanchez flies out to right fielder Seiya Suzuki.,R,R,L,CHC,NYM,B,,,0,0,2023,0.91,1.32,-0.46,3.69,,,,0,3,Top,,,,,543228,,,-8.075541793965925,-133.55884887289304,-3.8765828430037113,12.637498418492989,28.515677913504188,-15.739627882517691,3.22,1.59,,,,91.1,2007,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.67,,,,,,,,19,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,148,0.0,0.039
FF,2023-05-23,98.8,-1.74,6.05,"Sánchez, Gary",596142,657240,strikeout,swinging_strike,,,,,11,Gary Sanchez strikes out swinging.,R,R,R,CHC,NYM,S,2.0,,0,2,2023,-0.45,1.43,-0.6,3.44,,,502054.0,1,7,Top,,,,,543228,,,4.164100333687672,-143.71373550053775,-5.000249402758712,-7.216994173332197,35.203577377111614,-11.445806043627217,3.22,1.55,,,,98.7,2339,6.4,718055,657240,543228,670223,663538,621550,621020,664023,643565,673548,54.09,,,0.0,1.0,0.0,0.0,,57,3,4-Seam Fastball,6,2,2,6,2,6,2,6,Standard,Standard,212,0.018,-0.197
SL,2023-05-23,86.9,-1.74,6.08,"Sánchez, Gary",596142,657240,,foul,,,,,8,Gary Sanchez strikes out swinging.,R,R,R,CHC,NYM,S,,,0,1,2023,0.04,-0.3,-0.23,1.74,,,502054.0,1,7,Top,,,,,543228,,,3.5470682180466784,-126.564952655264,-3.632826845926687,-0.3555992234552301,26.361738947430126,-34.798258174680335,3.22,1.55,3.0,59.0,-33.0,86.9,2272,6.3,718055,657240,543228,670223,663538,621550,621020,664023,643565,673548,54.19,,,,,,,,57,2,Slider,6,2,2,6,2,6,2,6,Standard,Standard,27,0.0,-0.061
