pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,89.0,-1.64,6.46,"Perdomo, Geraldo",672695,592229,field_out,hit_into_play,,,,,5,Geraldo Perdomo flies out to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,X,8.0,fly_ball,0,2,2023,0.24,0.64,0.06,2.75,,,,0,7,Top,104.48,79.19,,,592663,,,3.636433968387293,-129.7456664512021,-4.465256933542802,2.1196999149042157,23.38411257192013,-24.29340478289033,3.35,1.56,303.0,85.1,30.0,88.8,2190.0,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.74,0.057,0.086,0.0,1.0,0.0,0.0,3.0,47,3,Slider,1,3,3,1,3,1,3,1,Strategic,Standard,189.0,0.014,-0.149
FC,2023-05-23,90.3,-1.55,6.44,"Perdomo, Geraldo",672695,592229,,foul,,,,,3,Geraldo Perdomo flies out to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,S,,,0,1,2023,0.26,1.01,0.67,3.13,,,,0,7,Top,,,,,592663,,,4.911161089353662,-131.4914356451405,-4.465775109842657,2.15944116741003,24.999763638507407,-19.697490279344567,3.35,1.56,125.0,62.4,70.0,89.9,2281.0,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.73,,,,,,,,47,2,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,188.0,0.0,-0.049
SL,2023-05-23,89.0,-1.56,6.48,"Perdomo, Geraldo",672695,592229,,called_strike,,,,,14,Geraldo Perdomo flies out to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,S,,,0,0,2023,0.3,0.46,0.91,2.53,,,,0,7,Top,,,,,592663,,,5.390738178511888,-129.6360904241914,-4.681810744892057,2.4481628977397416,23.817881445521795,-26.23658579993232,3.49,1.63,,,,88.6,2154.0,5.7,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.78,,,,,,,,47,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,188.0,0.0,-0.037
FC,2023-05-23,90.9,-1.44,6.41,"Perdomo, Geraldo",672695,592229,field_out,hit_into_play,,,,,6,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,X,3.0,popup,3,2,2023,0.48,0.44,0.68,2.65,,682998.0,672515.0,2,4,Top,138.75,179.93,,,592663,,,4.282693962255194,-132.3242612195068,-4.485702930813784,4.814089293735102,26.061524278585043,-26.232530472971565,3.35,1.56,76.0,79.1,70.0,90.8,2172.0,6.0,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.49,0.006,0.006,0.0,1.0,0.0,0.0,3.0,29,7,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,181.0,0.034,-0.477
FC,2023-05-23,91.7,-1.57,6.37,"Perdomo, Geraldo",672695,592229,,foul,,,,,14,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,S,,,3,2,2023,0.51,0.46,1.05,1.81,,682998.0,672515.0,2,4,Top,,,,,592663,,,5.501253768984037,-133.4984277946074,-6.718626338608677,5.209650178848043,24.48098599056699,-25.533712187493293,3.35,1.56,6.0,11.0,37.0,91.9,2308.0,6.1,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.42,,,,,,,,29,6,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,182.0,0.0,0.0
FC,2023-05-23,90.9,-1.49,6.36,"Perdomo, Geraldo",672695,592229,,ball,,,,,12,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,B,,,2,2,2023,0.41,0.42,1.32,2.75,,682998.0,672515.0,2,4,Top,,,,,592663,,,6.159878151621244,-132.33395903825084,-4.118771630873061,3.6603140765444304,25.077666101600705,-26.54237676757268,3.3,1.58,,,,91.0,2261.0,6.1,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.42,,,,,,,,29,5,Cutter,1,3,3,1,3,1,3,1,Strategic,Standard,179.0,0.0,0.114
SL,2023-05-23,89.6,-1.45,6.37,"Perdomo, Geraldo",672695,592229,,blocked_ball,,,,,14,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,B,,,1,2,2023,0.2,0.36,2.54,0.48,,682998.0,672515.0,2,4,Top,,,,,592663,,,9.35975160540503,-129.93649426913873,-9.250630297394396,0.3175849111075249,26.508685598872358,-26.30869233639049,3.33,1.56,,,,89.0,2220.0,6.1,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.45,,,,,,,,29,4,Slider,1,3,3,1,3,1,3,1,Standard,Standard,171.0,0.0,0.051
FC,2023-05-23,91.1,-1.55,6.45,"Perdomo, Geraldo",672695,592229,,foul,,,,,2,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,S,,,1,1,2023,0.07,0.64,-0.06,3.2,,682998.0,672515.0,2,4,Top,,,,,592663,,,3.5812271131473783,-132.74099933628216,-3.634260290725361,0.0455233322271403,27.33376494576507,-24.08518028085449,3.35,1.56,103.0,73.7,16.0,90.5,2114.0,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.72,,,,,,,,29,3,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,187.0,0.0,-0.14
FC,2023-05-23,91.9,-1.48,6.4,"Perdomo, Geraldo",672695,592229,,called_strike,,,,,5,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,S,,,1,0,2023,0.15,0.79,0.17,2.22,,682998.0,672515.0,2,4,Top,,,,,592663,,,3.8342261494049934,-133.7731158725054,-6.455723271585185,1.0154714852761426,27.621754533355965,-21.498259348998594,3.4,1.63,,,,91.5,2202.0,5.9,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.59,,,,,,,,29,2,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,188.0,0.0,-0.093
FC,2023-05-23,91.6,-1.73,6.42,"Perdomo, Geraldo",672695,592229,,ball,,,,,12,Geraldo Perdomo pops out to first baseman Kody Clemens.,R,L,R,PHI,AZ,B,,,0,0,2023,0.42,0.9,0.47,3.92,,682998.0,672515.0,2,4,Top,,,,,592663,,,4.610395263334358,-133.36023129604104,-2.4128747523928897,4.048887075860109,28.349473498589557,-21.10670811395445,3.37,1.58,,,,91.2,2195.0,6.0,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.5,,,,,,,,29,1,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,184.0,0.0,0.075
SL,2023-05-23,87.2,1.75,5.71,"Perdomo, Geraldo",672695,642397,force_out,hit_into_play,,,,,8,"Geraldo Perdomo grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Gabriel Moreno out at 2nd.",R,R,L,PHI,AZ,X,6.0,ground_ball,2,2,2023,-0.26,0.33,-0.09,1.92,572233.0,682998.0,672515.0,2,8,Top,122.21,141.75,,,592663,,,-3.941877457699666,-126.99963482032469,-3.7406144900332254,-2.055012505345112,23.883745126890293,-28.050779937428963,3.35,1.56,12.0,92.6,-8.0,88.7,2246.0,7.0,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.52,0.183,0.174,0.0,1.0,0.0,0.0,2.0,63,5,Slider,3,4,4,3,4,3,4,3,Standard,Standard,192.0,0.068,-0.638
FF,2023-05-23,97.3,1.74,5.62,"Perdomo, Geraldo",672695,642397,,foul,,,,,8,"Geraldo Perdomo grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Gabriel Moreno out at 2nd.",R,R,L,PHI,AZ,S,,,2,1,2023,0.74,1.28,0.28,2.07,572233.0,682998.0,672515.0,2,8,Top,,,,,592663,,,-5.692472311669264,-141.5848212448136,-7.038565643948344,11.283328902365543,30.081134350301674,-13.558226395136073,3.35,1.56,255.0,79.3,35.0,98.4,2236.0,6.8,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.72,,,,,,,,63,4,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,135.0,0.0,-0.308
FF,2023-05-23,98.5,1.87,5.71,"Perdomo, Geraldo",672695,642397,,ball,,,,,12,"Geraldo Perdomo grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Gabriel Moreno out at 2nd.",R,R,L,PHI,AZ,B,,,1,1,2023,0.93,1.19,0.96,3.73,572233.0,682998.0,672515.0,2,8,Top,,,,,592663,,,-4.7083115137588365,-143.4395955677869,-2.7512130999353204,13.9190469984089,31.122217580370865,-15.240253146690602,3.42,1.58,,,,100.0,2296.0,6.9,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.57,,,,,,,,63,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,132.0,0.0,0.19
SL,2023-05-23,89.3,1.8,5.65,"Perdomo, Geraldo",672695,642397,,blocked_ball,,,,,13,"Geraldo Perdomo grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Gabriel Moreno out at 2nd.",R,R,L,PHI,AZ,B,,,0,1,2023,-0.28,0.29,-0.17,-0.07,572233.0,682998.0,672515.0,2,8,Top,,,,,592663,,,-4.302875385979181,-129.8896936210719,-8.793266276703257,-2.279671514501994,26.24559507426539,-27.23929061159208,3.4,1.56,,,,90.6,2370.0,7.0,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.48,,,,,,,,63,2,Slider,3,4,4,3,4,3,4,3,Standard,Standard,172.0,0.0,0.051
FF,2023-05-23,98.3,1.79,5.68,"Perdomo, Geraldo",672695,642397,,called_strike,,,,,5,"Geraldo Perdomo grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Gabriel Moreno out at 2nd.",R,R,L,PHI,AZ,S,,,0,0,2023,0.78,1.11,-0.21,2.25,572233.0,682998.0,672515.0,2,8,Top,,,,,592663,,,-7.301817616807177,-142.9203101592225,-6.469438878660358,12.345938086985502,31.3695338890947,-15.677405732345004,3.47,1.63,,,,99.4,2376.0,6.9,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.65,,,,,,,,63,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,134.0,0.0,-0.124
FC,2023-05-23,92.2,-1.61,6.41,"Perdomo, Geraldo",672695,592229,single,hit_into_play,,,,,5,Geraldo Perdomo singles on a ground ball to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,X,8.0,ground_ball,2,1,2023,0.2,0.91,0.08,2.25,,,,0,3,Top,141.95,83.73,,,592663,,,3.8376618901054753,-134.20452139085094,-6.7196778258430045,1.6324385148150269,27.266555441625453,-19.922400580051782,3.35,1.56,36.0,80.3,0.0,91.7,2157.0,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.68,0.174,0.168,0.9,1.0,1.0,0.0,2.0,17,4,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,198.0,-0.034,0.35
FC,2023-05-23,92.0,-1.62,6.45,"Perdomo, Geraldo",672695,592229,,ball,,,,,11,Geraldo Perdomo singles on a ground ball to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,B,,,1,1,2023,0.26,0.78,-0.05,4.03,,,,0,3,Top,,,,,592663,,,3.385748532324937,-134.1131421507287,-2.017289062454416,2.493963165228762,27.301796450252347,-22.521574045825883,3.45,1.58,,,,91.4,2205.0,5.7,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.81,,,,,,,,17,3,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,192.0,0.0,0.05
FC,2023-05-23,91.0,-1.44,6.45,"Perdomo, Geraldo",672695,592229,,foul,,,,,2,Geraldo Perdomo singles on a ground ball to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,S,,,1,0,2023,0.33,0.89,-0.15,2.94,,,,0,3,Top,,,,,592663,,,2.5002349502906465,-132.54411000214952,-4.83470804920447,3.400024399629508,26.34136263918601,-20.81001767182863,3.35,1.56,205.0,67.1,32.0,90.4,2116.0,5.7,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.76,,,,,,,,17,2,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,196.0,0.0,-0.046
FC,2023-05-23,90.9,-1.57,6.47,"Perdomo, Geraldo",672695,592229,,ball,,,,,14,Geraldo Perdomo singles on a ground ball to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,B,,,0,0,2023,0.34,0.85,1.4,2.48,,,,0,3,Top,,,,,592663,,,6.626779490191841,-132.27918750497355,-5.883394832465408,2.6704884063434084,27.06487867053331,-21.15260385420322,3.49,1.63,,,,90.2,2109.0,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.72,,,,,,,,17,1,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,199.0,0.0,0.039
