pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,85.0,-1.35,6.8,"Torres, Gleyber",650402,669330,home_run,hit_into_play,,,,,7,Gleyber Torres homers (9) on a fly ball to left field.,R,R,R,NYY,BAL,X,,fly_ball,2,2,2023,-1.72,1.29,-0.39,1.85,,,,1,5,Bot,22.67,97.61,,,543510,,,5.686210390147239,-123.35017739578382,-7.776202692655787,-18.6572932844206,26.901465797759634,-17.621478062665165,3.07,1.4,356.0,92.1,28.0,84.7,2387.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.01,0.111,0.14,2.0,1.0,0.0,3.0,3.0,37,5,Changeup,4,1,4,1,1,5,5,1,Standard,Standard,219.0,0.049,1.021
SL,2023-05-24,83.8,-1.18,6.82,"Torres, Gleyber",650402,669330,,ball,,,,,14,Gleyber Torres homers (9) on a fly ball to left field.,R,R,R,NYY,BAL,B,,,1,2,2023,0.44,0.1,1.1,1.73,,,,1,5,Bot,,,,,543510,,,4.425307429217503,-121.90083313480304,-5.510564458793882,3.416753905985153,26.03427147321441,-30.26019737549148,3.12,1.45,,,,84.0,2225.0,6.6,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.87,,,,,,,,37,4,Slider,4,1,4,1,1,4,4,1,Standard,Standard,146.0,0.0,0.03
FF,2023-05-24,91.5,-1.26,6.83,"Torres, Gleyber",650402,669330,,called_strike,,,,,12,Gleyber Torres homers (9) on a fly ball to left field.,R,R,R,NYY,BAL,S,,,1,1,2023,-0.63,1.64,0.18,3.55,,,,1,5,Bot,,,,,543510,,,4.998201844574738,-133.1249294279289,-5.936057731168129,-8.542096892224654,29.594524545300068,-11.658316906232423,3.15,1.48,,,,91.7,2354.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.99,,,,,,,,37,3,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,207.0,0.0,-0.044
CH,2023-05-24,85.2,-1.36,6.83,"Torres, Gleyber",650402,669330,,called_strike,,,,,8,Gleyber Torres homers (9) on a fly ball to left field.,R,R,R,NYY,BAL,S,,,1,0,2023,-1.71,1.03,0.0,1.54,,,,1,5,Bot,,,,,543510,,,6.619218884833065,-123.58735132111389,-8.063415456603444,-18.830954746836355,27.136216383509545,-20.142859698367044,3.12,1.4,,,,84.6,2109.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.17,,,,,,,,37,2,Changeup,4,1,4,1,1,4,4,1,Standard,Standard,218.0,0.0,-0.036
CH,2023-05-24,85.5,-1.17,6.81,"Torres, Gleyber",650402,669330,,ball,,,,,14,Gleyber Torres homers (9) on a fly ball to left field.,R,R,R,NYY,BAL,B,,,0,0,2023,-1.67,1.0,0.19,0.9,,,,1,5,Bot,,,,,543510,,,6.550129117236075,-123.94925152096025,-9.503487880548818,-18.48630819134624,28.75761781821364,-19.977041799961945,3.15,1.43,,,,84.8,2152.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.12,,,,,,,,37,1,Changeup,4,1,4,1,1,4,4,1,Standard,Standard,215.0,0.0,0.029
FC,2023-05-24,87.2,-1.21,6.92,"Torres, Gleyber",650402,669330,home_run,hit_into_play,,,,,2,Gleyber Torres homers (8) on a fly ball to center field.   Isiah Kiner-Falefa scores.,R,R,R,NYY,BAL,X,,fly_ball,1,0,2023,0.11,0.86,-0.12,2.78,643396.0,,,2,3,Bot,83.05,37.21,,,543510,,,2.3794029518233457,-127.0359731814316,-5.611918601137077,0.769027323832775,25.06275999062976,-21.888361006445543,3.07,1.4,414.0,108.3,24.0,87.3,2367.0,6.2,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.3,0.98,1.938,2.0,1.0,0.0,3.0,6.0,21,2,Cutter,0,0,0,0,0,2,2,0,Standard,Standard,182.0,0.203,1.703
SL,2023-05-24,85.4,-1.33,6.92,"Torres, Gleyber",650402,669330,,blocked_ball,,,,,14,Gleyber Torres homers (8) on a fly ball to center field.   Isiah Kiner-Falefa scores.,R,R,R,NYY,BAL,B,,,0,0,2023,0.33,0.5,0.75,0.83,643396.0,,,2,3,Bot,,,,,543510,,,4.2432233457399615,-124.217978441145,-9.143576026830624,2.6340447197794385,22.566000651635147,-25.421553851741667,3.12,1.48,,,,85.9,2432.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.08,,,,,,,,21,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,164.0,0.0,0.025
FF,2023-05-24,85.6,-2.61,4.84,"Torres, Gleyber",650402,571710,hit_by_pitch,hit_by_pitch,,,,,11,Gleyber Torres hit by pitch.    Willie Calhoun to 2nd.,R,R,R,NYY,BAL,B,,,1,0,2023,-0.99,0.91,-3.32,3.93,,,641432.0,1,7,Bot,,,,,543510,,,0.3167653533512699,-124.59526384894612,2.287827669263472,-10.293676469247073,26.73107989925045,-23.423258054141463,3.07,1.4,,,,84.5,2173.0,5.7,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.82,,,0.7,1.0,0.0,0.0,,62,2,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,238.0,0.033,0.344
SL,2023-05-24,80.6,-2.69,4.49,"Torres, Gleyber",650402,571710,,ball,,,,,11,Gleyber Torres hit by pitch.    Willie Calhoun to 2nd.,R,R,R,NYY,BAL,B,,,0,0,2023,0.38,0.64,-1.5,3.47,,,641432.0,1,7,Bot,,,,,543510,,,1.921457659291292,-117.32884232138872,3.170216161487639,3.105847296864741,22.648518293942622,-27.06380999358517,3.11,1.44,,,,80.5,2441.0,6.2,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.28,,,,,,,,62,1,Slider,5,9,5,9,9,5,5,9,Standard,Standard,113.0,0.0,0.046
FF,2023-05-24,99.0,0.45,7.05,"Torres, Gleyber",650402,642585,strikeout,swinging_strike,,,,,12,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,1,2,2023,-0.49,1.69,0.59,3.31,,,,1,9,Bot,,,,,543510,,,1.5119079190530316,-143.9433671360249,-8.777780671398215,-7.103488175468313,34.03695558490222,-6.827665425535615,3.07,1.4,,,,99.5,2361.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.87,,,0.0,1.0,0.0,0.0,,77,4,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,187.0,-0.012,-0.121
FF,2023-05-24,100.1,0.01,7.02,"Torres, Gleyber",650402,642585,,called_strike,,,,,3,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,,,1,1,2023,-0.4,1.58,0.52,2.81,,,,1,9,Bot,,,,,543510,,,2.381857829024417,-145.45042110741588,-9.9988306677263,-6.303832957213976,33.97833782102461,-7.564846175633842,3.07,1.4,,,,100.5,2487.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.9,,,,,,,,77,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,184.0,0.0,-0.044
FS,2023-05-24,86.1,-0.37,6.95,"Torres, Gleyber",650402,642585,,ball,,,,,11,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,B,,,0,1,2023,-0.45,0.53,-0.79,3.52,,,,1,9,Bot,,,,,543510,,,-0.0685051983185956,-125.39271878737324,-2.972270864474407,-4.752393571373926,27.331587037877437,-26.1478940096994,3.07,1.4,,,,86.5,893.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.85,,,,,,,,77,2,Split-Finger,6,9,6,9,9,6,6,9,Standard,Standard,229.0,0.0,0.021
CH,2023-05-24,86.4,-1.32,6.87,"Torres, Gleyber",650402,669330,field_out,hit_into_play,,,,,8,Gleyber Torres flies out to left fielder Austin Hays.,R,R,R,NYY,BAL,X,7.0,fly_ball,2,2,2023,-1.56,1.18,0.06,1.8,,,,0,1,Bot,67.74,64.21,,,543510,,,6.456062023468477,-125.45156639868824,-8.267903004126367,-17.73546160555838,24.34695193773952,-18.266584707658357,3.07,1.4,362.0,92.6,35.0,86.7,2210.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.99,0.063,0.11,0.0,1.0,0.0,0.0,3.0,4,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,215.0,-0.021,-0.205
FC,2023-05-24,88.6,-1.24,6.95,"Torres, Gleyber",650402,669330,,called_strike,,,,,6,Gleyber Torres flies out to left fielder Austin Hays.,R,R,R,NYY,BAL,S,,,2,1,2023,-0.03,1.4,0.56,2.09,,,,0,1,Bot,,,,,543510,,,4.482537759657564,-128.8162085467027,-8.78830793363974,-1.1989261962630555,24.6724402601858,-14.943292037443394,3.23,1.51,,,,89.1,2408.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.0,,,,,,,,4,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,181.0,0.0,-0.073
SL,2023-05-24,86.4,-0.59,6.8,"Torres, Gleyber",650402,642585,,called_strike,,,,,12,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,,,0,0,2023,0.36,-0.23,0.71,3.39,,,,1,9,Bot,,,,,543510,,,2.3728049246301266,-125.79856655162892,-1.3774749496565366,3.294075573457839,28.768346737850617,-34.493341712470624,3.07,1.4,,,,86.3,2397.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.99,,,,,,,,77,1,Slider,6,9,6,9,9,6,6,9,Standard,Standard,97.0,0.0,-0.028
FF,2023-05-24,92.7,-1.35,6.96,"Torres, Gleyber",650402,669330,,foul,,,,,2,Gleyber Torres flies out to left fielder Austin Hays.,R,R,R,NYY,BAL,S,,,2,0,2023,-0.63,1.6,0.03,3.13,,,,0,1,Bot,,,,,543510,,,4.904710624771286,-134.72990392999432,-7.469123187365717,-8.72015681148107,30.081618566706094,-11.195811787771532,3.07,1.4,191.0,84.6,69.0,92.6,2375.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.13,,,,,,,,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200.0,0.0,-0.062
FF,2023-05-24,89.1,-1.44,6.98,"Torres, Gleyber",650402,669330,,ball,,,,,12,Gleyber Torres flies out to left fielder Austin Hays.,R,R,R,NYY,BAL,B,,,1,0,2023,-0.16,1.48,0.24,3.57,,,,0,1,Bot,,,,,543510,,,4.470214812382601,-129.7585804363155,-5.504016887770068,-2.673370610951608,25.06207052368737,-14.504164045965064,3.12,1.51,,,,89.3,2368.0,6.2,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.28,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,189.0,0.0,0.066
FF,2023-05-24,92.5,-1.25,7.04,"Torres, Gleyber",650402,669330,,ball,,,,,12,Gleyber Torres flies out to left fielder Austin Hays.,R,R,R,NYY,BAL,B,,,0,0,2023,-0.41,1.69,1.56,3.63,,,,0,1,Bot,,,,,543510,,,8.063703967496636,-134.32979036242827,-6.550442543862448,-6.645583303687388,28.66576269964799,-10.442172148532748,3.23,1.56,,,,92.5,2344.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.16,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194.0,0.0,0.039
CU,2023-05-23,84.8,-1.29,6.39,"Torres, Gleyber",650402,680694,single,hit_into_play,,,,,2,Gleyber Torres singles on a line drive to right fielder Terrin Vavra.   Oswaldo Cabrera to 2nd.,R,R,R,NYY,BAL,X,9.0,line_drive,0,2,2023,0.72,-1.21,0.15,2.72,,,665828.0,0,5,Bot,177.48,104.4,,,668939,,,1.934037375171095,-123.52142406537156,0.2216677287256419,6.893117403275181,26.95161349280021,-44.73972421137065,3.08,1.41,223.0,93.6,14.0,84.8,2593.0,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.07,0.931,0.889,0.9,1.0,1.0,0.0,4.0,40,3,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,24.0,0.07,0.777
