pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-21,86.8,1.82,6.01,"Vargas, Ildemaro",545121,666214,home_run,hit_into_play,,,,,7,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,X,,fly_ball,3,2,2023,0.06,0.4,-0.28,2.01,,,642086.0,0,3,Bot,52.78,58.32,,,668670,,,-5.183580180602879,-126.377840363421,-4.269627835774234,1.705861533930047,24.992617457811452,-27.17543833145309,3.19,1.48,395.0,103.5,25.0,87.3,2338.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.0,0.886,1.611,2.0,1.0,0.0,3.0,6.0,30,6,Cutter,4,1,4,1,1,6,6,1,Strategic,Standard,142.0,0.075,1.491
FF,2023-05-21,95.2,1.32,6.39,"Vargas, Ildemaro",545121,666214,,ball,,,,,11,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,B,,,2,2,2023,1.17,1.45,-1.39,2.81,,,642086.0,0,3,Bot,,,,,668670,,,-9.748943798247884,-138.06758659144987,-6.90327488302862,17.263374395102826,34.340476907192325,-12.250460715792386,3.26,1.48,,,,94.8,2413.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.02,,,,,,,,30,5,4-Seam Fastball,4,1,4,1,1,4,4,1,Strategic,Standard,144.0,0.0,0.159
FF,2023-05-21,93.2,1.52,6.24,"Vargas, Ildemaro",545121,666214,,called_strike,,,,,7,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,S,,,2,1,2023,1.24,1.43,-0.53,1.55,,,642086.0,0,3,Bot,,,,,668670,,,-7.978922036797972,-135.16401270142055,-9.386640812281891,16.965715307852864,30.76344326355715,-12.72605694979495,3.35,1.48,,,,93.0,2379.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.03,,,,,,,,30,4,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,142.0,0.0,-0.087
FC,2023-05-21,86.1,1.81,6.01,"Vargas, Ildemaro",545121,666214,,called_strike,,,,,12,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,S,,,2,0,2023,0.05,0.37,0.96,2.64,,,642086.0,0,3,Bot,,,,,668670,,,-2.1160957136160587,-125.45684270348566,-2.566191934087677,0.9512328119346248,22.76944694579758,-27.96699551166153,3.39,1.5,,,,86.6,2381.0,6.3,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.19,,,,,,,,30,3,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,148.0,0.0,-0.09
FC,2023-05-21,87.8,1.88,5.98,"Vargas, Ildemaro",545121,666214,,ball,,,,,14,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,B,,,1,0,2023,0.38,0.47,0.66,0.98,,,642086.0,0,3,Bot,,,,,668670,,,-3.7668607749323257,-127.73832206518428,-7.0254704552213685,4.902773494103615,24.74276874623997,-25.77627472232181,3.28,1.48,,,,88.3,2380.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.02,,,,,,,,30,2,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,137.0,0.0,0.085
FC,2023-05-21,87.2,1.85,6.0,"Vargas, Ildemaro",545121,666214,,ball,,,,,14,Ildemaro Vargas homers (1) on a fly ball to left center field.   Dominic Smith scores.,R,R,L,WSH,DET,B,,,0,0,2023,0.24,0.53,0.08,1.21,,,642086.0,0,3,Bot,,,,,668670,,,-4.764890907832623,-126.8413162282464,-6.468006820821806,3.6195802312004415,26.11115485885265,-25.27252365736756,3.37,1.48,,,,87.4,2383.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.03,,,,,,,,30,1,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,144.0,0.0,0.037
CU,2023-05-21,78.5,1.66,6.26,"Vargas, Ildemaro",545121,666214,single,hit_into_play,,,,,6,Ildemaro Vargas singles on a ground ball to center fielder Riley Greene.   Dominic Smith to 2nd.,R,R,L,WSH,DET,X,8.0,ground_ball,1,2,2023,-0.55,-0.73,0.32,2.39,,,642086.0,2,1,Bot,115.73,99.02,,,668670,,,-1.882338357070852,-114.41519504246692,-0.2968783362829161,-4.5663730393084245,18.21671598520682,-38.75902604988715,3.19,1.48,41.0,100.4,-1.0,79.2,2533.0,6.4,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.12,0.337,0.334,0.9,1.0,1.0,0.0,2.0,11,4,Curveball,3,0,3,0,0,3,3,0,Strategic,Standard,321.0,0.011,0.382
CU,2023-05-21,79.1,1.58,6.24,"Vargas, Ildemaro",545121,666214,,foul,,,,,7,Ildemaro Vargas singles on a ground ball to center fielder Riley Greene.   Dominic Smith to 2nd.,R,R,L,WSH,DET,S,,,1,1,2023,-0.57,-0.89,-0.47,1.71,,,642086.0,2,1,Bot,,,,,668670,,,-3.4143391883779586,-115.29375611382412,-1.4901637253051043,-4.449242046466789,20.53314640628317,-40.07332274229238,3.19,1.48,4.0,102.0,-22.0,79.4,2604.0,6.3,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.17,,,,,,,,11,3,Curveball,3,0,3,0,0,3,3,0,Standard,Standard,317.0,0.0,-0.056
FF,2023-05-21,94.3,1.35,6.35,"Vargas, Ildemaro",545121,666214,,called_strike,,,,,7,Ildemaro Vargas singles on a ground ball to center fielder Riley Greene.   Dominic Smith to 2nd.,R,R,L,WSH,DET,S,,,1,0,2023,1.13,1.1,-0.82,1.79,,,642086.0,2,1,Bot,,,,,668670,,,-8.157267170218972,-136.94771792927148,-8.617302234584356,15.980135816090558,30.4944328799602,-16.547204069676525,3.3,1.48,,,,94.5,2263.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,53.97,,,,,,,,11,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138.0,0.0,-0.036
FF,2023-05-21,93.7,1.46,6.31,"Vargas, Ildemaro",545121,666214,,ball,,,,,13,Ildemaro Vargas singles on a ground ball to center fielder Riley Greene.   Dominic Smith to 2nd.,R,R,L,WSH,DET,B,,,0,0,2023,1.24,0.97,-0.33,0.85,,,642086.0,2,1,Bot,,,,,668670,,,-7.394887431819317,-135.9111688153513,-10.499635315455055,16.98909846182947,32.45102555175007,-17.818970349513954,3.35,1.48,,,,93.8,2241.0,6.7,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,53.77,,,,,,,,11,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138.0,0.0,0.027
FF,2023-05-21,90.7,-1.98,5.84,"Vargas, Ildemaro",545121,669438,field_out,hit_into_play,,,,,12,"Ildemaro Vargas grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,L,R,WSH,DET,X,5.0,ground_ball,0,2,2023,-1.01,1.24,0.98,3.25,,,,0,5,Bot,104.33,152.79,,,668670,,,9.443540299682589,-131.73840600229033,-3.1752312727659344,-13.73381964855852,27.89090556389603,-17.183103802663066,3.19,1.48,102.0,53.4,18.0,89.9,2284.0,5.9,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.64,0.157,0.141,0.0,1.0,0.0,0.0,1.0,48,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Strategic,Standard,217.0,-0.003,-0.149
CH,2023-05-21,81.6,-1.91,5.66,"Vargas, Ildemaro",545121,669438,,swinging_strike,,,,,13,"Ildemaro Vargas grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,L,R,WSH,DET,S,,,0,1,2023,-1.66,0.0,-0.14,0.83,,,,0,5,Bot,,,,,668670,,,7.159646602131004,-118.61110548947032,-4.27600852773462,-16.99565006065907,22.595134316017443,-31.539519696243403,3.19,1.48,,,,81.7,2052.0,6.4,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.1,,,,,,,,48,2,Changeup,6,1,6,1,1,6,6,1,Strategic,Standard,251.0,0.0,-0.049
FF,2023-05-21,91.5,-1.92,5.84,"Vargas, Ildemaro",545121,669438,,called_strike,,,,,6,"Ildemaro Vargas grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,L,R,WSH,DET,S,,,0,0,2023,-1.33,1.56,0.58,2.26,,,,0,5,Bot,,,,,668670,,,9.097469862139224,-132.78540106393748,-6.454986605697259,-17.67511102124373,29.94819610731937,-12.435984954320324,3.07,1.48,,,,90.8,2282.0,6.1,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.38,,,,,,,,48,1,4-Seam Fastball,6,1,6,1,1,6,6,1,Strategic,Standard,227.0,0.0,-0.037
FC,2023-05-21,86.6,1.34,5.78,"Vargas, Ildemaro",545121,641302,field_out,hit_into_play,,,,,1,Ildemaro Vargas lines out to center fielder Riley Greene.,R,R,L,WSH,DET,X,8.0,line_drive,0,0,2023,-0.27,0.79,-0.41,2.95,,,,0,7,Bot,119.27,80.99,,,668670,,,-3.624256159331285,-126.09065562300464,-2.1980429276611737,-2.192228712578073,24.46538377672886,-23.49710958001937,3.19,1.48,295.0,85.6,24.0,87.0,2290.0,6.4,718089,641302,668670,679529,665155,656716,595879,668731,682985,663837,54.09,0.149,0.134,0.0,1.0,0.0,0.0,3.0,70,1,Cutter,6,4,6,4,4,6,6,4,Standard,Standard,159.0,-0.01,-0.235
FF,2023-05-20,93.8,-1.56,6.2,"Vargas, Ildemaro",545121,656412,single,hit_into_play,,,,,2,Ildemaro Vargas singles on a ground ball to left fielder Eric Haase.,R,L,R,WSH,DET,X,7.0,ground_ball,3,1,2023,-0.98,1.14,-0.2,3.09,,,,1,5,Bot,99.91,97.8,,,668670,,,5.647457021956591,-136.42496751273842,-4.806841645374531,-13.523215778508524,30.136578783172844,-17.05652017489437,3.22,1.5,114.0,103.1,4.0,93.0,2357.0,5.9,718108,656412,668670,679529,628451,570731,595879,606992,682985,663837,54.64,0.589,0.576,0.9,1.0,1.0,0.0,4.0,36,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,225.0,0.039,0.163
