pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,92.9,2.73,5.55,"Crawford, J.P.",641487,686610,single,hit_into_play,,,,,5,J.P. Crawford singles on a line drive to center fielder Ramon Laureano.   AJ Pollock scores.    Sam Haggerty to 3rd.,R,L,L,SEA,OAK,X,8.0,line_drive,3,1,2023,0.88,1.26,0.19,2.69,572041.0,664059.0,,1,4,Bot,101.81,97.94,,,669127,,,-8.575168439611852,-135.15408744374338,-4.413766229485919,12.510764025541729,26.67645448023586,-15.846518548953195,3.34,1.58,236.0,77.4,22.0,94.6,2300.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.41,0.934,0.868,0.9,1.0,1.0,0.0,4.0,33,5,4-Seam Fastball,2,0,2,0,0,3,3,0,Strategic,Standard,136.0,0.047,0.826
ST,2023-05-24,80.7,2.84,5.25,"Crawford, J.P.",641487,686610,,ball,,,,,13,J.P. Crawford singles on a line drive to center fielder Ramon Laureano.   AJ Pollock scores.    Sam Haggerty to 3rd.,R,L,L,SEA,OAK,B,,,2,1,2023,-0.97,0.09,-1.46,1.36,572041.0,664059.0,,1,4,Bot,,,,,669127,,,-7.835205753640497,-117.4658455829304,-2.23713909435668,-7.658782738321887,20.493715376309414,-31.179156547148164,3.39,1.62,,,,82.1,1983.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.45,,,,,,,,33,4,Sweeper,2,0,2,0,0,2,2,0,Strategic,Standard,294.0,0.0,0.089
ST,2023-05-24,80.5,2.86,5.28,"Crawford, J.P.",641487,686610,,ball,,,,,13,J.P. Crawford singles on a line drive to center fielder Ramon Laureano.   AJ Pollock scores.    Sam Haggerty to 3rd.,R,L,L,SEA,OAK,B,,,1,1,2023,-1.14,0.12,-1.79,1.15,572041.0,664059.0,,1,4,Bot,,,,,669127,,,-8.265220131565082,-116.99462388384188,-2.748509016946,-9.019117467435606,21.3627472660574,-30.714130534488064,3.43,1.69,,,,81.7,1985.0,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.41,,,,,,,,33,3,Sweeper,2,0,2,0,0,2,2,0,Strategic,Standard,297.0,0.0,0.036
ST,2023-05-24,80.4,2.77,5.38,"Crawford, J.P.",641487,686610,,swinging_strike,,,,,13,J.P. Crawford singles on a line drive to center fielder Ramon Laureano.   AJ Pollock scores.    Sam Haggerty to 3rd.,R,L,L,SEA,OAK,S,,,1,0,2023,-1.14,0.18,-1.16,1.4,572041.0,664059.0,,1,4,Bot,,,,,669127,,,-6.626767958053041,-117.02063608784164,-2.556156851608694,-9.34035193500804,20.998313815205705,-30.21507379163051,3.34,1.58,,,,81.5,2083.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.56,,,,,,,,33,2,Sweeper,2,0,2,0,0,2,2,0,Strategic,Standard,293.0,0.0,-0.097
FF,2023-05-24,91.7,2.86,5.36,"Crawford, J.P.",641487,686610,,ball,,,,,12,J.P. Crawford singles on a line drive to center fielder Ramon Laureano.   AJ Pollock scores.    Sam Haggerty to 3rd.,R,L,L,SEA,OAK,B,,,0,0,2023,0.94,1.1,0.84,3.07,572041.0,664059.0,,1,4,Bot,,,,,669127,,,-7.219207663005917,-133.45345764836495,-2.3695991171573283,12.713991675093588,27.01380827998452,-18.62646483393282,3.45,1.65,,,,93.0,2223.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.55,,,,,,,,33,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,131.0,0.0,0.05
ST,2023-05-24,81.8,2.65,5.29,"Crawford, J.P.",641487,686610,strikeout,swinging_strike,,,,,13,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,2.0,,1,2,2023,-1.27,0.02,-1.61,0.84,663728.0,676609.0,572041.0,2,2,Bot,,,,,669127,,,-7.266800433761438,-119.07814587942376,-3.5926104950091258,-10.843303248242824,21.261519471008366,-31.532631808694383,3.34,1.58,,,,83.1,1951.0,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.52,,,0.0,1.0,0.0,0.0,,16,5,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,303.0,-0.075,-0.499
SL,2023-05-24,84.0,-2.18,6.1,"Crawford, J.P.",641487,668674,strikeout,swinging_strike,,,,,11,J.P. Crawford strikes out swinging.,R,L,R,SEA,OAK,S,2.0,,2,2,2023,0.0,-0.24,-0.99,3.08,,572041.0,664059.0,1,5,Bot,,,,,669127,,,2.7931264378942684,-122.36738938603771,-0.1783231724897795,-0.516032335712011,22.404267444972863,-34.80148154383748,3.34,1.58,,,,85.1,1861.0,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.71,,,0.0,1.0,0.0,0.0,,45,6,Slider,5,0,5,0,0,5,5,0,Standard,Standard,33.0,-0.005,-0.415
ST,2023-05-24,81.6,2.9,5.26,"Crawford, J.P.",641487,686610,,foul,,,,,5,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,,,1,2,2023,-1.0,-0.18,0.11,2.49,663728.0,676609.0,572041.0,2,2,Bot,,,,,669127,,,-4.408071893633771,-118.79276452171813,0.6799950897439206,-8.693358724377557,21.21124027062497,-34.22526822808963,3.34,1.58,344.0,102.9,27.0,82.8,2144.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.56,,,,,,,,16,4,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,293.0,0.0,0.0
ST,2023-05-24,81.4,2.78,5.29,"Crawford, J.P.",641487,686610,,swinging_strike,,,,,13,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,,,1,1,2023,-0.8,0.31,-1.69,2.03,663728.0,676609.0,572041.0,2,2,Bot,,,,,669127,,,-8.588252905473217,-118.46477434203956,-1.390561996534833,-6.153961915551114,19.965553776689323,-29.141645207272923,3.34,1.58,,,,82.7,2309.0,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.61,,,,,,,,16,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,300.0,0.0,-0.208
SL,2023-05-24,89.8,-2.08,6.05,"Crawford, J.P.",641487,668674,,ball,,,,,14,J.P. Crawford strikes out swinging.,R,L,R,SEA,OAK,B,,,1,2,2023,0.36,0.39,1.93,2.5,,572041.0,664059.0,1,5,Bot,,,,,669127,,,9.225689490172517,-130.57298506798182,-3.726021426210563,2.4621202613055364,24.3117680659239,-27.112495075063208,3.42,1.58,,,,91.0,2237.0,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.72,,,,,,,,45,5,Slider,5,0,5,0,0,5,5,0,Standard,Standard,135.0,0.0,0.036
