pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-23,72.7,-0.87,6.47,"Fraley, Jake",641584,425794,field_out,hit_into_play,,,,,7,"Jake Fraley grounds out, second baseman Tommy Edman to first baseman Brendan Donovan.",R,L,R,CIN,STL,X,4.0,ground_ball,1,2,2023,0.96,-1.29,-0.62,1.67,,,,0,6,Bot,152.33,154.57,,,575929,,,-1.1572466798520205,-105.72990885496864,0.1162359548298701,7.367474594297661,21.28553598686601,-42.01435450976687,3.27,1.57,31.0,99.2,-2.0,72.0,2554.0,6.2,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.31,0.337,0.319,0.0,1.0,0.0,0.0,2.0,50,4,Curveball,4,7,4,7,7,4,4,7,Strategic,Standard,42.0,-0.026,-0.175
CU,2023-05-23,69.9,-1.02,6.48,"Fraley, Jake",641584,425794,,called_strike,,,,,4,"Jake Fraley grounds out, second baseman Tommy Edman to first baseman Brendan Donovan.",R,L,R,CIN,STL,S,,,1,1,2023,1.09,-1.35,-0.76,2.21,,,,0,6,Bot,,,,,575929,,,-1.290230868649497,-101.60020523021676,1.9198140683503289,7.633585484159516,21.66770531250021,-41.98748292438514,3.24,1.57,,,,68.7,2638.0,6.1,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.39,,,,,,,,50,3,Curveball,4,7,4,7,7,4,4,7,Standard,Strategic,44.0,0.0,-0.053
FC,2023-05-23,81.0,-1.01,6.45,"Fraley, Jake",641584,425794,,ball,,,,,12,"Jake Fraley grounds out, second baseman Tommy Edman to first baseman Brendan Donovan.",R,L,R,CIN,STL,B,,,0,1,2023,0.47,0.36,0.28,4.45,,,,0,6,Bot,,,,,575929,,,1.9792040964893027,-117.94828350526892,1.4881376637182029,3.995556099232468,23.13021967246674,-29.342925823587443,3.32,1.57,,,,80.9,2242.0,6.2,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.26,,,,,,,,50,2,Cutter,4,7,4,7,7,4,4,7,Standard,Strategic,153.0,0.0,0.03
CU,2023-05-23,68.8,-1.04,6.59,"Fraley, Jake",641584,425794,,called_strike,,,,,2,"Jake Fraley grounds out, second baseman Tommy Edman to first baseman Brendan Donovan.",R,L,R,CIN,STL,S,,,0,0,2023,1.2,-1.27,0.2,2.99,,,,0,6,Bot,,,,,575929,,,0.4017933408378425,-100.01256161010016,3.2259320919323398,7.827594390124418,20.19557290437437,-41.455353682365846,3.32,1.57,,,,67.7,2566.0,6.0,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.46,,,,,,,,50,1,Curveball,4,7,4,7,7,4,4,7,Standard,Strategic,37.0,0.0,-0.037
CH,2023-05-23,82.3,-1.09,6.3,"Fraley, Jake",641584,425794,field_out,hit_into_play,,,,,1,Jake Fraley flies out to right fielder Oscar Mercado.,R,L,R,CIN,STL,X,9.0,fly_ball,1,0,2023,-1.48,0.69,-0.37,2.79,,,,2,3,Bot,197.72,74.3,,,575929,,,4.514696548612531,-119.80622445488336,-2.765377507589499,-15.07146846148179,24.12149955122493,-25.25349537875229,3.27,1.57,354.0,94.8,25.0,82.4,1542.0,6.5,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.05,0.2,0.231,0.0,1.0,0.0,0.0,5.0,27,2,Changeup,3,4,3,4,4,3,3,4,Standard,Standard,227.0,-0.013,-0.125
SI,2023-05-23,87.4,-1.2,6.21,"Fraley, Jake",641584,425794,,ball,,,,,13,Jake Fraley flies out to right fielder Oscar Mercado.,R,L,R,CIN,STL,B,,,0,0,2023,-1.4,0.76,-0.7,1.12,,,,2,3,Bot,,,,,575929,,,4.126744537284326,-126.98372496910125,-7.636260709092081,-16.01902356908454,27.54554676977527,-22.53516959089829,3.3,1.57,,,,87.4,2112.0,6.5,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.0,,,,,,,,27,1,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,212.0,0.0,0.021
SI,2023-05-23,86.3,-1.18,6.31,"Fraley, Jake",641584,425794,double,hit_into_play,,,,,5,Jake Fraley doubles (7) on a sharp fly ball to center fielder Lars Nootbaar.   Jonathan India scores.,R,L,R,CIN,STL,X,8.0,fly_ball,0,0,2023,-1.02,0.86,-0.21,2.41,,,663697.0,2,1,Bot,78.9,57.96,,,575929,,,4.399773564991019,-125.61353622009024,-4.820329919133619,-11.653525230744826,25.408890266203677,-22.33526597394243,3.27,1.57,367.0,100.3,24.0,86.7,2154.0,6.5,718059,425794,575929,680977,669357,571448,657557,676475,663457,669242,53.96,0.531,0.861,1.25,1.0,1.0,1.0,6.0,8,1,Sinker,0,1,0,1,1,1,1,1,Standard,Standard,207.0,0.117,0.756
FF,2023-05-23,93.7,-1.47,6.86,"Fraley, Jake",641584,606149,field_out,hit_into_play,,,,,5,Jake Fraley flies out to left fielder Alec Burleson.,R,L,R,CIN,STL,X,7.0,fly_ball,1,2,2023,-0.73,1.65,0.15,2.5,,,,0,8,Bot,59.97,91.35,,,575929,,,5.734477286752984,-136.11656979065407,-9.06913688244943,-10.296431488143504,29.918906800522272,-9.84922858477855,3.27,1.57,313.0,88.0,34.0,92.8,2282.0,5.9,718059,606149,575929,680977,669242,669357,657557,676475,663457,640458,54.62,0.023,0.034,0.0,1.0,0.0,0.0,3.0,66,4,4-Seam Fastball,5,7,5,7,7,5,5,7,Strategic,Standard,201.0,-0.041,-0.175
SL,2023-05-23,83.7,-1.62,6.86,"Fraley, Jake",641584,606149,,ball,,,,,14,Jake Fraley flies out to left fielder Alec Burleson.,R,L,R,CIN,STL,B,,,0,2,2023,-0.08,-0.03,0.93,0.2,,,,0,8,Bot,,,,,575929,,,5.949703957082443,-121.4943632206684,-8.748929508314543,-1.9562763509787828,23.76985572488934,-30.942694099287564,3.24,1.57,,,,82.6,2472.0,5.7,718059,606149,575929,680977,669242,669357,657557,676475,663457,640458,54.81,,,,,,,,66,3,Slider,5,7,5,7,7,5,5,7,Strategic,Standard,331.0,0.0,0.026
CH,2023-05-23,86.2,-1.76,6.78,"Fraley, Jake",641584,606149,,called_strike,,,,,9,Jake Fraley flies out to left fielder Alec Burleson.,R,L,R,CIN,STL,S,,,0,1,2023,-0.88,1.37,0.39,1.51,,,,0,8,Bot,,,,,575929,,,6.837951019445721,-125.15715791495546,-8.970974917940163,-10.659972969821847,25.537958373003057,-16.140024430910294,3.24,1.57,,,,85.4,1596.0,5.9,718059,606149,575929,680977,669242,669357,657557,676475,663457,640458,54.56,,,,,,,,66,2,Changeup,5,7,5,7,7,5,5,7,Standard,Standard,217.0,0.0,-0.049
SL,2023-05-23,82.5,-1.76,6.88,"Fraley, Jake",641584,606149,,swinging_strike,,,,,14,Jake Fraley flies out to left fielder Alec Burleson.,R,L,R,CIN,STL,S,,,0,0,2023,0.09,0.07,0.27,1.11,,,,0,8,Bot,,,,,575929,,,4.385058444358065,-119.83917076466533,-6.552519416023482,-0.1236859289217137,26.692786341673404,-30.269471930315035,3.27,1.57,,,,80.9,2341.0,5.7,718059,606149,575929,680977,669242,669357,657557,676475,663457,640458,54.83,,,,,,,,66,1,Slider,5,7,5,7,7,5,5,7,Standard,Standard,351.0,0.0,-0.037
FF,2023-05-22,95.9,-1.8,6.04,"Fraley, Jake",641584,669467,field_out,hit_into_play,,,,,12,"Jake Fraley grounds out, first baseman Paul Goldschmidt to pitcher Andre Pallante.   Tyler Stephenson to 3rd.    Nick Senzel to 2nd.",R,L,R,CIN,STL,X,3.0,ground_ball,1,1,2023,-0.09,0.66,1.18,3.16,,663886.0,669222.0,0,5,Bot,153.79,170.13,,,668800,,,8.116865908144524,-139.39648122323317,-3.494177156781575,-2.948748349319987,31.501009337254143,-23.030496768784083,3.26,1.57,8.0,42.4,-20.0,96.4,2261.0,6.6,718071,669467,668800,502671,669357,571448,657557,640458,663457,669242,53.87,0.289,0.295,0.0,1.0,0.0,0.0,1.0,48,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,182.0,0.004,-0.577
FF,2023-05-22,95.8,-1.85,5.99,"Fraley, Jake",641584,669467,,foul,,,,,6,"Jake Fraley grounds out, first baseman Paul Goldschmidt to pitcher Andre Pallante.   Tyler Stephenson to 3rd.    Nick Senzel to 2nd.",R,L,R,CIN,STL,S,,,1,0,2023,-0.18,0.58,0.59,2.57,,663886.0,669222.0,0,5,Bot,,,,,668800,,,6.91162138432957,-139.37683441781533,-4.755117315423504,-3.935370075654685,30.88229811099806,-23.69808177094381,3.26,1.57,2.0,52.2,-54.0,96.3,2224.0,6.6,718071,669467,668800,502671,669357,571448,657557,640458,663457,669242,53.93,,,,,,,,48,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,184.0,0.0,-0.113
FF,2023-05-22,96.8,-1.93,6.02,"Fraley, Jake",641584,669467,,ball,,,,,11,"Jake Fraley grounds out, first baseman Paul Goldschmidt to pitcher Andre Pallante.   Tyler Stephenson to 3rd.    Nick Senzel to 2nd.",R,L,R,CIN,STL,B,,,0,0,2023,-0.19,0.69,-0.27,4.67,,663886.0,669222.0,0,5,Bot,,,,,668800,,,4.87394696257801,-141.07236125698674,0.3098426243694615,-3.53365357664741,29.24031344256717,-23.10188753815989,3.43,1.57,,,,97.5,2248.0,6.4,718071,669467,668800,502671,669357,571448,657557,640458,663457,669242,54.07,,,,,,,,48,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,187.0,0.0,0.089
FF,2023-05-22,91.1,-1.69,6.87,"Fraley, Jake",641584,606149,field_out,hit_into_play,,,,,1,Jake Fraley flies out to left fielder Brendan Donovan.,R,L,R,CIN,STL,X,7.0,fly_ball,0,0,2023,-0.75,1.73,-0.41,3.32,,,,0,8,Bot,71.14,140.62,,,668663,,,4.77319167204245,-132.4515796361909,-6.647072446369721,-9.823701415724472,29.78221121883402,-10.584112653593062,3.26,1.57,200.0,80.2,58.0,90.0,2300.0,5.8,718071,606149,668663,502671,669357,571448,657557,680977,663457,669242,54.71,0.037,0.036,0.0,1.0,0.0,0.0,3.0,69,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,204.0,-0.046,-0.235
SL,2023-05-21,87.4,-2.01,5.99,"Fraley, Jake",641584,622663,field_out,hit_into_play,,,,,3,"Jake Fraley grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,X,5.0,ground_ball,1,2,2023,0.62,-0.02,0.73,2.91,,,,2,3,Bot,108.09,160.53,,,543309,,,5.341932217981598,-127.16558853727304,-1.1771904476943489,5.491332720171269,28.655456503401368,-32.374734100474775,3.28,1.56,96.0,43.8,26.0,87.2,2580.0,6.4,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.13,0.18,0.162,0.0,1.0,0.0,0.0,1.0,21,4,Slider,1,0,1,0,0,1,1,0,Standard,Standard,88.0,-0.009,-0.072
FF,2023-05-21,97.0,-1.66,6.2,"Fraley, Jake",641584,622663,,called_strike,,,,,12,"Jake Fraley grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,S,,,1,1,2023,-0.92,1.42,0.68,3.45,,,,2,3,Bot,,,,,543309,,,8.30509980832437,-140.87046122814493,-4.993710776990535,-14.13878431368602,34.09284892796327,-12.376185961870869,3.28,1.56,,,,96.1,2256.0,6.1,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.44,,,,,,,,21,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,210.0,0.0,-0.026
CH,2023-05-21,87.1,-1.85,6.01,"Fraley, Jake",641584,622663,,ball,,,,,11,"Jake Fraley grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,B,,,0,1,2023,-1.34,0.54,-1.47,2.83,,,,2,3,Bot,,,,,543309,,,3.6518726749968935,-126.81322481595028,-2.5381241708609483,-15.143084886370085,27.66186254961279,-26.061890647247942,3.15,1.56,,,,86.7,1508.0,6.1,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.37,,,,,,,,21,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,240.0,0.0,0.015
CH,2023-05-21,87.3,-1.78,6.02,"Fraley, Jake",641584,622663,,foul,,,,,5,"Jake Fraley grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,S,,,0,0,2023,-1.25,1.05,-0.04,2.48,,,,2,3,Bot,,,,,543309,,,6.716636450751161,-126.94115420568762,-4.513668513427549,-14.84738082702205,25.49121524176641,-20.07822737555748,3.28,1.56,5.0,86.0,-26.0,87.1,1541.0,6.2,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.32,,,,,,,,21,1,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,247.0,0.0,-0.021
CH,2023-05-21,88.4,-1.52,5.69,"Fraley, Jake",641584,656061,field_out,hit_into_play,,,,,4,Jake Fraley flies out to right fielder Jake Bauers.,R,L,R,CIN,NYY,X,9.0,fly_ball,1,0,2023,-1.51,0.8,-0.38,2.24,,,,1,6,Bot,160.17,110.98,,,543309,,,5.971853278744276,-128.6458739553594,-4.079027460563806,-18.04193648382652,24.32766627122349,-22.671908677858568,3.28,1.56,236.0,72.0,37.0,89.3,2163.0,6.6,718085,656061,543309,519203,650402,518934,683011,643396,664056,641343,53.86,0.443,0.422,0.0,1.0,0.0,0.0,3.0,42,2,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,244.0,-0.023,-0.2
