pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,84.0,-2.22,5.54,"Rogers, Jake",668670,594577,grounded_into_double_play,hit_into_play,,,,,7,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,X,5.0,ground_ball,3,2,2023,0.35,-0.09,-0.47,1.66,,,668731.0,0,5,Top,100.54,166.62,,,521692,,,3.3574055692490825,-122.52629601424664,-2.545757857929193,2.961040939981876,20.41068046077219,-32.82921637151057,3.35,1.55,5.0,86.1,-20.0,84.5,2099,6.1,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.36,0.091,0.086,0.0,1.0,0.0,0.0,2.0,39,6,Slider,3,0,0,3,0,3,0,3,Standard,Standard,122,0.076,-0.632
FF,2023-05-23,92.1,-2.05,5.54,"Rogers, Jake",668670,594577,,foul,,,,,1,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,S,,,3,1,2023,-0.5,1.22,-0.37,3.14,,,668731.0,0,5,Top,,,,,521692,,,5.340387779581817,-134.2001926492845,-2.99779910599706,-7.116714518561048,25.116608513553498,-16.838787146674058,3.35,1.55,191.0,72.3,61.0,92.5,2165,6.2,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.32,,,,,,,,39,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,214,0.0,-0.102
SI,2023-05-23,91.5,-2.09,5.51,"Rogers, Jake",668670,594577,,called_strike,,,,,2,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,S,,,3,0,2023,-1.06,0.82,-0.12,2.93,,,668731.0,0,5,Top,,,,,521692,,,7.226719843878475,-133.2546473150497,-2.4998094244885984,-14.13714178648856,24.171886768838394,-22.038331578289192,3.35,1.64,,,,91.9,1976,6.1,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.38,,,,,,,,39,4,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,221,0.0,-0.106
SI,2023-05-23,91.8,-1.86,5.57,"Rogers, Jake",668670,594577,,ball,,,,,12,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,B,,,2,0,2023,-1.03,0.81,1.08,2.57,,,668731.0,0,5,Top,,,,,521692,,,9.607925083207824,-133.44957385391103,-3.557476430416806,-14.170295443525305,23.537803640462133,-21.877785583321995,3.45,1.66,,,,92.0,2013,6.1,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.45,,,,,,,,39,3,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,220,0.0,0.191
FF,2023-05-23,90.9,-1.89,5.59,"Rogers, Jake",668670,594577,,ball,,,,,12,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,B,,,1,0,2023,-0.48,1.3,0.07,3.51,,,668731.0,0,5,Top,,,,,521692,,,5.94536431698344,-132.43871983603628,-2.1386635594082755,-6.797558170368977,25.278193707498826,-16.569743579264717,3.35,1.7,,,,91.3,2123,6.2,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.29,,,,,,,,39,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,217,0.0,0.085
SI,2023-05-23,91.2,-2.04,5.56,"Rogers, Jake",668670,594577,,ball,,,,,11,"Jake Rogers grounds into a double play, third baseman Maikel Garcia to second baseman Michael Massey to first baseman Vinnie Pasquantino.   Akil Baddoo out at 2nd.    Jake Rogers out at 1st.",R,R,R,KC,DET,B,,,0,0,2023,-1.22,0.74,-1.16,2.77,,,668731.0,0,5,Top,,,,,521692,,,4.814551782752606,-132.86858262801684,-2.7925507731237538,-15.491214623396656,25.161951307252775,-23.02219491490501,3.35,1.64,,,,91.3,1928,6.0,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.5,,,,,,,,39,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,216,0.0,0.037
SL,2023-05-23,84.7,-2.03,5.54,"Rogers, Jake",668670,594577,strikeout,swinging_strike,,,,,8,Jake Rogers strikes out swinging.,R,R,R,KC,DET,S,2.0,,1,2,2023,0.26,-0.48,0.21,1.64,,,,1,3,Top,,,,,521692,,,4.701525839177005,-123.50401114682953,-1.9371654595117516,1.8698934435978856,20.861868704671128,-37.0048820006342,3.35,1.55,,,,84.9,2259,6.0,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.52,,,0.0,1.0,0.0,0.0,,19,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,54,0.018,-0.121
SL,2023-05-23,83.6,-2.03,5.59,"Rogers, Jake",668670,594577,,ball,,,,,14,Jake Rogers strikes out swinging.,R,R,R,KC,DET,B,,,0,2,2023,0.31,-0.32,0.67,1.18,,,,1,3,Top,,,,,521692,,,5.5709264416162885,-121.7144609571696,-3.1461930685389445,2.1576531989032284,21.374984731833575,-35.05473594102333,3.35,1.63,,,,83.5,2090,5.9,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.56,,,,,,,,19,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,71,0.0,0.014
CU,2023-05-23,76.0,-2.05,5.7,"Rogers, Jake",668670,594577,,called_strike,,,,,4,Jake Rogers strikes out swinging.,R,R,R,KC,DET,S,,,0,1,2023,0.92,-0.95,-0.58,2.59,,,,1,3,Top,,,,,521692,,,1.4151994623747577,-110.69821452877808,2.220150436198012,7.330700026066066,19.35690380465268,-40.62615021180029,3.35,1.61,,,,75.7,2507,6.0,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.52,,,,,,,,19,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,50,0.0,-0.036
SL,2023-05-23,83.2,-2.21,5.55,"Rogers, Jake",668670,594577,,called_strike,,,,,5,Jake Rogers strikes out swinging.,R,R,R,KC,DET,S,,,0,0,2023,0.44,-0.1,-0.26,2.58,,,,1,3,Top,,,,,521692,,,3.6025263623772608,-121.21972959405,-0.2343618467977621,3.6626614675608296,21.98608993845696,-33.32762204517215,3.42,1.63,,,,83.1,2026,6.0,718049,594577,521692,686469,686681,672580,677951,668472,598265,669004,54.51,,,,,,,,19,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,113,0.0,-0.028
