pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,94.0,-1.95,6.31,"Walsh, Jared",665120,445276,walk,ball,,,,,12,Jared Walsh walks.,R,L,R,LAA,BOS,B,,,3,2,2023,0.34,1.71,1.63,3.03,,,,2,8,Bot,,,,,657136,,,8.643288009888447,-136.53623245173762,-6.598861170811836,2.1919916881433057,32.46286242888003,-9.47724249359255,3.52,1.67,,,,94.8,2626,7.0,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.46,,,0.7,1.0,0.0,0.0,,67,6,Cutter,7,2,7,2,2,7,7,2,Strategic,Standard,182,0.0,0.112
FC,2023-05-24,92.8,-2.06,6.33,"Walsh, Jared",665120,445276,,foul,,,,,14,Jared Walsh walks.,R,L,R,LAA,BOS,S,,,3,1,2023,0.28,1.64,0.89,2.44,,,,2,8,Bot,,,,,657136,,,6.983607727867424,-134.7682803425469,-7.797161893884649,1.8399849724244175,31.076020425288043,-10.645425090002576,3.52,1.67,105.0,77.9,7.0,93.5,2366,7.0,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.52,,,,,,,,67,5,Cutter,7,2,7,2,2,7,7,2,Strategic,Standard,94,0.0,-0.045
SI,2023-05-24,93.4,-1.84,6.34,"Walsh, Jared",665120,445276,,ball,,,,,14,Jared Walsh walks.,R,L,R,LAA,BOS,B,,,2,1,2023,-0.58,1.74,0.97,1.23,,,,2,8,Bot,,,,,657136,,,8.632533171633957,-135.31521685843808,-11.312979077120382,-9.003833138939962,30.635385679798052,-8.429031146266711,3.52,1.67,,,,94.3,2157,7.2,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.33,,,,,,,,67,4,Sinker,7,2,7,2,2,7,7,2,Strategic,Standard,198,0.0,0.056
SI,2023-05-24,93.4,-1.65,6.34,"Walsh, Jared",665120,445276,,ball,,,,,14,Jared Walsh walks.,R,L,R,LAA,BOS,B,,,1,1,2023,-0.81,1.59,0.95,1.44,,,,2,8,Bot,,,,,657136,,,8.63036581475901,-135.31533176500056,-10.48539535934117,-11.91490394174722,30.48067207298952,-10.421316652997849,3.52,1.67,,,,94.7,2191,7.4,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.13,,,,,,,,67,3,Sinker,7,2,7,2,2,7,7,2,Strategic,Standard,195,0.0,0.023
SL,2023-05-24,80.5,-2.08,6.36,"Walsh, Jared",665120,445276,,called_strike,,,,,8,Jared Walsh walks.,R,L,R,LAA,BOS,S,,,1,0,2023,0.47,-0.52,-0.16,2.06,,,,2,8,Bot,,,,,657136,,,3.4120083606389486,-117.22194039094326,-1.894461178393409,3.694152274434694,21.989594301746717,-36.83413998146373,3.52,1.67,,,,81.4,2222,6.8,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.67,,,,,,,,67,2,Slider,7,2,7,2,2,7,7,2,Strategic,Standard,75,0.0,-0.027
FC,2023-05-24,94.0,-2.17,6.3,"Walsh, Jared",665120,445276,,ball,,,,,14,Jared Walsh walks.,R,L,R,LAA,BOS,B,,,0,0,2023,0.05,1.55,0.97,1.66,,,,2,8,Bot,,,,,657136,,,8.120519595415212,-136.37661828394957,-9.84114303673364,-1.0890594656004748,29.635327564385896,-10.821889601780592,3.52,1.67,,,,95.3,2555,7.2,718034,445276,657136,457759,622569,646240,571771,608701,680776,606132,53.33,,,,,,,,67,1,Cutter,7,2,7,2,2,7,7,2,Strategic,Standard,187,0.0,0.021
CH,2023-05-23,86.8,-1.85,5.23,"Walsh, Jared",665120,678394,field_out,hit_into_play,,,,,5,Jared Walsh flies out sharply to right fielder Alex Verdugo.,R,L,R,LAA,BOS,X,9.0,fly_ball,3,2,2023,-1.27,0.29,0.04,2.3,,,,2,6,Bot,211.2,108.06,,,624512,,,7.12079133089717,-126.19913773954411,-1.3633233801464566,-15.042332580840682,26.873309929844304,-28.96794689654564,3.53,1.67,306.0,104.4,50.0,86.6,1813,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.21,0.029,0.044,0.0,1.0,0.0,0.0,3.0,45,6,Changeup,2,0,2,0,0,2,2,0,Strategic,Standard,247,-0.007,-0.132
FF,2023-05-23,96.2,-1.64,5.45,"Walsh, Jared",665120,678394,,ball,,,,,11,Jared Walsh flies out sharply to right fielder Alex Verdugo.,R,L,R,LAA,BOS,B,,,2,2,2023,-0.91,1.04,-0.11,4.19,,,,2,6,Bot,,,,,624512,,,6.130436064487621,-139.93330373620023,-0.0470501934780237,-13.413045250791432,35.02455042893398,-18.815383863734763,3.49,1.61,,,,95.7,2128,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.25,,,,,,,,45,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,229,0.0,0.041
SL,2023-05-23,86.9,-1.38,5.42,"Walsh, Jared",665120,678394,,ball,,,,,14,Jared Walsh flies out sharply to right fielder Alex Verdugo.,R,L,R,LAA,BOS,B,,,1,2,2023,-0.01,-0.65,0.87,0.74,,,,2,6,Bot,,,,,624512,,,5.397880772531248,-126.53099621637462,-3.694791742730312,-1.1988473007353142,25.66662500137925,-38.56135311088491,3.53,1.66,,,,86.7,2339,6.1,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.4,,,,,,,,45,4,Slider,2,0,2,0,0,2,2,0,Strategic,Standard,16,0.0,0.018
SI,2023-05-23,96.5,-1.81,5.18,"Walsh, Jared",665120,678394,,ball,,,,,11,Jared Walsh flies out sharply to right fielder Alex Verdugo.,R,L,R,LAA,BOS,B,,,0,2,2023,-1.42,0.27,-1.62,2.62,,,,2,6,Bot,,,,,624512,,,3.696666592880017,-140.55879311824367,-1.828576791749772,-19.614132269811765,32.88114254293764,-28.434001782932253,3.53,1.66,,,,96.2,1985,6.1,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.37,,,,,,,,45,3,Sinker,2,0,2,0,0,2,2,0,Strategic,Standard,237,0.0,0.014
