pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,90.1,-0.92,5.22,"McNeil, Jeff",643446,573186,field_out,hit_into_play,,,,,4,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,X,4.0,ground_ball,3,2,2023,-1.23,0.55,-0.63,2.57,,,,0,7,Top,141.22,145.59,,,571466,,,3.302130840610844,-131.24947244977486,-1.8268861895577628,-14.997543253669404,24.75536107696136,-25.643804016494403,3.66,1.74,6.0,91.5,-24.0,89.5,2368.0,5.6,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.91,0.083,0.075,0.0,1.0,0.0,0.0,2.0,53,6,Sinker,4,2,2,4,2,4,2,4,Strategic,Standard,220.0,0.033,-0.314
FS,2023-05-24,84.4,-1.0,5.31,"McNeil, Jeff",643446,573186,,ball,,,,,11,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,B,,,2,2,2023,-0.74,0.29,-1.64,3.42,,,,0,7,Top,,,,,571466,,,-0.0103447304192307,-123.10054178704024,1.2412685009946165,-7.604237081482241,21.303235311739243,-29.635032904562674,3.49,1.55,,,,83.7,1579.0,5.4,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,55.09,,,,,,,,53,5,Split-Finger,4,2,2,4,2,4,2,4,Strategic,Standard,227.0,0.0,0.108
SL,2023-05-24,85.4,-0.94,5.39,"McNeil, Jeff",643446,573186,,ball,,,,,13,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,B,,,1,2,2023,0.54,-0.58,-0.25,1.34,,,,0,7,Top,,,,,571466,,,0.5278372975100882,-124.5715805709706,-2.224224863925815,5.6688554074996,19.98114553931932,-38.12872279284056,3.51,1.69,,,,85.0,2911.0,5.4,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,55.06,,,,,,,,53,4,Slider,4,2,2,4,2,4,2,4,Strategic,Standard,69.0,0.0,0.03
FC,2023-05-24,89.2,-0.76,5.27,"McNeil, Jeff",643446,573186,,foul,,,,,12,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,S,,,1,1,2023,0.1,0.51,1.04,2.72,,,,0,7,Top,,,,,571466,,,4.17952781339349,-130.00335848616965,-1.403296056832963,0.3083047606029884,25.055460846924078,-26.268781298628028,3.66,1.74,30.0,67.8,-2.0,88.5,2602.0,5.6,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.89,,,,,,,,53,3,Cutter,4,2,2,4,2,4,2,4,Strategic,Standard,194.0,0.0,-0.053
FS,2023-05-24,86.4,-0.96,5.26,"McNeil, Jeff",643446,573186,,ball,,,,,13,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,B,,,0,1,2023,-1.27,0.12,-1.42,1.76,,,,0,7,Top,,,,,571466,,,1.4588988140821195,-125.94304282981297,-2.422077696213089,-13.867677954269194,23.347384618099746,-30.67334189866204,3.57,1.75,,,,85.6,1888.0,5.5,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,55.0,,,,,,,,53,2,Split-Finger,4,2,2,4,2,4,2,4,Strategic,Standard,232.0,0.0,0.03
SI,2023-05-24,90.4,-0.92,5.29,"McNeil, Jeff",643446,573186,,called_strike,,,,,13,"Jeff McNeil grounds out, second baseman Nico Hoerner to first baseman Matt Mervis.",R,L,R,CHC,NYM,S,,,0,0,2023,-1.12,0.25,-0.2,1.51,,,,0,7,Top,,,,,571466,,,4.109286569298007,-131.62561213273398,-4.043565727854258,-13.871319994232994,24.70316439971051,-28.648737992849217,3.6,1.78,,,,89.7,2299.0,5.6,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.91,,,,,,,,53,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,218.0,0.0,-0.037
SI,2023-05-24,91.3,-0.96,5.25,"McNeil, Jeff",643446,573186,field_out,hit_into_play,,,,,7,"Jeff McNeil grounds out sharply, shortstop Dansby Swanson to first baseman Matt Mervis.",R,L,R,CHC,NYM,X,6.0,ground_ball,1,0,2023,-1.12,0.25,-0.75,1.89,,,,0,4,Top,118.66,145.97,,,571466,,,2.899332998723804,-133.038366172394,-3.172271228209328,-13.982697493336214,24.81005258967825,-28.780322986368716,3.66,1.74,6.0,109.0,-15.0,90.9,2328.0,5.7,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.85,0.2,0.18,0.0,1.0,0.0,0.0,2.0,28,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,216.0,0.028,-0.274
SI,2023-05-24,91.3,-0.97,5.28,"McNeil, Jeff",643446,573186,,ball,,,,,13,"Jeff McNeil grounds out sharply, shortstop Dansby Swanson to first baseman Matt Mervis.",R,L,R,CHC,NYM,B,,,0,0,2023,-1.39,0.31,-0.93,1.37,,,,0,4,Top,,,,,571466,,,3.056349823913936,-132.87676769808118,-4.578577064096085,-17.094201418704237,29.623362195605573,-27.657363678062158,3.59,1.74,,,,90.4,2315.0,5.9,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.65,,,,,,,,28,1,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,225.0,0.0,0.039
SI,2023-05-24,91.2,-0.99,5.28,"McNeil, Jeff",643446,573186,field_out,hit_into_play,,,,,9,Jeff McNeil grounds out to first baseman Matt Mervis.,R,L,R,CHC,NYM,X,3.0,ground_ball,1,0,2023,-0.57,0.14,0.66,1.73,,,,2,1,Top,151.97,168.99,,,571466,,,5.327925796328122,-132.93089512959526,-3.430235491067232,-7.79274836033161,22.77205252291457,-30.120487568367253,3.66,1.74,4.0,80.4,-23.0,91.3,2188.0,5.8,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.7,0.051,0.046,0.0,1.0,0.0,0.0,2.0,3,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,210.0,0.01,-0.125
FS,2023-05-24,85.5,-1.11,5.7,"McNeil, Jeff",643446,643410,field_out,hit_into_play,,,,,5,Jeff McNeil flies out to left fielder Ian Happ.,R,L,R,CHC,NYM,X,7.0,fly_ball,0,1,2023,-0.57,0.61,-0.27,2.7,,,,2,9,Top,59.95,97.89,,,571466,,,3.160932655613278,-124.60713479525992,-2.050798630034661,-6.598370031098544,24.100098045940413,-25.62648676095609,3.66,1.74,299.0,92.0,38.0,86.4,919.0,6.7,718038,643410,571466,670223,663538,670156,621020,664023,643565,673548,53.8,0.029,0.034,0.0,1.0,0.0,0.0,3.0,68,2,Split-Finger,4,2,2,4,2,4,2,4,Standard,Standard,226.0,0.011,-0.083
